nif	year	inmovilizado_mat
"A08679060"	2007	1512.47
"B28218287"	2010	1512.625
"A36014009"	2016	1512.962
"B03072576"	2013	1513.158
"A81824047"	2010	1514.27
"A28574101"	2017	1515.242
"A08288490"	2010	1515.893
"A24004103"	2007	1516.073
"B35597020"	2010	1516.093
"A17038035"	2010	1516.729
"A31078140"	2013	1516.981
"A28523470"	2017	1516.99
"A50040013"	2008	1517.033
"A03028461"	2007	1517.073
"A08042764"	2007	1517.38
"A08094567"	2012	1517.48
"A26013714"	2008	1517.57
"A21008727"	2009	1517.728
"A28266989"	2009	1517.941
"A08105256"	2011	1518.014
"A47022058"	2012	1518.046
"B29682135"	2012	1518.162
"A12015673"	2007	1518.5
"A29035896"	2008	1518.986
"A28749976"	2014	1519.02
"A20062915"	2013	1519.031
"A80200868"	2011	1519.597
"A22009906"	2008	1520.176
"B63220917"	2013	1520.262
"A30610984"	2012	1520.968
"A08677700"	2015	1521.082
"A36005684"	2014	1521.438
"A11019767"	2013	1522.054
"A41002841"	2014	1522.13
"A07265465"	2010	1522.255
"B03004801"	2016	1522.799
"A08285157"	2013	1523.244
"A79092573"	2007	1523.3
"A08667016"	2017	1524.552
"A33014176"	2017	1524.901
"A38003133"	2009	1525.387
"A12027488"	2017	1525.426
"A01008069"	2010	1525.727
"A81200511"	2008	1525.862
"A12022885"	2015	1526.564
"B37020179"	2008	1526.87
"A39023759"	2015	1526.928
"A28580546"	2009	1527.392
"A81824047"	2012	1527.899
"A28400323"	2007	1529.89
"A08288490"	2011	1530.587
"B40003550"	2015	1531.103
"A47000641"	2014	1531.146
"A35045681"	2009	1531.169
"A08396830"	2007	1531.82
"A08200651"	2013	1532.27
"A09092305"	2014	1533
"A61713301"	2014	1533
"A12006227"	2015	1533.127
"B28218287"	2013	1533.248
"A36603421"	2007	1533.96
"A33606534"	2016	1534.413
"A04001897"	2011	1534.557
"A17013269"	2012	1534.575
"A08479297"	2013	1534.683
"B41058124"	2008	1535.075
"A38018404"	2010	1535.245
"A45002839"	2015	1535.354
"A36014009"	2013	1535.724
"A25022609"	2013	1536.227
"A48093421"	2010	1536.355
"B15021520"	2011	1536.487
"A25007105"	2017	1536.912
"A28923662"	2010	1537
"A82716010"	2015	1537.004
"A36249076"	2015	1537.246
"A28550960"	2015	1537.339
"B40003550"	2009	1537.695
"A48802854"	2014	1538.113
"B28084168"	2008	1539
"A31070378"	2013	1539.675
"A46016374"	2010	1539.985
"A34009936"	2007	1540.396
"A03003530"	2008	1540.89
"B95087482"	2009	1541
"A47022058"	2011	1541.099
"B08136905"	2014	1541.772
"B41217761"	2011	1542.135
"B15010168"	2017	1542.36
"A41050063"	2013	1542.642
"A34170183"	2013	1542.972
"B14030720"	2015	1543.686
"A28293884"	2007	1544.576
"B28499218"	2013	1544.913
"A35031343"	2010	1545.145
"B22004113"	2007	1545.286
"A26020198"	2015	1546.073
"B38005377"	2009	1546.179
"B01013507"	2011	1546.707
"A50057322"	2017	1546.908
"A08467052"	2017	1547
"A01008234"	2013	1547.23
"A08564502"	2012	1547.52
"A28381564"	2015	1547.951
"A08361644"	2010	1547.952
"A07033491"	2013	1548.119
"A28683068"	2008	1548.62
"A47024393"	2010	1548.949
"B08142655"	2015	1549.436
"A79290565"	2015	1549.625
"A38018404"	2008	1549.73
"A33606534"	2011	1550.15
"A08189359"	2012	1550.522
"A35019637"	2013	1550.605
"B31001290"	2009	1551.217
"A08578395"	2014	1551.505
"A03197308"	2012	1551.912
"A78688934"	2016	1551.995
"A28294718"	2015	1552
"A81593808"	2015	1552.007
"A21006911"	2012	1552.314
"A03028461"	2010	1552.485
"B41058124"	2007	1552.74
"B32003998"	2015	1553.976
"B95271326"	2013	1554.134
"A26020198"	2017	1554.165
"A08595324"	2007	1554.279
"A17038035"	2013	1554.441
"A48110381"	2014	1554.522
"A96785225"	2011	1554.996
"B31001696"	2014	1555.307
"A08669178"	2012	1555.411
"A48016877"	2017	1555.913
"A18431064"	2011	1556.109
"B22004113"	2008	1556.122
"A33006644"	2009	1557.142
"A32226037"	2012	1557.143
"A28027647"	2007	1557.462
"A79049797"	2011	1558.051
"A29003951"	2015	1558.062
"A01008069"	2009	1558.17
"A31404452"	2013	1558.339
"A08244220"	2010	1558.983
"A28543809"	2014	1559.192
"B43241769"	2015	1559.725
"A28386225"	2015	1559.777
"A39000690"	2014	1560.934
"B30605760"	2013	1561.263
"A09007089"	2012	1561.299
"A31076508"	2009	1561.314
"A36604882"	2007	1561.51
"A08679060"	2011	1561.816
"B46164091"	2012	1562.744
"B46131371"	2007	1562.898
"B38017554"	2017	1562.914
"A29018207"	2014	1563.347
"A46078556"	2007	1563.49
"A07018112"	2017	1564.047
"A08372351"	2017	1564.098
"A27007731"	2011	1564.412
"A42000901"	2016	1564.416
"B46054508"	2016	1564.427
"A28039469"	2017	1564.619
"A33603317"	2016	1564.667
"A46115127"	2011	1564.74
"A38018404"	2009	1564.845
"A08394157"	2017	1565.17
"B46045993"	2013	1565.322
"A29035896"	2007	1565.323
"A28672624"	2012	1566.075
"A46134250"	2010	1566.176
"A08720245"	2011	1567.175
"B41621038"	2015	1567.466
"A14022099"	2007	1567.813
"A47010194"	2013	1568.273
"A12006227"	2014	1568.603
"A35045681"	2017	1568.744
"F46026829"	2011	1569.004
"B01013507"	2010	1569.047
"A36249076"	2012	1569.369
"B15027170"	2017	1569.55
"A31018799"	2008	1569.744
"A41028820"	2013	1569.871
"B28304129"	2013	1569.913
"A18024919"	2016	1570.073
"A25007105"	2016	1570.123
"A08906208"	2015	1570.859
"A08467052"	2016	1571
"A46126439"	2015	1571.008
"A20557294"	2014	1571.221
"A28399434"	2008	1571.577
"A79092573"	2013	1571.7
"A04001897"	2014	1572.289
"A46038519"	2011	1572.313
"A08097438"	2017	1572.505
"A46160701"	2010	1572.712
"B28218287"	2012	1572.721
"A08484107"	2010	1573.035
"A28749976"	2016	1573.064
"A01002864"	2013	1573.677
"A33026980"	2016	1573.74
"A43037191"	2013	1574.118
"A28574101"	2016	1574.362
"A48093918"	2017	1574.426
"B26011627"	2017	1574.897
"A18312041"	2012	1574.919
"B48771711"	2008	1574.948
"B38002655"	2015	1575.014
"A31076508"	2010	1575.05
"A17001322"	2012	1575.14
"A80200868"	2009	1575.793
"A04000881"	2010	1575.845
"B03019601"	2014	1576.019
"B32003998"	2014	1576.044
"B11605862"	2015	1576.725
"A11682507"	2008	1576.87
"A28396042"	2015	1577
"A09004813"	2017	1577.193
"A20022448"	2009	1577.283
"A28415487"	2015	1577.352
"B28118800"	2017	1577.395
"A34009936"	2008	1577.637
"A12006227"	2012	1577.713
"A30032130"	2009	1578.164
"A02012714"	2007	1578.47
"A28695856"	2008	1578.549
"A81808966"	2015	1579.322
"B28044204"	2015	1579.423
"A28586592"	2012	1579.739
"B03072576"	2014	1579.742
"A11000098"	2010	1580.195
"A32006611"	2016	1580.384
"B30009039"	2007	1580.724
"A28235158"	2017	1580.796
"B30044440"	2011	1580.873
"A11012572"	2009	1581.07
"A08149668"	2008	1581.621
"A08639643"	2017	1582.368
"A28058758"	2013	1582.392
"A36249076"	2014	1582.447
"A28138386"	2013	1582.637
"A81200511"	2007	1582.677
"A33014176"	2016	1583.103
"A08397465"	2010	1583.434
"B26011627"	2016	1583.446
"A09015405"	2012	1583.496
"A12029468"	2016	1583.61
"A43037191"	2011	1583.642
"B60918141"	2017	1583.84
"A26013714"	2011	1584.046
"B39026265"	2015	1584.197
"B38025920"	2013	1584.322
"A28027647"	2008	1584.739
"A08564502"	2013	1585.75
"A60016037"	2015	1586.058
"B30044440"	2015	1586.5
"A41002544"	2014	1587.008
"A39030812"	2013	1587.139
"B28617256"	2014	1587.841
"A23372832"	2012	1587.872
"A36614691"	2008	1588.353
"A50005156"	2012	1588.416
"A46038519"	2007	1589.426
"B31083488"	2015	1589.632
"A31018799"	2016	1590.003
"A28458826"	2009	1590.198
"A80904576"	2010	1590.232
"A09007089"	2011	1590.748
"A32226037"	2014	1590.918
"A28270452"	2009	1591.02
"A28695856"	2009	1591.175
"A28510246"	2010	1591.315
"A28435931"	2010	1592.395
"A08042764"	2008	1592.606
"B30028187"	2017	1593.025
"A03734514"	2007	1593.039
"A13008339"	2017	1593.051
"A13005384"	2010	1593.918
"B24399305"	2010	1594.167
"A28582450"	2008	1594.964
"A41002544"	2010	1595.224
"A08200651"	2012	1595.276
"A08262024"	2014	1595.309
"A11019767"	2014	1596.092
"A36014009"	2012	1596.184
"A08723926"	2010	1597.488
"A32006413"	2012	1598.155
"B01013507"	2009	1598.84
"A28171601"	2015	1598.868
"A46094207"	2011	1598.969
"B37014388"	2007	1599.276
"A43110337"	2007	1600.076
"B46166013"	2017	1600.428
"A46038519"	2010	1601.005
"A08361644"	2013	1601.318
"A08340267"	2016	1601.58
"A04001897"	2009	1602.022
"A28058758"	2012	1602.089
"A48045199"	2011	1602.099
"A81824047"	2011	1602.209
"A31068927"	2009	1602.546
"A21008727"	2012	1602.739
"A04006706"	2014	1603.015
"A33602905"	2016	1603.707
"A08280240"	2013	1603.95
"A08397465"	2009	1604.699
"B36009942"	2014	1604.928
"A46087565"	2007	1605.039
"A29012044"	2008	1605.28
"A12021267"	2011	1605.622
"A47022058"	2015	1606.345
"B09019548"	2007	1606.491
"A36615037"	2010	1606.56
"A29018207"	2007	1606.648
"A26013714"	2017	1607.146
"A32006413"	2011	1607.649
"A33015454"	2014	1607.792
"A06008411"	2016	1608.347
"B37020179"	2009	1608.348
"A08008518"	2013	1609.304
"B50021658"	2016	1609.431
"B31009715"	2016	1610.086
"A28027647"	2009	1610.117
"A48110381"	2009	1610.214
"A43029339"	2009	1610.405
"B38071155"	2015	1610.575
"A28266989"	2007	1611.01
"A01004548"	2010	1611.033
"B30015226"	2017	1611.781
"A29012044"	2011	1611.791
"B95271326"	2012	1611.998
"B59469296"	2012	1612.527
"B18012831"	2014	1612.573
"A31404452"	2014	1612.601
"A28458826"	2010	1612.818
"A14004691"	2013	1612.9
"B08292054"	2017	1613.04
"A61587358"	2016	1613.256
"B28028348"	2007	1613.898
"A36249076"	2011	1613.984
"B28304129"	2014	1614.337
"A46094207"	2012	1614.35
"A11012572"	2010	1614.5
"A28524726"	2007	1614.534
"A07050420"	2009	1614.853
"A04016952"	2012	1614.968
"B02011641"	2009	1615.359
"B32003998"	2013	1615.388
"A28574101"	2015	1615.948
"A28060283"	2012	1616.023
"A28060283"	2014	1616.574
"A28110971"	2017	1616.686
"A28642122"	2010	1616.769
"A79049797"	2010	1616.974
"A81824047"	2013	1618.045
"B46142246"	2015	1618.233
"A08720245"	2010	1618.375
"A28025435"	2017	1619
"A46134250"	2009	1619.954
"B26011627"	2014	1620.375
"A28313351"	2011	1620.838
"A20557294"	2009	1621
"A48083927"	2013	1621.915
"B41088642"	2015	1621.985
"A14025902"	2008	1622.241
"A17014523"	2009	1622.447
"B46148797"	2009	1622.649
"A24022196"	2012	1623.316
"B30035968"	2015	1623.558
"A28552149"	2009	1623.92
"A31072325"	2015	1624.011
"A28458826"	2008	1624.311
"A50011980"	2011	1624.755
"A47022058"	2010	1624.784
"A08394157"	2016	1624.833
"A23022874"	2017	1624.969
"A08199168"	2015	1625.098
"A08105256"	2010	1625.388
"A36014595"	2007	1625.437
"A26014035"	2010	1625.644
"A36604783"	2014	1625.733
"A35019637"	2012	1625.929
"A34170183"	2014	1626.162
"A31096233"	2012	1626.51
"B28579324"	2010	1626.536
"A42003368"	2013	1626.538
"B27008408"	2016	1626.779
"B40003550"	2010	1626.886
"A30036438"	2008	1626.918
"A31078140"	2014	1627.131
"B08013963"	2014	1627.64
"A01013077"	2009	1627.651
"A31070378"	2017	1627.684
"A08228124"	2013	1628
"B31065980"	2011	1628.252
"A28110971"	2011	1628.838
"A12022885"	2016	1628.902
"A31096233"	2013	1629.267
"B35023068"	2008	1629.84
"B11605862"	2013	1630.054
"A38020905"	2014	1630.132
"A26004093"	2007	1630.23
"A02006021"	2011	1630.321
"A46035770"	2011	1630.605
"A42000901"	2015	1630.708
"A08730277"	2015	1630.767
"A28649879"	2015	1630.843
"A03011541"	2013	1631.045
"A29056769"	2014	1631.644
"A04016952"	2013	1631.753
"A26013714"	2012	1631.862
"A28027647"	2013	1632.255
"A08639643"	2016	1632.799
"A22009906"	2011	1633.198
"A46014155"	2011	1633.553
"A17020561"	2007	1633.588
"A08679060"	2010	1633.992
"A31001027"	2010	1634.134
"A28435931"	2008	1634.665
"B08238263"	2014	1634.73
"A08851321"	2007	1634.77
"A33036807"	2008	1634.881
"A08421190"	2014	1634.941
"A32006413"	2015	1635.118
"A26004093"	2012	1635.458
"A08110249"	2016	1635.61
"B11605862"	2014	1635.69
"A28582450"	2007	1635.709
"A04001897"	2012	1635.856
"B29682135"	2014	1636.027
"A30035034"	2017	1636.051
"A17013269"	2016	1636.439
"A43035542"	2012	1636.585
"A31076508"	2012	1636.636
"A36611903"	2012	1636.712
"A08159816"	2011	1637.793
"A40004731"	2016	1637.885
"B38017554"	2016	1638.192
"B15032485"	2007	1638.433
"A48020358"	2015	1638.439
"B26011627"	2013	1638.835
"A79184453"	2010	1638.862
"B40003550"	2008	1639.462
"B26011627"	2015	1639.55
"A41050535"	2008	1639.729
"A46016374"	2007	1640.192
"A29018207"	2015	1640.252
"A01013077"	2008	1640.254
"A33009630"	2014	1640.275
"A28399434"	2007	1640.431
"A08851321"	2008	1640.541
"A24004103"	2013	1640.701
"V48566475"	2014	1640.873
"B28193340"	2017	1640.888
"A07044530"	2012	1640.98
"A28889939"	2014	1641.608
"A48071351"	2017	1641.893
"A28693166"	2007	1642.219
"F30587919"	2014	1642.466
"A28060283"	2013	1642.55
"A30014211"	2014	1642.946
"B24399305"	2014	1643.002
"A59320143"	2007	1643.009
"B28579324"	2009	1643.036
"A30035034"	2014	1643.342
"A41037672"	2016	1643.375
"A28415487"	2017	1643.529
"A79049797"	2009	1643.906
"A28574101"	2014	1644.174
"A30012009"	2008	1644.202
"A14015101"	2015	1644.851
"A28683068"	2007	1645.357
"A08374332"	2013	1645.783
"A47006887"	2012	1646.182
"A08659617"	2013	1646.191
"A28198356"	2014	1646.464
"A30032619"	2017	1646.51
"A25020629"	2007	1646.54
"A28110971"	2009	1646.626
"A12022224"	2014	1646.721
"A25022609"	2014	1646.851
"A08132656"	2008	1646.967
"B12020194"	2016	1647.201
"A29018207"	2016	1648.298
"A28749976"	2015	1649.02
"A17010018"	2010	1649.141
"A59320143"	2008	1649.182
"B35388867"	2009	1649.211
"A17039140"	2017	1649.272
"A29003951"	2013	1649.37
"A28543809"	2008	1649.955
"A28138873"	2010	1650
"A44003663"	2015	1650.179
"B46166013"	2010	1650.482
"B04018495"	2017	1650.606
"B27008408"	2014	1651.08
"A08551590"	2013	1651.275
"A47022058"	2013	1651.43
"A41050535"	2007	1651.59
"A40004731"	2014	1652.881
"A08105256"	2016	1653.46
"B35044197"	2017	1653.668
"B08292054"	2016	1653.799
"A28294718"	2017	1654
"B21015474"	2011	1654.185
"B08113615"	2015	1654.208
"A47000641"	2015	1654.33
"B82274135"	2017	1654.337
"A35091057"	2017	1655.077
"A47000641"	2013	1655.384
"A29003951"	2012	1655.561
"A26013714"	2016	1655.937
"A31000441"	2010	1656.349
"A28487007"	2008	1656.79
"A29006343"	2011	1657.154
"A29056769"	2012	1657.773
"A41037672"	2017	1657.819
"A35031343"	2011	1657.836
"A20017604"	2014	1657.885
"B30009039"	2008	1658.327
"A08346116"	2011	1659.006
"A41055377"	2016	1659.205
"A41038274"	2009	1659.463
"A35091057"	2010	1659.524
"A48093538"	2015	1659.881
"A28293884"	2008	1660.321
"B08488587"	2013	1661.488
"B35023068"	2009	1661.976
"A38020905"	2011	1662.577
"B41217761"	2012	1662.715
"A08116147"	2008	1663
"B03020997"	2017	1663.342
"A41055377"	2017	1663.747
"A28027647"	2010	1664.031
"A43019975"	2017	1664.74
"B48771711"	2015	1665.226
"A41037672"	2014	1665.424
"A41010521"	2008	1665.757
"B20062295"	2012	1665.999
"B81009151"	2016	1666.029
"A46146551"	2012	1666.296
"B28193340"	2016	1666.529
"A48016877"	2009	1667.469
"A08094567"	2015	1667.559
"B27008408"	2012	1668.466
"A17010018"	2011	1669.624
"A12385860"	2016	1669.711
"A12021267"	2012	1669.823
"A08199168"	2014	1669.85
"A36611903"	2011	1670.46
"B15032485"	2008	1670.57
"A17039140"	2016	1670.904
"A08723926"	2009	1671.327
"A04006706"	2013	1671.779
"A38020905"	2013	1672.938
"A27007731"	2008	1673.419
"B27014398"	2012	1673.818
"A13008461"	2008	1674.248
"A41002544"	2008	1674.37
"B28337038"	2012	1674.7
"B36620193"	2010	1674.927
"A28510246"	2011	1675.53
"A28552149"	2011	1675.597
"A11019767"	2017	1676.231
"A28543809"	2013	1676.284
"A48047377"	2013	1676.319
"B29682135"	2013	1676.486
"A41037672"	2013	1676.689
"B48059786"	2014	1676.953
"B15015274"	2012	1676.957
"A04001897"	2010	1677.129
"A01012830"	2016	1677.171
"B28227775"	2017	1677.556
"A25007105"	2013	1677.685
"A48045199"	2013	1677.964
"A26013714"	2010	1677.999
"B20049615"	2008	1678.071
"B28617256"	2013	1678.881
"B50047091"	2010	1678.952
"A28579373"	2014	1678.974
"B36684157"	2014	1679.072
"A48093538"	2013	1679.514
"A28027647"	2014	1679.546
"A03003530"	2007	1679.797
"A11608999"	2012	1681.02
"A07018112"	2015	1681.186
"B27008408"	2013	1681.507
"A25026733"	2016	1681.573
"A33604182"	2017	1681.802
"B46148797"	2008	1682.101
"A41057209"	2011	1682.811
"A02006021"	2012	1682.876
"A08679060"	2009	1683.098
"B28218816"	2015	1683.173
"A30035034"	2016	1683.928
"A26023606"	2017	1684.271
"A29056769"	2016	1684.535
"A79290565"	2017	1685.175
"A07018112"	2016	1685.27
"A08679060"	2008	1686.253
"A34170183"	2015	1686.287
"A28524726"	2014	1686.38
"A04016952"	2011	1686.44
"A08132656"	2007	1686.772
"B03004801"	2017	1686.914
"A08667016"	2016	1687.658
"B36620193"	2011	1688.048
"A28110971"	2012	1688.11
"A26014035"	2009	1689.516
"A28552149"	2012	1689.935
"A44004422"	2013	1690.095
"A14004691"	2012	1690.107
"A08094567"	2008	1690.2
"A46115127"	2007	1690.916
"A32226037"	2013	1691.436
"A33036880"	2016	1692.168
"B28120012"	2008	1692.751
"B30015226"	2015	1692.776
"A38020905"	2012	1692.785
"A28458826"	2011	1692.866
"B46191094"	2017	1693.209
"A29006343"	2012	1693.447
"A08713869"	2014	1693.828
"A03032653"	2013	1694.461
"A28552149"	2010	1694.694
"A33018425"	2017	1694.731
"A30022214"	2017	1694.889
"A02006021"	2008	1695.07
"B04018495"	2012	1695.231
"B08292054"	2015	1695.566
"B26011361"	2012	1695.761
"A31018799"	2011	1695.762
"A01005594"	2011	1695.81
"A50042027"	2014	1696.181
"A32006413"	2013	1696.307
"A20779849"	2012	1696.669
"A34009936"	2009	1697.155
"A28435931"	2009	1697.264
"B46164091"	2015	1697.277
"A78521168"	2010	1697.646
"A46170080"	2009	1697.716
"A28555563"	2017	1698.301
"A08639643"	2015	1698.44
"A41037672"	2015	1699.073
"A20557294"	2013	1699.456
"A28648053"	2009	1699.535
"B31001696"	2013	1699.571
"A79290565"	2016	1699.704
"A08394157"	2015	1700.104
"B20332870"	2011	1700.175
"A08667016"	2015	1700.725
"A48802854"	2013	1700.804
"A28552149"	2008	1700.888
"B59469296"	2014	1700.896
"A08069809"	2017	1701.057
"A32006413"	2008	1701.136
"B38005377"	2012	1701.526
"A48110381"	2008	1702.112
"A31018799"	2007	1702.172
"A36014009"	2015	1703.367
"A39030812"	2014	1703.428
"A43035542"	2017	1703.525
"F46026829"	2010	1703.612
"B43491356"	2014	1703.638
"A32006413"	2014	1704.516
"A46005252"	2012	1705.099
"B28579324"	2011	1705.469
"A23019342"	2013	1706.086
"B35005040"	2012	1706.29
"A28146579"	2007	1706.674
"A46075206"	2012	1706.685
"A08102410"	2007	1707.16
"A29018207"	2013	1707.628
"B15032485"	2009	1708.302
"A28400323"	2011	1708.483
"A29006343"	2013	1708.698
"A08200651"	2011	1708.873
"A32006413"	2010	1709.491
"A26023606"	2011	1709.924
"A78688934"	2013	1710
"B15027170"	2016	1710.169
"A17014523"	2014	1710.821
"A36611903"	2007	1710.831
"B03044641"	2016	1712.052
"A48093538"	2014	1712.216
"A08063372"	2014	1712.269
"A17013269"	2010	1712.383
"A48083927"	2007	1712.724
"A28543809"	2007	1712.781
"A48033526"	2016	1712.992
"A46002069"	2007	1713.251
"B28227775"	2016	1713.325
"A30013627"	2007	1713.575
"A79184453"	2016	1713.644
"A08562910"	2017	1713.768
"B03019106"	2013	1713.87
"A28923662"	2008	1714
"A24022196"	2014	1715.05
"A47022058"	2009	1715.212
"A17038035"	2014	1715.709
"A03005154"	2010	1716.608
"A03077898"	2016	1716.647
"A28060283"	2017	1716.688
"A48093868"	2015	1717.312
"A06163851"	2017	1717.658
"B28304129"	2012	1717.868
"A31018799"	2014	1718.608
"A46105086"	2007	1718.676
"A80200868"	2010	1718.78
"A28410850"	2017	1718.849
"A28070167"	2014	1718.849
"A36605772"	2015	1719.072
"A32007817"	2012	1719.341
"A08211112"	2007	1719.386
"A03026739"	2017	1719.448
"B12020194"	2017	1719.454
"A31404452"	2012	1719.507
"A12027488"	2015	1719.637
"A31024458"	2015	1719.645
"A28720795"	2010	1720.061
"A50066562"	2016	1720.526
"A38018404"	2011	1720.896
"B40003550"	2007	1720.952
"A31189350"	2012	1721.423
"A25022369"	2014	1721.703
"A08397465"	2008	1722.101
"A28435931"	2007	1722.48
"A08244220"	2008	1723.167
"A03062619"	2013	1723.45
"B22004113"	2012	1723.62
"A28524726"	2017	1724.165
"A28027647"	2012	1724.795
"A81593808"	2007	1725.16
"A80904576"	2009	1726.081
"A28138873"	2009	1727
"B11012820"	2013	1727.195
"B81308439"	2017	1727.218
"B35597020"	2017	1727.854
"B95087482"	2008	1727.9
"A28027647"	2011	1728.195
"A08102410"	2016	1728.388
"A12029468"	2015	1728.853
"A48071351"	2016	1729.064
"A33009630"	2013	1729.108
"A48865679"	2010	1729.193
"B30015226"	2016	1729.447
"A04001897"	2008	1729.709
"A46016374"	2009	1730.291
"B26011361"	2013	1730.293
"A33604406"	2015	1730.302
"F38008579"	2011	1730.347
"A48865679"	2011	1730.406
"A28110971"	2010	1730.417
"A59990580"	2009	1730.876
"A46035770"	2012	1730.968
"A46115127"	2010	1731.764
"A33602905"	2015	1731.8
"A28138873"	2011	1732
"A46134250"	2011	1732.201
"B35597020"	2015	1732.357
"B32008625"	2014	1732.623
"A14580385"	2011	1732.654
"A30006142"	2014	1733.259
"A59736686"	2015	1733.265
"A31001027"	2009	1733.319
"A47010194"	2012	1733.567
"B08424855"	2015	1734.034
"B28337038"	2013	1734.438
"B08488645"	2017	1734.801
"A28623379"	2010	1735.129
"A41010521"	2009	1735.199
"A04000881"	2009	1735.201
"A48045199"	2014	1735.204
"A28229409"	2013	1735.386
"A08551590"	2012	1736.527
"A08723926"	2008	1736.801
"A40004731"	2015	1736.914
"A08200651"	2009	1737.197
"B82274135"	2016	1737.323
"B50067586"	2017	1737.5
"B59469296"	2013	1737.834
"A50013671"	2017	1738.308
"A08397465"	2007	1738.346
"A08421190"	2013	1738.653
"B46069654"	2008	1738.671
"A60401585"	2016	1739
"A04016952"	2014	1739.074
"A28510246"	2009	1739.216
"A33610106"	2007	1739.282
"A46021804"	2012	1739.311
"A79049797"	2008	1739.775
"A08131153"	2017	1740
"A08259046"	2014	1740.053
"A48005672"	2010	1740.059
"A15033699"	2007	1740.436
"A23022874"	2015	1741.547
"A08042764"	2009	1741.646
"A31018799"	2013	1741.671
"B20013983"	2008	1742.555
"B43029305"	2016	1742.803
"A02010510"	2008	1742.846
"A48095822"	2016	1743.509
"A17014523"	2013	1744.433
"A12021267"	2017	1744.69
"A08651762"	2011	1744.872
"B37020179"	2010	1745.039
"A28552149"	2007	1745.309
"A08421190"	2010	1745.333
"A41037672"	2012	1745.673
"A08135139"	2016	1745.794
"A01005594"	2012	1745.885
"A82716010"	2016	1746.27
"A06008411"	2015	1747.07
"A30016182"	2014	1747.105
"A08713869"	2013	1747.177
"A08244220"	2009	1747.532
"B08359093"	2007	1747.533
"A26014035"	2008	1747.95
"A32015844"	2008	1748.47
"A07053374"	2015	1748.811
"A28523470"	2016	1749.251
"A31070378"	2016	1749.957
"A79092573"	2015	1750
"A31072325"	2014	1750.46
"A46014650"	2010	1750.492
"B46045993"	2012	1751.121
"A08372351"	2015	1751.303
"A48073274"	2009	1751.367
"A30035034"	2015	1751.881
"A14009823"	2015	1752.356
"B03087293"	2009	1752.414
"A08630063"	2012	1752.941
"A48045199"	2012	1752.998
"A33036880"	2015	1753.082
"B39019468"	2016	1754.001
"B50067586"	2016	1754.159
"B43029305"	2017	1754.216
"B45020351"	2017	1754.358
"A46170080"	2008	1754.567
"A35091057"	2011	1754.707
"A44003663"	2016	1754.805
"B41088642"	2014	1754.942
"A03028552"	2011	1755.385
"A28518819"	2013	1755.735
"A30037873"	2013	1755.738
"B41063355"	2017	1756.041
"B08292054"	2014	1756.265
"A32007817"	2014	1756.291
"A28012359"	2017	1756.478
"A59736686"	2011	1756.831
"B17462961"	2009	1756.864
"A31012636"	2015	1757.077
"A46014650"	2009	1757.461
"A08189359"	2007	1757.52
"A08680738"	2015	1757.668
"A46094207"	2013	1757.756
"A08126492"	2008	1758.638
"A08189359"	2011	1758.648
"A20029104"	2013	1758.662
"A41002544"	2009	1758.738
"A08105371"	2014	1759.226
"A23019342"	2012	1759.261
"A09021833"	2007	1759.625
"A08248502"	2014	1759.784
"F50011139"	2010	1760
"A20047726"	2011	1761.147
"A30604276"	2010	1761.593
"A33025719"	2017	1762.059
"B50047091"	2011	1762.298
"B73456147"	2017	1763.058
"A85426971"	2015	1764
"A08374332"	2014	1764.687
"A50013671"	2015	1765.212
"B08292054"	2013	1765.289
"A28293884"	2009	1765.372
"A46002069"	2017	1765.409
"A30032619"	2015	1765.601
"B35005040"	2011	1766.342
"A07044530"	2013	1766.403
"A28034031"	2008	1766.948
"A39000690"	2015	1767.099
"B50030964"	2017	1767.128
"A04000881"	2008	1767.639
"A28923662"	2007	1768
"B28084168"	2015	1768
"B02011641"	2008	1768.03
"A20029104"	2008	1768.254
"A35005743"	2007	1768.48
"B82424276"	2012	1768.616
"A28623379"	2009	1768.84
"A08159816"	2012	1769.905
"B28227775"	2015	1770.011
"A11019767"	2016	1770.158
"A28283067"	2011	1770.485
"A28662005"	2008	1770.673
"A08244220"	2017	1770.845
"A15021843"	2012	1771.004
"A01013077"	2007	1771.338
"A44003663"	2017	1771.551
"A08653685"	2009	1771.743
"A26023606"	2007	1771.81
"B81542813"	2010	1771.826
"A07265465"	2007	1772.738
"B11630886"	2010	1773.247
"B35665991"	2011	1773.618
"A05000682"	2012	1773.794
"A08199168"	2016	1773.852
"B03087293"	2008	1774.16
"B46191094"	2009	1774.895
"A30032619"	2016	1774.981
"A32006413"	2009	1775.503
"A36600518"	2013	1775.862
"A28698884"	2007	1775.921
"A28126274"	2015	1776.005
"A31031545"	2007	1776.603
"A38020525"	2008	1776.652
"A29003951"	2011	1776.697
"A03077898"	2017	1777.009
"A12022224"	2015	1777.509
"A20074068"	2017	1777.578
"B02011641"	2007	1777.663
"A03057486"	2013	1777.756
"A28039469"	2016	1778.183
"B28193340"	2015	1778.247
"A07265465"	2009	1779.997
"B50047091"	2015	1780.353
"B38071155"	2016	1781.075
"A08484107"	2013	1781.123
"A53288478"	2011	1781.229
"B31089071"	2011	1781.324
"A50013671"	2014	1781.327
"A08421190"	2017	1781.512
"A25026733"	2007	1782.375
"A08851321"	2009	1782.567
"A08199168"	2013	1782.572
