nif	year	amortizacion
"A07004187"	2016	-419.288
"A30047120"	2014	-419.269
"A84911825"	2015	-419.104
"A07326473"	2011	-419
"B08463424"	2017	-418.971
"A08146474"	2015	-418.945
"A08102410"	2017	-418.819
"A08646200"	2011	-418.599
"B23015753"	2010	-418.585
"A08630063"	2015	-418.558
"A28443158"	2017	-418.533
"A08559932"	2016	-418.505
"B28376184"	2015	-418.442
"A46146551"	2014	-418.375
"A09007089"	2014	-418.356
"A78526811"	2011	-418.28
"A46014650"	2015	-418.213
"A36603421"	2015	-418.028
"B58807645"	2007	-418.004
"A38023925"	2008	-417.975
"A82843129"	2017	-417.924
"B41591165"	2015	-417.906
"A46072203"	2010	-417.602
"B14484612"	2014	-417.532
"A13006903"	2016	-417.39
"B11900602"	2012	-417.281
"B28205532"	2016	-417.148
"A39005095"	2017	-417.062
"A46162665"	2017	-417.047
"A28630374"	2016	-416.912
"B08282337"	2015	-416.792
"B39523956"	2014	-416.758
"B14008999"	2011	-416.719
"A12016143"	2009	-416.706
"A44003663"	2014	-416.586
"A08283798"	2010	-416.42
"B39523956"	2016	-416.338
"A82026840"	2017	-416.333
"B08463424"	2016	-416.247
"A28184661"	2011	-416.221
"A47005095"	2017	-416.161
"B23015753"	2015	-416.085
"A20017604"	2016	-416.069
"A08329963"	2013	-416.035
"A33013202"	2011	-416.002
"A08228124"	2016	-416
"A46014650"	2017	-415.987
"B97466981"	2017	-415.963
"A28357093"	2017	-415.867
"A08296535"	2015	-415.767
"A17020645"	2009	-415.756
"A43015338"	2007	-415.723
"B28059012"	2009	-415.544
"A08421190"	2015	-415.479
"A33606534"	2008	-415.469
"A12019840"	2015	-415.422
"A36643450"	2017	-415.325
"A08270993"	2016	-415.32
"A08372351"	2017	-415.272
"B17017237"	2014	-415.17
"A30038020"	2010	-414.984
"A36611622"	2014	-414.929
"A17013947"	2015	-414.838
"A78343977"	2008	-414.729
"A25529074"	2014	-414.7
"B08424855"	2011	-414.645
"A14015788"	2010	-414.3
"A08228520"	2014	-414.217
"A46066825"	2012	-414.069
"A30029862"	2015	-414.069
"A17020645"	2010	-414.008
"A50032309"	2013	-413.929
"B28623593"	2012	-413.891
"A28518041"	2016	-413.83
"B10010775"	2014	-413.784
"A09021825"	2015	-413.718
"A33606534"	2016	-413.713
"A78526811"	2012	-413.711
"A36615474"	2014	-413.68
"A07084940"	2008	-413.46
"A08283798"	2017	-413.376
"A21000427"	2014	-413.372
"A08094567"	2017	-413.23
"A08154650"	2010	-413.219
"B35665991"	2011	-413.148
"A28695930"	2013	-413.082
"A50057322"	2008	-413.023
"A08135139"	2017	-412.866
"A33604182"	2016	-412.857
"A33006644"	2017	-412.814
"B46020541"	2009	-412.778
"B38004966"	2016	-412.761
"A08066300"	2013	-412.181
"A41010521"	2015	-412.063
"A48108484"	2016	-412
"B28249431"	2015	-411.955
"A01161066"	2015	-411.856
"A17483124"	2016	-411.771
"B15031560"	2012	-411.753
"A15010564"	2010	-411.74
"B28113991"	2015	-411.727
"B11415387"	2017	-411.69
"A31035413"	2017	-411.484
"A28379816"	2014	-411.413
"A34007831"	2009	-411.33
"A08198392"	2016	-411.302
"A46038519"	2015	-411.199
"A39028378"	2017	-410.991
"B11415387"	2016	-410.978
"A08621161"	2014	-410.893
"A82026840"	2016	-410.888
"A06003800"	2007	-410.86
"A45011103"	2010	-410.59
"A28638542"	2009	-410.576
"A43035542"	2008	-410.273
"B31631062"	2011	-410.182
"B48059786"	2014	-410.11
"A35009992"	2014	-410.096
"A46079380"	2014	-410.032
"A08270993"	2017	-410.007
"A48084909"	2007	-410.002
"A08131153"	2010	-410
"A21007570"	2013	-410
"A07036569"	2014	-409.915
"A82026840"	2014	-409.89
"A33604182"	2015	-409.775
"B30034573"	2015	-409.765
"A08453219"	2009	-409.759
"A33009630"	2014	-409.679
"A59202853"	2013	-409.661
"B47009626"	2015	-409.584
"B36007904"	2012	-409.544
"A08384190"	2012	-409.481
"A39003025"	2016	-409.472
"A17013947"	2012	-409.37
"A33021635"	2017	-409.369
"A33013202"	2009	-409.321
"B50384080"	2014	-409.258
"B12018008"	2012	-409.247
"B28492841"	2016	-409.205
"F50011139"	2017	-409.055
"A08200313"	2011	-409
"B80372220"	2011	-408.933
"A81496382"	2016	-408.833
"A31001266"	2012	-408.814
"B08156127"	2017	-408.669
"A06017941"	2008	-408.599
"B46164091"	2014	-408.527
"A36643450"	2016	-408.309
"A12081790"	2012	-408.268
"A32226037"	2016	-408.235
"A45015872"	2016	-408.074
"B59886531"	2017	-408
"A33605072"	2008	-407.95
"A29056769"	2009	-407.914
"B36009207"	2010	-407.891
"A15169535"	2008	-407.804
"A39030812"	2015	-407.726
"A03026697"	2015	-407.648
"A48087126"	2014	-407.546
"A07244023"	2016	-407.393
"A30032619"	2007	-407.36
"B17019373"	2013	-407.148
"A03018710"	2012	-407.125
"A26023606"	2016	-406.875
"A36000073"	2016	-406.826
"A33006644"	2015	-406.637
"A31196983"	2016	-406.606
"A48009773"	2017	-406.54
"A20062915"	2013	-406.503
"A50011980"	2017	-406.479
"A12095295"	2011	-406.47
"A28510246"	2016	-406.428
"A28617801"	2010	-406.154
"A28368603"	2010	-406.133
"A30032130"	2013	-406.096
"A48031686"	2012	-406
"B17016254"	2017	-405.864
"A28443158"	2015	-405.774
"B35329077"	2016	-405.744
"B43202076"	2016	-405.716
"A46045936"	2017	-405.576
"A28559474"	2016	-405.567
"B08156127"	2014	-405.567
"A78092764"	2016	-405.563
"A07026651"	2010	-405.389
"B20056255"	2014	-405.207
"B28623593"	2014	-405.15
"A78526811"	2010	-405.129
"A08360844"	2007	-405.07
"A48108484"	2015	-405
"A35569102"	2016	-404.936
"A22013072"	2013	-404.919
"A20574372"	2013	-404.869
"A81496382"	2017	-404.825
"A28518041"	2015	-404.733
"A48057467"	2012	-404.728
"B12008397"	2014	-404.715
"A31404452"	2012	-404.632
"A36643450"	2015	-404.613
"B07883457"	2010	-404.435
"A23016157"	2007	-404.275
"A33025974"	2013	-404.256
"A78990603"	2013	-404.133
"B20062295"	2014	-404.053
"A12017760"	2014	-403.986
"A28518041"	2017	-403.838
"A28407484"	2010	-403.772
"A07066467"	2012	-403.737
"B15021835"	2013	-403.731
"A46129789"	2015	-403.659
"A50005156"	2015	-403.556
"A02013985"	2010	-403.395
"B35031665"	2016	-403.213
"B23015753"	2014	-403.178
"A36016574"	2015	-403.092
"A28733350"	2015	-403.027
"A28229409"	2015	-402.912
"B41058124"	2016	-402.809
"A08224107"	2013	-402.801
"A13006903"	2017	-402.767
"A46162665"	2011	-402.525
"A82026840"	2015	-402.511
"B73212417"	2017	-402.41
"B17023995"	2008	-402.263
"A81593808"	2008	-402.257
"B30034573"	2014	-402.254
"A25011180"	2008	-402.07
"A03061850"	2017	-402.026
"A08710055"	2011	-401.86
"A46005484"	2016	-401.79
"A08294787"	2014	-401.714
"A20012498"	2013	-401.618
"B35388867"	2016	-401.585
"A48020358"	2015	-401.538
"B12020194"	2015	-401.535
"A07123441"	2014	-401.494
"A12011672"	2012	-401.3
"B21015474"	2015	-401.227
"B46160842"	2009	-401.128
"B17023995"	2012	-401.036
"B29014826"	2015	-401.016
"A48093918"	2017	-400.879
"B08059636"	2013	-400.822
"B08488645"	2010	-400.775
"A78092764"	2011	-400.768
"A09015405"	2016	-400.726
"A46007548"	2014	-400.62
"A46117792"	2015	-400.61
"A12083002"	2015	-400.508
"A48093918"	2015	-400.48
"A28452647"	2017	-400.382
"A08217432"	2007	-400.024
"A24050015"	2013	-399.896
"A46336152"	2017	-399.876
"A45017241"	2012	-399.861
"A15021843"	2017	-399.795
"A08421190"	2014	-399.79
"B15596331"	2013	-399.696
"A15027139"	2015	-399.611
"B28361350"	2015	-399.59
"A08138042"	2011	-399.435
"A09007089"	2015	-399.372
"A28245355"	2016	-399.36
"A07016991"	2015	-399.238
"B28249431"	2008	-399.19
"A46129789"	2014	-399.189
"A41021841"	2015	-399.183
"A22009906"	2008	-399.099
"A08149668"	2013	-399.083
"A28278596"	2007	-399.08
"A08629107"	2011	-399.051
"A08630063"	2016	-399.021
"A48031686"	2011	-399
"A46005484"	2017	-398.907
"A28709053"	2007	-398.842
"B03046158"	2013	-398.827
"B11415387"	2015	-398.753
"A08283798"	2016	-398.471
"B30721237"	2012	-398.437
"A31000441"	2015	-398.36
"A36603967"	2014	-398.275
"A45017142"	2016	-398.238
"A15590904"	2009	-398.19
"B03020914"	2016	-398.114
"A28422335"	2009	-398.095
"A20074068"	2016	-398.001
"A29056769"	2015	-397.975
"A08438194"	2015	-397.946
"A38013272"	2014	-397.905
"B35007376"	2008	-397.82
"A04012258"	2012	-397.788
"A03066933"	2012	-397.644
"A79939112"	2014	-397.596
"A04202008"	2014	-397.584
"B81365181"	2014	-397.494
"A46117792"	2014	-397.434
"A31013543"	2015	-397.336
"A08496473"	2015	-397.282
"A50027929"	2012	-397.235
"A08496473"	2013	-397.188
"B38425070"	2016	-397.172
"A50027929"	2013	-397.152
"A20060075"	2017	-396.937
"A48031686"	2010	-396.913
"B31083488"	2017	-396.897
"A17001678"	2011	-396.896
"A38010997"	2015	-396.702
"A08110249"	2010	-396.558
"B42001297"	2016	-396.396
"A28283067"	2017	-396.375
"A08189359"	2017	-396.271
"B41591165"	2016	-396.172
"B08190654"	2010	-395.575
"A06141345"	2012	-395.553
"A07016991"	2014	-395.513
"A34009191"	2015	-395.479
"A08568057"	2011	-395.432
"A78526811"	2008	-395.261
"A61587358"	2012	-395.258
"B73212417"	2015	-395.242
"A28392694"	2016	-395.04
"A07044530"	2013	-394.96
"B46084695"	2012	-394.901
"A31001266"	2014	-394.848
"A02003754"	2009	-394.402
"A30006142"	2011	-394.121
"A31189350"	2016	-394.095
"B08190654"	2014	-394.011
"A60531688"	2017	-394
"A81722712"	2008	-393.964
"A03017308"	2013	-393.93
"A48093868"	2007	-393.574
"A30022909"	2017	-393.517
"B28337038"	2015	-393.466
"B03019106"	2014	-393.423
"A07016025"	2016	-393.364
"A48080683"	2014	-393.35
"A08146474"	2016	-393.285
"A28399715"	2013	-393.143
"A46074647"	2008	-393.089
"A28700383"	2008	-393.04
"B36623148"	2014	-393.004
"B35388867"	2015	-392.912
"A78526811"	2009	-392.805
"A38017844"	2012	-392.727
"A48093421"	2015	-392.72
"A46075206"	2010	-392.612
"A12022224"	2016	-392.606
"A08372351"	2016	-392.603
"A07026701"	2008	-392.305
"A80904576"	2017	-392.058
"A08131153"	2016	-392
"A28125920"	2014	-392
"A28126274"	2016	-391.983
"A08280240"	2016	-391.681
"B12020194"	2016	-391.674
"A32226037"	2015	-391.567
"B08373250"	2009	-391.47
"A46336152"	2016	-391.155
"A32226037"	2014	-390.957
"A82843129"	2015	-390.732
"A33606534"	2014	-390.66
"A08346116"	2014	-390.45
"B08721060"	2015	-390.404
"B41058124"	2015	-390.264
"B28492841"	2013	-390.177
"A15007727"	2008	-390.136
"A28435931"	2013	-390.001
"A08189359"	2008	-390
"A48031686"	2008	-389.88
"A26017434"	2016	-389.856
"A11209749"	2014	-389.794
"A46077053"	2013	-389.614
"A36561595"	2016	-389.598
"A21011580"	2017	-389.533
"A15590904"	2014	-389.5
"A44004059"	2013	-389.486
"A08373102"	2014	-389.396
"A28145191"	2017	-389.379
"A36603967"	2016	-389.093
"A41084740"	2016	-389.032
"A48031686"	2009	-389
"A79939112"	2015	-389
"A12021267"	2014	-388.976
"B35031665"	2014	-388.95
"B31005507"	2014	-388.947
"A30035679"	2016	-388.938
"A08200651"	2010	-388.863
"B36008555"	2013	-388.854
"A08259046"	2015	-388.842
"A06014930"	2007	-388.81
"A48093421"	2017	-388.77
"A45010543"	2017	-388.648
"B28361350"	2011	-388.574
"B36606853"	2014	-388.563
"A28245355"	2017	-388.444
"A28559474"	2014	-388.296
"B28126019"	2014	-388.252
"B03032620"	2016	-388.242
"A09015405"	2017	-388.212
"A09010661"	2017	-388.159
"A46048815"	2013	-388.127
"A28174985"	2017	-387.893
"A08276438"	2013	-387.831
"B50031749"	2017	-387.817
"A28648053"	2013	-387.603
"B45011269"	2015	-387.596
"B15004849"	2008	-387.59
"B22004113"	2017	-387.53
"A28229409"	2017	-387.52
"B35329077"	2015	-387.485
"A28579373"	2016	-387.419
"A07066467"	2011	-387.392
"A08606378"	2013	-387.316
"A08480287"	2009	-387.256
"A28552149"	2016	-387.083
"B60420692"	2013	-387
"B35388867"	2014	-386.976
"A83062497"	2017	-386.817
"A47011721"	2016	-386.815
"B59737882"	2011	-386.655
"B34226514"	2017	-386.483
"A28648053"	2016	-386.459
"B08275026"	2014	-386.458
"B12462560"	2017	-386.425
"A43035401"	2009	-386.26
"A08433260"	2014	-386.217
"A28435931"	2010	-386.115
"B28113991"	2016	-386.088
"B28084168"	2014	-386
"A31013543"	2016	-385.92
"A48080683"	2015	-385.801
"A03030509"	2015	-385.737
"A17033473"	2013	-385.703
"A08989782"	2016	-385.673
"B78459815"	2007	-385.65
"B11900602"	2011	-385.626
"B23015753"	2011	-385.616
"A28126274"	2009	-385.591
"A26004754"	2013	-385.456
"A34007831"	2008	-385.402
"B28337038"	2014	-385.331
"A30023204"	2011	-385.325
"A30023295"	2015	-385.277
"A08146474"	2017	-385.218
"A30012645"	2015	-385.164
"A12018354"	2008	-385.144
"A46336152"	2015	-385.098
"A48226047"	2011	-385.073
"A40163909"	2014	-385
"A12100020"	2007	-384.91
"A18565705"	2016	-384.78
"B46157533"	2016	-384.701
"A43004472"	2016	-384.695
"A12021556"	2015	-384.624
"A29056769"	2016	-384.603
"A08989782"	2015	-384.593
"A08509937"	2008	-384.577
"A17034844"	2012	-384.53
"A08008518"	2014	-384.521
"A08042764"	2017	-384.503
"A08609281"	2008	-384.134
"A47021076"	2013	-384.076
"B73212417"	2014	-384.024
"A12095295"	2008	-383.908
"B23015753"	2012	-383.753
"A12095295"	2012	-383.644
"A26023606"	2015	-383.516
"A12019840"	2016	-383.133
"A01061373"	2010	-382.956
"B20062295"	2015	-382.938
"B46157533"	2015	-382.92
"A14015788"	2017	-382.589
"B48714133"	2015	-382.317
"A11018736"	2011	-382.258
"B36007904"	2011	-382.072
"A38024345"	2014	-381.75
"A08189359"	2016	-381.735
"B31694912"	2010	-381.509
"A30029862"	2014	-381.128
"A78526811"	2007	-381.053
"A21391917"	2017	-381.013
"A07326473"	2010	-381
"B30721237"	2009	-380.916
"A46075206"	2011	-380.886
"A20039426"	2008	-380.721
"A46162665"	2014	-380.675
"A39000690"	2011	-380.484
"A50008937"	2015	-380.165
"A38024907"	2014	-380.149
"A43001627"	2017	-380.062
"A08200313"	2010	-380
"B28113991"	2017	-379.858
"B17016569"	2014	-379.819
"B84363555"	2016	-379.773
"A09015405"	2014	-379.721
"A28057008"	2014	-379.704
"A48093421"	2016	-379.647
"A28022952"	2017	-379.637
"A48080683"	2016	-379.618
"A30603757"	2016	-379.614
"A46023255"	2013	-379.612
"A08560484"	2013	-379.454
"B61175725"	2010	-379.185
"A08709131"	2011	-379.151
"A36643450"	2014	-379.081
"A09015405"	2015	-379.015
"A36012698"	2008	-378.975
"A43002450"	2013	-378.967
"B38425070"	2015	-378.814
"B11606761"	2011	-378.776
"A25017880"	2014	-378.68
"A12017760"	2015	-378.654
"A06017941"	2007	-378.064
"A08005696"	2009	-377.945
"B17462961"	2013	-377.886
"A39030812"	2017	-377.815
"A08026627"	2014	-377.759
"A07066467"	2010	-377.359
"A28842003"	2015	-377.018
"B03020997"	2017	-377.015
"A08384190"	2011	-377.009
"A08104994"	2011	-376.985
"A08069809"	2014	-376.758
"A08224545"	2013	-376.73
"B28091486"	2017	-376.625
"B48124275"	2007	-376.62
"A46089819"	2013	-376.548
"B20070082"	2014	-376.45
"A19012962"	2013	-376.375
"A29008174"	2017	-376.279
"A11209749"	2015	-376.18
"A28452647"	2015	-376.006
"B60171162"	2008	-375.986
"B03002441"	2007	-375.93
"A20806329"	2013	-375.929
"A82405788"	2012	-375.913
"A17013947"	2014	-375.871
"A17006479"	2014	-375.828
"A28579373"	2015	-375.819
"A36603421"	2014	-375.71
"A28458826"	2007	-375.648
"A12001418"	2016	-375.537
"A28749976"	2010	-375.528
"A46007548"	2007	-375.49
"A46007548"	2017	-375.482
"A08667016"	2010	-375.451
"B61175725"	2009	-375.344
"A41920943"	2016	-375.325
"B20062295"	2008	-375.198
"A15049281"	2014	-375.086
"A08159816"	2014	-374.964
"A03001948"	2012	-374.873
"A36002285"	2014	-374.829
"A41920943"	2017	-374.813
"B03035854"	2012	-374.741
"B33119983"	2010	-374.707
"A07066467"	2009	-374.509
"B11050176"	2014	-374.47
"A29056769"	2008	-374.459
"A09010661"	2016	-374.244
"A28900975"	2013	-374.184
"A15024482"	2017	-374.182
"A08274805"	2010	-374.163
"B08619363"	2017	-374.105
"A41031303"	2012	-374
"A28579191"	2014	-373.994
"A48033526"	2014	-373.969
"A30012645"	2014	-373.967
"A08094435"	2014	-373.515
"B24399305"	2009	-373.317
"A41021841"	2014	-373.119
"A33006644"	2014	-373.111
"A08445983"	2011	-373.06
"B30034573"	2010	-373.049
"A61831681"	2011	-373.007
"B79232096"	2016	-373
"A08438194"	2016	-372.944
"A79235891"	2014	-372.918
"A17009598"	2015	-372.727
"A30035679"	2017	-372.67
"B36880003"	2016	-372.588
"B09013335"	2014	-372.568
"A22201164"	2014	-372.493
"B41591165"	2017	-372.488
"A59202853"	2014	-372.447
"A26004093"	2014	-372.336
"A43001627"	2016	-372.031
"A08224081"	2012	-372.007
"B47009626"	2014	-371.988
"A30029862"	2011	-371.971
"A08132805"	2009	-371.93
"A31096233"	2014	-371.868
"A03061850"	2016	-371.838
"A08562910"	2007	-371.725
"A35569102"	2013	-371.697
"B42141176"	2017	-371.684
"B45011269"	2014	-371.469
"A29056769"	2014	-371.295
"A30013791"	2013	-371.173
"A15013618"	2013	-371.159
"A30022909"	2016	-371.073
"A08139339"	2017	-370.96
"A28683068"	2014	-370.804
"B15021835"	2014	-370.802
"A08622938"	2010	-370.713
"B11050176"	2008	-370.7
"A08213936"	2013	-370.65
"A08989782"	2014	-370.641
"A36016574"	2016	-370.637
"A08449399"	2016	-370.607
"A17006479"	2015	-370.352
"B35031665"	2017	-370.323
"A12014346"	2012	-370.306
"A28229409"	2016	-370.278
"A08102410"	2015	-370.181
"A30022172"	2017	-370.077
"A08450421"	2017	-369.988
"B28494797"	2014	-369.975
"B46140885"	2012	-369.898
"A39000849"	2016	-369.829
"A36016574"	2014	-369.801
"A47000054"	2016	-369.751
"A28443158"	2014	-369.615
"A28814135"	2014	-369.465
"A08646200"	2009	-369.425
"A08646200"	2010	-369.407
"A81527095"	2012	-369.342
"B63220917"	2011	-369.311
"A43001627"	2015	-369.27
"A47000641"	2015	-369.262
"A40163909"	2016	-369
"A46066791"	2014	-369
"A48119622"	2011	-368.997
"A18024919"	2017	-368.982
"A12021556"	2016	-368.955
"A33013202"	2008	-368.834
"A09214636"	2017	-368.669
"A08105256"	2010	-368.538
"A43010974"	2010	-368.526
"A46056255"	2015	-368.428
"B17016569"	2007	-368.34
"A46007548"	2015	-368.289
"A12015673"	2013	-368.283
"A17021460"	2016	-368.26
"B60420692"	2012	-368.21
"B41015652"	2017	-368.118
"A03066909"	2011	-368.081
"A07905573"	2013	-367.886
"A48059950"	2015	-367.61
"A08209538"	2015	-367.549
"A31000441"	2010	-367.507
"B07883457"	2007	-367.481
"A29018249"	2014	-367.369
"A31196983"	2017	-367.365
"A58816554"	2010	-367.224
"A08565285"	2012	-367.055
"A28184661"	2010	-367.03
"A07066467"	2008	-367.02
"A07013907"	2016	-367
"A43025618"	2016	-366.936
"B20070082"	2015	-366.922
"B41621038"	2015	-366.881
"A28662005"	2013	-366.854
"A30033898"	2010	-366.85
"B20070082"	2016	-366.759
"B33011792"	2017	-366.575
"A44004422"	2013	-366.514
"A09021825"	2014	-366.509
"A08200651"	2009	-366.509
"A41061318"	2009	-366.396
"A29076759"	2017	-366.362
"A45015872"	2014	-366.253
"A11209749"	2016	-366.225
"A28579373"	2017	-366.208
"B17229675"	2011	-366.164
"A03064102"	2016	-366.142
"B46102364"	2008	-366.089
"A47000054"	2017	-366.088
"B29901469"	2014	-366.068
"A33604182"	2017	-366.058
"A08421190"	2017	-365.912
"A28174985"	2015	-365.907
"A24004103"	2017	-365.84
"A08384638"	2007	-365.81
"A34007831"	2007	-365.695
"A45025327"	2016	-365.642
"A43037191"	2014	-365.544
"A46048732"	2016	-365.544
"A36603967"	2015	-365.536
"A28306868"	2008	-365.456
"A50008937"	2014	-365.426
"A28392694"	2017	-365.377
"B60420692"	2011	-365.27
"A41035742"	2009	-365.01
"A21007570"	2012	-365
"A08450421"	2016	-364.929
"A28134534"	2014	-364.62
"A25026733"	2008	-364.561
"B41015652"	2016	-364.448
"A35091057"	2015	-364.416
"A28189082"	2012	-364.395
"A20074068"	2015	-364.204
"A08238578"	2009	-364.169
"B29014826"	2016	-363.955
"A58393778"	2017	-363.827
"B46164091"	2017	-363.801
"B61395497"	2017	-363.738
"A30014047"	2013	-363.573
"A40002701"	2011	-363.532
"B30034573"	2011	-363.525
"A33604851"	2014	-363.484
"A36632875"	2012	-363.445
"A82494931"	2016	-363.28
"A33025974"	2012	-363.263
"A07265465"	2009	-363.249
"A22201164"	2017	-363.088
"B35388867"	2017	-363.029
"A08385395"	2016	-362.973
"A41920943"	2014	-362.937
"B17019373"	2012	-362.757
"A08329039"	2014	-362.551
"A45002839"	2017	-362.523
"A02013985"	2007	-362.502
"B57551350"	2015	-362.421
"A28362127"	2008	-362.39
"B96246350"	2013	-362.363
"B46164091"	2015	-362.357
"A30038020"	2012	-362.284
"B03020997"	2014	-362.178
"A31000441"	2014	-362.022
"B80146517"	2008	-362
"A25020629"	2017	-362
"B33011792"	2016	-361.97
"A17009598"	2014	-361.916
"A17009598"	2017	-361.916
"A17054081"	2015	-361.466
"A28491041"	2017	-361.289
"A35091057"	2014	-361.253
"B12020194"	2014	-361.223
"A50011980"	2013	-360.97
"A08299406"	2013	-360.929
"A26004960"	2007	-360.91
"A30022172"	2016	-360.846
"A28128486"	2013	-360.791
"A08042764"	2014	-360.707
"A20074068"	2017	-360.684
"A50008937"	2016	-360.642
"A46094207"	2012	-360.621
"A28637304"	2010	-360.55
"A30014047"	2011	-360.531
"A28655157"	2012	-360.503
"A48226047"	2010	-360.282
"A08608770"	2013	-360.199
"A12512497"	2013	-360.069
"B15004849"	2007	-359.996
"A46069456"	2015	-359.834
"B36009207"	2009	-359.819
"A41035742"	2007	-359.733
"A35040831"	2015	-359.656
"A41084740"	2017	-359.6
"A50000876"	2017	-359.556
"A81527095"	2016	-359.524
"A28428233"	2011	-359.499
"A45002219"	2013	-359.468
"A35115856"	2014	-359.374
"B46140885"	2016	-359.332
"A08093015"	2017	-359.225
"A30015820"	2014	-359.047
"A78831369"	2011	-359
"A12014346"	2011	-358.97
"B50021658"	2016	-358.858
"A26022657"	2014	-358.848
"A08659302"	2016	-358.838
"A47005095"	2016	-358.76
"B28205532"	2011	-358.759
"A47000641"	2016	-358.724
"A12017760"	2016	-358.469
"A28174985"	2016	-358.427
"B29014826"	2014	-358.317
"A08802068"	2017	-358.191
"A30006142"	2014	-358.115
"B33011792"	2015	-358.057
"B46157533"	2014	-358.021
"A28452647"	2014	-357.856
"B08136905"	2017	-357.746
"A43015338"	2008	-357.712
"B36007904"	2010	-357.673
"A33604851"	2016	-357.652
"A18006569"	2008	-357.618
"A08148991"	2010	-357.605
"A35569102"	2017	-357.446
"A24004103"	2016	-357.446
"A31825466"	2017	-357.373
"B74148388"	2014	-357.344
"A84039338"	2014	-357.295
"B17002049"	2008	-357.241
"A34009191"	2016	-357.184
"A28357093"	2013	-357.179
"A07802218"	2012	-357.15
"A12017760"	2012	-357.076
"A30016182"	2014	-357.058
"A45445210"	2011	-357
"A12405577"	2013	-356.994
"A08449399"	2017	-356.988
"A08156218"	2011	-356.983
"A50000876"	2016	-356.976
"A08061590"	2016	-356.933
"A28491637"	2010	-356.926
"A07042435"	2015	-356.641
"A28191088"	2017	-356.595
"B50021658"	2014	-356.533
"A08283798"	2009	-356.445
"A09007089"	2016	-356.439
"B12291167"	2011	-356.351
"A30023295"	2014	-356.301
"A59202853"	2012	-355.993
"B03019106"	2015	-355.883
"A28715316"	2014	-355.88
"A41091927"	2016	-355.864
"A08384190"	2010	-355.81
"B14030720"	2013	-355.693
"A20060075"	2015	-355.648
"A36603967"	2017	-355.615
"B11630886"	2010	-355.611
"B28222487"	2014	-355.582
"A80433519"	2010	-355.564
"A31189350"	2015	-355.523
"A08283798"	2015	-355.476
"A41920943"	2015	-355.443
"A07042435"	2014	-355.385
"A08276438"	2012	-355.155
"A08329831"	2016	-355.052
"A21007570"	2011	-355
"A17041708"	2016	-354.981
"A28202075"	2010	-354.89
"A36000073"	2015	-354.479
"B08059636"	2012	-354.417
"A08061590"	2017	-354.3
"A08562910"	2016	-354.264
"B12020194"	2017	-354.26
"A11000098"	2012	-354.033
"A08431090"	2013	-354
"A39000849"	2015	-353.995
"A08560484"	2008	-353.79
"A38026605"	2015	-353.646
"B08721060"	2017	-353.624
"A08527020"	2014	-353.619
"A21391917"	2016	-353.381
"B08488587"	2012	-353.202
"A28392694"	2015	-353.121
"A46069456"	2016	-353.097
"A48108484"	2010	-353.04
"B92403716"	2014	-352.998
"A46007548"	2012	-352.931
"B03019106"	2017	-352.9
"B95087482"	2008	-352.89
"A17054081"	2016	-352.852
"A17009093"	2014	-352.826
"A08042764"	2016	-352.823
"A01008069"	2010	-352.782
"B48033278"	2013	-352.658
"A13010004"	2013	-352.562
"B07685779"	2007	-352.481
"A28087583"	2017	-352.327
"B50021658"	2017	-352.323
"A11545795"	2017	-352.243
"A17014119"	2011	-352.149
"A33602905"	2014	-352.039
"A46066791"	2015	-352
"A46111654"	2014	-351.95
"A20012498"	2012	-351.665
"A35046572"	2013	-351.467
"A46002697"	2015	-351.466
"A08989782"	2017	-351.315
"B45018017"	2016	-351.241
"A20003042"	2011	-351.181
"A33604851"	2017	-351.17
"A08061590"	2015	-351.159
"B28419703"	2014	-351.11
"A38017844"	2014	-351.072
"B80146517"	2011	-351
"A12022224"	2017	-350.919
"B41666728"	2007	-350.856
"B10010775"	2016	-350.811
"A08477663"	2015	-350.733
"A17014119"	2013	-350.719
"A42001222"	2017	-350.653
"A46079380"	2015	-350.621
"A08061590"	2014	-350.573
"A30033898"	2009	-350.571
"A20074167"	2017	-350.357
"B37020179"	2017	-350.157
"A03061850"	2015	-350.117
"A35028208"	2014	-350.026
"B80146517"	2012	-350
"A80904576"	2016	-349.877
"A46014155"	2014	-349.828
"A08466807"	2016	-349.642
"A15027139"	2016	-349.55
"A12016549"	2015	-349.521
"B45006616"	2009	-349.443
"A17018276"	2008	-349.304
"A39000849"	2014	-349.25
"A28138386"	2015	-349.182
"A46069456"	2014	-349.128
"A31018492"	2008	-349.04
"A28060515"	2014	-349
"B48969885"	2012	-348.966
"A24003873"	2008	-348.951
"A29049509"	2012	-348.921
"A08340267"	2017	-348.908
"B35388867"	2013	-348.863
"A29005782"	2013	-348.829
"A08527020"	2015	-348.779
"A33024621"	2017	-348.77
"A30035679"	2015	-348.601
"A28138386"	2014	-348.261
"B23015753"	2013	-348.231
"A31000441"	2017	-348.211
"A30015820"	2015	-348.144
"A28559474"	2017	-348.111
"A08119752"	2017	-347.99
"A07012826"	2015	-347.8
"A08496473"	2012	-347.761
"B34226514"	2016	-347.731
"A33604851"	2015	-347.727
"A08340267"	2016	-347.722
"A27005834"	2015	-347.683
"A08659302"	2015	-347.645
"A08375545"	2016	-347.609
"A28046431"	2007	-347.59
"A46048732"	2017	-347.505
"B07025315"	2013	-347.333
"A45002219"	2012	-347.29
"A07012826"	2014	-347.222
