nif	year	total_activo
"A33618257"	2013	11141.41
"A46162665"	2014	11141.7
"A15038326"	2014	11141.83
"A15052376"	2010	11142.04
"A43035708"	2014	11142.65
"A28475770"	2016	11142.84
"B07025315"	2010	11146.74
"A39000690"	2016	11146.74
"A12050324"	2007	11146.8
"B46157533"	2014	11148.16
"A17038035"	2014	11148.18
"A24003873"	2007	11148.35
"A08311995"	2017	11151.29
"A28295038"	2010	11151.33
"A12016093"	2009	11154.73
"A92111871"	2012	11155
"B02011641"	2011	11155.18
"B41058124"	2012	11156.35
"A08396830"	2007	11156.59
"A26297663"	2007	11157.03
"A20015368"	2014	11159.59
"A15021843"	2017	11160.3
"A08708620"	2007	11162.21
"A50038959"	2014	11162.63
"A09007089"	2011	11162.79
"F46028072"	2010	11164.14
"A36605038"	2008	11165.86
"A12012605"	2009	11166.36
"B35044197"	2009	11166.51
"A08097438"	2012	11169.43
"A48083927"	2010	11171.37
"A12027488"	2014	11171.96
"A36005718"	2008	11172.31
"B41007576"	2013	11173.03
"A43035708"	2016	11173.11
"B23015753"	2009	11173.97
"A08479933"	2017	11174.41
"B17228081"	2007	11175.21
"A08186074"	2017	11175.25
"A46170080"	2010	11175.76
"A46068318"	2009	11176.72
"B46063137"	2014	11177.15
"B28304129"	2015	11177.15
"A43035708"	2015	11177.58
"A78526811"	2012	11179.21
"A59382762"	2017	11179.35
"A28446995"	2014	11179.37
"A28034031"	2014	11181.9
"A15027139"	2007	11182.87
"B15004849"	2009	11182.99
"A35031343"	2016	11184.83
"A31061401"	2016	11185.99
"B41058124"	2016	11186.7
"A31037294"	2009	11188.44
"A20003042"	2017	11189.24
"B28205532"	2010	11190.48
"A81722712"	2012	11190.57
"A41055377"	2014	11191.87
"A48050124"	2009	11192.99
"A26020198"	2014	11192.99
"A30047120"	2010	11194.02
"A28325785"	2014	11194.57
"A46164034"	2017	11194.63
"B41063355"	2013	11195.14
"B31005507"	2007	11195.38
"A41084740"	2007	11195.58
"A28686111"	2012	11197.42
"A08737249"	2017	11197.46
"B26011627"	2010	11197.63
"A46170080"	2011	11197.71
"A08414906"	2012	11198.8
"A17033473"	2007	11199.03
"A08146730"	2017	11199.32
"A45012259"	2009	11201.02
"A17014523"	2012	11201.43
"A61831681"	2013	11201.9
"A28457059"	2017	11202.46
"A35045681"	2015	11204.07
"A41022989"	2014	11206.7
"A25017880"	2017	11214.24
"A08139339"	2009	11214.58
"A08484107"	2012	11216.02
"A07123441"	2008	11217.42
"A08609281"	2011	11218.04
"A36201259"	2009	11218.57
"A08217432"	2013	11219.19
"A28559474"	2014	11219.22
"A08029951"	2017	11219.6
"A28375467"	2015	11220.63
"A48017974"	2013	11222.4
"A35031343"	2015	11223.08
"A01167204"	2008	11224.96
"B31077514"	2011	11225.39
"B12020194"	2016	11225.45
"A48009773"	2014	11225.87
"A28278596"	2014	11226
"A08203887"	2010	11226.12
"B07685779"	2009	11227.06
"B46132387"	2008	11227.57
"A31065915"	2014	11228.09
"A31000441"	2008	11229.36
"A50012822"	2017	11229.7
"A33603317"	2011	11229.86
"B20049615"	2014	11229.98
"A02012714"	2013	11232.86
"A28715316"	2015	11232.98
"A17014119"	2010	11233.41
"A28193209"	2017	11233.81
"A18012930"	2015	11234.48
"A47017728"	2015	11234.79
"A36005718"	2007	11235.74
"A28324630"	2012	11236.13
"A46005484"	2007	11237.1
"A08066300"	2009	11237.76
"F06312920"	2016	11238.05
"B20793956"	2014	11238.25
"A20015368"	2013	11239.33
"A08228520"	2007	11239.8
"A28216992"	2013	11240.11
"B15516933"	2011	11240.49
"A08677700"	2010	11240.92
"A08626939"	2012	11242.04
"A01001072"	2011	11243.34
"B12007456"	2013	11243.77
"A46031845"	2013	11244.9
"A28278596"	2013	11245
"A43010974"	2016	11247.71
"A33611195"	2017	11248.44
"B41063355"	2012	11248.81
"A20003042"	2008	11249.95
"A09015405"	2011	11250.5
"B31067168"	2014	11250.81
"A08541021"	2017	11251.5
"A29050572"	2017	11252.77
"B28205532"	2014	11253.5
"A48061675"	2010	11253.61
"A39005095"	2016	11253.85
"B38017554"	2009	11255.13
"B08216202"	2015	11255.16
"A30006142"	2017	11256.23
"A80904576"	2009	11256.3
"A80897770"	2015	11256.32
"A58061383"	2007	11256.58
"A03077898"	2017	11256.71
"B07034416"	2017	11257.6
"B30037204"	2015	11258.29
"A03057486"	2011	11259.57
"A17014523"	2011	11260.01
"A08115578"	2016	11260.54
"A38013272"	2010	11260.57
"A28216992"	2017	11260.95
"A01007442"	2011	11261.24
"A33603317"	2012	11263.91
"A47022165"	2011	11264.44
"A30012009"	2014	11265.3
"A08290405"	2013	11265.99
"A33602905"	2013	11266.93
"B03036340"	2013	11267.19
"A09281999"	2008	11267.54
"A36603421"	2014	11268.74
"A08414906"	2013	11269.03
"B08190654"	2014	11269.88
"B46163655"	2013	11270.16
"A31070378"	2010	11271.35
"A33610106"	2007	11273.26
"B08407322"	2009	11273.66
"A12405577"	2013	11274.09
"A28610863"	2013	11275.09
"A08128035"	2009	11275.46
"A12363529"	2009	11276.34
"A08283798"	2017	11276.71
"A84039338"	2014	11276.91
"A28571750"	2007	11277.28
"B31067168"	2016	11277.95
"A30012009"	2013	11279.08
"B31005507"	2014	11282.85
"A44003663"	2017	11283.55
"A08061731"	2008	11283.55
"A11000098"	2017	11283.95
"B28455574"	2013	11284.38
"A08401184"	2016	11285.21
"A81527095"	2016	11285.93
"A31086598"	2014	11286.01
"A48081061"	2014	11286.26
"A62520788"	2016	11287.18
"A20012498"	2011	11287.25
"B15516933"	2012	11287.6
"B21011333"	2017	11290.3
"A28086858"	2012	11291.92
"A48155352"	2009	11293
"A28618890"	2014	11293.27
"B01015221"	2009	11295.56
"A46137352"	2011	11297.63
"A08688095"	2017	11297.8
"A04325494"	2010	11299.07
"A17014523"	2017	11299.37
"A21008727"	2013	11300.34
"A12016143"	2008	11300.43
"B46054508"	2009	11301.78
"A80652423"	2010	11301.79
"B35597020"	2012	11302.03
"A31061401"	2015	11302.54
"B08367948"	2009	11302.59
"B61395497"	2012	11303.08
"B08156127"	2017	11303.48
"A08323404"	2012	11305.7
"A08577215"	2014	11306.64
"A09006859"	2015	11306.73
"A48802854"	2011	11306.8
"A31196983"	2015	11307.14
"A26004978"	2016	11308.52
"A26008664"	2016	11308.66
"A28099356"	2016	11309.37
"A30015820"	2012	11309.71
"A41087404"	2007	11310.78
"A08723926"	2013	11311.74
"A13008461"	2017	11312.85
"B24399305"	2009	11313.21
"B31005507"	2013	11314.95
"A46015830"	2012	11315.08
"A08026627"	2012	11315.19
"A58393778"	2007	11315.2
"B17016254"	2010	11315.62
"A48064521"	2011	11316.37
"A43020759"	2013	11316.69
"A08667016"	2015	11317.68
"B31001696"	2014	11318.27
"A34009936"	2011	11320.75
"A08679060"	2009	11321.79
"B39551973"	2017	11322.29
"A48071369"	2011	11322.47
"A48031140"	2011	11322.97
"A14004691"	2012	11324.57
"A12050324"	2010	11325.52
"A41006891"	2017	11325.84
"A28219541"	2016	11326.35
"A11682507"	2011	11326.6
"A18012930"	2008	11326.66
"B12291167"	2012	11326.95
"A33024852"	2015	11327.12
"A33602905"	2009	11327.4
"B28205532"	2011	11328.87
"A03047628"	2013	11329.81
"A08450421"	2013	11330.8
"A30604680"	2012	11331.96
"A08280240"	2007	11332.28
"A83102426"	2013	11332.34
"A45007614"	2015	11332.62
"B36009207"	2009	11332.77
"A48119622"	2016	11333.31
"A78753514"	2013	11333.62
"A48047377"	2017	11334.13
"A30022958"	2012	11336.12
"F06312920"	2017	11336.83
"A08128035"	2015	11337.02
"A08200651"	2017	11338.88
"B08229221"	2016	11340.41
"A28278596"	2008	11340.7
"B08059636"	2014	11340.78
"A35101732"	2013	11341
"A28523066"	2011	11341.45
"A41022989"	2015	11342.3
"A29050572"	2016	11343.25
"A28070167"	2017	11343.33
"B38024089"	2012	11344.16
"A41695149"	2016	11346
"B46166013"	2011	11346.18
"A08737249"	2008	11346.54
"B47014568"	2015	11347.1
"A08311995"	2010	11347.27
"B31072705"	2012	11348.08
"A30023295"	2013	11349.09
"B30000574"	2009	11351.03
"A50012541"	2016	11351.45
"B28492841"	2017	11352.82
"A31501901"	2016	11354.86
"A48017974"	2016	11355.27
"A08280240"	2009	11355.58
"A33603317"	2013	11355.74
"A09010661"	2017	11358.2
"B46055943"	2008	11358.24
"B50029263"	2010	11358.54
"A31825466"	2014	11359.23
"A33008426"	2015	11359.74
"B35006360"	2007	11359.79
"B28126019"	2015	11362.39
"B03039609"	2011	11362.44
"A28687978"	2014	11362.79
"A31013543"	2016	11363.38
"A26013714"	2013	11364.36
"A08630808"	2017	11364.49
"A39000690"	2017	11365.9
"B36002913"	2016	11366.34
"A08526345"	2008	11366.68
"A81896375"	2007	11366.83
"A08687204"	2011	11367.31
"A08021768"	2010	11368.11
"A12050324"	2011	11368.93
"A45010204"	2012	11370.24
"A28581247"	2008	11370.72
"B61425682"	2010	11370.9
"A08146730"	2016	11371.14
"A35046572"	2007	11371.7
"G07065709"	2011	11372.51
"A08146870"	2010	11373.48
"A02006021"	2011	11374.38
"A28333490"	2017	11374.77
"A08677700"	2011	11374.78
"A58348038"	2014	11375.25
"A46023594"	2016	11377.28
"B08216202"	2008	11377.42
"A30012009"	2010	11377.75
"A07021256"	2012	11379.19
"A25026733"	2014	11379.73
"A12016093"	2011	11380.01
"A13008461"	2009	11381.23
"A28420602"	2017	11382.71
"A15070444"	2014	11383.02
"A08396830"	2008	11383.27
"A08196446"	2015	11384.24
"A14026199"	2008	11386.12
"A31061401"	2012	11386.88
"A08244220"	2014	11388.76
"A26013714"	2014	11389.06
"A28610863"	2015	11389.4
"B08282337"	2011	11389.66
"A26004978"	2013	11390
"A15070444"	2016	11390.05
"A57082570"	2011	11391.05
"B35018332"	2007	11392.14
"A43004472"	2007	11392.2
"A09018862"	2014	11392.48
"A08104994"	2010	11392.61
"B07025315"	2012	11393.23
"A08066300"	2008	11393.43
"B85010643"	2016	11394.41
"A41037672"	2007	11394.86
"A28662005"	2008	11395.23
"A28618890"	2011	11397.29
"B38001905"	2016	11398.69
"A28132959"	2014	11399.75
"A14580385"	2012	11399.79
"A08013898"	2015	11401.66
"A48080881"	2009	11402.42
"A37043015"	2009	11403.58
"A36603421"	2015	11405.2
"A17001678"	2013	11406.91
"A08026635"	2009	11407.02
"B07650112"	2015	11407.03
"A08612103"	2008	11407.5
"A17041708"	2013	11407.92
"A08480287"	2010	11408.47
"A28684512"	2009	11408.72
"B24008955"	2012	11409.05
"A34009191"	2007	11409.45
"A31000441"	2009	11409.45
"A08526345"	2011	11410.54
"A36643450"	2017	11410.58
"A28579191"	2008	11410.7
"B28579506"	2017	11411.65
"A18012930"	2007	11412.11
"A08061590"	2007	11412.83
"A28900975"	2007	11413.17
"A08075293"	2010	11415.49
"A58907015"	2011	11416.07
"A30024798"	2016	11416.61
"B38017554"	2015	11416.74
"A46005484"	2017	11417.92
"A48059950"	2014	11418.5
"A31068927"	2016	11418.7
"A03046125"	2008	11419.31
"A41049503"	2014	11420.08
"A28686111"	2013	11420.84
"B01376615"	2017	11422.3
"B50029263"	2009	11422.56
"A45020450"	2010	11423.52
"B08078396"	2008	11423.62
"A42001305"	2012	11423.85
"A26013714"	2016	11423.86
"A44003663"	2016	11424.19
"B38028692"	2010	11425.23
"A20003042"	2009	11425.84
"A12050324"	2008	11425.97
"A03018710"	2014	11427.08
"B50030964"	2015	11427.27
"A30024798"	2014	11427.6
"A30012009"	2012	11427.81
"B46161261"	2014	11431.78
"A08217432"	2012	11432.12
"A26013714"	2017	11432.81
"A08514028"	2010	11433.33
"A28571750"	2008	11434.12
"A36016574"	2016	11434.57
"A12050324"	2016	11435.53
"B31005507"	2015	11435.9
"A41002544"	2007	11436.35
"A08285157"	2014	11436.77
"A48071369"	2012	11437.86
"A39030200"	2009	11437.87
"A17034505"	2015	11438.64
"A58534777"	2007	11438.7
"A35101732"	2012	11439
"F50011139"	2015	11439.73
"B46149555"	2014	11439.82
"B28044204"	2013	11439.94
"A60016037"	2012	11440.12
"A81864498"	2009	11440.57
"B12008553"	2011	11440.75
"A08414906"	2009	11440.82
"B35665991"	2012	11441.05
"F50561091"	2011	11441.8
"A28586592"	2014	11442.21
"A48081061"	2015	11442.5
"A03099405"	2017	11442.7
"A12000071"	2012	11445.63
"A08952012"	2014	11450.36
"B08195653"	2008	11451.25
"A35014075"	2008	11451.8
"A46068862"	2008	11452.47
"A08094567"	2007	11453.73
"B17016569"	2014	11454.94
"A33603317"	2014	11456.26
"A46160701"	2008	11456.77
"B06320410"	2014	11457.65
"A79259339"	2016	11459.61
"B46149555"	2013	11459.88
"B08216202"	2011	11462.07
"B46131371"	2010	11462.4
"A17003757"	2013	11465.33
"A31196983"	2011	11465.92
"B41058124"	2010	11466.23
"A83102426"	2014	11466.63
"A08069809"	2013	11466.68
"B28623593"	2013	11468.83
"A79203568"	2013	11469
"B15032485"	2007	11469.78
"B28460681"	2015	11472.07
"A18006569"	2012	11472.43
"A40005514"	2012	11472.57
"A01006659"	2010	11472.77
"A48295604"	2017	11473.51
"A07016025"	2010	11474.09
"A15169535"	2011	11474.22
"A43001627"	2017	11474.34
"A08195927"	2009	11474.89
"A48050124"	2010	11476.02
"A83102426"	2012	11476.45
"A08196446"	2010	11476.76
"A80732142"	2012	11476.77
"A39005095"	2011	11477.67
"A46068318"	2013	11477.7
"B83541912"	2017	11478.3
"A58534777"	2012	11478.38
"A08225278"	2009	11478.95
"B36002913"	2017	11479.58
"A38013272"	2008	11480.47
"B08584989"	2008	11480.99
"A20003042"	2015	11481.23
"A58294166"	2015	11482.31
"B46023677"	2007	11482.38
"A17021460"	2015	11482.52
"A28145191"	2007	11484.21
"A40002701"	2017	11484.91
"B28126019"	2017	11486.18
"A58534777"	2009	11486.63
"A46151973"	2008	11486.65
"A08203887"	2016	11487.71
"A81896375"	2008	11490.51
"A60853413"	2010	11490.59
"A28636025"	2017	11492.62
"A25026733"	2015	11493.62
"A07066467"	2015	11494.48
"A24003873"	2009	11494.58
"A28612620"	2013	11496.35
"A23008857"	2010	11496.93
"A08196446"	2017	11499.01
"A48005672"	2011	11499.69
"A31009913"	2015	11501.05
"A08203226"	2015	11501.27
"A08311995"	2012	11501.87
"A28034031"	2017	11502.69
"A31009913"	2017	11503.31
"A33018664"	2009	11504
"B28492841"	2012	11504.61
"A08066300"	2007	11504.74
"B48059786"	2009	11505.43
"A38371159"	2017	11505.87
"B28499218"	2016	11506.05
"A08436214"	2017	11508.21
"A12016143"	2009	11508.41
"A08066300"	2010	11508.59
"A08414906"	2016	11510.47
"A08104994"	2011	11510.68
"A04016952"	2016	11511.13
"A07802218"	2015	11512.28
"A08301475"	2009	11512.52
"A01167204"	2010	11514.72
"B61395497"	2013	11515.22
"A14037642"	2015	11515.26
"A82716010"	2015	11515.76
"A92111871"	2013	11516
"A08644932"	2016	11516.04
"A08197022"	2017	11518.62
"B23011273"	2016	11518.63
"B20062295"	2017	11518.99
"A46087565"	2015	11519.74
"B21011333"	2016	11520.07
"B08688301"	2013	11520.11
"A28698884"	2014	11520.25
"B28492841"	2014	11521.14
"A17018276"	2007	11521.76
"A28101020"	2011	11521.96
"A28711893"	2011	11522.38
"A01007137"	2016	11522.89
"A45013620"	2016	11522.9
"A41002809"	2011	11523.31
"A78100609"	2014	11523.39
"A08688095"	2016	11523.96
"B17228081"	2008	11524.14
"A20060075"	2017	11524.96
"A15070444"	2009	11525.88
"A33008426"	2016	11527.65
"A36604882"	2007	11527.66
"A20017604"	2016	11527.81
"A28022952"	2014	11528.29
"B31005507"	2012	11528.97
"B20070082"	2008	11529.03
"B41058124"	2011	11529.06
"A31009913"	2016	11531.09
"B39021217"	2012	11532.33
"A25017880"	2016	11532.75
"A81933772"	2011	11534.41
"A36121176"	2015	11535.52
"A46069456"	2015	11535.6
"A28612208"	2013	11535.79
"A41006891"	2015	11536.72
"A41053927"	2007	11537.51
"A08560484"	2014	11537.59
"F50011139"	2013	11538.57
"B28218287"	2011	11538.92
"A17010018"	2010	11540.32
"A18006569"	2011	11542.32
"A45014776"	2008	11542.48
"A20047726"	2015	11543.94
"B46043238"	2011	11544.67
"A07026701"	2008	11544.77
"A05007687"	2011	11545
"A03033164"	2008	11545.32
"A08393571"	2013	11546.07
"A36615896"	2012	11547.11
"B16010464"	2012	11549.63
"B20049615"	2011	11549.83
"B26011627"	2015	11550.05
"B03101748"	2013	11550.42
"A29033420"	2015	11550.71
"A41022609"	2015	11550.92
"B23011273"	2017	11552.37
"A46044814"	2012	11554.29
"A46068318"	2012	11555.43
"A28695856"	2007	11555.95
"A44003663"	2012	11560.34
"A01012830"	2012	11560.64
"A46115101"	2015	11560.88
"A08191579"	2014	11563.4
"A17045972"	2017	11563.47
"A15027139"	2009	11563.61
"A28698884"	2013	11563.68
"B28579506"	2014	11564.76
"B08195653"	2007	11564.77
"A41055377"	2016	11566.13
"B33029729"	2013	11566.38
"A01167204"	2016	11567.13
"A15169535"	2014	11568.05
"B27011477"	2009	11568.42
"B31065980"	2015	11568.52
"A30036933"	2012	11568.9
"B58779018"	2015	11571.43
"A43004472"	2008	11571.65
"A28096378"	2011	11573.25
"A08128035"	2008	11573.54
"A03066933"	2007	11573.68
"A08609281"	2012	11574.24
"A07059058"	2009	11574.48
"B08078396"	2009	11574.78
"B27013713"	2009	11575.35
"B33607466"	2014	11576.51
"B46043238"	2012	11578.52
"F50011139"	2014	11579.3
"A08385395"	2014	11579.55
"A33024084"	2010	11579.59
"A41277336"	2015	11579.64
"A15169535"	2010	11580.08
"A33602905"	2012	11580.2
"A03028461"	2009	11581.17
"B36880003"	2010	11582.43
"A50012541"	2015	11582.85
"A80771116"	2013	11583
"A31068927"	2015	11583.23
"A07010937"	2011	11583.6
"B31005507"	2011	11585.4
"A81896375"	2009	11586.08
"A14004691"	2011	11587.67
"B47531462"	2013	11587.95
"A13008461"	2008	11588.64
"A31024458"	2013	11589.55
"A28720795"	2010	11589.66
"A30012009"	2011	11589.84
"A50047505"	2015	11589.88
"A46109054"	2015	11593.29
"A01016591"	2010	11593.39
"B30043558"	2013	11594.13
"A08013898"	2016	11594.66
"B33614033"	2013	11595.34
"A41038274"	2008	11595.43
"A08159816"	2015	11595.57
"A01002864"	2016	11595.72
"A20055380"	2012	11596.73
"A45025327"	2013	11597.25
"A08700197"	2012	11597.55
"B08195653"	2009	11597.59
"A31030901"	2007	11597.7
"A12002887"	2016	11597.71
"B43587120"	2007	11597.85
"A04001897"	2016	11598.51
"A07265465"	2009	11598.85
"B78069259"	2017	11599.76
"B03044641"	2009	11599.96
"A16004665"	2008	11600
"A08193591"	2013	11601.08
"A28446995"	2016	11601.69
"A45020450"	2009	11601.94
"A48119622"	2014	11602.64
"A48080881"	2014	11602.96
"B35597020"	2011	11603.16
"B41007576"	2014	11603.4
"A36603421"	2008	11603.44
"A15000227"	2009	11604.07
"A08679060"	2008	11604.33
"A28623155"	2008	11606.68
"A04001897"	2017	11607.91
"A36603967"	2015	11608.23
"A39000690"	2013	11608.54
"A28024172"	2009	11609.13
"B17048364"	2015	11610.07
"B33607466"	2012	11610.45
"A07026701"	2010	11612.04
"A09021833"	2010	11612.32
"A30035521"	2009	11615.61
"B38017554"	2010	11616.7
"B35044197"	2010	11617.7
"A01012103"	2009	11618.08
"A20036083"	2017	11618.11
"A08574881"	2015	11618.62
"A48155352"	2008	11619
"A08466807"	2015	11619.01
"A28143782"	2011	11620.5
"A36621522"	2007	11620.91
"A07019573"	2017	11622.03
"A36603421"	2016	11622.12
"A27005834"	2014	11622.5
"B30033666"	2017	11622.8
"B08216202"	2009	11623.6
"A39005095"	2017	11626.2
"B40003550"	2010	11626.8
"A46015830"	2010	11627.13
"A39000690"	2015	11627.57
"B28543023"	2012	11627.75
"B17016569"	2015	11627.75
"A33019423"	2015	11628.03
"A28054211"	2007	11628.53
"A45002839"	2009	11630.24
"A46129789"	2017	11630.46
"A59202853"	2011	11633.12
"A50169143"	2014	11637.12
"A44003663"	2014	11638.96
"A46015830"	2011	11639.26
"A79259388"	2008	11642.23
"A26004978"	2017	11644.11
"B46063137"	2016	11644.33
"A28604882"	2016	11644.7
"A09006859"	2017	11649.67
"A07027261"	2011	11650.7
"A80904576"	2013	11651.18
"A48071369"	2013	11651.22
"A08659617"	2012	11651.46
"A39017058"	2014	11651.54
"A08128035"	2011	11651.75
"A08093254"	2012	11652.19
"B46020541"	2009	11652.2
"A28295038"	2015	11652.24
"A34129635"	2008	11653.33
"B33119983"	2011	11653.51
"A08139339"	2008	11654.12
"A12025565"	2013	11655.12
"A31024458"	2014	11656.28
"A46137352"	2007	11656.62
"B36620193"	2011	11657.78
"B09019548"	2008	11657.83
"A28086858"	2013	11658.54
"A28245355"	2016	11658.65
"A20049755"	2009	11658.7
"A08093015"	2008	11661.37
"B26011627"	2017	11662.75
"A96862933"	2013	11663.49
"B46160842"	2009	11663.64
"A08091894"	2017	11666.19
"A28427516"	2008	11666.42
"B08190654"	2015	11666.79
"A48059950"	2017	11667.6
"B07685779"	2007	11669.85
"A08063372"	2013	11670.52
"B03036340"	2010	11671.05
"A18012807"	2015	11673.26
"A28638542"	2008	11673.33
"B27014398"	2013	11675.22
"A09018862"	2012	11675.29
"A19012962"	2011	11675.71
"A84911825"	2016	11676.41
"A08934168"	2015	11677.96
"A41038274"	2009	11679.5
"A20165650"	2015	11681.09
"A28096378"	2017	11681.75
"A28313542"	2015	11685.23
"A15027139"	2010	11685.26
"A50040013"	2013	11685.34
"A08075954"	2013	11686.71
"B38024089"	2016	11687.23
"B28205532"	2013	11688.37
"A46002069"	2011	11688.75
"A17012626"	2014	11688.8
"B08156127"	2012	11688.82
"A46137352"	2008	11689.08
"A08906208"	2008	11689.85
"A01015510"	2012	11690.72
"A15590904"	2011	11691.29
"A29507456"	2009	11691.33
"A46016374"	2012	11691.45
"A28192532"	2012	11691.61
"B15017908"	2008	11692.82
"B79232096"	2012	11693.14
"A23019342"	2011	11693.17
"A28547115"	2015	11693.3
"B97751978"	2015	11693.7
"A28313542"	2017	11695.78
"A27005834"	2013	11696.14
"A09018862"	2017	11696.22
"A08193591"	2012	11696.66
"A28096378"	2012	11698.05
"A81722712"	2014	11700.11
"A17012626"	2015	11701.09
"A41022989"	2017	11706.38
"B31067168"	2015	11708.65
"F06312920"	2014	11709.11
"B24399305"	2012	11709.23
"B28492841"	2013	11710.62
"A12017760"	2013	11712.19
"A07068430"	2017	11712.22
"B08078396"	2007	11712.51
"A33025719"	2009	11713.44
"A28443158"	2014	11713.52
"A08280240"	2008	11714.15
"A59202853"	2015	11716.08
"A17009093"	2013	11717.59
"A08934168"	2016	11717.72
"A03066909"	2009	11717.72
"A30041719"	2008	11717.84
"A08401184"	2017	11719.48
"A03061850"	2015	11720.04
"A08689796"	2013	11720.97
"B30037204"	2014	11721
"B01003581"	2016	11721.59
"B81542813"	2008	11722.8
"A41002544"	2008	11722.9
"A38020525"	2011	11723.89
"A92111871"	2016	11724
"A03001948"	2007	11724.16
"A31501901"	2017	11725.29
"B08190654"	2007	11725.31
"A15590904"	2012	11726.14
"A26015503"	2012	11731.97
"A08591075"	2016	11732.24
"B03072857"	2009	11733.89
"B30604565"	2007	11736.53
"A26004754"	2012	11738.16
"A58494048"	2013	11738.83
"A41022989"	2016	11738.93
"A28410850"	2008	11738.95
"A17009093"	2015	11739.13
"A46031845"	2012	11739.55
"A43004472"	2009	11740.15
"A78020732"	2011	11740.77
"A48005672"	2012	11741.72
"B28222487"	2007	11742.67
"A43035401"	2010	11743.46
"A36603421"	2009	11744.11
"B12023065"	2007	11744.68
"A31000441"	2007	11745.33
"A08466807"	2016	11746.47
"A82494931"	2012	11747.47
"B28670602"	2017	11747.52
"B39026604"	2015	11748
"A17475203"	2008	11748.09
"A07066467"	2016	11750.3
"A23012719"	2013	11751.57
"B08463424"	2009	11753.51
"A36002285"	2010	11755.83
"A50047505"	2016	11756.32
"A08104994"	2009	11757.96
"A08093254"	2011	11758
"A33036880"	2014	11758.95
"A01006055"	2017	11759.88
"B45020351"	2015	11759.96
"A48031140"	2012	11760.62
"A46031845"	2014	11760.68
"B08078396"	2010	11760.86
"A17045204"	2016	11760.86
"A48155352"	2010	11761.33
"B46090791"	2007	11761.69
"A12016093"	2012	11761.94
"A81896375"	2012	11762.08
"A15000227"	2010	11763.05
"A39000690"	2011	11764.59
"A12017760"	2014	11766.53
"A46048732"	2015	11767.23
"A39005095"	2013	11768.31
"A15018146"	2009	11770.37
"A15033699"	2017	11770.41
"A36600518"	2012	11771.1
"B28499218"	2014	11771.64
"A08197022"	2016	11772.21
"A08421190"	2016	11772.34
"A11010352"	2008	11772.65
"B28360360"	2012	11772.71
"B20049615"	2013	11774.58
"A43035401"	2011	11776.01
"A14004691"	2010	11776.05
"B62263272"	2007	11776.29
"A08688095"	2010	11776.54
"A08105371"	2015	11776.69
"A37043015"	2010	11777
"A46038519"	2015	11778.19
"B48771711"	2012	11778.59
"B08688301"	2014	11778.97
"B12029153"	2013	11779.47
"A08564502"	2007	11780.54
"A80352750"	2013	11785
"B92403716"	2017	11785.88
"B37020179"	2008	11785.9
"A08560484"	2015	11785.94
"B62263272"	2017	11786.94
"A28552149"	2016	11788.06
"A50000876"	2011	11788.37
"A07066467"	2014	11788.59
"A48095822"	2017	11788.67
"B28127447"	2010	11788.73
"A96862933"	2014	11789.4
"A17009093"	2014	11792.06
"A83102426"	2011	11792.66
"A28724219"	2015	11792.67
"A08005696"	2014	11794.4
"B03101748"	2014	11796.37
"A08128035"	2014	11797.28
"A17009093"	2016	11797.56
"A84039338"	2017	11800.89
"B47011374"	2015	11805.53
"A35014075"	2009	11806.11
"A08193591"	2011	11806.32
"A20012498"	2012	11807.8
"A03047628"	2011	11808.79
"B28127447"	2008	11809.64
"A33609587"	2017	11810.05
"A08332256"	2010	11811.28
"B07685779"	2014	11811.99
"A28091262"	2017	11812.1
"B12462560"	2012	11814.56
"A28720795"	2015	11814.72
"B03072493"	2016	11816.2
"A60016037"	2013	11816.78
"B26011627"	2013	11817.03
"B50068105"	2011	11817.52
"A26017434"	2015	11818.49
"A36603967"	2013	11819.52
"A31000441"	2010	11819.63
"A08508418"	2016	11820.96
"A36002285"	2009	11824.29
"A79492104"	2008	11825.29
"A34009191"	2016	11825.63
"A33607573"	2009	11826.07
"B28148773"	2013	11827
"B20062295"	2016	11827.12
"A28034031"	2015	11827.13
"B08078396"	2011	11828.09
"A07040090"	2017	11828.16
"B12027843"	2007	11828.89
"B41217761"	2013	11829.61
"A28357903"	2015	11829.81
"A47010194"	2014	11831.07
"A45007614"	2012	11831.26
"A01012103"	2007	11832.25
"B33029729"	2015	11832.29
"A44004059"	2013	11832.32
"A08425902"	2013	11832.86
"A15024482"	2014	11832.92
"A08533945"	2015	11833.02
"A28687978"	2012	11833.04
"B15017908"	2007	11833.66
"A08737249"	2007	11834.77
"B73212417"	2016	11834.86
"B80470628"	2010	11835.71
"A33036906"	2016	11836.37
"A08681264"	2017	11837.14
"B06007314"	2013	11837.58
"B46023677"	2008	11837.83
"A28579191"	2007	11838.69
"A08677700"	2012	11838.82
"B06007314"	2014	11840.38
"A48093538"	2010	11840.78
"A28574044"	2009	11841.02
"A43015965"	2017	11841.12
"A07010937"	2010	11841.42
"B08628455"	2016	11841.59
"B38017554"	2014	11841.97
"A07042435"	2014	11842.44
"A08243297"	2009	11843.58
"A33024084"	2011	11843.81
"A12012605"	2008	11845.61
"B12008553"	2012	11845.92
"A17009093"	2017	11846.19
"B08282337"	2010	11848.9
"A45007614"	2013	11849.3
"B08721060"	2017	11849.72
"B28118800"	2012	11849.98
"A09022963"	2010	11850.01
"A30035679"	2013	11850.08
"A30012009"	2017	11850.55
