nif	year	deudores
"A08989782"	2016	2608.114
"A08276867"	2016	2608.63
"A38371159"	2012	2608.842
"B31039530"	2012	2608.882
"A24001661"	2007	2609.221
"A08637829"	2016	2609.419
"A28698884"	2013	2609.51
"A29955093"	2008	2609.62
"A15016702"	2013	2610.47
"B09013335"	2013	2610.738
"A07050420"	2009	2610.79
"A48093918"	2017	2610.9
"B46164091"	2017	2610.927
"A28368603"	2014	2610.936
"A08514135"	2015	2611.924
"A08228124"	2013	2612
"B46118717"	2014	2612.108
"A09281999"	2014	2612.245
"A15013618"	2012	2612.514
"B17048364"	2016	2612.587
"A07050420"	2015	2612.675
"B33876459"	2016	2612.735
"A28011286"	2011	2613
"A29033420"	2010	2613.145
"A45014776"	2011	2613.355
"A07042088"	2013	2613.4
"A39008305"	2015	2613.414
"A08130254"	2016	2613.914
"A50034024"	2017	2614.044
"B47030770"	2013	2614.121
"B28689370"	2015	2614.482
"B27013556"	2011	2614.99
"A08703803"	2017	2615.452
"B03044641"	2013	2615.467
"B24399305"	2015	2615.613
"A28729424"	2015	2615.721
"A28101020"	2009	2616.253
"A08584062"	2013	2616.387
"F37014560"	2008	2616.58
"B38071155"	2016	2617.1
"A28039469"	2016	2618.046
"A08220428"	2017	2618.057
"A30035679"	2007	2618.2
"A53552634"	2010	2618.64
"B11009917"	2013	2618.81
"B61441127"	2016	2619
"A41031303"	2013	2619
"B35065788"	2012	2619.519
"B46090791"	2009	2620.95
"A30022958"	2011	2621.167
"B46121000"	2015	2621.845
"B31089071"	2009	2621.847
"A07068430"	2007	2623.5
"A01006055"	2013	2623.782
"A28667244"	2011	2624.127
"A08514135"	2009	2624.318
"A20055380"	2012	2624.501
"B19001536"	2012	2625.212
"A15016702"	2017	2625.385
"A08710055"	2010	2625.401
"A29033420"	2016	2625.795
"B58875048"	2017	2626.048
"A08989782"	2010	2626.321
"B38001905"	2016	2627.514
"A08709131"	2016	2628.273
"A08720708"	2014	2628.464
"B31005507"	2013	2628.559
"A29050572"	2014	2629.03
"A08198392"	2012	2629.102
"A29025368"	2010	2629.122
"A30018147"	2012	2629.469
"A28510246"	2011	2629.594
"B28127447"	2015	2629.749
"A28155240"	2011	2629.777
"A78831369"	2012	2630
"B62059498"	2007	2630.33
"A26000174"	2012	2630.342
"A37021631"	2008	2630.693
"A30025555"	2013	2631.3
"A12014346"	2011	2631.446
"B48045140"	2011	2631.8
"A24001661"	2014	2632.008
"A28543809"	2015	2632.009
"B58613076"	2010	2632.628
"A43035708"	2014	2632.71
"A46089819"	2008	2632.95
"A08646143"	2012	2633.333
"A30014211"	2008	2633.375
"A28428233"	2012	2633.46
"A43010974"	2013	2633.56
"V82171133"	2016	2633.761
"A07919087"	2011	2634.619
"A22174932"	2009	2635.035
"A14025142"	2013	2635.858
"A31070378"	2015	2635.96
"A15010994"	2013	2635.987
"B17011511"	2009	2636.388
"A15033699"	2009	2636.429
"A09022963"	2008	2636.687
"A08159816"	2016	2636.72
"A60963287"	2012	2636.763
"B28337038"	2012	2637.11
"B20793956"	2012	2637.248
"A17034505"	2014	2637.253
"A46162665"	2013	2637.336
"B03004801"	2011	2637.444
"A20047726"	2011	2637.751
"B28403194"	2011	2638
"A08007056"	2009	2638.029
"A23012719"	2017	2638.172
"B28304129"	2017	2638.703
"A28543809"	2014	2638.791
"B16010464"	2012	2638.875
"A36615896"	2011	2638.948
"A08244808"	2008	2639.196
"B08156036"	2007	2639.22
"B78496759"	2011	2639.345
"B31694912"	2013	2640.284
"A41014986"	2007	2640.74
"A08332256"	2017	2641.053
"B28240075"	2013	2641.678
"A28329480"	2016	2641.813
"A36615896"	2009	2641.891
"B31694912"	2012	2641.964
"A17014879"	2007	2642.113
"B31005507"	2012	2642.258
"A08156218"	2014	2642.486
"A20003042"	2016	2643.146
"A28674489"	2012	2643.175
"A28313542"	2016	2643.583
"A17010018"	2014	2644.196
"A08514135"	2016	2644.232
"B45011269"	2011	2644.368
"A17034505"	2008	2644.648
"A30041883"	2012	2645.266
"A40005514"	2012	2645.548
"A31062342"	2009	2645.69
"A48093421"	2009	2645.875
"A08680738"	2015	2646.207
"A33015454"	2012	2646.434
"A33604851"	2013	2647.194
"A12228458"	2014	2647.282
"A48006423"	2008	2647.58
"A39007943"	2011	2647.662
"B60420692"	2007	2648.26
"B38024089"	2009	2648.389
"A17014523"	2013	2648.822
"B30331573"	2008	2649.837
"A28101020"	2014	2649.865
"A39000187"	2007	2650.29
"A23022874"	2012	2650.659
"B28218816"	2012	2650.686
"A46023735"	2014	2650.869
"A31062342"	2015	2651.888
"B33029729"	2017	2652.485
"A53559530"	2013	2652.565
"A11902814"	2010	2652.706
"B83156745"	2009	2653.003
"B28091486"	2017	2653.114
"A08675522"	2016	2653.517
"B45011269"	2012	2653.563
"A28443158"	2015	2653.584
"A30029862"	2016	2653.726
"A28392736"	2012	2654.383
"B81231516"	2015	2654.876
"A28027811"	2008	2655.024
"A41031303"	2008	2655.19
"B30721237"	2012	2655.322
"F35006451"	2007	2655.767
"A08170151"	2011	2656
"A08203887"	2008	2656.012
"A04006706"	2015	2656.182
"B08156127"	2014	2656.507
"A41011271"	2011	2656.689
"A36201259"	2011	2656.8
"A38026605"	2013	2656.885
"B60918141"	2017	2656.998
"B30603229"	2016	2657.563
"A06023477"	2013	2657.638
"A32005548"	2017	2657.783
"B30010797"	2008	2658.302
"A15070444"	2017	2658.362
"A17475203"	2012	2658.378
"A07802218"	2012	2658.45
"A43014174"	2014	2658.981
"A30047120"	2011	2659.226
"B08488645"	2017	2659.28
"A20018610"	2012	2659.398
"B03094455"	2017	2659.523
"A20055380"	2011	2659.883
"A08120859"	2009	2659.991
"A31061401"	2016	2660.062
"A45019916"	2007	2660.158
"A21010616"	2015	2660.846
"B35005891"	2007	2661.262
"A28648053"	2013	2662.22
"B45020351"	2008	2662.932
"B12007357"	2011	2663.036
"A33611195"	2015	2663.113
"A44003663"	2016	2663.215
"B59469296"	2016	2664.267
"B79232096"	2014	2664.85
"A15018146"	2017	2664.897
"A08007056"	2008	2665.028
"A28711893"	2007	2665.577
"A07096886"	2016	2665.662
"A28027811"	2009	2665.827
"A44003663"	2015	2666.461
"A39013867"	2015	2666.497
"A20012498"	2008	2666.519
"A41022989"	2012	2667.147
"A31031545"	2017	2667.27
"A28273241"	2011	2667.435
"B38020020"	2009	2667.607
"B63533095"	2016	2668.521
"A46082228"	2015	2668.766
"B08156127"	2010	2668.836
"B35065788"	2017	2669.098
"A24007072"	2009	2669.19
"A05122460"	2011	2669.737
"A31034606"	2007	2671.04
"A08097438"	2008	2671.146
"A58394941"	2007	2671.63
"A08720245"	2017	2671.656
"A31071756"	2011	2672.625
"B12008553"	2012	2672.714
"A09010661"	2007	2672.728
"B33614033"	2015	2672.768
"B46164091"	2015	2673.003
"A08541021"	2010	2673.271
"B08359705"	2014	2673.554
"A28612620"	2017	2673.72
"A46045936"	2008	2674.17
"A08198392"	2017	2674.669
"A08575672"	2011	2674.724
"A08623928"	2017	2674.914
"A25020173"	2010	2675.194
"B82432725"	2011	2675.403
"B30721237"	2017	2676.016
"A08280323"	2015	2676.437
"A83741967"	2017	2676.589
"A08263469"	2016	2676.995
"A28571750"	2017	2677.693
"A20036083"	2013	2678.27
"A26017434"	2017	2678.443
"A17018391"	2012	2678.891
"B38030045"	2014	2679.149
"A08198392"	2016	2679.303
"A14037642"	2015	2679.467
"A09281999"	2015	2679.732
"A26000174"	2014	2679.891
"A25418401"	2012	2680
"A41057209"	2010	2680.197
"B58613076"	2008	2680.428
"A03030509"	2007	2680.789
"A23022874"	2014	2681.083
"A46056255"	2015	2681.172
"B63677223"	2014	2681.199
"B36009942"	2009	2681.515
"A26011320"	2014	2681.93
"A30035547"	2014	2682.535
"A12017760"	2012	2682.868
"B48074306"	2013	2682.963
"A08115578"	2012	2682.99
"B27014398"	2017	2683.061
"F10026128"	2014	2683.081
"B38484796"	2011	2683.146
"A15033699"	2010	2683.4
"A01167204"	2008	2684.133
"A48802854"	2012	2684.162
"B31007354"	2009	2684.485
"A15016702"	2015	2684.53
"A17014879"	2016	2684.539
"A28655157"	2013	2684.725
"A07021256"	2007	2684.99
"A12017760"	2014	2685.044
"A41018854"	2010	2685.687
"B38001905"	2017	2686.403
"A46023735"	2015	2686.429
"F37014560"	2007	2686.55
"B31005507"	2015	2686.748
"A28496438"	2009	2686.887
"A11018736"	2012	2686.895
"A16010126"	2016	2687.678
"B38484796"	2010	2687.78
"A19163682"	2016	2688
"B27321249"	2016	2688.634
"A79092573"	2012	2688.7
"A29050762"	2016	2688.915
"A39005095"	2011	2689.263
"A36615037"	2011	2690.185
"A46137352"	2007	2690.362
"B08275026"	2016	2690.435
"B28170215"	2017	2690.461
"A07190309"	2009	2690.523
"B43110113"	2017	2690.562
"A31009913"	2016	2691.044
"A09010661"	2010	2691.395
"A78100609"	2016	2692.1
"A15013618"	2013	2692.328
"A37021631"	2014	2692.362
"A38017844"	2015	2692.588
"A40005514"	2008	2692.619
"A28106979"	2009	2692.688
"A08623928"	2016	2693.307
"A01001072"	2011	2693.518
"A08450421"	2010	2694.349
"A33018425"	2011	2696.405
"A30014211"	2013	2696.487
"B48092084"	2014	2696.674
"A08681264"	2013	2696.857
"A35008168"	2016	2696.959
"A12017760"	2010	2697.417
"A38225041"	2009	2697.534
"A03017886"	2009	2697.892
"A48034110"	2010	2698.131
"A30016182"	2015	2699.67
"A28630374"	2015	2699.729
"A08203887"	2011	2699.89
"B82899550"	2016	2700.233
"A07089121"	2015	2700.872
"A26004754"	2015	2701.647
"A03061314"	2013	2701.748
"A08414906"	2012	2701.945
"A85270965"	2017	2701.965
"A30610984"	2015	2702.375
"A46023594"	2016	2702.74
"A31013543"	2016	2702.971
"A30013247"	2007	2703.402
"A08213936"	2015	2703.494
"A08145385"	2014	2703.501
"A15013618"	2017	2703.616
"A32007817"	2013	2703.836
"A12050324"	2010	2703.891
"A28290799"	2014	2704.616
"B08059636"	2017	2704.792
"A11000098"	2009	2704.917
"A92111871"	2017	2705
"B30603229"	2017	2705.307
"A28543809"	2012	2705.441
"A30013247"	2008	2705.468
"B79232096"	2015	2706
"A41088345"	2017	2706.228
"A20074167"	2015	2706.799
"A08228124"	2015	2707
"A36615896"	2012	2707.254
"A08449399"	2015	2709.106
"A08562431"	2014	2709.567
"A50034024"	2010	2709.893
"A17475203"	2015	2710.35
"A33015454"	2009	2710.48
"A43014174"	2012	2710.65
"A14037642"	2007	2710.987
"A16007064"	2007	2711.27
"B28498210"	2007	2711.402
"A46056255"	2008	2711.491
"B08269839"	2014	2711.576
"A40005514"	2009	2711.775
"A48029847"	2015	2711.871
"A09018862"	2011	2712.084
"A30022172"	2008	2712.305
"B45005279"	2015	2712.463
"A28630374"	2007	2712.874
"B28337731"	2012	2712.917
"A28698884"	2011	2712.97
"A48017974"	2017	2713.042
"A08283798"	2008	2713.159
"A13006903"	2017	2713.817
"A46068318"	2010	2714.426
"A36615037"	2010	2714.513
"A12405577"	2010	2715.477
"B13009592"	2009	2715.781
"B07985609"	2013	2715.806
"A20003042"	2008	2716.207
"B31089071"	2010	2716.254
"B46118717"	2013	2716.316
"A41014986"	2014	2716.943
"A31194905"	2017	2717
"A79184453"	2015	2717.093
"A08397119"	2015	2717.808
"A36603421"	2009	2717.925
"A35046911"	2013	2718
"A80433519"	2015	2718.192
"A39027917"	2017	2718.332
"B61914883"	2008	2719.456
"G07065709"	2011	2719.784
"A01161066"	2013	2720.091
"A35022987"	2015	2720.132
"B12462560"	2016	2720.433
"A30012009"	2014	2720.727
"A17044546"	2016	2720.802
"B08078396"	2016	2720.877
"B28337038"	2013	2721.062
"A41112012"	2012	2721.357
"A33015454"	2007	2721.38
"A39007729"	2012	2721.452
"A17001207"	2012	2722.443
"A47010194"	2009	2722.813
"B11606761"	2012	2723.205
"A48093421"	2011	2723.293
"A14025902"	2011	2724.217
"A09018730"	2011	2724.414
"A26013714"	2007	2724.59
"A14004691"	2012	2724.721
"B59886531"	2014	2725
"A24014227"	2012	2725.518
"A08193591"	2015	2725.531
"B08156127"	2009	2725.614
"A08591075"	2013	2726.416
"A07050420"	2008	2726.576
"B39446315"	2013	2726.846
"A28615581"	2007	2727.76
"B38024089"	2007	2728.055
"A28027811"	2007	2728.37
"B28193340"	2017	2728.394
"A46043154"	2017	2728.739
"A36615896"	2013	2728.79
"A29030848"	2007	2729.02
"A43001627"	2015	2729.146
"A33560772"	2015	2729.554
"B33607649"	2015	2729.783
"A24001661"	2013	2729.878
"B96199807"	2014	2729.99
"A80959612"	2008	2730
"A39027917"	2007	2730.81
"A08346116"	2013	2731.144
"A28019461"	2007	2731.19
"A30005524"	2015	2731.514
"A48119622"	2007	2731.819
"A11902814"	2014	2733.087
"A28085520"	2014	2733.238
"B38030045"	2017	2733.365
"A59736686"	2012	2733.375
"A46005252"	2016	2734.263
"B41063355"	2007	2734.317
"A17020645"	2013	2734.846
"B41072471"	2013	2735.199
"A08499568"	2008	2736.568
"B37033487"	2013	2736.821
"A08311995"	2009	2737.494
"A03057221"	2012	2737.598
"A08170151"	2008	2738.21
"A50032325"	2017	2738.24
"A43014174"	2013	2738.261
"B12014692"	2013	2739.145
"A46146551"	2013	2739.244
"A08200651"	2011	2739.661
"A34007831"	2008	2739.876
"B12019485"	2009	2740.312
"A33019423"	2013	2740.544
"B46084695"	2009	2740.761
"A24015802"	2016	2740.989
"A30022172"	2017	2740.993
"B30721237"	2009	2741.002
"A44004422"	2016	2741.013
"A35008168"	2012	2741.097
"A07802218"	2011	2741.433
"A11682507"	2012	2741.434
"A48005672"	2016	2741.558
"A17010018"	2010	2742.135
"A38269270"	2016	2742.136
"B11009917"	2014	2742.163
"B28227775"	2012	2742.265
"A28543809"	2013	2742.379
"A46068318"	2016	2742.55
"A11902814"	2015	2742.638
"A07068422"	2011	2743.046
"A28023422"	2015	2743.321
"A50060011"	2015	2743.328
"B20078598"	2010	2743.534
"A28027647"	2008	2743.792
"A08219024"	2015	2743.893
"A24014227"	2017	2744.018
"A28571750"	2015	2745.364
"A30040224"	2009	2745.763
"A62035282"	2012	2746.205
"A83048363"	2009	2746.692
"A37021631"	2010	2747.372
"A41022989"	2017	2747.6
"A08007056"	2010	2747.912
"A19163682"	2012	2748.418
"A79184453"	2016	2748.495
"A20073169"	2013	2748.515
"A08276867"	2014	2748.99
"A47024393"	2010	2749.318
"B30721237"	2010	2749.714
"A43020486"	2017	2749.858
"A01161066"	2011	2750.054
"A50025071"	2015	2750.105
"A46131769"	2017	2751.506
"A20024832"	2012	2751.739
"A12012605"	2010	2751.941
"B08194276"	2012	2752.038
"B11606761"	2007	2752.496
"A09015256"	2015	2752.923
"A20008579"	2015	2753.133
"A36012698"	2008	2753.314
"B82432725"	2008	2753.455
"A29955093"	2017	2753.947
"A50169143"	2011	2754.535
"A08203226"	2016	2754.878
"A36615896"	2010	2754.959
"A33604851"	2016	2755.098
"A17010018"	2011	2755.744
"A35009992"	2015	2755.895
"A20036877"	2007	2755.95
"A08663957"	2009	2755.977
"A41035742"	2017	2756.087
"A24007072"	2012	2756.976
"A30012009"	2017	2757.184
"A20036877"	2008	2757.375
"A08081986"	2008	2757.378
"A08425902"	2017	2757.52
"A46014650"	2013	2757.646
"A28193209"	2017	2758.018
"B08078396"	2015	2758.054
"A12363529"	2010	2758.078
"A07019573"	2017	2758.314
"A28672624"	2012	2758.515
"B31072705"	2011	2758.658
"B38071155"	2010	2758.862
"A03057486"	2015	2759.017
"A28101020"	2012	2759.764
"A17033473"	2017	2759.889
"B03046158"	2015	2760.285
"A33610106"	2012	2761.152
"A08036709"	2012	2761.172
"B14468292"	2015	2762.197
"A14000939"	2013	2762.296
"A36608180"	2016	2762.356
"A28580546"	2007	2763.574
"A48175699"	2013	2763.588
"B22004931"	2017	2763.712
"A01006659"	2007	2763.801
"A14025902"	2012	2764.258
"B58613076"	2012	2764.284
"B46084695"	2011	2764.37
"A62332580"	2013	2764.417
"B08078396"	2010	2764.47
"B04018495"	2016	2764.851
"A08211112"	2016	2764.858
"A25418401"	2016	2765
"A80482334"	2007	2765.217
"A30036438"	2013	2765.347
"A30025555"	2014	2765.509
"B80470628"	2008	2765.58
"A08200651"	2008	2765.594
"A31001266"	2015	2765.61
"A30604680"	2013	2765.616
"A08219024"	2012	2765.875
"A08081986"	2009	2766.133
"B41070020"	2012	2766.628
"A35735083"	2013	2766.675
"A40002701"	2016	2766.865
"A08277014"	2017	2767.215
"A28011286"	2014	2767.6
"A01001072"	2014	2768.248
"A01008069"	2011	2768.944
"B38030045"	2016	2769.102
"A31018492"	2012	2769.212
"A14037642"	2008	2769.271
"A41277336"	2013	2769.425
"A22012223"	2011	2769.52
"B62173604"	2008	2770
"A08623928"	2010	2770.689
"A08215428"	2014	2770.875
"A15018146"	2012	2771.135
"A12405577"	2009	2771.331
"A01009265"	2010	2771.472
"A46126686"	2014	2772.248
"A01000777"	2008	2773.015
"A17014879"	2008	2773.433
"A08637829"	2014	2773.455
"B46054508"	2017	2775.028
"A07265465"	2007	2775.658
"A08225278"	2007	2776.097
"A12050324"	2008	2776.16
"A07042088"	2015	2776.564
"A03018710"	2013	2776.619
"B03100831"	2008	2776.669
"A28175412"	2011	2777.091
"A22009039"	2012	2777.819
"B97131155"	2012	2778.214
"A46038519"	2016	2778.706
"A35046911"	2016	2779.092
"A46002697"	2010	2779.397
"A45018926"	2007	2779.583
"A29015849"	2016	2779.797
"B79945150"	2011	2780.217
"A43001684"	2017	2780.817
"A08296535"	2012	2781.26
"A01014794"	2016	2781.747
"B28498210"	2015	2782.359
"A05007687"	2007	2782.48
"A46226122"	2008	2782.609
"A28684512"	2008	2782.921
"B12007357"	2007	2783.176
"B28383362"	2014	2784.037
"B46151411"	2007	2784.266
"A28612208"	2012	2784.396
"B33029729"	2016	2784.604
"B39551973"	2011	2785.14
"A03061314"	2014	2787.432
"A15016702"	2011	2787.845
"B05004999"	2016	2787.87
"A44003663"	2010	2787.937
"A08720245"	2008	2788.363
"A34009191"	2014	2788.47
"A03018710"	2015	2789
"A45202975"	2015	2789.352
"B12027843"	2012	2789.633
"B80397409"	2014	2790.19
"A31031545"	2007	2790.291
"A36619476"	2014	2790.448
"B36620193"	2012	2790.643
"A02006021"	2009	2790.853
"B41063355"	2011	2791.209
"A29050762"	2017	2791.264
"A28190973"	2016	2792.454
"A20073508"	2016	2793.15
"A15021843"	2016	2793.216
"A46074647"	2009	2793.451
"B28545994"	2011	2793.957
"B36009942"	2008	2794.02
"B38030045"	2015	2795.399
"A08681264"	2012	2795.528
"A03061850"	2014	2795.74
"A36615474"	2013	2795.767
"A20047726"	2013	2795.827
"A80200868"	2010	2796.012
"A36603421"	2017	2796.082
"B21011333"	2014	2796.767
"A25418401"	2014	2797
"B31083488"	2017	2797.122
"A28058758"	2007	2797.152
"A08609281"	2012	2797.589
"A07051253"	2014	2797.615
"A31018492"	2009	2797.935
"A03061850"	2013	2798.116
"A11609682"	2013	2798.784
"A46137352"	2014	2799.991
"A28295038"	2015	2800.409
"B12457230"	2012	2800.59
"A08026635"	2014	2800.924
"B45493418"	2015	2801.055
"B08194276"	2010	2801.418
"A30015820"	2016	2801.727
"A22201164"	2013	2802.026
"A44003663"	2008	2802.48
"A08681264"	2010	2802.52
"A30040224"	2007	2802.728
"A01009265"	2015	2802.759
"B07029465"	2017	2803.321
"A28415487"	2016	2803.626
"A20012498"	2007	2803.88
"A01006659"	2008	2803.919
"A48006423"	2009	2804.12
"B46055489"	2017	2804.184
"B08059636"	2016	2804.416
"A46038519"	2009	2805.215
"A15038326"	2014	2805.354
"A41084740"	2014	2805.665
"B45555489"	2016	2806.101
"A37021631"	2009	2806.173
"B08488645"	2011	2806.726
"A12027488"	2017	2806.729
"A26011320"	2009	2806.823
"A28190973"	2015	2807.373
"B28227775"	2009	2807.592
"A15033699"	2013	2808.176
"A25026733"	2014	2808.191
"A08691503"	2011	2808.726
"A46036562"	2008	2809.103
"A08228520"	2014	2809.584
"A08203887"	2010	2809.694
"A41014986"	2013	2809.835
"A08703803"	2016	2809.902
"A95249199"	2010	2809.95
"B08194359"	2012	2810
"A01009265"	2007	2810.345
"A50057421"	2015	2810.973
"A14037642"	2009	2811.145
"A39008305"	2016	2811.703
"A28543809"	2011	2811.742
"B22004113"	2008	2812.184
"B28304129"	2014	2812.564
"A12014346"	2012	2813.059
"A46005252"	2009	2813.616
"B08275026"	2011	2814.558
"A28054211"	2008	2814.8
"A46072203"	2010	2815.442
"A20018586"	2015	2815.639
"A48093918"	2016	2815.693
"B58836321"	2012	2816
"B03094455"	2016	2816.514
"A28175412"	2014	2816.643
"B59469296"	2011	2816.69
"B01128552"	2016	2816.724
"A46074647"	2012	2817.574
"B08488645"	2010	2818.002
"A36002285"	2017	2818.361
"A15010994"	2015	2818.546
"A41695149"	2013	2819
"A28612208"	2015	2819.736
"A06008411"	2013	2819.742
"B41072471"	2011	2820.166
"A35046911"	2015	2820.288
"A28586550"	2017	2820.308
"B58613076"	2009	2820.32
"A41112012"	2015	2820.337
"B15004849"	2010	2820.617
"A61351540"	2015	2821
"B59469296"	2015	2821.191
"B36880003"	2016	2822.25
"B97131155"	2016	2822.281
"A20036083"	2014	2822.313
"A41018854"	2009	2823.155
"A12021267"	2015	2823.297
"A43016757"	2009	2823.475
"A46031027"	2016	2823.929
"B62236781"	2014	2824.22
"A28321313"	2015	2824.421
"A08248502"	2014	2824.747
"A43010974"	2017	2824.822
"A26011841"	2012	2824.91
"B08447948"	2013	2824.992
"B03094455"	2011	2825.687
"A08115578"	2010	2825.765
"A28518819"	2012	2825.77
"A34129635"	2008	2825.956
"B12008553"	2011	2826.318
"A17483124"	2016	2826.517
"A40005514"	2011	2826.626
"A08450421"	2013	2826.819
"A12022224"	2016	2827.415
"B03032620"	2016	2827.526
"A38017844"	2011	2827.72
"A30014047"	2007	2827.938
"A08651762"	2015	2828.289
"A17009093"	2014	2828.558
"A35022987"	2010	2828.888
"B33602707"	2015	2829.49
"A45202975"	2016	2829.873
"A20022448"	2009	2829.886
"A31394356"	2013	2831.227
"B03094455"	2008	2831.466
"A22012223"	2012	2831.486
"A28428233"	2008	2831.583
"A38026605"	2012	2832.585
"A38017844"	2009	2832.846
"A08115578"	2015	2833.393
"A48119622"	2010	2834.002
"A26011320"	2008	2834.031
"B11050176"	2007	2834.12
"A25008046"	2016	2834.532
"A28368603"	2013	2834.666
"A03077898"	2016	2834.794
"A28630374"	2008	2835.06
"A12022224"	2011	2835.07
"A07050420"	2007	2835.76
"A35012012"	2007	2836.308
"B40003550"	2007	2836.38
"A08730277"	2015	2836.662
"A36611622"	2012	2837.001
"B03004678"	2014	2837.224
"B13009592"	2015	2838.393
"A28458826"	2008	2838.504
"A31012636"	2014	2839.002
"B08359705"	2015	2839.054
"B61914883"	2009	2839.47
"A08499568"	2012	2840.656
"A30017636"	2009	2841.151
"G07065709"	2012	2841.42
"A78343977"	2013	2841.455
"A30025555"	2012	2841.755
"B82899550"	2011	2841.864
"A35610666"	2013	2842.365
"A14481105"	2014	2842.46
"B58836321"	2014	2843
"B06001143"	2017	2843.172
"A08211112"	2008	2843.536
"B09013335"	2014	2843.698
"B62236781"	2017	2844
"A08467052"	2017	2844
"B08125940"	2012	2844.101
"A07035934"	2010	2844.53
"A43016757"	2008	2845.25
"A14025142"	2014	2845.428
"B06422877"	2014	2845.477
"A82683434"	2008	2846.463
"A12012340"	2010	2846.956
"A19012962"	2007	2847.28
"A46109054"	2013	2847.351
"B46157533"	2017	2847.832
"A30035547"	2015	2847.911
"A12012340"	2009	2848.73
"A46055992"	2016	2848.814
"A46109054"	2014	2849.014
"A30040224"	2013	2849.023
"A46044962"	2017	2849.441
"A38014114"	2016	2849.805
"B50561968"	2011	2849.88
"B12007357"	2010	2849.887
"A08651762"	2013	2850.304
"A48017974"	2013	2850.753
"A43019975"	2009	2851.585
"A46094207"	2012	2852.116
"B31027097"	2007	2852.154
"A81047375"	2011	2853
"B11018462"	2010	2853.068
"A09205550"	2016	2853.107
"A28491041"	2012	2853.17
"A08021768"	2015	2853.627
"A41098237"	2010	2854.169
"B37020179"	2007	2854.86
"A81944324"	2009	2855
"A20047726"	2012	2855.265
"B82274135"	2014	2855.266
"A33018425"	2016	2855.956
"A38017844"	2016	2855.962
"A30014047"	2008	2856.116
"A45019916"	2008	2856.506
"A15033699"	2017	2856.899
"B28113991"	2016	2857.431
"B06320410"	2017	2857.478
"A08224545"	2015	2858.125
"A08616542"	2009	2858.427
"B31089071"	2012	2858.627
"A20015368"	2017	2859.171
"A08499568"	2014	2859.342
"A46137352"	2015	2859.601
"A31018492"	2007	2859.86
"B28188100"	2017	2860.534
"A08021768"	2009	2861.021
"B28120012"	2012	2861.032
"A20003042"	2010	2861.046
"A01006055"	2014	2861.127
"B46157533"	2010	2861.17
"A28562908"	2013	2861.371
"A36249076"	2008	2861.59
"A20003042"	2009	2862.172
"A17018276"	2012	2862.291
"B46164091"	2016	2862.408
"A12022224"	2010	2862.86
"A28293884"	2016	2862.971
"A25026733"	2013	2863.055
"B63100150"	2010	2863.639
"B21011333"	2012	2864.028
"A08259046"	2016	2864.059
"A31000441"	2009	2864.579
"A31031545"	2016	2864.691
"B08912669"	2010	2864.987
"A41014986"	2012	2865.045
"B18012831"	2014	2865.071
"A30014211"	2007	2865.146
"A04001897"	2015	2865.69
"A08322067"	2008	2866.948
"A08659302"	2016	2867.637
"A33610106"	2007	2867.925
"A06023477"	2014	2868.605
"B03094455"	2009	2868.982
"A84434224"	2012	2869
"A50889955"	2009	2869.913
"A62035282"	2011	2870.004
"A28392694"	2016	2870.512
"B38484796"	2012	2870.516
"A20062915"	2017	2870.87
"A41002809"	2015	2871.385
"A46068318"	2015	2871.601
"A40005514"	2007	2871.684
"A08329831"	2014	2871.866
"A38013744"	2008	2871.926
"B03036340"	2010	2872.128
"V28664472"	2017	2872.169
"B30034730"	2014	2872.272
"B30041115"	2008	2872.881
"A03061314"	2009	2873.053
"A33005612"	2016	2873.123
"A82683434"	2017	2873.397
"A33610106"	2011	2873.626
"B46157533"	2016	2874.015
"B27013556"	2015	2874.645
"B31784895"	2015	2874.955
"A03018710"	2014	2875.04
"B36614816"	2012	2875.398
"B05004999"	2014	2875.718
"A08723926"	2010	2875.842
"A50889955"	2011	2876.631
"B28460681"	2014	2876.972
"A43010974"	2012	2877.048
"B34226514"	2017	2877.213
"B46043238"	2010	2877.635
"B30721237"	2013	2877.86
"A08220428"	2011	2877.944
"B31694912"	2015	2878.321
"A22009039"	2011	2878.673
"A01009265"	2016	2878.684
"A14025902"	2007	2879.189
"A39031620"	2014	2879.582
"A08257388"	2012	2879.668
"B35065788"	2010	2880.315
"A25008046"	2007	2881.46
"B06001143"	2015	2881.748
"A28543809"	2008	2881.824
"A28057495"	2014	2881.883
"A29051067"	2016	2882.022
"A30018345"	2014	2882.079
"B31027097"	2008	2882.619
"A41695149"	2012	2883
"A28518819"	2013	2883.04
"A27007731"	2011	2883.569
"A28543809"	2009	2883.855
"A29035896"	2007	2883.924
"B45005279"	2010	2884.083
"B96011283"	2008	2884.385
"B58875048"	2007	2884.406
"B03020914"	2012	2884.631
"B30721237"	2008	2884.752
"A12021267"	2016	2885.12
"A03030350"	2013	2885.498
"A41001439"	2012	2886.362
"A15013618"	2015	2886.679
"A08211112"	2017	2886.84
"A08146730"	2016	2887.221
"A24010217"	2011	2888.273
"A28253656"	2010	2888.71
"B08194276"	2015	2889.139
"A14004691"	2011	2889.455
"A79092573"	2011	2889.7
"A28559474"	2017	2889.85
"A28147197"	2008	2890.086
"A05122460"	2016	2890.141
"A17009598"	2009	2890.162
"A30036438"	2012	2890.275
"B08488645"	2009	2890.914
"A17014523"	2014	2891.066
