nif	year	bai
"B79945150"	2012	139.061
"A60401585"	2010	139.148
"A28695856"	2012	139.149
"B08113615"	2012	139.182
"A08564502"	2010	139.188
"A04236931"	2009	139.218
"B11605862"	2012	139.332
"A08621161"	2016	139.512
"A08104994"	2015	139.705
"A23008857"	2010	139.956
"B12007357"	2017	139.968
"A46035770"	2009	139.977
"A28523066"	2015	140
"A58494048"	2012	140.009
"B73212417"	2011	140.046
"A43019975"	2015	140.122
"A29076759"	2017	140.209
"A28636025"	2010	140.25
"A14022099"	2017	140.292
"B38017554"	2016	140.331
"B08113615"	2013	140.439
"B30331573"	2015	140.513
"A48047377"	2013	140.546
"A44004059"	2009	140.627
"B81907776"	2010	140.633
"A38225041"	2011	140.66
"A58349929"	2017	140.666
"B03089471"	2015	140.671
"A08630808"	2017	140.679
"A12000071"	2017	140.73
"B46153292"	2014	140.814
"A15020795"	2015	140.863
"A08158172"	2015	140.911
"A08450421"	2012	141.018
"A48119622"	2016	141.064
"A03017886"	2016	141.076
"A28695930"	2013	141.117
"B17462961"	2016	141.122
"A41002841"	2012	141.217
"B39014709"	2014	141.337
"A29350139"	2015	141.392
"B36002913"	2007	141.442
"A28423986"	2016	141.492
"A21008727"	2011	141.508
"A21102157"	2008	141.59
"A08094567"	2015	141.628
"A20073169"	2015	141.703
"B17011511"	2017	141.703
"A17009598"	2012	141.748
"A28636025"	2011	141.75
"A08200651"	2013	141.823
"A08283798"	2016	141.858
"B23015753"	2014	141.895
"A08105256"	2012	141.899
"B39014709"	2010	141.939
"A30041834"	2013	141.961
"A15010994"	2013	141.969
"B11606647"	2012	142.008
"A23022874"	2012	142.104
"A28357903"	2016	142.16
"A28332914"	2009	142.164
"B08282337"	2011	142.202
"A46045936"	2015	142.203
"A08120859"	2007	142.383
"A03064102"	2017	142.42
"A28392736"	2012	142.424
"A41049503"	2016	142.433
"A36615896"	2016	142.439
"A38014098"	2015	142.498
"A01005594"	2014	142.55
"A30017883"	2013	142.576
"A59954487"	2017	142.637
"B31049273"	2014	142.647
"A23022874"	2008	142.682
"A30005920"	2007	142.685
"A46089819"	2016	142.765
"A12100020"	2008	142.82
"A28610863"	2010	143.03
"A15072622"	2009	143.057
"A08564502"	2011	143.155
"A34129635"	2011	143.243
"B81303232"	2014	143.25
"A08631517"	2009	143.257
"A39030812"	2012	143.334
"A08340267"	2010	143.37
"A08677700"	2007	143.39
"B61252185"	2009	143.398
"A48095822"	2013	143.429
"A08689796"	2009	143.441
"A29025368"	2009	143.488
"A03033164"	2012	143.508
"A17040072"	2015	143.594
"F06139109"	2011	143.673
"B03089471"	2013	143.714
"A33560772"	2011	143.724
"A01000249"	2010	143.745
"A31061385"	2011	143.769
"A03035417"	2011	143.775
"A27199140"	2017	143.81
"A25026139"	2015	143.822
"A28458826"	2011	143.997
"B01218932"	2015	144
"A41087404"	2013	144.002
"A07068422"	2017	144.02
"A15027139"	2013	144.027
"A07026651"	2017	144.061
"A04016952"	2008	144.161
"A12025490"	2007	144.162
"B03036720"	2012	144.173
"B01003581"	2009	144.244
"A28636025"	2008	144.3
"A41002544"	2007	144.33
"A08612103"	2011	144.392
"A50023423"	2015	144.443
"A59954487"	2014	144.486
"A30014047"	2007	144.585
"B82988825"	2010	144.707
"B24007049"	2016	144.771
"A29008174"	2012	144.782
"B59469296"	2011	144.813
"B30721237"	2010	144.843
"A28091262"	2010	144.869
"A30006142"	2010	144.871
"A46074647"	2017	144.925
"A08134942"	2016	144.933
"A29008174"	2009	144.934
"A33008426"	2009	145.004
"B20062295"	2013	145.01
"A46048732"	2010	145.246
"A09015256"	2013	145.276
"A30035679"	2017	145.31
"F30046411"	2016	145.33
"A41028820"	2013	145.372
"A35610666"	2010	145.379
"A30035679"	2007	145.38
"A47006887"	2017	145.395
"A28623155"	2015	145.489
"B46142485"	2013	145.53
"A08665374"	2014	145.531
"B28127447"	2013	145.661
"A46089819"	2012	145.717
"B28227866"	2013	145.745
"F10017804"	2011	145.761
"A08220428"	2017	145.842
"B30566194"	2014	145.849
"B43636075"	2015	145.854
"A17483124"	2015	145.963
"A28167443"	2016	146
"A03003530"	2011	146.109
"B03093713"	2011	146.163
"A46117792"	2014	146.248
"A07009814"	2011	146.289
"A07905573"	2009	146.396
"B96011283"	2013	146.454
"A45011103"	2011	146.53
"A09015256"	2008	146.571
"A46082228"	2017	146.589
"A28636025"	2012	146.65
"A08285363"	2010	146.743
"A08630063"	2008	146.819
"A03057221"	2012	146.924
"A08200313"	2013	147
"B57208878"	2013	147.029
"A59954487"	2016	147.054
"A06141345"	2016	147.072
"A33006644"	2008	147.174
"B03010634"	2016	147.199
"A28271112"	2015	147.265
"A09015256"	2014	147.393
"A08604159"	2014	147.451
"A29008174"	2013	147.551
"A26004754"	2014	147.599
"A06419220"	2015	147.604
"B38004966"	2015	147.616
"B50023142"	2014	147.642
"A08621161"	2010	147.852
"A48005672"	2015	147.897
"A31196983"	2012	147.967
"A08285363"	2009	147.975
"A80482334"	2010	148.087
"B73070914"	2016	148.267
"A58017187"	2011	148.331
"A03084936"	2014	148.384
"A03011541"	2013	148.419
"B30029110"	2008	148.511
"B08190902"	2015	148.606
"A08651762"	2015	148.654
"A41069352"	2017	148.662
"B46164679"	2009	148.725
"A03066909"	2013	148.73
"A48087126"	2017	148.845
"A08564502"	2012	148.905
"A60531688"	2011	149
"B23357700"	2007	149.01
"A28270452"	2010	149.041
"A28410850"	2010	149.043
"A08332256"	2009	149.052
"A08285363"	2012	149.175
"A27199140"	2013	149.364
"A28518090"	2010	149.43
"A28295038"	2011	149.48
"B28692044"	2016	149.509
"B28499218"	2013	149.633
"A17001678"	2009	149.692
"B15015274"	2008	149.714
"A08667016"	2017	149.773
"A11010352"	2010	149.779
"A47000641"	2013	149.787
"A47438262"	2014	149.808
"A08189359"	2011	149.81
"A08128910"	2009	149.812
"A47000641"	2012	149.815
"A28651370"	2010	149.82
"A28651222"	2011	149.969
"B28126019"	2011	149.987
"A43621416"	2015	150
"A39005095"	2012	150.053
"B33615493"	2015	150.116
"B91139717"	2010	150.172
"A08730277"	2014	150.346
"A46014155"	2017	150.399
"A20073508"	2017	150.402
"A12025490"	2008	150.446
"B59162701"	2015	150.588
"A42003368"	2016	150.6
"B59162701"	2008	150.675
"A08220428"	2014	150.719
"A38000410"	2015	150.783
"A08612103"	2009	150.79
"A78753514"	2007	150.851
"A36632875"	2015	150.863
"A12385860"	2016	150.894
"A08200032"	2017	150.975
"A07065717"	2013	150.982
"A31194905"	2008	151
"B84150994"	2015	151
"A08332256"	2011	151.001
"A07032030"	2015	151.011
"B24008955"	2015	151.063
"A50335918"	2011	151.064
"A58394941"	2017	151.082
"A41021841"	2011	151.102
"A43035708"	2014	151.333
"B28412146"	2014	151.486
"B13009592"	2015	151.495
"A31061385"	2010	151.541
"A17005968"	2010	151.556
"A08562910"	2011	151.635
"B46173423"	2014	151.667
"A09015405"	2008	151.67
"A08720708"	2013	151.747
"A28080489"	2009	151.8
"A08414906"	2011	151.828
"A28610863"	2009	151.89
"A28662005"	2008	151.939
"A08296790"	2012	152.054
"B15009566"	2008	152.136
"A17013657"	2012	152.165
"A17483124"	2014	152.169
"B06007314"	2012	152.278
"A36249076"	2017	152.297
"A17001678"	2012	152.314
"A18431064"	2015	152.442
"A17005968"	2012	152.465
"A08681264"	2009	152.47
"A12000071"	2011	152.501
"A28519932"	2017	152.514
"A80352420"	2007	152.69
"A12100020"	2009	152.695
"A11010352"	2008	152.728
"A78267309"	2015	152.773
"A13008461"	2010	152.777
"B20793956"	2012	152.78
"A08375545"	2009	152.829
"A28449569"	2008	152.837
"A18016709"	2011	152.959
"A28695856"	2010	152.982
"A48064182"	2009	153
"A50032309"	2016	153.117
"A08612103"	2014	153.153
"A46137352"	2010	153.39
"A28543809"	2013	153.434
"A48031140"	2008	153.44
"A28325785"	2015	153.45
"B96011283"	2016	153.469
"A08036709"	2012	153.607
"B81365181"	2015	153.706
"A31064561"	2014	153.737
"A28547115"	2007	153.803
"A45202975"	2016	153.811
"B28623213"	2015	153.816
"A48059950"	2010	153.855
"A03057221"	2017	153.861
"B39014709"	2015	153.916
"A13006903"	2015	153.936
"B37015526"	2017	154.002
"A08203887"	2017	154.044
"A08433260"	2017	154.08
"B32008625"	2013	154.089
"B48714133"	2014	154.104
"A25041146"	2008	154.14
"B08463424"	2010	154.145
"A59990580"	2009	154.188
"A26020198"	2016	154.208
"A41069352"	2014	154.339
"A48050124"	2016	154.377
"A46031845"	2009	154.527
"A08120859"	2008	154.597
"A25008046"	2013	154.741
"A08105371"	2010	154.768
"B28337731"	2014	154.788
"A30006142"	2009	154.849
"A30041834"	2011	154.893
"A31018492"	2014	154.921
"B28499218"	2014	155.073
"B08195653"	2016	155.183
"A33202474"	2010	155.243
"A08604159"	2015	155.324
"B31089071"	2011	155.332
"A28249993"	2014	155.336
"A11000098"	2007	155.446
"A08562910"	2015	155.54
"B36603629"	2014	155.614
"A03084936"	2017	155.721
"A50032325"	2013	155.737
"A15044530"	2009	155.801
"A08612103"	2010	155.856
"B33615493"	2014	156.074
"B28623593"	2012	156.097
"A13008461"	2016	156.098
"A08012270"	2016	156.134
"B25006222"	2016	156.166
"B73212417"	2016	156.337
"A17018391"	2007	156.396
"A28313542"	2017	156.48
"A28695856"	2007	156.593
"A13006903"	2017	156.649
"B58075136"	2015	156.659
"A48064521"	2010	156.708
"F30046411"	2007	156.726
"A24022196"	2011	156.729
"A08514135"	2015	156.743
"A09015256"	2009	156.764
"B46050910"	2017	156.821
"A03030509"	2007	156.854
"B08113615"	2015	156.874
"A33615923"	2011	156.881
"A29003423"	2017	157.077
"A29025368"	2010	157.161
"A08296535"	2015	157.207
"A28734432"	2008	157.423
"A30005920"	2010	157.428
"A30029862"	2015	157.452
"A35026590"	2014	157.467
"A29050572"	2016	157.469
"A24056319"	2015	157.478
"A28054211"	2017	157.524
"A08606378"	2013	157.545
"B83782169"	2012	157.662
"B08238263"	2016	157.903
"A08257214"	2017	157.966
"A08723926"	2017	158.007
"A12016093"	2011	158.027
"A46129789"	2014	158.114
"A03084936"	2016	158.19
"A28325785"	2016	158.225
"B12008553"	2007	158.456
"B28644441"	2009	158.458
"A30017636"	2007	158.616
"A11010352"	2007	158.678
"A31061385"	2012	158.818
"B17002049"	2015	158.818
"A17013913"	2012	158.828
"A28325785"	2017	158.87
"A28518819"	2009	158.985
"A28126597"	2017	159
"A33034695"	2010	159.015
"B31005507"	2007	159.055
"B08282337"	2009	159.287
"A46014650"	2010	159.298
"A84430107"	2016	159.307
"A33609587"	2007	159.342
"A48100002"	2014	159.346
"B43202076"	2017	159.564
"A08631517"	2016	159.579
"A36201259"	2010	159.702
"A46137352"	2011	159.741
"A30005920"	2009	159.944
"A08363640"	2013	159.953
"A46068862"	2017	159.964
"A28610863"	2012	159.98
"B62119904"	2015	160
"A28143782"	2010	160
"A28614790"	2014	160.02
"A07123441"	2013	160.035
"A08377046"	2017	160.179
"A08218133"	2015	160.33
"A03011392"	2011	160.495
"A34009936"	2009	160.496
"A08322067"	2010	160.504
"A46014650"	2012	160.546
"A28695856"	2011	160.562
"B08111411"	2012	160.748
"B08424855"	2015	160.763
"A50052489"	2011	160.837
"A30035547"	2012	160.844
"A32006413"	2012	160.876
"B03094455"	2014	160.885
"A07068422"	2015	160.898
"A47022165"	2007	160.925
"A50005156"	2013	160.946
"B28403194"	2015	161
"A08104994"	2013	161.009
"A03035417"	2013	161.021
"A08013898"	2017	161.103
"B45020351"	2012	161.149
"A46089819"	2008	161.174
"F04030672"	2012	161.187
"B41042698"	2016	161.352
"A08291973"	2008	161.51
"B84311760"	2015	161.515
"A61831681"	2010	161.56
"A30022172"	2016	161.599
"B12007357"	2016	161.62
"B03032620"	2012	161.665
"A31056500"	2017	161.74
"A07016991"	2007	161.75
"A28416089"	2017	161.808
"A28446995"	2016	161.831
"A41392317"	2016	161.88
"A50032325"	2015	161.913
"A08066300"	2008	161.924
"A41098237"	2010	162.009
"A30041834"	2012	162.027
"A28325785"	2012	162.101
"A28025435"	2007	162.25
"A30025555"	2012	162.352
"A17014879"	2017	162.357
"A08299406"	2010	162.391
"A45019916"	2017	162.394
"B28240075"	2015	162.444
"A61401857"	2016	162.485
"A04236931"	2007	162.505
"B41062548"	2015	162.612
"B17016254"	2011	162.718
"B03036720"	2011	162.781
"A50013671"	2013	162.928
"A60401585"	2015	162.959
"A08069809"	2010	162.964
"A08484107"	2010	163.267
"A29030715"	2009	163.381
"A04047700"	2009	163.403
"A21008727"	2014	163.461
"A23008857"	2011	163.478
"A31009913"	2014	163.521
"A04016952"	2009	163.548
"A08186074"	2015	163.715
"B46173423"	2008	163.774
"B33029729"	2016	163.832
"B50001874"	2014	163.844
"A17014879"	2007	163.847
"A25022609"	2012	163.856
"B83481002"	2015	164
"B28249431"	2007	164.06
"A08623928"	2016	164.089
"A45019916"	2015	164.115
"B28692044"	2017	164.349
"A08563769"	2010	164.363
"A28106979"	2011	164.376
"A17009598"	2017	164.469
"B46055943"	2016	164.489
"A47021076"	2016	164.501
"A28510246"	2009	164.517
"A22201164"	2017	164.532
"A39000690"	2012	164.541
"B99004541"	2014	164.602
"A08556896"	2007	164.62
"B31001696"	2007	164.691
"A41014986"	2013	164.696
"B12003554"	2012	164.763
"A50013671"	2015	164.774
"A08425902"	2010	164.82
"A36014009"	2011	165.253
"B03019106"	2013	165.319
"B08552614"	2016	165.337
"A28618890"	2016	165.346
"A31018799"	2010	165.391
"A30036438"	2016	165.431
"A36604882"	2015	165.567
"A28612620"	2012	165.63
"A30014047"	2012	165.647
"A29051067"	2009	165.674
"B18551226"	2011	165.719
"A46156048"	2008	165.822
"B14484612"	2013	165.85
"B08373250"	2008	165.857
"A21008727"	2013	165.919
"A26004754"	2015	165.922
"A08565285"	2013	165.927
"A78267309"	2013	165.983
"A31034606"	2007	166.01
"A28651222"	2012	166.062
"B33029729"	2015	166.164
"A28290799"	2013	166.216
"B28170215"	2014	166.24
"A28357903"	2017	166.397
"B12007357"	2011	166.438
"B83814251"	2011	166.509
"B30023535"	2017	166.555
"A28012656"	2017	166.875
"B83766485"	2017	167.06
"B38030045"	2014	167.121
"A24019499"	2008	167.13
"A17009598"	2016	167.169
"A08514135"	2016	167.217
"A11006095"	2016	167.376
"A48092886"	2009	167.388
"B08245805"	2013	167.433
"A08623928"	2017	167.439
"A48119143"	2010	167.45
"B60552619"	2014	167.463
"A35018027"	2014	167.496
"A08228520"	2009	167.513
"B03045507"	2011	167.515
"A28375467"	2015	167.522
"A48095822"	2012	167.618
"A17003757"	2008	167.636
"A13005384"	2007	167.695
"A20557294"	2011	167.704
"A08375537"	2012	167.749
"A18312041"	2015	167.876
"A58061383"	2013	168.055
"B28249431"	2008	168.11
"A39000849"	2012	168.24
"A17045204"	2016	168.365
"A08200032"	2012	168.428
"A01009265"	2007	168.522
"A17021460"	2010	168.554
"A48040232"	2016	168.633
"A08051526"	2010	168.951
"B50938489"	2017	168.961
"A04236931"	2008	169.014
"A20032264"	2007	169.022
"A08659302"	2015	169.271
"A04000881"	2007	169.305
"A46066825"	2009	169.337
"A17005968"	2013	169.381
"A08526345"	2012	169.628
"A09015256"	2007	169.655
"A29050762"	2016	169.658
"A28441269"	2010	169.801
"A39013867"	2015	169.912
"A78688934"	2016	170.036
"B33920141"	2014	170.113
"A46151973"	2010	170.13
"A07068430"	2017	170.179
"A28415487"	2017	170.242
"A28681492"	2007	170.28
"F46028072"	2013	170.316
"A48080881"	2016	170.34
"B59886531"	2007	170.4
"A35019637"	2013	170.428
"A08509937"	2009	170.533
"A28636025"	2009	170.57
"A38269270"	2015	170.606
"B18012831"	2014	170.632
"A08479297"	2011	170.649
"A29519220"	2014	170.845
"A28618890"	2017	170.869
"A30025555"	2013	170.926
"B46103131"	2012	170.956
"A28435931"	2016	170.968
"A36604882"	2016	171.018
"B30029110"	2009	171.061
"B46121000"	2013	171.078
"A30017636"	2014	171.403
"B18012831"	2013	171.429
"A28341055"	2010	171.454
"A28416089"	2008	171.492
"A46031845"	2011	171.52
"B46071080"	2008	171.655
"A08681264"	2011	171.679
"A26020198"	2017	171.755
"B17374893"	2016	171.76
"B43952126"	2015	171.837
"A25008046"	2015	171.847
"A48114151"	2013	172.067
"A33024621"	2015	172.113
"A08689796"	2008	172.12
"A81933772"	2016	172.185
"A08612103"	2015	172.271
"A08304933"	2011	172.316
"A08156218"	2011	172.379
"A41037672"	2015	172.432
"A15007727"	2015	172.468
"A38013272"	2010	172.481
"B32008179"	2014	172.514
"A08720245"	2007	172.568
"A29063567"	2013	172.692
"A83741967"	2017	172.732
"A36615037"	2010	172.749
"A30031769"	2008	172.776
"B07985609"	2017	172.779
"A11012572"	2007	172.798
"A36002285"	2014	172.931
"A29018207"	2017	173.079
"A17001678"	2010	173.105
"B73456147"	2015	173.136
"A28518090"	2008	173.187
"A35028208"	2016	173.29
"A26004754"	2013	173.333
"A48033526"	2016	173.351
"B80397409"	2012	173.357
"A41028820"	2017	173.393
"A12524278"	2011	173.396
"A09015405"	2007	173.4
"A35028570"	2012	173.474
"A11209749"	2015	173.575
"A23019342"	2016	173.584
"A28428233"	2013	173.598
"A17003757"	2009	173.599
"A08687204"	2013	173.656
"A08591075"	2015	173.695
"B01003581"	2013	173.792
"A30036438"	2017	173.818
"A28195147"	2013	173.831
"A28049492"	2016	173.894
"A46122065"	2017	173.988
"A28359073"	2010	174
"B46115838"	2011	174
"A08209538"	2008	174.195
"A08215428"	2017	174.247
"A36002285"	2013	174.27
"A31501901"	2012	174.387
"B41002619"	2007	174.442
"A28674489"	2009	174.466
"A81036923"	2017	174.475
"A23010200"	2012	174.606
"A08622938"	2016	174.763
"A22012223"	2010	175.049
"A50000355"	2016	175.251
"A28134534"	2014	175.304
"A08061731"	2016	175.402
"A08121089"	2016	175.448
"A28524726"	2015	175.557
"A39017058"	2016	175.561
"A28325785"	2014	175.735
"B28341832"	2010	175.754
"B48074306"	2016	175.767
"A26015503"	2012	175.815
"B35642198"	2014	175.834
"B23011273"	2016	175.856
"B19001551"	2010	175.95
"A30005524"	2007	176.02
"A19163682"	2011	176.074
"A46336152"	2014	176.092
"A07007735"	2012	176.222
"A08659617"	2012	176.288
"A08609281"	2010	176.297
"A28392736"	2013	176.389
"B31001290"	2009	176.478
"B39014709"	2013	176.532
"A48083927"	2013	176.692
"A46126439"	2015	176.718
"A28681492"	2014	176.799
"A48064182"	2008	176.89
"B27014398"	2016	176.986
"B08265183"	2014	177
"B08156127"	2007	177.102
"A08639643"	2012	177.327
"A36603637"	2012	177.415
"B03101748"	2017	177.447
"A17005968"	2014	177.463
"B43004852"	2013	177.56
"A48080881"	2012	177.62
"A46162665"	2017	177.666
"A12000071"	2012	177.767
"A46077053"	2017	177.779
"A33016403"	2012	177.811
"A21000427"	2015	177.855
"A06141345"	2015	178.084
"A26008664"	2016	178.087
"A38026605"	2010	178.4
"A25017880"	2017	178.5
"A50169143"	2015	178.552
"A30036438"	2012	178.618
"A28295038"	2016	178.63
"A28683068"	2008	178.66
"A08198392"	2009	178.698
"B08688301"	2007	178.732
"B11606647"	2010	178.781
"B37024825"	2015	178.839
"A08220428"	2015	178.912
"B11900602"	2009	178.915
"A08051526"	2008	178.949
"A44004059"	2017	179.07
"A05122460"	2011	179.086
"B17593633"	2011	179.126
"A21007950"	2017	179.171
"A08623928"	2015	179.172
"A20036877"	2015	179.199
"A41069352"	2016	179.222
"A50008390"	2015	179.252
"B08195653"	2015	179.282
"B19001551"	2008	179.474
"A28552149"	2017	179.547
"B08463424"	2012	179.562
"A03061850"	2017	179.562
"A59320143"	2012	179.581
"A26004754"	2009	179.699
"B30041115"	2011	179.764
"A30014047"	2013	179.766
"A48119622"	2015	179.846
"A06017040"	2009	180.05
"B62263272"	2013	180.143
"A32226037"	2016	180.199
"A33021635"	2015	180.23
"B46155271"	2016	180.308
"B12007357"	2012	180.381
"A33600107"	2013	180.489
"A42001305"	2016	180.599
"B15021835"	2014	180.671
"B46160842"	2008	180.673
"A85279107"	2017	180.765
"A09004813"	2009	180.81
"A08005696"	2015	180.861
"A46020558"	2014	180.947
"A28458826"	2010	181.058
"A36017598"	2011	181.101
"A07068422"	2013	181.118
"A08513541"	2012	181.162
"B13009592"	2013	181.174
"A08489007"	2009	181.175
"A30610984"	2012	181.262
"B03036340"	2013	181.364
"A08691503"	2013	181.378
"F30046411"	2011	181.45
"A28518090"	2007	181.49
"A30009815"	2007	181.511
"F10017804"	2014	181.522
"A08156218"	2009	181.552
"B36603629"	2013	181.646
"A08691503"	2014	181.739
"A33560772"	2012	181.792
"A31501901"	2009	181.808
"A50023423"	2013	181.819
"A12021267"	2013	181.938
"A30021877"	2016	181.967
"A78753514"	2009	181.994
"B80146517"	2014	182
"A08466807"	2007	182
"B06007314"	2013	182.065
"A08231250"	2013	182.163
"B07025315"	2007	182.18
"A07802218"	2016	182.289
"A07068422"	2012	182.427
"A50047505"	2016	182.48
"A45015716"	2012	182.5
"A33117995"	2017	182.616
"A08069809"	2008	182.621
"A30013247"	2007	182.705
"A78100609"	2017	182.745
"A46156048"	2007	182.958
"A08375545"	2010	182.994
"A01000777"	2009	183.001
"A08181067"	2008	183.084
"A08612103"	2016	183.146
"A46048732"	2011	183.186
"B33029729"	2007	183.195
"A33009630"	2013	183.236
"A28630374"	2015	183.241
"A08361016"	2014	183.281
"A35008168"	2014	183.304
"A30610984"	2013	183.337
"A48016794"	2017	183.344
"A12021267"	2012	183.346
"A48071351"	2013	183.348
"A12019840"	2011	183.43
"A08078719"	2015	183.489
"A08262412"	2017	183.551
"A33024084"	2011	183.629
"A08296535"	2016	183.656
"B46115838"	2016	183.675
"A08363400"	2016	183.789
"B30034730"	2011	183.89
"A17011297"	2007	183.92
"A30036438"	2007	184.243
"A08026635"	2015	184.254
"A48155352"	2013	184.292
"A16007064"	2012	184.419
"A08285363"	2014	184.469
"A18484360"	2011	184.475
"B28218816"	2017	184.485
"A30036438"	2013	184.492
"A07042088"	2017	184.613
"A46074647"	2015	184.648
"A08651762"	2013	184.737
"B41042995"	2017	184.805
"A41037672"	2012	184.838
"A17014879"	2014	184.961
"A31825466"	2012	185.003
"A01001072"	2008	185.069
"A03050572"	2016	185.14
"A08626939"	2007	185.147
"A03057221"	2015	185.181
"B47014568"	2009	185.262
"A46082228"	2013	185.441
"B83541912"	2017	185.694
"A01004548"	2010	185.789
"A12021267"	2011	185.806
"A28695856"	2014	185.886
"A78521168"	2007	185.932
"A61427183"	2010	185.938
"B28118800"	2013	185.972
"A28392033"	2015	186.019
"A12017760"	2011	186.149
"A30036438"	2010	186.283
"A81527095"	2015	186.294
"A14022099"	2014	186.403
"A19012962"	2014	186.463
"A31501901"	2007	186.52
"A08311995"	2009	186.538
"A35045681"	2014	186.69
"A48080881"	2011	186.766
"A34007831"	2013	186.799
"B07034416"	2014	186.804
"B50561968"	2011	186.833
"A14022099"	2010	186.98
"A28630374"	2008	186.983
"A41088493"	2017	187.009
"A17005968"	2007	187.03
"A48080881"	2013	187.04
"A43029339"	2010	187.136
"A46007548"	2013	187.152
"A28580546"	2017	187.172
"B30035968"	2017	187.183
"A47010194"	2009	187.221
"A08051526"	2009	187.363
"A46122065"	2016	187.374
"B03036720"	2013	187.432
"A33018664"	2011	187.488
"A28612620"	2011	187.528
"A08453219"	2010	187.538
"A43020486"	2007	187.65
"A28518090"	2011	187.738
"A30022958"	2011	187.849
"A31072325"	2016	187.99
"A08375545"	2012	188.028
"A08640039"	2007	188.037
"A25041146"	2007	188.05
"A28518041"	2016	188.078
"A03088580"	2009	188.108
"B50001874"	2010	188.237
"A08360844"	2010	188.264
"A28200384"	2016	188.281
"A08450421"	2007	188.3
"A30035679"	2009	188.311
"A08198392"	2008	188.33
"A08332256"	2007	188.56
"A17009093"	2012	188.562
"A03017886"	2014	188.621
"V30405880"	2009	188.827
"B38030045"	2015	188.839
"B12020194"	2015	188.843
"B08292054"	2007	188.86
"A03036373"	2009	188.905
"A80632573"	2009	189.007
"A28172476"	2016	189.007
"B28623593"	2011	189.11
"A46336152"	2010	189.124
"A08604159"	2012	189.191
"A43010974"	2011	189.207
"A03402468"	2017	189.275
"A28695856"	2009	189.325
"A03033164"	2017	189.636
"B30605760"	2010	189.667
"A12283388"	2007	189.67
"A17013913"	2009	189.67
"A30012009"	2013	189.69
"A46035770"	2011	189.836
"A33604851"	2016	189.873
"A03057486"	2015	189.903
"B28489748"	2007	190.03
"A48020200"	2010	190.143
"B20062295"	2016	190.164
"A33021635"	2016	190.175
"A38019543"	2011	190.209
"A48077184"	2009	190.252
"B47506811"	2013	190.259
"A46014155"	2014	190.31
"A08700197"	2014	190.319
"A27199140"	2011	190.352
"A08128910"	2015	190.412
"B45020351"	2013	190.484
"A50025071"	2015	190.491
"A05122460"	2015	190.519
"A48119622"	2017	190.713
"A39031620"	2013	190.845
"A08361644"	2017	190.862
"A48295604"	2014	190.908
"A24004103"	2009	190.923
"A08008518"	2010	191.101
"B36009942"	2008	191.101
"F10017804"	2008	191.127
"A30029862"	2014	191.13
"F30046411"	2013	191.138
"A03061850"	2016	191.195
"A07044530"	2013	191.279
"A46035770"	2013	191.357
"B07025315"	2017	191.555
"A46048732"	2012	191.577
"B96990015"	2016	191.641
"A01005594"	2013	191.762
"A33024084"	2007	191.781
"B35023068"	2013	191.882
"B62119904"	2010	192
"A41028820"	2016	192.009
"A29025368"	2011	192.054
"B41007576"	2009	192.091
"B12020194"	2012	192.113
"A23019342"	2017	192.145
"A28700383"	2009	192.3
"A08005696"	2016	192.384
"A29006343"	2011	192.435
"A41050535"	2007	192.46
"A28457059"	2017	192.62
"A07016025"	2012	192.69
"A08723926"	2016	192.711
"A46035770"	2010	192.763
"A08340267"	2008	192.83
"A28443158"	2015	192.915
"B08628455"	2010	193.051
"A18012930"	2013	193.052
"A06017040"	2008	193.143
"A08332256"	2010	193.202
"B22004931"	2015	193.218
"A07068430"	2013	193.353
"A09021833"	2009	193.36
"A11209749"	2013	193.393
"B50029263"	2007	193.622
"A82026840"	2017	193.771
"A78905908"	2016	193.818
"F30046411"	2012	193.832
"A03003530"	2010	193.869
"A08291973"	2012	193.921
"A08489007"	2010	193.985
"A29955093"	2017	193.999
"B14030720"	2007	194.006
"A20065744"	2010	194.045
"F46028072"	2015	194.067
"B38020020"	2009	194.131
"A30036438"	2011	194.152
"A30032130"	2013	194.221
"A33024621"	2016	194.268
"B20070082"	2007	194.303
"A43002450"	2008	194.4
"A38371159"	2010	194.424
"A46104485"	2010	194.441
"A43035708"	2010	194.445
"A08097180"	2017	194.451
"A30021877"	2008	194.51
"A28016947"	2007	194.532
"A08526345"	2007	194.563
"A28458826"	2007	194.601
"A21000427"	2009	194.624
"A08061590"	2014	194.772
"A08222465"	2015	194.788
"A46051918"	2016	194.797
"A08592370"	2013	194.856
"A38000410"	2017	194.858
"A41920943"	2009	194.92
"B03094455"	2008	194.928
"A62332580"	2010	194.99
"A08526345"	2008	195.043
"A46005484"	2017	195.045
"A02014165"	2016	195.094
"A36605772"	2017	195.114
"F03290871"	2016	195.119
"B35023068"	2012	195.137
"A23019342"	2015	195.146
"A15024482"	2007	195.22
"A07026701"	2013	195.22
"A46078267"	2016	195.222
"A08604159"	2008	195.316
"A35008168"	2007	195.328
"A47025895"	2016	195.358
"B28148773"	2015	195.378
"A08607988"	2016	195.571
"A27199140"	2012	195.64
"A07068430"	2015	195.665
"F10017804"	2010	195.746
"B80397409"	2013	195.759
"A28612620"	2016	195.816
"A28686111"	2016	195.964
"A08104994"	2007	195.97
"A08622938"	2014	196.075
"A08509937"	2010	196.173
"B31784895"	2011	196.428
"A46069456"	2013	196.476
"V30405880"	2007	196.553
"A43010974"	2017	196.706
"A24001661"	2007	196.799
