nif	year	tesoreria
"A03017886"	2011	277.933
"A08195927"	2010	277.945
"A26004960"	2017	278
"A30018345"	2015	278.016
"B50001874"	2016	278.03
"A50335918"	2009	278.035
"A34007831"	2014	278.038
"A08156218"	2012	278.074
"A25041146"	2016	278.188
"B30032445"	2014	278.215
"A48045199"	2016	278.276
"A48092886"	2007	278.28
"B08282337"	2008	278.348
"F41114141"	2013	278.376
"A28550960"	2015	278.398
"A28400323"	2010	278.57
"A08450421"	2017	278.673
"A03005154"	2009	278.706
"A25008046"	2014	278.751
"B39026604"	2017	279
"B35665991"	2016	279
"B30010326"	2012	279.061
"B08111411"	2014	279.13
"A08280240"	2008	279.15
"A08691503"	2010	279.215
"A08445983"	2017	279.249
"A28582450"	2008	279.296
"A07068422"	2015	279.53
"B27013382"	2015	279.64
"A30604680"	2011	279.693
"A44004059"	2010	279.796
"A28333490"	2009	279.867
"A08622938"	2015	279.876
"A30012959"	2009	279.901
"A04007811"	2008	279.917
"A07061161"	2008	279.951
"B50031749"	2011	279.959
"A46122065"	2017	279.96
"A20036877"	2007	279.99
"A28294718"	2017	280
"A08200313"	2015	280.027
"B03004801"	2011	280.082
"A31062342"	2017	280.11
"A08440323"	2014	280.134
"A41080144"	2011	280.144
"A28712479"	2010	280.181
"B41591165"	2012	280.302
"A46011888"	2016	280.386
"A12014346"	2012	280.46
"B03039609"	2011	280.525
"B43590272"	2017	280.543
"A48002984"	2012	280.68
"A33610304"	2012	280.686
"B19001551"	2011	280.794
"B08078396"	2015	280.815
"A62400718"	2015	280.832
"B46043238"	2008	280.896
"B41065418"	2011	280.91
"B14484612"	2013	280.92
"A33024084"	2015	280.949
"B15009566"	2013	281.059
"A08203226"	2012	281.091
"A08513178"	2013	281.125
"A28712479"	2011	281.184
"A28552149"	2009	281.227
"B16010464"	2017	281.351
"A30011282"	2016	281.495
"B28623213"	2013	281.518
"B78459815"	2012	281.523
"A46156048"	2013	281.586
"A46087565"	2017	281.623
"A36014595"	2012	281.626
"B31067168"	2010	281.627
"A20557294"	2014	281.667
"B82988825"	2012	281.678
"A08670929"	2015	281.731
"B30037204"	2017	281.764
"V12465118"	2013	281.766
"B63805295"	2014	281.786
"B48033278"	2013	281.805
"A58253816"	2007	281.81
"A15013618"	2010	281.831
"A31062342"	2016	281.841
"A80200868"	2007	282.085
"A33024084"	2011	282.189
"B31694912"	2010	282.22
"A31001266"	2016	282.224
"B47009626"	2010	282.336
"A08989782"	2013	282.347
"A50032325"	2013	282.442
"A08183485"	2014	282.443
"A28646735"	2017	282.458
"A91291435"	2012	282.58
"B82529017"	2014	282.586
"A29519220"	2007	282.66
"A17011297"	2014	282.74
"A28612208"	2014	282.806
"A41053927"	2012	282.836
"B28617256"	2010	282.871
"A24020562"	2014	282.907
"A28623379"	2015	282.976
"A60531688"	2008	283
"A28070167"	2014	283.016
"A30012009"	2017	283.072
"A15010994"	2008	283.267
"A30011282"	2015	283.275
"B46084208"	2010	283.296
"A50047505"	2015	283.341
"A08401184"	2017	283.454
"A43020643"	2015	283.523
"A28582450"	2007	283.605
"F46028072"	2017	283.61
"A36014595"	2013	283.613
"A28030062"	2015	283.614
"A34129635"	2017	283.699
"A31449002"	2014	283.764
"A36603967"	2012	283.844
"A50032309"	2013	283.862
"A28027811"	2008	283.926
"A08102410"	2016	283.944
"A48064182"	2011	284
"A30023238"	2008	284.124
"A12405577"	2014	284.193
"B02419273"	2015	284.233
"A81824047"	2017	284.247
"B50561968"	2007	284.295
"A41035742"	2017	284.295
"A32006413"	2011	284.309
"A08120859"	2008	284.338
"B22009377"	2015	284.488
"A08401820"	2013	284.605
"A29453768"	2007	284.707
"A25008046"	2011	284.709
"A36014595"	2011	284.915
"A28574101"	2014	285.023
"A48095822"	2016	285.055
"V30405880"	2013	285.073
"B28579506"	2011	285.074
"A06244131"	2009	285.083
"A36016574"	2017	285.109
"A28034031"	2016	285.373
"B50029263"	2017	285.455
"A48084909"	2007	285.708
"A47021076"	2013	285.73
"A28273043"	2017	285.799
"A24001661"	2008	285.895
"A36017598"	2009	286.021
"A08450421"	2010	286.026
"A08198392"	2016	286.097
"A08568057"	2009	286.134
"B62111018"	2014	286.178
"A15027139"	2015	286.313
"B50938489"	2012	286.367
"A48155352"	2015	286.517
"B48074306"	2014	286.556
"B81760829"	2008	286.582
"B29682135"	2017	286.59
"B20070082"	2008	286.625
"A31009913"	2010	286.679
"A35397884"	2015	286.743
"F50561091"	2010	286.756
"A08026635"	2016	286.781
"B36009207"	2017	286.844
"B39014709"	2009	286.941
"B46166013"	2007	287.103
"A24003873"	2007	287.264
"A07061161"	2017	287.338
"B12662722"	2013	287.444
"A33602905"	2013	287.475
"A38371159"	2011	287.499
"B48059786"	2017	287.535
"A29453768"	2009	287.562
"A50023423"	2017	287.576
"A46005252"	2013	287.617
"A02014165"	2015	287.724
"A08145385"	2014	287.841
"A18012930"	2011	287.841
"A30018345"	2012	287.877
"A28118040"	2008	287.946
"B37033487"	2013	288.068
"B22004931"	2015	288.097
"A20055380"	2009	288.426
"A58664764"	2013	288.439
"A31196983"	2015	288.526
"A28219202"	2016	288.592
"A12019840"	2015	288.613
"A41087404"	2008	288.65
"A28712479"	2008	288.714
"A38371159"	2014	288.748
"B28361350"	2017	288.808
"A53288478"	2017	288.861
"A50023423"	2015	288.904
"A34129635"	2016	288.933
"B78496759"	2014	289.04
"A33021635"	2015	289.057
"A28715316"	2013	289.07
"A08683864"	2011	289.113
"B03004801"	2015	289.123
"A01005594"	2015	289.132
"A28711893"	2011	289.159
"A09004813"	2017	289.163
"A34007831"	2013	289.237
"B28360360"	2013	289.297
"A28411585"	2007	289.31
"A82198847"	2015	289.313
"A28604882"	2015	289.359
"A45002839"	2015	289.409
"A58534777"	2017	289.419
"A82716010"	2016	289.503
"B17048364"	2017	289.61
"A14004691"	2011	289.628
"B28492841"	2010	289.7
"A35018696"	2014	289.76
"A36643450"	2010	289.874
"B28379386"	2017	289.887
"A48115000"	2016	289.898
"A47025895"	2016	289.933
"A20065744"	2010	289.937
"B16010464"	2016	289.977
"A22009039"	2010	289.98
"A08802068"	2017	290.012
"A28556504"	2017	290.056
"A01010164"	2009	290.083
"A28108447"	2017	290.127
"B50938489"	2011	290.172
"A12081790"	2007	290.19
"A15031800"	2014	290.253
"A31018799"	2009	290.448
"A17001207"	2013	290.518
"A28518090"	2011	290.58
"A43020486"	2014	290.62
"A36615037"	2015	290.657
"A28698884"	2012	290.69
"A28086858"	2015	290.703
"B45018017"	2015	290.793
"A28582450"	2014	290.864
"B01267277"	2011	290.938
"A60531688"	2017	291
"A08503005"	2017	291
"B80146517"	2016	291
"A48064182"	2016	291
"A28577864"	2010	291.02
"A24003873"	2008	291.183
"A32006215"	2009	291.243
"A35569102"	2015	291.25
"A39020805"	2017	291.337
"A08612061"	2008	291.342
"A36008886"	2015	291.346
"A46043154"	2017	291.43
"A36002285"	2015	291.463
"B14468292"	2016	291.598
"B45005279"	2008	291.751
"B39523956"	2015	291.784
"A38018404"	2012	291.811
"A34009936"	2015	291.818
"A08709131"	2016	291.856
"B82175001"	2012	291.882
"A08340267"	2008	291.91
"A28034031"	2015	291.945
"A48025571"	2016	292
"B38238788"	2017	292.032
"B28044204"	2013	292.108
"A58132606"	2011	292.237
"A01000249"	2009	292.285
"A46105532"	2010	292.374
"A12050324"	2014	292.385
"A14015101"	2014	292.459
"A08385395"	2014	292.501
"A22009492"	2011	292.591
"B60544046"	2008	292.707
"A30017636"	2008	292.792
"A83741967"	2017	292.805
"A08262412"	2017	292.867
"A47017728"	2014	292.886
"V41812744"	2011	292.981
"A17202375"	2011	293
"A11018736"	2013	293.008
"A50052489"	2012	293.042
"A38003844"	2010	293.06
"B37020179"	2016	293.069
"A33602905"	2014	293.177
"A07161821"	2012	293.257
"A38020905"	2015	293.484
"B46103131"	2010	293.536
"A04016952"	2010	293.761
"A08710055"	2015	293.785
"A15000391"	2017	293.797
"B28091486"	2010	293.803
"A47022058"	2012	293.825
"B28579506"	2017	293.954
"B06007314"	2013	294.004
"B50023142"	2008	294.13
"A50335918"	2015	294.179
"B03026382"	2014	294.373
"A28404614"	2017	294.457
"A31009913"	2016	294.466
"B81335473"	2014	294.589
"A78400603"	2015	294.644
"B41002619"	2008	294.65
"B38318572"	2017	294.769
"A07919087"	2013	294.81
"A24012692"	2015	294.864
"A30017636"	2007	294.868
"A20065744"	2016	294.992
"A61797536"	2016	295
"A17041708"	2011	295.217
"A07919087"	2012	295.245
"A08331472"	2011	295.252
"B12020194"	2013	295.411
"A36608180"	2010	295.536
"A11209749"	2013	295.665
"B45555489"	2017	295.741
"A50018837"	2015	295.789
"A25020173"	2008	295.8
"V48566475"	2013	295.81
"A48083927"	2011	295.829
"A03021276"	2017	295.864
"A28451649"	2015	295.874
"A46089819"	2016	295.915
"A28674968"	2016	296.031
"A81047375"	2007	296.175
"A17014879"	2009	296.512
"A32226037"	2009	296.599
"A08513541"	2013	296.6
"A08051526"	2008	296.635
"A48114318"	2017	296.942
"A43016757"	2015	296.99
"A48064521"	2017	297.023
"B03039609"	2013	297.147
"A08689796"	2010	297.181
"A08667123"	2009	297.198
"A48865679"	2010	297.342
"A28410850"	2007	297.388
"A38473724"	2013	297.486
"A25041146"	2015	297.502
"A01007442"	2012	297.518
"B06007314"	2011	297.527
"B03078391"	2014	297.585
"A50335918"	2016	297.655
"A07190309"	2012	297.833
"A46115127"	2007	297.849
"A32006215"	2016	297.861
"B32008625"	2015	298.05
"A48155352"	2013	298.065
"A20031126"	2010	298.119
"A12512497"	2015	298.289
"A60362266"	2014	298.305
"A24001661"	2014	298.372
"A62977186"	2010	298.448
"B84537315"	2014	298.535
"A83932475"	2011	298.587
"B28091486"	2008	298.59
"B33876459"	2016	298.609
"B12015210"	2014	298.611
"A53288478"	2015	298.691
"A07004187"	2015	298.705
"A48093538"	2015	298.721
"A04016952"	2007	298.797
"B46118717"	2014	298.861
"A17033473"	2010	298.879
"A47016944"	2015	298.96
"A31096233"	2015	298.968
"A32006215"	2012	298.991
"A33026980"	2015	299.084
"A81438145"	2015	299.12
"B37024825"	2016	299.181
"A28025435"	2014	299.228
"A30506406"	2014	299.322
"A08120859"	2009	299.469
"A12019295"	2007	299.49
"A01000777"	2008	299.505
"A08622938"	2010	299.711
"B80372220"	2013	299.726
"A81536112"	2011	300.017
"B28341832"	2012	300.558
"A46115127"	2013	300.721
"A28117026"	2013	300.751
"A25011180"	2009	300.814
"A06163851"	2012	300.949
"A08555344"	2008	300.982
"A50034024"	2008	301.073
"A08026635"	2015	301.119
"B25436122"	2009	301.188
"A33005612"	2015	301.301
"B96324983"	2016	301.322
"A28191088"	2014	301.363
"A36604882"	2009	301.407
"A29051067"	2013	301.449
"B37015526"	2008	301.592
"A28375913"	2015	301.643
"A01019702"	2015	301.704
"B30605760"	2013	301.724
"B45007671"	2009	301.838
"A08555344"	2017	301.954
"B36623148"	2015	301.997
"B78077724"	2011	302
"B12007456"	2016	302.005
"A03033164"	2010	302.034
"A08280240"	2016	302.135
"A28016947"	2016	302.136
"A28427581"	2013	302.267
"A48092886"	2015	302.279
"A80632573"	2017	302.364
"F46028072"	2012	302.453
"A26015503"	2009	302.499
"A24003873"	2012	302.535
"A08120859"	2007	302.542
"A13008461"	2007	302.586
"A48020358"	2010	302.598
"B43361724"	2016	302.66
"B92217975"	2012	302.913
"A08121089"	2015	302.939
"A04325494"	2013	302.983
"B46135364"	2009	303.022
"A78020732"	2013	303.252
"A48084909"	2008	303.36
"A59067603"	2012	303.494
"A13008461"	2008	303.584
"A31018799"	2014	303.63
"A12000071"	2007	303.805
"A03084936"	2016	303.818
"A29003423"	2015	303.841
"A50049105"	2017	303.895
"A26008664"	2010	303.93
"A28134534"	2016	303.954
"A08670929"	2016	303.98
"A28375467"	2011	304.003
"A14025902"	2013	304.084
"A48033526"	2012	304.108
"F30587919"	2017	304.223
"A45562329"	2017	304.242
"A21007950"	2016	304.422
"A08681264"	2011	304.466
"B81231516"	2014	304.489
"A31061385"	2012	304.513
"A24019499"	2009	304.66
"B30558290"	2007	304.691
"A28443158"	2013	304.938
"A08360844"	2007	305.038
"B20055703"	2015	305.098
"A23022783"	2008	305.165
"A28049153"	2009	305.205
"A46016374"	2007	305.237
"A20074068"	2017	305.243
"B30606099"	2009	305.448
"A28357903"	2010	305.545
"A32002107"	2007	305.62
"A50012822"	2017	305.644
"B12007456"	2014	305.653
"A21102157"	2007	305.68
"A07026701"	2012	305.707
"A45025327"	2013	305.741
"A53283511"	2015	305.756
"A08005696"	2011	305.809
"A01000249"	2008	305.895
"B36623148"	2013	305.951
"A01000249"	2014	305.97
"A81000028"	2016	305.998
"A01061373"	2009	306
"A01015510"	2017	306.004
"A08200040"	2014	306.09
"B46164463"	2007	306.122
"A30023238"	2007	306.16
"B30015226"	2012	306.165
"B07029465"	2013	306.183
"A08513541"	2012	306.266
"A50018837"	2017	306.365
"A20020277"	2015	306.37
"A50029065"	2015	306.407
"A50889955"	2014	306.426
"A38003844"	2015	306.467
"B03039609"	2009	306.63
"B03026382"	2010	306.701
"A50030543"	2017	306.74
"A15506934"	2016	306.849
"B09013335"	2014	306.893
"B41007576"	2014	306.925
"B28188100"	2015	306.952
"B63805295"	2015	307
"A58394941"	2014	307.18
"A58348038"	2009	307.235
"A38003679"	2017	307.273
"A03001948"	2007	307.305
"A48093421"	2017	307.322
"A08105256"	2010	307.337
"B35388867"	2008	307.393
"B46135364"	2010	307.417
"A28651222"	2014	307.45
"B19179662"	2014	307.461
"A31404452"	2014	307.547
"A08568057"	2015	307.563
"B46166013"	2012	307.605
"A08373102"	2009	307.611
"A26011841"	2016	307.734
"A96918867"	2013	307.912
"A38000485"	2014	308
"A28345148"	2007	308.103
"A28610863"	2013	308.11
"A28202075"	2009	308.147
"A36017598"	2016	308.155
"A46170080"	2010	308.555
"A38003133"	2015	308.67
"A08677700"	2013	308.734
"A38003844"	2011	308.833
"A18016709"	2010	308.929
"A31035413"	2017	309.144
"A11000288"	2011	309.273
"A36611903"	2011	309.359
"B08581951"	2014	309.369
"A03017886"	2007	309.392
"A30004790"	2017	309.439
"A25011180"	2014	309.59
"B78908605"	2014	309.63
"A08526345"	2017	309.744
"A28458826"	2007	309.835
"B58222548"	2009	309.84
"A21000427"	2009	309.938
"A15020480"	2008	309.958
"A28278596"	2009	310
"A43621416"	2016	310
"A28359073"	2008	310.04
"A08218133"	2015	310.088
"A08691503"	2011	310.105
"A46156048"	2011	310.109
"A30047120"	2017	310.383
"A25020173"	2013	310.446
"B32003998"	2013	310.508
"A07026651"	2011	310.53
"A28496438"	2012	310.64
"A32005548"	2014	310.739
"A31009913"	2011	310.827
"B28113991"	2017	311.339
"A08484107"	2012	311.353
"B18006668"	2016	311.353
"A41088493"	2017	311.386
"A08480287"	2013	311.401
"A09022963"	2014	311.404
"A12524278"	2010	311.493
"A15044530"	2011	311.563
"B46151411"	2011	311.632
"B03094455"	2017	311.802
"B12008553"	2014	311.919
"A36621522"	2017	312.01
"A28155240"	2013	312.024
"A31068927"	2013	312.138
"A17017005"	2015	312.203
"B30566194"	2013	312.204
"A08145385"	2015	312.211
"A17045972"	2016	312.338
"A27007731"	2016	312.378
"A28581247"	2015	312.52
"A39031620"	2015	312.697
"A03033164"	2015	312.79
"A42000901"	2015	312.828
"B96011283"	2010	312.857
"B27015965"	2013	312.915
"A57082570"	2013	312.923
"A08051526"	2013	312.936
"A28674489"	2010	312.948
"A48020358"	2017	313.25
"B28350965"	2011	313.359
"A46965034"	2017	313.396
"B46102364"	2014	313.399
"A08203887"	2014	313.413
"V30405880"	2014	313.616
"A07042088"	2016	313.635
"A08283798"	2012	313.811
"A26004978"	2010	313.865
"A30035679"	2013	313.942
"A29018249"	2016	313.943
"B15516933"	2011	313.944
"B08413247"	2010	314.046
"A41080144"	2008	314.053
"A46105508"	2017	314.069
"B28188100"	2017	314.296
"B48059786"	2011	314.311
"A03026697"	2016	314.314
"B38017067"	2010	314.362
"A04236931"	2007	314.451
"A33021635"	2016	314.52
"A38371159"	2017	314.588
"B62850094"	2011	314.722
"B03078391"	2015	314.778
"A07026701"	2016	314.793
"A31076508"	2015	314.795
"B41088642"	2010	314.836
"B18012831"	2016	314.966
"A48057467"	2014	315.055
"A07038441"	2009	315.062
"A39020805"	2016	315.122
"A28134534"	2009	315.168
"A48865679"	2007	315.18
"A30022172"	2016	315.196
"A48064521"	2011	315.248
"A07038441"	2015	315.355
"A08119752"	2016	315.367
"A73093734"	2011	315.382
"A33602905"	2011	315.476
"A48020358"	2009	315.478
"B46118717"	2013	315.59
"A08677700"	2014	315.614
"B17016569"	2015	315.743
"A08128910"	2010	315.864
"B46151411"	2012	315.888
"A45007614"	2009	315.931
"A28012342"	2017	316
"A29519220"	2017	316.177
"A59382762"	2009	316.236
"A08042764"	2012	316.394
"A08051526"	2009	316.443
"A12012605"	2016	316.45
"A35045681"	2011	316.598
"A28324630"	2013	316.683
"A28400323"	2017	316.751
"A08533945"	2016	317.005
"A50459528"	2016	317.046
"A15016595"	2008	317.148
"A29350139"	2014	317.252
"A09205550"	2016	317.286
"A48115000"	2015	317.457
"A08132656"	2011	317.49
"A08154650"	2007	317.51
"A28034031"	2013	317.526
"A01007442"	2013	317.619
"B15009566"	2011	317.633
"B27013556"	2009	317.638
"A31018492"	2009	317.869
"A41011271"	2010	317.981
"A29049509"	2013	317.983
"A08081986"	2015	318.039
"A35515485"	2012	318.121
"B50561968"	2011	318.161
"A78400603"	2012	318.215
"A48016877"	2010	318.371
"A08146474"	2009	318.672
"A48071351"	2013	318.741
"A33604851"	2014	318.917
"A81527095"	2014	318.93
"A33036807"	2008	319.113
"A50036037"	2010	319.127
"B20023982"	2014	319.241
"A50034024"	2014	319.263
"A20037933"	2011	319.314
"A17001678"	2016	319.46
"A28662005"	2014	319.639
"A08186074"	2014	319.72
"A30035034"	2014	319.752
"A08122574"	2014	319.779
"A15016595"	2010	319.803
"A28457059"	2013	319.829
"A28485761"	2014	319.859
"A34170183"	2013	319.867
"B50031749"	2014	319.98
"B43590272"	2015	320.034
"A08016255"	2007	320.11
"B38004966"	2016	320.155
"A17011297"	2009	320.289
"A28134534"	2013	320.4
"B19001536"	2015	320.412
"A08639643"	2007	320.514
"A45014776"	2008	320.627
"A12013496"	2013	320.635
"A38018404"	2007	320.68
"A50027929"	2009	320.731
"B46114724"	2016	320.741
"A50169143"	2017	320.904
"B83814251"	2012	320.978
"A45445210"	2007	321
"B60171162"	2016	321
"A08334906"	2010	321.084
"A08147555"	2007	321.101
"A08489007"	2009	321.142
"A28313351"	2017	321.2
"A33606534"	2014	321.26
"B28579506"	2008	321.267
"B17011511"	2008	321.404
"B34226514"	2014	321.648
"A08629107"	2010	321.696
"A50047505"	2014	321.697
"A28359073"	2015	321.732
"B48059786"	2016	321.786
"B31850977"	2015	321.867
"A73093734"	2016	321.872
"B46142485"	2013	321.896
"B46114724"	2015	321.936
"A80771116"	2009	322
"A31194905"	2016	322
"B46140885"	2015	322.006
"A28604882"	2014	322.07
"B12541496"	2013	322.106
"B41058124"	2007	322.14
"A36603637"	2012	322.192
"B79650305"	2011	322.24
"A29003951"	2017	322.253
"A08322067"	2013	322.328
"A08568057"	2012	322.44
"A36600500"	2016	322.48
"B82393778"	2013	322.587
"A12015673"	2015	322.61
"A18291476"	2016	322.623
"A36608180"	2014	322.772
"A08200040"	2015	322.851
"A08565285"	2016	322.898
"A81410227"	2013	322.956
"B48111124"	2013	323.483
"A30023204"	2014	323.498
"A83102426"	2014	323.542
"A28219541"	2012	323.6
"A46106928"	2015	323.636
"B26231191"	2014	323.657
"A74136060"	2015	323.774
"A82026840"	2013	323.867
"A81410227"	2015	324
"A41022609"	2016	324.027
"A08332256"	2011	324.031
"B41042698"	2014	324.05
"A08623928"	2009	324.073
"B15032485"	2008	324.1
"A58348038"	2007	324.13
"A46162665"	2015	324.198
"A38485827"	2010	324.399
"A08681264"	2016	324.583
"A08565285"	2017	324.591
"B28113991"	2016	324.604
"A36615474"	2012	324.675
"A08340267"	2012	324.74
"A15072622"	2016	324.776
"A28458826"	2009	324.892
"B28337038"	2015	325.383
"A28404614"	2013	325.401
"B92403716"	2016	325.428
"B08147696"	2007	325.47
"A30006142"	2012	325.522
"A28195147"	2012	325.605
"A32226037"	2010	325.681
"B41008970"	2014	325.703
"A08202582"	2009	325.911
"A33610106"	2011	325.934
"A08005696"	2014	326.032
"B33876459"	2009	326.044
"A36615474"	2017	326.072
"B28044204"	2015	326.113
"A07026701"	2010	326.182
"B46157533"	2010	326.187
"A47000641"	2012	326.32
"A01061373"	2010	326.352
"A28375467"	2013	326.397
"A08215428"	2017	326.415
"A41087404"	2009	326.424
"A20065744"	2011	326.439
"A03012614"	2010	326.467
"A48020358"	2011	326.811
"A14026199"	2011	326.887
"A36017598"	2008	326.945
"A08104994"	2007	327.03
"A08091894"	2012	327.031
"A08373102"	2012	327.132
"B48907885"	2017	327.212
"B03072493"	2012	327.246
"A82026840"	2014	327.272
"A28724268"	2014	327.316
"A46131520"	2011	327.347
"A07026651"	2010	327.586
"A08397119"	2015	327.738
"B46148797"	2010	327.747
"A17013913"	2012	327.875
"A46336152"	2007	327.924
"A17020645"	2007	328.059
"B41008970"	2015	328.142
"A28577864"	2009	328.306
"B28227775"	2017	328.456
"A46069456"	2013	328.469
"B46111035"	2009	328.526
"A38020905"	2009	328.588
"A46168795"	2014	328.736
"A39027917"	2015	328.797
"A08708620"	2013	328.805
"A15032196"	2008	328.81
"B41058124"	2011	328.923
"A24015802"	2013	328.927
"A48077184"	2009	328.956
"A31076508"	2014	328.99
"A28923662"	2015	329
"F06139109"	2012	329.003
"A26022657"	2015	329.119
"A03061314"	2012	329.201
"A50615160"	2007	329.236
"A23022783"	2014	329.311
"A48102792"	2017	329.371
"A33021635"	2014	329.375
"A26015503"	2012	329.416
"A29049509"	2014	329.745
"A25022609"	2013	329.773
"A36604882"	2015	329.816
"A50615160"	2015	329.901
"A50068923"	2011	329.937
"A12283388"	2017	330.069
"A28283067"	2017	330.174
"B46069654"	2011	330.184
"A30022958"	2011	330.194
"A28381234"	2012	330.459
"B37012069"	2017	330.472
"B25006222"	2013	330.536
"A22009492"	2012	330.6
"A08181067"	2016	330.669
"B20049615"	2014	330.719
"A08189359"	2014	330.758
"A28571750"	2009	330.786
"A81527095"	2016	330.903
"B63031660"	2011	331
"A31018187"	2010	331.019
"A47022165"	2011	331.162
"A28295038"	2016	331.236
"A43355403"	2009	331.312
"A25010430"	2016	331.315
"A08906208"	2009	331.371
"A03061314"	2009	331.386
"B17016254"	2014	331.433
"B50029263"	2016	331.465
"B18573931"	2015	331.472
"A79049797"	2013	331.476
"A28491041"	2016	331.664
"A15007750"	2011	331.688
"B46090791"	2008	332.097
"B20049615"	2016	332.11
"A15070444"	2016	332.218
"B28492841"	2011	332.325
"A08200651"	2007	332.413
"A30604680"	2009	332.418
"B46090791"	2007	332.491
"A07089592"	2014	332.502
"A17014119"	2007	332.51
"A48119143"	2010	332.723
"A46016374"	2013	332.786
"A08630808"	2017	332.797
"V61861548"	2011	332.816
"B03045507"	2011	332.858
"A36060754"	2015	332.957
"A03681186"	2009	332.981
"A61797536"	2012	333
"A48025571"	2017	333
"A08404212"	2013	333.043
"A35115856"	2013	333.276
"A28496438"	2013	333.301
"A08217432"	2011	333.316
"A28518041"	2015	333.407
"A31076508"	2011	333.437
"A31069321"	2010	333.512
"B80397409"	2014	333.608
"B07685779"	2015	333.627
"B08463424"	2007	333.74
"A07427081"	2007	333.785
"A96785225"	2016	333.88
"A46068862"	2010	333.937
"B20070082"	2010	333.942
"A45445210"	2012	334
"A33008426"	2011	334.165
"A43355403"	2008	334.222
"A28543809"	2016	334.239
"A36005718"	2010	334.259
"B28126019"	2014	334.321
"A28017531"	2010	334.34
"A35735083"	2016	334.371
"A06008411"	2013	334.512
"A35004399"	2011	334.538
"A31009665"	2008	334.583
"A08154650"	2008	334.68
"A08622938"	2014	334.693
"B64555980"	2017	334.716
"B12006623"	2017	334.731
"A13005384"	2014	334.788
"A36008886"	2008	334.8
"A40004731"	2017	334.857
"A03066909"	2007	334.89
"A39008305"	2016	334.91
"A46089819"	2013	334.975
"A35023746"	2015	335
"A07007735"	2016	335.069
"A01011881"	2012	335.206
"A41002841"	2013	335.238
"A33608563"	2009	335.268
"A50889955"	2017	335.352
"A36017598"	2010	335.371
"A28416154"	2013	335.384
"A50049105"	2010	335.411
"A08283798"	2013	335.448
"A33021635"	2017	335.668
"B39019468"	2013	335.741
"A08213936"	2014	335.856
"A24004103"	2011	335.903
"A23012719"	2012	335.906
"A47022165"	2015	336.017
"B28337038"	2014	336.259
"B24007049"	2014	336.308
"A24003873"	2016	336.325
"A39030200"	2009	336.433
"A12012605"	2015	336.536
"A15013618"	2014	336.55
"A08283798"	2008	336.626
"B18573931"	2017	336.66
"A58346305"	2015	336.756
"A08445983"	2010	336.763
"B17011511"	2012	336.804
"A31196983"	2012	336.905
"A29519220"	2008	336.994
"A48155352"	2008	337
"A48064521"	2016	337.057
"A36121176"	2015	337.09
"A50049105"	2013	337.184
"A24007072"	2008	337.2
"A07026701"	2011	337.268
"A28060515"	2007	337.29
"A50017334"	2011	337.328
"A25418401"	2007	337.33
"A35008168"	2008	337.426
"A82716010"	2017	337.496
"A08332256"	2010	337.501
"A33016403"	2009	337.535
"A04047700"	2008	337.555
"A23010200"	2013	337.574
"B96324983"	2015	337.753
"F37014560"	2013	338
"A60531688"	2011	338
"A06141345"	2011	338.008
"A08005696"	2016	338.062
"A46014155"	2010	338.071
"A30014047"	2016	338.145
"A30046379"	2012	338.283
"F46028072"	2010	338.405
"B82393778"	2014	338.469
"A25020173"	2009	338.531
"A28117026"	2016	338.543
"A35018027"	2013	338.598
"A41050980"	2015	338.608
"A30024798"	2014	338.771
"A01008234"	2014	338.784
"A08520629"	2014	338.866
"A08331472"	2012	338.921
"A50068923"	2009	338.948
"A08502635"	2017	339.009
"A33024852"	2012	339.054
"A48080147"	2008	339.084
"A48068761"	2014	339.173
"A24003873"	2011	339.221
"A45010543"	2017	339.283
"A08094435"	2009	339.309
"B11900602"	2009	339.356
"A30046379"	2008	339.437
"A03017308"	2007	339.574
"A21010616"	2011	339.79
"B06013841"	2015	339.847
"A18008334"	2013	339.936
"A18431064"	2008	339.944
"A30022958"	2017	339.951
"A25022369"	2008	340
"B18573931"	2016	340.087
"A46106928"	2013	340.164
"A48155352"	2016	340.171
"B06001143"	2014	340.223
"A31037294"	2016	340.271
"A03021276"	2015	340.301
"A38027637"	2014	340.341
"A28648053"	2013	340.356
"B15031560"	2016	340.637
"A33036807"	2010	340.697
"B38238788"	2016	340.711
"A28012656"	2009	340.817
"A15024482"	2017	341.027
"B08013963"	2012	341.073
"A35610666"	2007	341.099
"A38014098"	2011	341.143
"B28059012"	2015	341.298
"A39022124"	2011	341.317
"A08257214"	2016	341.36
"B38425070"	2013	341.484
"A84430107"	2015	341.534
"A35005743"	2010	341.568
"A28013894"	2012	341.87
"A29350139"	2009	341.922
"B63220917"	2011	341.983
"A08414906"	2012	342.009
"A14015101"	2017	342.04
"A28337129"	2016	342.057
"A26020198"	2010	342.072
"A28610863"	2009	342.31
"B30331573"	2015	342.652
"A48005672"	2015	342.667
"A24003873"	2009	342.671
"B24399305"	2011	342.676
"A38485827"	2007	342.71
"A08156218"	2009	342.72
"B62263272"	2010	342.724
"B92217975"	2015	342.799
"A28446995"	2015	342.857
"B08113615"	2012	342.953
"B08961393"	2013	343.099
"A26011320"	2014	343.182
"A01061373"	2012	343.193
"A28612620"	2014	343.221
"A03017308"	2015	343.374
"A22201164"	2013	343.552
"A04016952"	2009	343.703
"A48061675"	2007	343.739
"B45020351"	2012	343.783
