nif	year	ffpp
"A28674968"	2017	2339.547
"B08359705"	2014	2339.758
"A28122992"	2014	2340
"A30037873"	2013	2340.592
"A12027488"	2008	2340.667
"B28113991"	2013	2342.125
"A09028184"	2008	2342.309
"B28644441"	2007	2342.379
"A47006887"	2012	2342.421
"A33024084"	2012	2342.838
"A12283388"	2007	2343.56
"A46068862"	2010	2343.799
"A18312041"	2014	2344.578
"A32005548"	2017	2345.708
"A15000391"	2007	2346.12
"B27013556"	2010	2346.343
"B08407322"	2007	2347.772
"A07016025"	2009	2348.04
"B12008553"	2009	2348.521
"A15072622"	2016	2349.589
"A81841850"	2016	2349.732
"A29027901"	2014	2349.836
"A46016374"	2007	2350.612
"A02012714"	2011	2352.261
"A04325494"	2016	2352.267
"A05122460"	2009	2353.173
"A42001305"	2013	2353.21
"B30015226"	2016	2354.147
"B28492841"	2016	2354.242
"A28734432"	2009	2354.252
"A46002697"	2008	2354.328
"A08669178"	2013	2355.017
"B92403716"	2016	2355.188
"A03086931"	2015	2355.788
"A08008583"	2015	2355.812
"B46160842"	2012	2356.022
"A28485571"	2007	2358.23
"A08568057"	2011	2358.299
"A28720795"	2010	2358.464
"A48092886"	2008	2358.73
"A22009039"	2009	2358.789
"A08008583"	2016	2358.801
"F95073748"	2016	2359.545
"A08005688"	2008	2360.229
"A08196446"	2013	2360.771
"A07042088"	2008	2361.199
"B39014709"	2008	2361.249
"B39014709"	2015	2361.799
"A02014165"	2015	2362.049
"A06014930"	2010	2362.875
"A03030509"	2009	2363.297
"A07905573"	2017	2363.392
"A50025071"	2009	2363.437
"A21010616"	2011	2363.775
"B28249431"	2011	2364.355
"A08196446"	2014	2364.442
"B12020194"	2013	2364.909
"A03061314"	2009	2365.735
"A36002285"	2017	2366.73
"A30035547"	2016	2366.951
"A22012223"	2014	2367.168
"A45025327"	2017	2367.752
"B30033666"	2011	2368.035
"A33602905"	2008	2368.34
"A08156218"	2009	2368.645
"A07123441"	2016	2368.681
"A42000901"	2007	2368.839
"A08609281"	2012	2368.974
"A08612103"	2012	2369.478
"B50023142"	2007	2369.75
"A31394356"	2013	2370.376
"A22012223"	2015	2370.686
"A20032264"	2017	2371.063
"A30031835"	2014	2371.348
"B27008408"	2012	2371.434
"A26020198"	2016	2371.444
"A36002285"	2016	2371.533
"F46026829"	2008	2372.144
"A33024084"	2011	2372.395
"A39031620"	2014	2372.477
"A34009936"	2011	2372.551
"B27013556"	2011	2373.08
"A01161066"	2017	2373.215
"A08604159"	2015	2373.74
"F04030672"	2008	2374.207
"A17020645"	2007	2374.768
"B15032485"	2007	2375.952
"B43587120"	2014	2377.259
"A20015137"	2017	2377.62
"A79259339"	2013	2377.76
"B48033278"	2008	2377.92
"A28313542"	2013	2378.211
"B41058124"	2010	2378.926
"A08026627"	2011	2379.233
"B30015226"	2017	2379.709
"A44004059"	2011	2380.698
"A46014650"	2017	2381.328
"A41212572"	2009	2381.377
"B32003998"	2015	2382.135
"B36620193"	2009	2382.842
"A48064182"	2015	2384
"A08477663"	2017	2384.479
"A30029862"	2012	2384.791
"A09021833"	2014	2385.326
"A23014871"	2012	2385.763
"A08081986"	2008	2385.825
"B46171518"	2017	2386.578
"A08609281"	2013	2386.892
"B14016315"	2015	2387.724
"B39014709"	2012	2388.181
"B28403194"	2014	2389
"B47014568"	2011	2389.316
"B03036720"	2013	2390.089
"A30006142"	2008	2390.275
"F46026829"	2010	2390.723
"A46336152"	2010	2392.176
"A03086931"	2016	2392.688
"F46026829"	2011	2393.976
"A28695856"	2012	2394.008
"A33034695"	2015	2395.357
"A46045936"	2009	2395.994
"B19179662"	2009	2396.13
"A08572430"	2008	2396.484
"B28460681"	2011	2397.096
"B39014709"	2014	2397.104
"A46126439"	2016	2397.647
"B20070082"	2015	2398.329
"A05122460"	2008	2398.477
"A81527095"	2016	2398.64
"B46171518"	2014	2399.781
"A08679060"	2009	2401.012
"B06001143"	2015	2401.036
"A08484107"	2010	2401.26
"A28638542"	2011	2401.831
"A96785225"	2007	2401.84
"A30041719"	2009	2401.901
"A59202853"	2008	2402.242
"B08013963"	2009	2402.834
"A21102157"	2008	2402.97
"A08604159"	2016	2404.125
"A46135331"	2009	2404.198
"A31825466"	2015	2404.22
"A13001730"	2007	2404.229
"A80771116"	2007	2404.48
"A04007811"	2008	2404.667
"A03021409"	2008	2405.22
"A08631517"	2013	2406.116
"A48087126"	2015	2406.678
"A28441269"	2016	2406.907
"B80397409"	2016	2406.936
"A08026627"	2012	2407.886
"A25008046"	2016	2408.181
"A30022958"	2011	2408.211
"B21011333"	2014	2408.561
"A35018027"	2014	2409.193
"A30014047"	2007	2409.751
"A58664764"	2013	2410.487
"A08609281"	2014	2410.514
"A08262065"	2012	2410.541
"A42000901"	2010	2410.804
"A28325785"	2012	2411.296
"A08026627"	2013	2411.646
"B50023142"	2011	2411.923
"A08700197"	2014	2412.443
"A46126439"	2015	2412.463
"A07068430"	2007	2412.63
"A08008583"	2017	2414.892
"F46026829"	2009	2415.166
"A35018027"	2015	2415.414
"A41011271"	2010	2416.086
"A08737249"	2010	2417.011
"A02003465"	2015	2417.617
"A48092886"	2009	2417.679
"A46011888"	2017	2418.213
"A17006479"	2016	2419.322
"B46157285"	2013	2420.126
"A01007442"	2015	2420.177
"A25022369"	2007	2420.266
"A96569207"	2007	2420.353
"A14033666"	2017	2421.568
"A08574881"	2015	2421.774
"A46129789"	2015	2421.805
"A13005384"	2009	2421.899
"B12007357"	2007	2422.332
"A08257388"	2007	2422.64
"A08005688"	2009	2423.19
"A46084984"	2011	2423.598
"A28519932"	2017	2423.714
"A28306868"	2016	2424.436
"A82667155"	2017	2426.372
"A08604159"	2017	2426.549
"B06007314"	2011	2427.088
"B30605760"	2012	2427.132
"A43015965"	2011	2427.679
"A08146730"	2010	2428.009
"A04325494"	2017	2428.471
"B30331573"	2011	2429.083
"A19012962"	2007	2429.13
"B23015753"	2009	2430.282
"A46170080"	2011	2430.442
"A30610984"	2012	2431.327
"A50036037"	2007	2432.206
"A36615037"	2009	2432.417
"A30017636"	2009	2432.567
"A08626939"	2010	2432.595
"B50938489"	2017	2433.9
"A33009630"	2009	2434.132
"B41045089"	2015	2434.263
"A28415487"	2015	2434.508
"A28687978"	2012	2434.783
"A14022099"	2015	2434.88
"B43004852"	2017	2436.367
"B47030770"	2013	2436.407
"A30006142"	2011	2436.47
"B28403194"	2015	2437
"B36002913"	2012	2437.103
"A08215428"	2015	2437.48
"B04018495"	2011	2437.91
"A08285363"	2010	2438.174
"A45014610"	2013	2438.484
"B39014709"	2011	2440.364
"A07216948"	2012	2440.632
"B45018017"	2007	2440.815
"B50023142"	2008	2440.96
"A12027488"	2009	2441.052
"A31018492"	2007	2442.57
"A03064102"	2014	2442.94
"B48070155"	2007	2442.98
"B30033666"	2012	2443.725
"B20759023"	2014	2444.057
"A01010701"	2011	2444.62
"A28552149"	2011	2444.725
"A46031845"	2012	2445.883
"B58779018"	2014	2446.66
"A08122574"	2012	2446.886
"A08005696"	2010	2447.013
"A28674968"	2012	2447.517
"A50169143"	2014	2447.625
"A61713301"	2015	2448
"B97307086"	2015	2448.145
"A28345148"	2010	2451.535
"A28255784"	2009	2451.559
"A33034695"	2016	2452.18
"B11469491"	2016	2452.359
"A46069456"	2016	2452.429
"A36005718"	2010	2453.149
"A04325494"	2007	2453.293
"A83102426"	2015	2453.521
"A07036130"	2014	2453.68
"A17021460"	2010	2453.862
"B39014709"	2009	2454.17
"B46163655"	2010	2454.18
"A01004993"	2015	2455.009
"A83102426"	2014	2455.352
"B83743815"	2017	2455.624
"A33018664"	2010	2456.35
"A17009598"	2010	2456.454
"A08276867"	2012	2456.552
"A11608999"	2015	2456.583
"A08283798"	2007	2457.372
"B30015226"	2011	2458.219
"A28415487"	2017	2458.362
"B33029729"	2007	2459.01
"A36615037"	2011	2459.197
"A22012223"	2013	2459.878
"B61175725"	2011	2460.741
"B83680322"	2013	2461
"A24015802"	2013	2461.315
"A08363400"	2008	2461.77
"A50025071"	2010	2461.894
"B07685779"	2009	2462.106
"A48093421"	2010	2462.262
"A31003304"	2010	2462.7
"A59320143"	2014	2463.207
"A50169143"	2017	2463.314
"A46122065"	2015	2463.484
"A15032196"	2013	2463.549
"B03032620"	2014	2463.872
"A18016709"	2010	2464.199
"B50051705"	2014	2464.635
"B03039609"	2008	2465.594
"A46134250"	2008	2466.026
"A28329480"	2017	2467.367
"A41392317"	2013	2468.083
"A12016093"	2010	2468.233
"B97307086"	2014	2468.327
"A08219024"	2012	2468.606
"A28216992"	2007	2468.81
"A43010974"	2010	2469.579
"A73093734"	2015	2469.851
"A08612103"	2013	2469.964
"A35811272"	2014	2470.667
"A08568826"	2015	2471.003
"B39014709"	2010	2471.075
"A41061318"	2009	2471.585
"B62119904"	2010	2472
"B50023142"	2009	2472.863
"A24013864"	2014	2473.438
"A08119752"	2014	2473.797
"A07065717"	2015	2474.262
"F10017804"	2015	2474.376
"A59320143"	2017	2474.97
"B38022570"	2012	2475.452
"A08301475"	2008	2475.487
"A23020043"	2015	2476.41
"B28218287"	2009	2476.489
"A31013543"	2016	2477.446
"A48071351"	2016	2477.871
"A07036130"	2015	2478.84
"A08989782"	2008	2479.832
"B21011333"	2015	2480.448
"A08404212"	2015	2480.559
"A07026651"	2009	2480.662
"B30029599"	2014	2482.148
"A26020198"	2017	2483.824
"A61831681"	2014	2486.379
"A08404212"	2016	2486.638
"A08568826"	2016	2486.644
"A58061383"	2011	2487.481
"A08026627"	2015	2488.048
"B08423246"	2011	2488.507
"A28392033"	2013	2488.689
"A08329831"	2015	2489.453
"A08612103"	2014	2489.635
"B30331573"	2008	2490.174
"A48077184"	2009	2490.221
"A08026072"	2008	2490.29
"B36009207"	2008	2490.401
"A28216992"	2008	2490.642
"A78355278"	2009	2490.661
"A28630374"	2015	2492.109
"B50023142"	2010	2492.149
"B50057330"	2013	2492.489
"A06163851"	2012	2493.222
"A43010974"	2012	2493.647
"A28292084"	2009	2493.755
"A09015405"	2007	2494.57
"A23020043"	2014	2496.032
"B50057330"	2014	2496.235
"A08290751"	2010	2496.367
"A08720708"	2009	2496.606
"A30006142"	2009	2496.658
"A42000901"	2008	2496.663
"A53288478"	2015	2496.82
"B30034573"	2007	2497.33
"A28174985"	2010	2497.464
"A07036130"	2012	2497.566
"B31083488"	2016	2497.86
"B60653466"	2012	2498.568
"A46137352"	2010	2499.911
"A28091262"	2009	2500.323
"A33026980"	2008	2501.151
"A18291476"	2015	2501.843
"A08592370"	2013	2501.894
"A08568826"	2017	2501.923
"B30331573"	2012	2502.524
"A07065717"	2016	2502.532
"A41050535"	2009	2502.953
"A07036130"	2011	2504.531
"A50066562"	2008	2504.92
"A14580385"	2011	2504.935
"B28337731"	2007	2505.147
"A28013894"	2009	2505.382
"A46162665"	2013	2505.946
"A28126597"	2011	2505.956
"A30032130"	2013	2506.621
"B30331573"	2010	2507.729
"A08604159"	2012	2507.738
"A02014165"	2016	2507.99
"A03197308"	2011	2508.244
"A48071351"	2013	2509.418
"A48093868"	2008	2511.261
"A14015788"	2008	2511.51
"B30033666"	2013	2512.154
"B06320410"	2017	2514.208
"A48071351"	2017	2515.943
"B33607466"	2013	2515.969
"A26021527"	2010	2516.096
"A29519220"	2011	2516.592
"A15072622"	2017	2516.776
"B28138196"	2014	2516.782
"A07036130"	2013	2517.095
"B41072471"	2012	2517.473
"A07256100"	2017	2518.702
"A79259388"	2014	2518.947
"B96990015"	2012	2519.095
"B43587120"	2010	2519.477
"A92111871"	2012	2520
"A12100020"	2007	2520.72
"A25026139"	2015	2521.095
"B28249431"	2012	2521.211
"A28011872"	2008	2521.334
"A41191313"	2016	2521.801
"B07650112"	2015	2521.951
"A43621416"	2010	2522.115
"A79259388"	2012	2522.638
"B43590272"	2011	2522.922
"B08488645"	2014	2522.931
"B28579506"	2016	2523.246
"A34170183"	2014	2523.28
"B63220917"	2011	2524.127
"A50889955"	2014	2525.705
"B06007314"	2012	2526.068
"A36017598"	2015	2526.074
"B42141176"	2014	2526.243
"A08263469"	2015	2526.529
"A41018854"	2007	2526.882
"A31013543"	2012	2527.196
"A41002841"	2016	2527.359
"A08629107"	2013	2527.634
"A32005548"	2009	2527.681
"B30331573"	2013	2527.726
"A28147197"	2009	2528.06
"A08360844"	2007	2528.078
"A07016025"	2010	2528.456
"A12013496"	2012	2528.81
"A23020043"	2016	2529.455
"A11012572"	2010	2529.492
"A08334906"	2010	2529.624
"A08683864"	2015	2529.738
"A46170080"	2007	2530.137
"A28332914"	2007	2530.92
"A08679060"	2010	2531.169
"A96918867"	2012	2532.537
"A28270452"	2012	2532.572
"A08149668"	2008	2533.33
"B30331573"	2009	2534.248
"A07050420"	2007	2535.07
"A08394157"	2017	2535.268
"A28524726"	2008	2535.739
"A33024084"	2017	2535.918
"A11608999"	2016	2536.591
"F35006451"	2007	2536.814
"A17447061"	2015	2536.977
"A08484107"	2011	2537.019
"B30331573"	2007	2537.338
"A09007089"	2010	2537.663
"B46023677"	2009	2538.911
"A28695856"	2013	2538.987
"A38031233"	2017	2539.036
"A43035542"	2007	2540.51
"A36017598"	2016	2540.797
"A46014650"	2016	2540.924
"A31003304"	2009	2541.407
"A30024798"	2014	2541.559
"A28494896"	2009	2541.869
"A07042088"	2009	2542.393
"A30035034"	2015	2542.409
"A30610984"	2013	2542.672
"A19011634"	2016	2543.075
"B30041115"	2009	2543.265
"B13009592"	2008	2543.3
"A08642886"	2014	2543.835
"A08626939"	2011	2544.271
"A36615037"	2010	2544.704
"B12008553"	2010	2544.729
"A28295038"	2013	2545.18
"A22012223"	2016	2545.648
"B08413247"	2013	2545.982
"A33373622"	2012	2546.006
"A28670636"	2007	2546.42
"B31049273"	2009	2546.846
"B38002655"	2014	2546.847
"A41392317"	2014	2547.708
"B15015274"	2014	2548.234
"A08200032"	2013	2548.319
"B43587120"	2017	2548.781
"A18431064"	2013	2548.868
"A18016709"	2011	2548.955
"B08573909"	2014	2549.901
"A43055565"	2009	2550.278
"B15077571"	2014	2550.751
"A28574044"	2010	2550.91
"A21011580"	2015	2551.356
"A02003754"	2010	2551.716
"A14015101"	2015	2552.079
"A08514028"	2008	2552.118
"B30041115"	2010	2552.95
"A25418401"	2010	2553
"B63220917"	2012	2553.89
"B31083488"	2017	2553.974
"B74148388"	2015	2554.006
"B33876459"	2008	2554.06
"B46037446"	2012	2554.261
"B03036720"	2014	2554.688
"A08094435"	2013	2555.145
"A17044546"	2010	2555.536
"V30405880"	2011	2555.562
"B27008408"	2013	2555.78
"B12662722"	2015	2556.44
"B39019468"	2010	2556.444
"A28110971"	2017	2557.076
"B46163655"	2013	2557.268
"A59990580"	2014	2558.265
"A28255784"	2010	2558.362
"A42001222"	2017	2559.308
"A08290751"	2011	2559.428
"A60016037"	2010	2559.76
"B36008555"	2012	2559.876
"A28574101"	2015	2559.969
"A08322067"	2009	2560.223
"A28091262"	2010	2560.298
"B02011641"	2007	2560.386
"A08139339"	2011	2560.709
"B41058124"	2011	2561.06
"A46016374"	2008	2561.826
"V30405880"	2010	2563.585
"A08526345"	2007	2564.142
"A12100020"	2014	2565.055
"A18431064"	2012	2565.957
"B82207275"	2008	2567
"A08091894"	2008	2567.56
"A09015405"	2008	2567.7
"A46016374"	2009	2567.931
"A38225041"	2011	2568.064
"A07038441"	2012	2568.537
"B12007357"	2008	2569.229
"A12016093"	2011	2571.757
"B32003998"	2014	2572.27
"A81841850"	2013	2572.399
"A28687978"	2013	2573.017
"B08114449"	2012	2573.527
"B35043637"	2012	2573.717
"A08200032"	2010	2573.886
"B08142655"	2013	2573.945
"A50169143"	2015	2574.105
"B61696944"	2015	2575.173
"B12008553"	2011	2576.66
"A33018664"	2011	2576.762
"A12524278"	2008	2577.04
"A30035547"	2017	2577.252
"B35023068"	2008	2577.422
"B39551973"	2011	2577.671
"B03004801"	2014	2578.147
"A08574881"	2016	2579.251
"A28013894"	2013	2579.555
"A08568057"	2012	2579.697
"A60853413"	2015	2580.62
"A29519220"	2009	2580.715
"A08636177"	2013	2580.974
"A08329831"	2016	2581.104
"A50169143"	2016	2581.581
"A17006479"	2017	2581.942
"B38028692"	2012	2582.071
"A33604406"	2012	2582.305
"A28325785"	2013	2582.414
"A37043015"	2009	2582.751
"A11682507"	2008	2582.911
"A08215428"	2016	2583.094
"A31035413"	2017	2583.68
"A28364487"	2010	2584.367
"A08051526"	2013	2585.016
"B30033666"	2014	2585.741
"A46151973"	2011	2586.266
"A08005696"	2012	2587.143
"A28147197"	2008	2587.354
"F10017804"	2014	2587.504
"A48865679"	2008	2588.999
"A60401585"	2017	2589
"B60653466"	2010	2589.402
"A33036906"	2013	2590.061
"A30023238"	2007	2591.003
"A78355278"	2008	2591.167
"A31071756"	2012	2591.384
"A44004059"	2012	2592.219
"A08026627"	2016	2592.833
"B28337731"	2008	2593.65
"F95073748"	2011	2593.682
"A15000391"	2008	2593.751
"A08572430"	2012	2593.868
"A46122065"	2016	2594.465
"A22009039"	2010	2594.593
"A33009630"	2012	2595.274
"B12008553"	2012	2595.345
"A29049509"	2007	2596.046
"A46016374"	2012	2596.697
"B13004924"	2016	2596.993
"A48077184"	2010	2597.044
"A23019342"	2011	2597.117
"A08604159"	2013	2597.32
"A41392317"	2016	2597.831
"A08681264"	2013	2598.041
"A30024798"	2016	2598.506
"A30610984"	2014	2598.736
"A12100020"	2008	2599.48
"A50335918"	2016	2599.556
"A41008640"	2007	2600
"F04030672"	2009	2600.525
"A30006142"	2010	2600.63
"B73108755"	2014	2600.796
"B22004931"	2014	2600.812
"A28695856"	2017	2600.936
"A39031620"	2015	2601.268
"A11608999"	2017	2601.578
"A08737249"	2011	2601.623
"B32003998"	2013	2601.773
"A48119143"	2013	2601.819
"A48115000"	2014	2602.403
"B08660409"	2011	2603.45
"A08324782"	2013	2603.618
"A41008640"	2008	2605
"B79033700"	2014	2605.127
"B15596331"	2010	2605.363
"B35642198"	2012	2605.599
"A21391917"	2014	2606.285
"A17013947"	2008	2606.402
"A43015965"	2012	2606.93
"B11050176"	2015	2607.164
"A50000355"	2015	2607.985
"A08572430"	2013	2607.992
"A41008640"	2009	2608
"B33011792"	2011	2608.527
"B20759023"	2013	2608.82
"A81841850"	2015	2608.873
"B28148773"	2015	2609.118
"A25026139"	2017	2609.438
"A08737249"	2012	2609.902
"A81933772"	2008	2610.329
"B84311760"	2015	2610.381
"A20020038"	2007	2611.529
"A41008640"	2010	2612
"A43010974"	2014	2612.114
"A28581247"	2009	2612.137
"A31003304"	2011	2613.799
"A58907015"	2012	2614.126
"A28724219"	2011	2614.687
"A26270322"	2011	2615.011
"A09015256"	2015	2615.486
"A43010974"	2011	2615.626
"A44004059"	2013	2615.919
"A12027488"	2010	2617.737
"A08651762"	2010	2618.409
"B97131155"	2013	2618.566
"B31018815"	2015	2619.288
"A25020629"	2008	2619.37
"A28285765"	2015	2619.616
"B62111018"	2017	2619.637
"B13004924"	2012	2619.698
"A48047377"	2010	2620.432
"A28423986"	2012	2620.434
"A09015405"	2009	2620.752
"A28674968"	2013	2621.028
"B20049615"	2016	2622.249
"B60544046"	2012	2623.504
"A79049797"	2010	2624.391
"A08119752"	2015	2624.628
"A28505402"	2007	2625.47
"B41002619"	2007	2626.466
"A46104485"	2013	2627.388
"A82716010"	2017	2627.491
"B12020194"	2014	2628.639
"A46031845"	2013	2628.668
"B08407322"	2008	2629.062
"A08276867"	2017	2630.338
"A30037873"	2016	2630.682
"A17001207"	2012	2630.836
"A49005861"	2012	2631.203
"A50025071"	2011	2631.86
"A36605038"	2014	2631.987
"A08453219"	2009	2633.217
"A28392033"	2014	2634.128
"A07026651"	2010	2634.139
"A03033164"	2007	2634.15
"A41392317"	2015	2634.208
"A03197308"	2012	2634.24
"F30587919"	2016	2635.046
"A28235158"	2009	2635.887
"A07802218"	2013	2636.462
"B46020541"	2012	2636.468
"A46002697"	2015	2636.617
"A30610984"	2015	2636.908
"A28515567"	2013	2636.956
"A08329963"	2015	2637.36
"A32005548"	2010	2638.218
"A24013864"	2015	2638.472
"A46137352"	2011	2638.777
"A30014047"	2008	2638.84
"B35043637"	2013	2639.584
"A08418030"	2013	2639.758
"B17462961"	2012	2640.136
"B35023068"	2009	2640.644
"A17021460"	2011	2640.998
"A31825466"	2013	2641.28
"B37024825"	2013	2641.747
"A83401273"	2014	2641.834
"A36002285"	2010	2642.124
"A30024798"	2017	2642.645
"F50011139"	2017	2643.718
"A81944324"	2008	2644
"A46336152"	2012	2644.065
"B06007314"	2013	2644.41
"A46016374"	2010	2644.931
"A09028184"	2009	2645.698
"B62119904"	2012	2647
"A08200032"	2015	2647.448
"A03061314"	2010	2648.478
"A08646143"	2012	2648.551
"B28188100"	2007	2648.72
"A31071756"	2007	2648.836
"A48093421"	2011	2649.401
"A46031845"	2014	2649.562
"B46163655"	2011	2649.72
"A46137352"	2012	2649.891
"A28491041"	2017	2650.707
"A28147197"	2015	2651.151
"A32002644"	2009	2651.506
"A30032130"	2014	2651.738
"C08164253"	2010	2652.2
"A36017598"	2013	2652.509
"A07216948"	2013	2652.565
"A12000071"	2008	2653.446
"A28357903"	2010	2653.607
"B17011511"	2011	2653.847
"A48077184"	2011	2653.872
"A48059950"	2008	2654.11
"A02014165"	2017	2654.538
"A28184661"	2007	2654.643
"A12016093"	2012	2654.768
"B22009377"	2013	2654.818
"B17048364"	2010	2655.126
"A42000901"	2009	2655.448
"A78020732"	2009	2655.689
"A62703806"	2014	2656.823
"A43355403"	2007	2657.027
"B31078058"	2012	2657.386
"B50384080"	2014	2657.553
"B96990015"	2013	2658.005
"B30331573"	2014	2658.058
"B32008625"	2012	2658.833
"A81408817"	2015	2659.06
"B08156127"	2007	2659.237
"A41087404"	2007	2659.32
"B96324983"	2011	2659.737
"A46162665"	2014	2659.811
"B15596331"	2009	2659.813
"B84537315"	2017	2660.756
"A47025895"	2010	2660.767
"A08026072"	2007	2660.89
"A43355403"	2008	2661.941
"B38002655"	2015	2662.096
"A17020645"	2009	2662.56
"A17020645"	2008	2663.884
"A43001627"	2012	2664.024
"A17001207"	2013	2664.389
"A08322067"	2010	2664.955
"B39019468"	2012	2664.996
"A47021076"	2015	2665.197
"B03010634"	2011	2665.817
"A48071351"	2014	2667.751
"A36600518"	2007	2667.77
"B08359705"	2015	2668.25
"B36009207"	2009	2668.471
"B31631062"	2009	2668.701
"A04413340"	2017	2668.77
"B08584989"	2011	2669.136
"A08119752"	2016	2669.377
"A33600107"	2017	2669.939
"B50023142"	2012	2669.946
"A28415487"	2013	2670.48
"A31825466"	2014	2670.571
"A15070444"	2007	2670.759
"A36005718"	2011	2671.081
"A08719452"	2017	2671.446
"A38371159"	2015	2671.547
"A33009630"	2013	2672.643
"B28118800"	2016	2673.125
"A28889939"	2011	2674.542
"A06141345"	2012	2676.149
"A46134250"	2009	2676.305
"B08269839"	2014	2677.29
"B39551973"	2017	2677.468
"A41011271"	2011	2677.533
"B22004931"	2015	2677.648
"B27008408"	2014	2678.174
"A28734432"	2010	2678.224
"A48092886"	2010	2678.811
"B46157533"	2010	2678.83
"A80433519"	2008	2678.87
"A08659617"	2008	2680.135
"B32003998"	2012	2680.153
"A36017598"	2017	2680.56
"A08200032"	2016	2680.86
"A50000876"	2008	2681.953
"A28441269"	2017	2682.269
"A46074647"	2008	2683.41
"A46137352"	2013	2683.473
"A46129789"	2017	2683.506
"A31003304"	2007	2683.584
"B63220917"	2013	2683.666
"B30000574"	2009	2683.858
"B30033666"	2016	2684.171
"B22004931"	2016	2684.937
"A31196983"	2014	2686.353
"A33024852"	2012	2686.867
"A11018736"	2012	2687.507
"A81824047"	2010	2687.517
"A41050063"	2013	2687.567
"A48092886"	2011	2688.305
"A32006611"	2016	2688.99
"A28216992"	2010	2689.269
"B46055489"	2011	2689.333
"A28475770"	2014	2689.76
"B28557064"	2007	2689.891
"A36002285"	2011	2690.25
"B36002913"	2013	2690.534
"B03019601"	2017	2691.336
"A08200032"	2012	2691.359
"B30033666"	2017	2693.916
"A96918867"	2015	2694.949
"B38002655"	2016	2695.799
"B16010464"	2010	2695.874
"B50029263"	2014	2696.106
"B39551973"	2015	2696.433
"B17462961"	2016	2696.558
"B22004931"	2017	2696.581
"A18008334"	2012	2696.78
"B41058124"	2012	2697.429
"B33011792"	2012	2697.731
"B83741835"	2017	2698.751
"A31394356"	2012	2699.42
"A06014930"	2011	2699.855
"A31196983"	2015	2701.772
"A28325785"	2014	2701.798
"B36614816"	2011	2701.816
"A28610863"	2007	2702.29
"A42004598"	2007	2702.973
"A24050015"	2016	2703.236
"A12100020"	2009	2703.961
"A79259339"	2016	2704.055
"A61831681"	2015	2704.234
"A36014009"	2009	2704.612
"A08393571"	2013	2705.43
"A28359073"	2008	2705.43
"F10017804"	2016	2706.28
"A08005696"	2011	2706.645
"A08146730"	2011	2707.205
"A58664764"	2012	2707.743
"A08262065"	2013	2708.709
"B03020997"	2014	2708.899
"A46016374"	2011	2709.208
"A22012223"	2017	2709.469
"A21102157"	2012	2709.469
"A28013894"	2008	2709.714
"A21010616"	2012	2709.788
"B08413247"	2015	2710.849
"A31061401"	2010	2711.083
"B16007551"	2013	2711.397
"A50615160"	2012	2711.5
"A30604680"	2011	2711.963
"A18291476"	2017	2713.12
"A03061314"	2012	2713.247
"A08322067"	2011	2713.441
"A46074563"	2014	2713.726
"A08700197"	2015	2713.841
"A08526345"	2008	2714.813
"B28579506"	2017	2715.158
"B17011511"	2007	2715.472
"B50023142"	2013	2715.779
"A46122065"	2017	2716.257
"B48033278"	2009	2717.339
"A41087404"	2008	2717.63
"B27011477"	2007	2718.73
"A08013898"	2011	2718.739
"A08631517"	2014	2718.899
"B35043637"	2014	2719.242
"A58061383"	2012	2719.383
"A30035034"	2016	2719.578
"A08560484"	2009	2720.08
"A28630374"	2016	2720.215
"A48093538"	2007	2721.43
"A30037873"	2017	2722.081
"A08572430"	2009	2722.112
"B17462961"	2013	2724.538
"A28695856"	2014	2724.873
"A62704457"	2011	2725.067
"A08449399"	2014	2725.192
"B12462560"	2010	2725.212
"B38002655"	2017	2726.565
"A13005384"	2010	2726.992
"A01007442"	2016	2727.511
"A08329831"	2017	2727.618
"B28579506"	2009	2727.784
"B03039609"	2012	2727.901
"A58393778"	2007	2728.255
"A22001721"	2007	2728.5
"A33009630"	2015	2728.733
"A48102792"	2013	2730.01
"A21011580"	2017	2730.682
"A46069456"	2008	2730.99
"B80146517"	2013	2731
"A08453219"	2010	2731.233
"A13008461"	2014	2731.484
"B28127447"	2008	2731.986
"A30024798"	2015	2733.33
"A08005688"	2010	2733.433
"A08612103"	2015	2733.662
"V30405880"	2017	2734.564
"A45562329"	2016	2734.979
"A08091894"	2010	2736.207
"A17020645"	2010	2736.621
"A04236931"	2007	2736.986
"A01010701"	2012	2737.388
"A45015872"	2007	2737.656
"B17017237"	2010	2738.004
"A78267309"	2013	2738.384
"A41008640"	2011	2739
"A45007614"	2008	2739.228
"B39014709"	2017	2739.595
"B63677223"	2017	2739.948
"F50011139"	2016	2740.311
"A08278731"	2007	2740.57
"A28518819"	2009	2740.606
"A33126244"	2017	2740.794
"A28515567"	2014	2741.481
"A33009630"	2011	2741.615
"A48077184"	2012	2741.8
"B41045089"	2014	2742.161
"A08360844"	2008	2742.167
"A31061401"	2016	2742.235
"A08186074"	2010	2742.341
"A06141345"	2013	2742.84
"B28337731"	2009	2742.958
"A15032196"	2014	2743.49
"A08679060"	2011	2743.801
"A28618890"	2011	2744.304
"A48064182"	2016	2745
"A12013496"	2013	2746.382
"A12025565"	2013	2746.618
"A08354441"	2007	2747.032
"A08493306"	2010	2749.663
"A50000355"	2016	2751.005
"B08413247"	2014	2751.134
"B19001536"	2012	2751.687
"A36615037"	2012	2751.867
"B63220917"	2017	2752.011
