nif	year	rdo_ejercicio
"A08679060"	2008	55.108
"A15020795"	2007	55.221
"A46137352"	2007	55.334
"B57208878"	2013	55.365
"B24008955"	2014	55.514
"B06341333"	2016	55.58
"A17020645"	2013	55.595
"A20049755"	2012	55.644
"A30035034"	2017	55.663
"A08621161"	2012	55.673
"A08262412"	2015	55.745
"F06139109"	2016	55.752
"A41392317"	2015	55.81
"B03004801"	2012	55.92
"A08075293"	2007	55.93
"A08669178"	2012	55.93
"B03072576"	2016	55.945
"A82405788"	2011	55.97
"A08621161"	2014	55.988
"A28662005"	2016	56.037
"A08075293"	2014	56.053
"A22009906"	2014	56.056
"A17001207"	2012	56.067
"A08008583"	2017	56.091
"A07004187"	2014	56.118
"A46134250"	2011	56.121
"A08206419"	2013	56.145
"B41007576"	2007	56.15
"A15018146"	2015	56.174
"A17041708"	2009	56.189
"A07053374"	2013	56.209
"A28547115"	2010	56.377
"A08657017"	2016	56.449
"A46023594"	2008	56.478
"A15506934"	2016	56.518
"A04016952"	2015	56.537
"A04000881"	2008	56.545
"A08094567"	2012	56.596
"A01161066"	2017	56.671
"A42003368"	2014	56.688
"B80372220"	2015	56.764
"A01161066"	2016	56.791
"A48077184"	2011	56.828
"A08691503"	2010	56.834
"A07016991"	2011	56.894
"A01035807"	2016	57
"A08431090"	2012	57
"A08720245"	2017	57.064
"A41021841"	2008	57.07
"A08346116"	2012	57.106
"A33026980"	2012	57.196
"A04006706"	2015	57.196
"B84311760"	2017	57.333
"A45012531"	2016	57.395
"A04016952"	2016	57.488
"B30034730"	2008	57.519
"A08700197"	2012	57.586
"B30034730"	2014	57.605
"A50889955"	2010	57.657
"A35499318"	2013	57.668
"A04016952"	2012	57.67
"A30032130"	2009	57.683
"A43002450"	2017	57.727
"A28070167"	2014	57.753
"A39007943"	2015	57.941
"A12004180"	2015	57.955
"A28662005"	2015	58
"A81957367"	2008	58
"B81496515"	2012	58.049
"A08541021"	2011	58.092
"A08637829"	2015	58.143
"A26297663"	2014	58.153
"A28612620"	2008	58.164
"B08704439"	2014	58.169
"A15016595"	2016	58.226
"A12004180"	2016	58.23
"A23020043"	2016	58.261
"A48093918"	2017	58.291
"A41087404"	2008	58.31
"B30015226"	2011	58.324
"A28734432"	2013	58.352
"A30036214"	2013	58.386
"B03094455"	2010	58.393
"A08075954"	2010	58.433
"A30013247"	2015	58.501
"A01161066"	2011	58.503
"A41098237"	2008	58.595
"B31089071"	2011	58.689
"B12003554"	2014	58.825
"B62263272"	2007	58.899
"B08912669"	2014	59
"A08622938"	2015	59.08
"A03047628"	2016	59.083
"A03061314"	2013	59.086
"A08262412"	2012	59.167
"B16010464"	2015	59.232
"A28693166"	2008	59.273
"A08181067"	2010	59.386
"A18431064"	2016	59.409
"A27007731"	2016	59.419
"A11209749"	2012	59.444
"A31196983"	2013	59.512
"A01005594"	2008	59.521
"A08346116"	2014	59.541
"A24004103"	2013	59.55
"A50005156"	2017	59.666
"A24003873"	2014	59.669
"A28552149"	2015	59.74
"A08069809"	2017	59.882
"A36002285"	2007	59.908
"A08013898"	2015	59.962
"A28091262"	2010	59.975
"B63149637"	2014	60
"A48071351"	2008	60.005
"A24004103"	2014	60.019
"A36014595"	2014	60.067
"B03091527"	2014	60.074
"A30018345"	2012	60.078
"A28321313"	2017	60.166
"A45020450"	2015	60.211
"B38238788"	2011	60.285
"A38645214"	2012	60.323
"A28648053"	2011	60.385
"A41080144"	2009	60.399
"A20042933"	2014	60.459
"B20049615"	2011	60.462
"A28446995"	2017	60.522
"A01167204"	2008	60.557
"B08688301"	2012	60.578
"A46134250"	2012	60.598
"A79235891"	2012	60.784
"A28253656"	2017	60.907
"A36002285"	2014	60.941
"A08385395"	2014	60.953
"A28496438"	2016	60.979
"A33604851"	2012	60.989
"A08200313"	2012	61
"A02011633"	2015	61.094
"B08988149"	2008	61.141
"A46023594"	2013	61.155
"A08466807"	2014	61.182
"B03004801"	2009	61.208
"A82026840"	2011	61.223
"A17007014"	2007	61.228
"B20062295"	2017	61.24
"A08094567"	2016	61.241
"A33604406"	2008	61.248
"A30041719"	2007	61.325
"A28670313"	2017	61.424
"A46056255"	2013	61.483
"A08026627"	2014	61.493
"A44004059"	2016	61.497
"B50029263"	2011	61.498
"A08489007"	2008	61.553
"A41059445"	2015	61.63
"A46005484"	2014	61.646
"B43587120"	2008	61.677
"A08094567"	2017	61.738
"A43001684"	2015	61.747
"A30024798"	2015	61.773
"A32006579"	2015	61.858
"A50008937"	2015	61.93
"B12007357"	2007	61.946
"A03017308"	2012	61.987
"A39005095"	2007	62.006
"B46118303"	2008	62.017
"A27199140"	2013	62.048
"A01019702"	2009	62.08
"A41002544"	2008	62.11
"B11606647"	2011	62.136
"A08677700"	2011	62.197
"A28410850"	2008	62.272
"B21011333"	2012	62.286
"A78267309"	2017	62.313
"A62400718"	2012	62.432
"A29015849"	2016	62.544
"A08097180"	2016	62.626
"B91172221"	2014	62.639
"A17040072"	2016	62.681
"A01161066"	2013	62.741
"C08164253"	2017	62.761
"A28562908"	2016	62.798
"A07016991"	2009	62.816
"B46140885"	2009	62.882
"A01161066"	2014	62.891
"A08005688"	2009	62.961
"A20073169"	2008	63
"A30024798"	2016	63.004
"A08290751"	2011	63.061
"A24015406"	2013	63.085
"A12022224"	2017	63.118
"A12017919"	2009	63.126
"A48116420"	2013	63.146
"B92217975"	2010	63.177
"A25010430"	2015	63.31
"A08193591"	2014	63.356
"A24004947"	2009	63.411
"A45014610"	2011	63.454
"B11605862"	2015	63.489
"A28449569"	2008	63.517
"B81248361"	2015	63.537
"B03010634"	2017	63.611
"A46105086"	2015	63.651
"A06141345"	2015	63.717
"A30610984"	2014	63.731
"A29018207"	2015	63.739
"A08609281"	2013	63.756
"A01161066"	2009	63.816
"B35031665"	2015	63.844
"A96945530"	2010	63.872
"B31005507"	2015	63.884
"A31071756"	2010	63.897
"A30018147"	2016	63.929
"A28612208"	2015	63.943
"A48017974"	2009	63.965
"A08450421"	2014	64.009
"A12014346"	2012	64.023
"A34009936"	2015	64.034
"B46016408"	2017	64.053
"A08604159"	2010	64.085
"A28080489"	2008	64.11
"A32226037"	2011	64.151
"A46016374"	2011	64.277
"B48059786"	2011	64.357
"A07065717"	2015	64.412
"B33030305"	2013	64.438
"A28070167"	2008	64.441
"B31637069"	2017	64.459
"A23022874"	2010	64.539
"A08479297"	2013	64.553
"A47025895"	2017	64.583
"A28420602"	2014	64.695
"A07004187"	2016	64.724
"A33202474"	2012	64.747
"A28636025"	2016	64.761
"A38026605"	2015	64.766
"B08721060"	2017	64.77
"A15044530"	2011	64.837
"A30046379"	2008	64.839
"A28681492"	2015	64.846
"A07035934"	2017	64.964
"B50938489"	2016	64.98
"A11608999"	2017	64.987
"A46096343"	2015	64.988
"A28359073"	2009	65
"B60544046"	2009	65.001
"A28582450"	2008	65.058
"A28612208"	2016	65.07
"A15024482"	2012	65.146
"A34009936"	2007	65.225
"A28410850"	2009	65.241
"A45011103"	2010	65.31
"B35046630"	2016	65.315
"A17014879"	2012	65.344
"B08721060"	2014	65.366
"A41037672"	2011	65.385
"B46105771"	2012	65.392
"B08488587"	2013	65.421
"A29063567"	2016	65.505
"B35065788"	2017	65.552
"A28543809"	2011	65.587
"B46118717"	2017	65.631
"A20032264"	2008	65.64
"A30014047"	2014	65.698
"A30018147"	2012	65.701
"A28630374"	2007	65.771
"A01000249"	2015	65.784
"B35043637"	2013	65.867
"B18012831"	2013	65.952
"A08689796"	2014	66.001
"A08568057"	2015	66.03
"A28410850"	2007	66.099
"A28543809"	2010	66.183
"B37024825"	2017	66.22
"B23015753"	2011	66.24
"A08340267"	2012	66.322
"A28667244"	2007	66.326
"A14481105"	2016	66.357
"B28240075"	2014	66.417
"A50052950"	2012	66.422
"A03021276"	2016	66.428
"B21011333"	2008	66.491
"A06141345"	2013	66.69
"A08203226"	2015	66.707
"A46014650"	2013	66.784
"B46155271"	2015	66.837
"A28610863"	2014	66.84
"A07019573"	2016	66.948
"B35665991"	2015	67
"A15049281"	2017	67.019
"A30017438"	2015	67.039
"A35028570"	2011	67.084
"A46066825"	2014	67.096
"A44004059"	2011	67.127
"A08541021"	2014	67.152
"F10017804"	2015	67.197
"A08158172"	2016	67.201
"F30587919"	2017	67.265
"A48029847"	2016	67.286
"A31394356"	2009	67.309
"A46089819"	2007	67.333
"A48047377"	2008	67.336
"A81200511"	2014	67.338
"A18012807"	2013	67.355
"A30013247"	2017	67.372
"A30018147"	2013	67.426
"A08489007"	2007	67.431
"A17011297"	2009	67.47
"A08094567"	2008	67.47
"B12007357"	2010	67.472
"A45025327"	2014	67.474
"A30038764"	2013	67.537
"A08373102"	2009	67.584
"A46005484"	2013	67.595
"A08007056"	2007	67.627
"A30004790"	2012	67.635
"A28674968"	2016	67.648
"A46036562"	2013	67.688
"A29003423"	2009	67.698
"A08541021"	2012	67.732
"A08123226"	2010	67.778
"B03039609"	2013	67.954
"A60531688"	2009	68
"A31194905"	2013	68
"A28675908"	2017	68.046
"A58017187"	2013	68.101
"A28724219"	2017	68.105
"A12028403"	2011	68.129
"A31189350"	2012	68.132
"A28686111"	2015	68.152
"A08612103"	2007	68.17
"A45017142"	2016	68.173
"B48059786"	2016	68.228
"A45025327"	2017	68.278
"A03086931"	2016	68.299
"B96199807"	2011	68.308
"A46104485"	2007	68.31
"A20065744"	2011	68.355
"B41072471"	2017	68.41
"A12012605"	2009	68.441
"A28693166"	2009	68.498
"A22007314"	2011	68.803
"B08721060"	2010	68.803
"A41048489"	2017	68.849
"B24007049"	2015	68.86
"B25006222"	2015	68.933
"A15044530"	2012	68.939
"A36002285"	2016	68.957
"B46071080"	2013	69.019
"B01015221"	2016	69.04
"B08721060"	2009	69.084
"B46023677"	2015	69.134
"A01001072"	2014	69.169
"A28547115"	2008	69.19
"A08102410"	2011	69.278
"A46048732"	2017	69.469
"A30038020"	2010	69.502
"A47011721"	2012	69.602
"B31005507"	2009	69.728
"A08094567"	2010	69.742
"B11605862"	2016	69.792
"A28381234"	2013	69.796
"A03047628"	2015	69.808
"A46056255"	2012	69.812
"A46117792"	2012	69.833
"A08209538"	2017	69.839
"A73093734"	2015	69.856
"B27008408"	2016	69.924
"B34226514"	2017	69.942
"A58494048"	2014	69.96
"B28579506"	2016	69.986
"A38000485"	2014	70
"B54055140"	2014	70.007
"A48005672"	2016	70.026
"B22003099"	2007	70.05
"A28646735"	2016	70.088
"A29018207"	2014	70.159
"B33876459"	2010	70.186
"A28379816"	2016	70.211
"A13008461"	2013	70.256
"A48119622"	2010	70.261
"A08374332"	2013	70.309
"A08365413"	2009	70.353
"A45020450"	2009	70.376
"A20015368"	2014	70.391
"A21102157"	2007	70.41
"A08489320"	2016	70.411
"A08609281"	2014	70.421
"A46104485"	2008	70.432
"A08263469"	2017	70.476
"B21011333"	2007	70.485
"A20049755"	2010	70.489
"B41045089"	2012	70.509
"A50042027"	2017	70.527
"B48045942"	2015	70.611
"A50042027"	2016	70.648
"B35065788"	2014	70.695
"A17014119"	2013	70.705
"A03030509"	2009	70.727
"A08541021"	2010	70.733
"A17034844"	2011	70.757
"A08511453"	2010	70.76
"A08669178"	2013	70.763
"A32226037"	2008	70.8
"A30016687"	2015	70.829
"A02006021"	2009	70.923
"B28543023"	2015	71.012
"A28030062"	2007	71.014
"A26004754"	2012	71.101
"A33009630"	2015	71.111
"A09006859"	2009	71.16
"A22012223"	2011	71.164
"B50023142"	2008	71.21
"A36014595"	2015	71.25
"B03072576"	2017	71.303
"A30018345"	2015	71.339
"A08683864"	2011	71.366
"A23012719"	2016	71.442
"A47438262"	2013	71.495
"A08244808"	2011	71.564
"B03004678"	2014	71.647
"A28039469"	2013	71.717
"A28672624"	2012	71.803
"A41002544"	2017	71.817
"A28681492"	2008	71.822
"A03033164"	2013	71.864
"A30017636"	2015	71.989
"A08026197"	2010	72
"B41086844"	2011	72.051
"A50049105"	2012	72.197
"B46157285"	2013	72.304
"B46118303"	2009	72.306
"A08323404"	2012	72.326
"A32005746"	2008	72.41
"B41045089"	2014	72.438
"B30015226"	2016	72.445
"B38030045"	2016	72.474
"A13002134"	2016	72.547
"A12100020"	2015	72.548
"A08244220"	2013	72.559
"A08294787"	2007	72.56
"B48045140"	2011	72.569
"B08721060"	2016	72.596
"A08198392"	2017	72.64
"A30018147"	2015	72.695
"A39007943"	2016	72.711
"A17041708"	2010	72.798
"A28427516"	2008	72.801
"A41087404"	2015	72.882
"A08414906"	2014	72.902
"A28612620"	2010	72.905
"B28579324"	2015	72.972
"A28410850"	2016	72.999
"A43621416"	2015	73
"A08149668"	2012	73.103
"A15020795"	2016	73.105
"B03091527"	2011	73.172
"B81907776"	2009	73.232
"A23022874"	2011	73.245
"B30331573"	2012	73.441
"A46106928"	2017	73.507
"B60024353"	2010	73.529
"A07021256"	2007	73.53
"A28651370"	2014	73.535
"B28579506"	2014	73.549
"A30046320"	2016	73.6
"A08340267"	2014	73.692
"B25436122"	2009	73.701
"A28636025"	2017	73.767
"A08393571"	2012	73.811
"B81760829"	2008	73.858
"A03057486"	2010	73.933
"A14022099"	2016	73.966
"A41112012"	2008	73.969
"B18551226"	2011	73.992
"A43001627"	2015	73.994
"A17020645"	2010	74.061
"B12027843"	2011	74.08
"A08541021"	2009	74.195
"A29025368"	2015	74.215
"B38024089"	2015	74.239
"A03084936"	2015	74.271
"A15038326"	2014	74.28
"A08612103"	2012	74.31
"A28415487"	2015	74.312
"B11469491"	2012	74.323
"A30035547"	2013	74.34
"A21008727"	2009	74.35
"A08681264"	2010	74.46
"A04017497"	2007	74.478
"B46153292"	2015	74.51
"B50067586"	2015	74.557
"A23008857"	2009	74.559
"B07762099"	2009	74.59
"A18012930"	2013	74.66
"A01161066"	2010	74.84
"A07905573"	2007	74.85
"B32003998"	2012	74.93
"A08564502"	2015	74.938
"A46106928"	2013	74.944
"A15049281"	2008	74.991
"A41031303"	2013	75
"A17007014"	2013	75.065
"B45020351"	2009	75.066
"B82432725"	2012	75.069
"B46173423"	2013	75.072
"A31003247"	2012	75.143
"A08989782"	2013	75.167
"B73456147"	2016	75.261
"A32006413"	2010	75.263
"A08687204"	2013	75.265
"B08628455"	2014	75.282
"A08484107"	2008	75.297
"B25006222"	2008	75.343
"A28693166"	2007	75.431
"A59067603"	2012	75.518
"A08375537"	2008	75.57
"A03035417"	2010	75.587
"A08231250"	2014	75.705
"A28615581"	2015	75.715
"B46063137"	2015	75.723
"B11012820"	2017	75.75
"A24056319"	2016	75.766
"A06151757"	2007	75.822
"A07065717"	2014	75.879
"B48059786"	2008	75.88
"A01016591"	2009	76.04
"A08159816"	2013	76.047
"A08374332"	2014	76.049
"A07009814"	2011	76.179
"B46164091"	2012	76.219
"A28381234"	2012	76.298
"A59954487"	2009	76.305
"B47014568"	2015	76.311
"A28693166"	2010	76.328
"A58816554"	2017	76.392
"A26011320"	2014	76.42
"A08646200"	2015	76.479
"A03028552"	2011	76.527
"A03057221"	2016	76.6
"A41112012"	2009	76.654
"B03026382"	2013	76.66
"A36060754"	2014	76.692
"B15018393"	2010	76.765
"A17020645"	2009	76.807
"A41022237"	2015	76.829
"A08612103"	2008	76.831
"A36016574"	2015	76.877
"A28025435"	2010	76.914
"B73212417"	2017	76.931
"A07035934"	2012	76.989
"A46016374"	2010	77
"B36620193"	2016	77.05
"B45020351"	2010	77.06
"A46126686"	2008	77.124
"B21011333"	2010	77.129
"A25041146"	2009	77.132
"A30038020"	2011	77.184
"A61831681"	2012	77.188
"A28496438"	2015	77.297
"A50889955"	2009	77.39
"A28192532"	2009	77.394
"A28452647"	2015	77.414
"A17009598"	2009	77.452
"B39523956"	2015	77.473
"A30038020"	2008	77.492
"B28360360"	2015	77.518
"A02006617"	2013	77.565
"A03035417"	2009	77.575
"A28325785"	2012	77.587
"B38001905"	2014	77.64
"A28333490"	2017	77.681
"A01161066"	2015	77.686
"A12100020"	2007	77.77
"B03068145"	2010	77.836
"B30516645"	2013	77.877
"A06014930"	2017	77.914
"A23022874"	2014	77.971
"B99029365"	2015	78
"A62400718"	2013	78.022
"A07010937"	2009	78.056
"A61831681"	2008	78.057
"A07086515"	2015	78.08
"A03734514"	2014	78.093
"A08677700"	2009	78.114
"A08708620"	2013	78.13
"A07004187"	2017	78.163
"A31071756"	2007	78.199
"B03094455"	2011	78.287
"A07009814"	2008	78.3
"A12014346"	2010	78.314
"A45020450"	2014	78.365
"A40004731"	2016	78.375
"B30034730"	2009	78.425
"B58075136"	2013	78.489
"A08188658"	2016	78.54
"A08425902"	2011	78.587
"B08298747"	2015	78.668
"A30018147"	2014	78.702
"B24007049"	2013	78.728
"A07012826"	2007	78.73
"A12100020"	2008	78.76
"A12012340"	2016	78.842
"B03026382"	2017	78.868
"B47011374"	2012	78.887
"A08719452"	2017	78.949
"B37024825"	2016	78.969
"A45020450"	2012	78.972
"A28314995"	2017	78.974
"A46104485"	2009	78.978
"A46105508"	2014	79.039
"A07016991"	2016	79.065
"B08721060"	2011	79.078
"A07027261"	2016	79.082
"A08691503"	2012	79.098
"A46056255"	2014	79.1
"A09015405"	2009	79.151
"A21008727"	2013	79.16
"A13029962"	2009	79.169
"B83654426"	2014	79.189
"B28249431"	2010	79.217
"B07025315"	2010	79.22
"V61861548"	2012	79.266
"A08388811"	2007	79.337
"A28027811"	2008	79.398
"A15070444"	2007	79.419
"B45011269"	2014	79.42
"A48071351"	2007	79.422
"A28571750"	2007	79.489
"A30035679"	2017	79.496
"A08146474"	2014	79.571
"A17041708"	2012	79.606
"A41392317"	2014	79.625
"B35043637"	2014	79.657
"A58349929"	2017	79.725
"A28175412"	2017	79.726
"A26004093"	2017	79.778
"A08062846"	2017	79.82
"A15024482"	2013	79.909
"A25022369"	2009	79.916
"A30011282"	2015	79.927
"B20062295"	2015	79.943
"A28458826"	2011	79.962
"A61831681"	2009	79.973
"A39030812"	2007	79.996
"A15018146"	2016	80.005
"A11608999"	2016	80.008
"A46023594"	2014	80.009
"A03035417"	2012	80.039
"A20018586"	2015	80.051
"A58061383"	2015	80.052
"A18484360"	2013	80.076
"B08125940"	2011	80.123
"A28674968"	2015	80.193
"A46069456"	2010	80.223
"A46036562"	2011	80.289
"A28313542"	2013	80.313
"A48083927"	2012	80.354
"A07042435"	2014	80.365
"A78905908"	2017	80.432
"A03035417"	2008	80.439
"B35043637"	2012	80.446
"A81841850"	2013	80.465
"B45020351"	2011	80.51
"B38004966"	2016	80.514
"B30029110"	2010	80.555
"A08564502"	2013	80.717
"A30004790"	2013	80.755
"A46048732"	2009	80.757
"A07016025"	2009	80.76
"A28025435"	2011	80.761
"A46074647"	2016	80.933
"A01006659"	2014	80.965
"A08294787"	2008	80.979
"B23011273"	2015	80.992
"B15516933"	2016	81.054
"B06341333"	2014	81.168
"A07033491"	2015	81.175
"A96646880"	2015	81.206
"A28486090"	2016	81.248
"A30038020"	2009	81.253
"A41014986"	2015	81.316
"A28255784"	2015	81.318
"A38026605"	2012	81.348
"A08066300"	2007	81.36
"A28027811"	2015	81.419
"A33024852"	2016	81.436
"A30418255"	2016	81.487
"A08007056"	2008	81.546
"A08217432"	2017	81.547
"A31013543"	2012	81.568
"A08197022"	2017	81.616
"B46071080"	2009	81.709
"A26015503"	2013	81.777
"A81408817"	2015	81.79
"A30005920"	2008	81.872
"A08679060"	2009	81.905
"A58394941"	2011	81.922
"B60653466"	2008	81.932
"A30012041"	2010	81.952
"A33008426"	2007	81.96
"A28695930"	2014	81.964
"A60531688"	2010	82
"A08989782"	2012	82.076
"B45555489"	2013	82.084
"F06312920"	2014	82.102
"B46157285"	2017	82.148
"B12003554"	2008	82.161
"A29056769"	2015	82.263
"B12008553"	2009	82.289
"A08075293"	2009	82.326
"A30035547"	2015	82.436
"A41098237"	2010	82.466
"B12523601"	2009	82.483
"A46078267"	2016	82.484
"A80632573"	2010	82.497
"A80632573"	2007	82.518
"B06320410"	2014	82.549
"A07027261"	2008	82.742
"A61427183"	2011	82.756
"A33615980"	2009	82.817
"B50029263"	2012	82.863
"A48077184"	2008	82.891
"A03084936"	2011	82.917
"B59162701"	2014	82.923
"A36017598"	2007	82.96
"A60531688"	2013	83
"A12016093"	2012	83.011
"A08222465"	2009	83.022
"A28543809"	2015	83.072
"A28720795"	2007	83.1
"A31013543"	2013	83.135
"B03091527"	2012	83.175
"B31001696"	2015	83.22
"B45020351"	2007	83.246
"B06013841"	2016	83.247
"A28278596"	2015	83.28
"A24012692"	2013	83.286
"A17475203"	2011	83.325
"A08689796"	2013	83.343
"A41002544"	2009	83.431
"A08723926"	2015	83.516
"A08146474"	2009	83.521
"A36001063"	2017	83.546
"A47009196"	2013	83.618
"A48095822"	2017	83.642
"A30032619"	2016	83.675
"A07010531"	2014	83.693
"A39005095"	2011	83.699
"B60338290"	2015	83.766
"B47506811"	2015	83.773
"A08616542"	2008	83.833
"A03033164"	2016	83.882
"A08591075"	2016	83.948
"B28403194"	2013	84
"A28651222"	2008	84.018
"B39026265"	2013	84.08
"A08375545"	2007	84.11
"A38014098"	2009	84.122
"B48059786"	2007	84.13
"A22201164"	2016	84.234
"A32006413"	2007	84.26
"A36014009"	2014	84.264
"A14012819"	2007	84.39
"B17462961"	2013	84.402
"A28510246"	2009	84.41
"A08061731"	2015	84.458
"A08146730"	2016	84.461
"A29027901"	2014	84.522
"A36040442"	2011	84.53
"A28662005"	2007	84.54
"A07068422"	2010	84.568
"A35026590"	2010	84.592
"A33021635"	2013	84.594
"A08568057"	2010	84.597
"A35008168"	2008	84.603
"V30405880"	2008	84.685
"A41057209"	2008	84.69
"A04236931"	2011	84.722
"A43016757"	2010	84.747
"B28543023"	2013	84.798
"A47011317"	2012	84.851
"A28313542"	2016	84.902
"A28615581"	2014	84.986
"A46134250"	2007	85
"B03089471"	2014	85.024
"A47010194"	2017	85.166
"A28582450"	2011	85.279
"A34007831"	2016	85.338
"B03030913"	2016	85.341
"A42001222"	2017	85.375
"B48033278"	2010	85.401
"B35046630"	2012	85.434
"A43019975"	2009	85.495
"A06141345"	2016	85.497
"A32006744"	2009	85.52
"A41087404"	2012	85.59
"A30014211"	2015	85.605
"A32006611"	2016	85.615
"A48064521"	2011	85.637
"A05000682"	2014	85.735
"A30024798"	2011	85.791
"A43001684"	2014	85.808
"A13008461"	2009	85.936
"A92111871"	2015	86
"A28410850"	2010	86.017
"A28612620"	2009	86.113
"A58061383"	2013	86.219
"A20017604"	2011	86.221
"A20017604"	2010	86.257
"B46121000"	2015	86.265
"B38001905"	2012	86.289
"A07123441"	2008	86.315
"A48095822"	2016	86.343
"A08304628"	2015	86.346
"B36002913"	2007	86.369
"A18484360"	2017	86.371
"A46087565"	2015	86.374
"A28524726"	2016	86.403
"A07123441"	2012	86.408
"A08689796"	2012	86.441
"A46084984"	2008	86.46
"A20049755"	2011	86.536
"A30012041"	2007	86.582
"A33604851"	2014	86.589
"A28270452"	2008	86.616
"A26004754"	2008	86.729
"A31196983"	2014	86.766
"B80397409"	2014	86.85
"B06320410"	2015	86.859
"A43019975"	2015	86.861
"A28649747"	2008	86.87
"B28361350"	2017	86.885
"B34224923"	2016	86.907
"A44004059"	2009	86.916
"B46142071"	2016	86.947
"B03004801"	2008	86.954
"B28403194"	2015	87
"A46151973"	2009	87.031
"A12022224"	2010	87.07
"B24007049"	2014	87.084
"A50012541"	2013	87.125
"B27008408"	2012	87.262
"A23022874"	2012	87.264
"F06139109"	2015	87.352
"A08564502"	2009	87.357
"A08425902"	2013	87.383
"A61587358"	2017	87.447
"A08401820"	2017	87.48
"A28587616"	2016	87.507
"B45020351"	2008	87.542
"A48040034"	2017	87.554
"A30035679"	2007	87.58
"B11469491"	2008	87.593
"A08275281"	2014	87.72
"A15024482"	2014	87.727
"A28392694"	2013	87.75
"A22012223"	2009	87.767
"A50052950"	2014	87.769
"A13008461"	2016	87.789
"B82432725"	2014	87.816
"A08663957"	2014	87.866
"A17048349"	2013	87.87
"A28341055"	2010	87.881
"A12025490"	2010	87.888
"A48077184"	2012	87.928
"A34009936"	2008	87.941
"A30032130"	2011	88.135
"A08689796"	2010	88.245
"B81496515"	2011	88.266
"B46441275"	2016	88.294
"A30037873"	2016	88.323
"A30023295"	2017	88.33
"B43241769"	2010	88.385
"B91139717"	2013	88.396
"A45020450"	2013	88.452
"B28337731"	2008	88.503
"A29018207"	2016	88.541
"A18431064"	2017	88.658
"A50049105"	2017	88.694
"A28543809"	2014	88.701
"A25026139"	2017	88.707
"A28610863"	2016	88.755
"B01013507"	2016	88.762
"A08217432"	2012	88.789
"A12017919"	2013	88.838
"B38002655"	2014	88.887
"B36002913"	2017	88.948
"A28734432"	2007	88.962
"B30721237"	2010	88.973
"A46089819"	2012	88.973
"A08637829"	2011	88.995
"B30034730"	2015	89.283
"A38003133"	2016	89.313
"F06402697"	2011	89.354
"B08688301"	2011	89.366
"B43202076"	2017	89.396
"A17045204"	2017	89.451
"A35014414"	2014	89.534
"B46090791"	2013	89.56
"A08604159"	2013	89.582
"B46071080"	2017	89.604
"B12007456"	2015	89.677
"A48876874"	2012	89.699
"A48040034"	2011	89.784
"B35043637"	2017	89.894
"B58075136"	2015	89.899
"A39027917"	2015	89.917
"A12025490"	2009	89.938
"A01000777"	2008	89.939
"A47009196"	2014	89.949
"A28612620"	2017	89.968
"B79945150"	2012	89.971
"B28249431"	2011	89.993
"A01011881"	2013	90.073
"A50049105"	2011	90.085
"A28249993"	2007	90.091
"B83257295"	2012	90.162
"A34170183"	2014	90.195
"A08802068"	2017	90.202
"A46068862"	2016	90.211
"B03091527"	2013	90.255
"A28030062"	2010	90.261
"A30024798"	2012	90.363
"A46105532"	2016	90.364
"A28695930"	2013	90.395
"A25017880"	2016	90.427
"A08097438"	2009	90.447
"B15009566"	2014	90.482
"A04236931"	2009	90.492
"A23008857"	2010	90.593
"A08340267"	2010	90.624
"A26004754"	2010	90.642
"A48100002"	2013	90.645
"A09015405"	2017	90.686
"A11605409"	2016	90.695
"A46035770"	2009	90.712
"A28698884"	2011	90.819
"A30035547"	2011	90.831
"A61831681"	2011	90.882
"A30506406"	2015	90.975
"A14022099"	2017	90.983
"B46142485"	2013	90.989
"A31194905"	2008	91
"B73212417"	2011	91.03
"A09015256"	2008	91.054
"A07016991"	2008	91.08
"A43002450"	2007	91.14
"A28636025"	2010	91.16
"A30418255"	2017	91.171
"B83588657"	2016	91.173
"B28307536"	2013	91.2
"A08394157"	2016	91.207
"B23015753"	2014	91.213
"A28518090"	2008	91.219
"A39000849"	2009	91.232
"B17593633"	2010	91.254
"A28133023"	2015	91.279
"A25017880"	2015	91.325
"B81907776"	2010	91.411
"A08283798"	2016	91.451
"A17012626"	2017	91.502
"A09015256"	2013	91.577
"A08414906"	2011	91.585
"A08450421"	2012	91.662
"A08262412"	2016	91.741
"A12018354"	2009	91.75
"A46044962"	2013	91.773
"A31018799"	2009	91.778
"A36017598"	2008	91.826
"A46038519"	2011	91.832
"A28143782"	2013	91.88
"A83102426"	2015	91.907
"B28701340"	2014	91.93
"B35015262"	2017	91.937
"A30041834"	2014	91.978
"A30035547"	2014	92.005
"A18565705"	2016	92.056
"A08466807"	2011	92.101
"A28636025"	2011	92.14
"A31072325"	2017	92.309
"B28170215"	2017	92.39
"A01167204"	2017	92.39
"B17002049"	2008	92.49
"A08689796"	2011	92.518
"B08721060"	2013	92.538
"A28392736"	2012	92.576
"A29519220"	2016	92.831
"A46151973"	2013	92.869
"B39014709"	2009	92.92
"A28610863"	2010	92.97
"A39030812"	2012	92.991
"A34129635"	2011	93.108
"A08631517"	2009	93.117
"A24003873"	2015	93.122
"A08394157"	2015	93.126
"A33008426"	2009	93.142
"B28170215"	2014	93.144
"A08231250"	2015	93.204
"A29025368"	2009	93.214
"A08499568"	2014	93.247
"B08113615"	2013	93.262
