nif	year	inmovilizado
"A28173573"	2007	1788.989
"A28399434"	2007	1789.008
"A08183485"	2014	1789.189
"A30022214"	2017	1789.547
"B48771711"	2015	1790.939
"A48064182"	2008	1791.2
"A33602905"	2016	1791.282
"A46023735"	2014	1791.416
"A30035034"	2015	1791.976
"A03036373"	2016	1792.613
"A30035034"	2014	1792.949
"A47022058"	2007	1792.95
"A26001867"	2015	1793.268
"A26020198"	2015	1793.457
"A47024393"	2009	1793.774
"A46131769"	2009	1793.917
"A28642122"	2010	1794.412
"A28683068"	2007	1795.438
"B02011641"	2009	1795.483
"A07265465"	2014	1795.767
"A05007687"	2016	1795.807
"A28556504"	2011	1796.021
"B29212644"	2010	1796.922
"A30014211"	2013	1796.992
"A17039140"	2016	1797.2
"B35023068"	2007	1797.482
"A60401585"	2010	1797.549
"A48071351"	2011	1797.965
"B31089071"	2011	1798.323
"B30015226"	2011	1798.646
"A07066467"	2016	1799.314
"A58907015"	2011	1799.707
"A28060283"	2014	1800.663
"A28642122"	2011	1801.303
"A08568057"	2012	1801.715
"B46069654"	2008	1802.425
"A39023759"	2011	1802.447
"B08642324"	2014	1802.526
"B73456147"	2017	1803.575
"A59990580"	2009	1803.778
"A80433519"	2009	1804.336
"B46148797"	2008	1805.146
"A47000641"	2013	1805.247
"A08257388"	2008	1805.3
"A04016952"	2014	1806.217
"A46031845"	2012	1806.981
"A28670313"	2016	1807.274
"A12029468"	2015	1807.296
"B30009039"	2008	1808.121
"B96990015"	2017	1808.46
"A20779849"	2012	1808.553
"B27008390"	2008	1809.59
"A38018404"	2010	1809.702
"A11000098"	2009	1810.803
"A08094567"	2017	1811.045
"A28638542"	2009	1811.214
"A28636025"	2017	1811.681
"A07216948"	2013	1812.056
"A28293884"	2009	1812.227
"A47010194"	2013	1812.477
"A58348038"	2011	1813.146
"A08146870"	2009	1813.673
"B31009715"	2017	1813.865
"A46005252"	2016	1814.473
"A12015673"	2007	1814.487
"A83062497"	2017	1814.991
"A29035896"	2007	1815.207
"A50042027"	2015	1815.65
"A60016037"	2015	1817.407
"A08679060"	2007	1817.848
"A31018799"	2011	1818.092
"B41217761"	2012	1818.279
"A12022224"	2010	1818.42
"A96785225"	2007	1818.79
"A30022909"	2010	1820.336
"B46148797"	2009	1820.525
"A81200511"	2013	1820.706
"A48071351"	2015	1821.002
"B32003998"	2012	1822.426
"A28332914"	2007	1822.52
"B28222487"	2007	1822.828
"A31404452"	2015	1822.95
"A10011641"	2013	1823.548
"A08513749"	2010	1824.043
"A28266989"	2007	1824.78
"B29212644"	2009	1824.892
"A78688934"	2011	1825
"A36001063"	2017	1825.046
"A08198392"	2011	1825.764
"A58348038"	2010	1825.788
"A58907015"	2008	1826.259
"A46035770"	2012	1827.109
"A08375545"	2014	1827.148
"A47010194"	2014	1827.225
"A35005743"	2007	1827.28
"A08394157"	2014	1827.701
"A08568057"	2007	1827.89
"A08572430"	2009	1828.116
"A08209538"	2011	1828.572
"B30015226"	2012	1828.845
"A46104485"	2007	1828.87
"A11012572"	2007	1829.119
"A08387854"	2013	1829.211
"A28615581"	2007	1829.4
"A18016709"	2013	1829.631
"B08282337"	2012	1829.793
"A08568057"	2009	1829.976
"A28720795"	2010	1829.992
"A08276867"	2012	1830.533
"A17010018"	2009	1830.948
"A28332914"	2009	1831.37
"A15033699"	2007	1831.407
"A08526345"	2012	1831.432
"B47011374"	2015	1831.902
"B81864894"	2016	1832
"A80433519"	2011	1832.048
"A28672624"	2012	1832.108
"A53288478"	2011	1832.464
"B11050176"	2007	1832.55
"A78092764"	2009	1833.146
"A41002544"	2010	1833.712
"B08642324"	2013	1834.16
"A18016709"	2012	1834.448
"F30587919"	2017	1834.895
"A08533945"	2010	1835.258
"A46094207"	2013	1835.285
"A78092764"	2013	1835.662
"A50042027"	2014	1836.088
"A08679060"	2009	1836.297
"A50005156"	2011	1836.775
"A08396830"	2007	1837.12
"A33009630"	2016	1837.15
"A08257388"	2007	1838.4
"A08393571"	2012	1839.383
"A30041719"	2015	1839.419
"A28270452"	2009	1839.47
"A50025071"	2015	1839.523
"B39446315"	2015	1839.649
"A08257388"	2013	1840.236
"B06368674"	2014	1840.331
"A28019461"	2008	1840.768
"A50005156"	2016	1842.016
"A30022172"	2015	1842.477
"B48111124"	2013	1842.529
"A28683068"	2015	1843.038
"B46045993"	2014	1843.093
"B04001848"	2010	1843.518
"B50029263"	2014	1843.581
"A11019767"	2011	1844.881
"A08541021"	2013	1845.117
"A28555563"	2016	1845.236
"A08679060"	2008	1845.834
"A08568057"	2011	1847.492
"A46002069"	2012	1847.651
"A03005154"	2010	1847.914
"B43241769"	2011	1848.257
"A08372351"	2014	1848.678
"A03062619"	2011	1848.781
"A08257388"	2012	1850.689
"V30558738"	2013	1851.572
"A31009913"	2008	1851.805
"A46016374"	2008	1851.827
"A08533945"	2011	1852.072
"A46126439"	2015	1852.209
"A30032130"	2009	1852.682
"B08275026"	2014	1852.981
"A62332580"	2011	1853.06
"A18016709"	2011	1855.249
"B28307536"	2008	1855.81
"A96569207"	2010	1855.913
"A46016374"	2009	1856.49
"A80433519"	2012	1856.694
"A28724219"	2017	1857.463
"A41055377"	2015	1858.632
"A28458826"	2009	1859.559
"A28452647"	2014	1860.098
"A28012359"	2017	1860.445
"A35045681"	2009	1860.856
"A02006021"	2010	1861.511
"A50000876"	2011	1861.592
"A31012636"	2014	1861.856
"B39026265"	2013	1864.309
"A08198392"	2012	1865.127
"A36600518"	2010	1865.37
"A44003663"	2008	1865.41
"A46170080"	2007	1866.159
"B12662722"	2014	1866.309
"A26013714"	2013	1866.969
"A17021460"	2016	1867.078
"A80433519"	2013	1867.546
"A12022885"	2016	1867.913
"A48110381"	2015	1867.973
"A21010616"	2017	1868.023
"A28574101"	2014	1868.409
"A30603716"	2012	1868.62
"B40003550"	2011	1869.17
"A46134250"	2010	1869.27
"A17001207"	2013	1869.689
"A09021833"	2007	1869.786
"A46115101"	2012	1870.393
"A08146870"	2011	1870.829
"B42141176"	2013	1870.998
"A28458826"	2007	1871.311
"A04016952"	2015	1871.599
"A25022369"	2014	1871.921
"A31086598"	2016	1871.962
"A28543809"	2014	1872.234
"A07066467"	2017	1872.925
"A28167443"	2007	1873.07
"B53548384"	2010	1874.005
"A43025618"	2010	1874.345
"B18018176"	2009	1874.976
"A46002069"	2008	1875.248
"A01014794"	2011	1875.729
"A47000054"	2011	1875.898
"B04018495"	2013	1875.932
"B80372220"	2009	1876.627
"A48110381"	2016	1876.747
"A50005156"	2015	1877.081
"A28523066"	2009	1877.172
"A50000876"	2010	1877.232
"A28618890"	2011	1877.552
"A01013077"	2007	1877.571
"A47000641"	2012	1879.624
"A17044546"	2010	1879.636
"A06017040"	2009	1879.8
"B46108403"	2011	1879.866
"A48009773"	2015	1880.906
"A25529074"	2010	1881.088
"A01004548"	2011	1881.643
"A41037672"	2014	1882.736
"A28167443"	2016	1883
"A38020525"	2008	1883.208
"A48093868"	2013	1883.686
"A35008168"	2015	1885.797
"A02006021"	2012	1886.245
"A43025618"	2009	1886.857
"A46115127"	2009	1887.431
"A33024084"	2013	1887.552
"A36600518"	2009	1888.027
"B08282337"	2013	1888.052
"A08198392"	2013	1888.134
"A42003368"	2014	1888.849
"A33615923"	2012	1889.683
"B08194359"	2009	1890
"A35008168"	2017	1890.796
"A48045199"	2017	1890.888
"B50023142"	2008	1891.25
"A36012698"	2007	1891.454
"A08397119"	2015	1891.982
"A41037672"	2013	1893.073
"A25020629"	2007	1893.4
"A79092573"	2010	1893.4
"B41058124"	2008	1893.58
"A28399434"	2008	1893.661
"B28499218"	2013	1894.397
"B08013963"	2013	1895.254
"A08273898"	2007	1895.27
"A50008390"	2014	1895.574
"A80433519"	2014	1895.913
"A24056319"	2017	1896.469
"B03087293"	2009	1897.466
"A04016952"	2017	1898.084
"B46164091"	2016	1898.244
"A28060283"	2012	1898.276
"A41050980"	2011	1900.119
"A46134250"	2009	1901.238
"A30031835"	2014	1901.331
"A41038274"	2009	1901.792
"A08346116"	2011	1901.866
"A35008168"	2016	1901.99
"A83826362"	2012	1902.07
"A03036373"	2015	1902.798
"A08257388"	2010	1902.816
"A78092764"	2014	1902.83
"A28124311"	2011	1903.011
"A04016952"	2016	1903.093
"A06017040"	2014	1903.503
"A31096233"	2011	1903.614
"A17001322"	2013	1903.627
"B83426387"	2014	1903.867
"A78067188"	2010	1904
"A21011580"	2013	1904.08
"A50000876"	2009	1904.106
"A50040013"	2008	1904.12
"A08372351"	2010	1904.223
"A03032653"	2007	1904.31
"A48020358"	2015	1904.592
"A28400323"	2007	1904.75
"A46131769"	2011	1905.039
"B27008390"	2007	1905.81
"A41037672"	2015	1906.146
"A31009913"	2007	1906.71
"A50000876"	2012	1906.739
"A28651222"	2012	1907.428
"A48033526"	2015	1907.774
"A17001322"	2014	1907.949
"B04018495"	2016	1908.187
"B20793956"	2014	1908.334
"A33602905"	2014	1908.508
"A08131153"	2011	1909
"B30000574"	2016	1909.934
"B08642324"	2011	1910.19
"A08194284"	2008	1910.253
"A08679060"	2010	1910.508
"B20049615"	2012	1910.869
"A50008937"	2015	1911.084
"A08361644"	2010	1911.396
"A28684512"	2009	1911.696
"A12006227"	2014	1911.865
"A08479933"	2015	1912.118
"B01013507"	2008	1913.24
"A08704520"	2009	1913.388
"A06014930"	2009	1913.586
"B46055489"	2014	1913.76
"A08102410"	2016	1914.773
"A12017919"	2012	1915.083
"A50011980"	2007	1915.215
"B03087293"	2008	1915.5
"B08102881"	2016	1915.51
"A11902814"	2013	1915.733
"A31078140"	2013	1916.414
"A26014035"	2011	1916.914
"B46171518"	2012	1917.611
"A21010616"	2016	1918.383
"A41050535"	2013	1918.655
"A08200651"	2013	1918.757
"A59990580"	2011	1918.999
"A08131153"	2012	1919
"A26013714"	2014	1921.257
"A28724219"	2016	1921.363
"A30603716"	2008	1921.572
"A28345148"	2011	1922.025
"B30604565"	2016	1922.501
"A46069456"	2007	1923.29
"A12022224"	2015	1923.521
"B06368674"	2013	1923.532
"A08541021"	2014	1923.682
"A01002864"	2012	1923.851
"A15021843"	2012	1924.156
"B12018008"	2013	1924.387
"A08273898"	2011	1924.874
"A78092764"	2012	1925.435
"A46106928"	2012	1925.489
"A08257388"	2011	1925.522
"A28543809"	2017	1927.349
"A48110381"	2011	1927.483
"A11019767"	2015	1927.494
"A03062619"	2014	1927.857
"A47024393"	2010	1928.03
"A95249199"	2012	1928.19
"B92403716"	2015	1928.441
"A59990580"	2010	1928.714
"A28670313"	2017	1928.869
"B35023068"	2008	1929
"B33614033"	2015	1929.108
"A04000881"	2010	1929.235
"A28411585"	2009	1929.238
"F46026829"	2010	1929.608
"B59737882"	2012	1929.693
"A46160701"	2017	1930.262
"A17044546"	2013	1930.344
"A46115127"	2007	1930.365
"A18312041"	2012	1930.885
"A08578395"	2013	1931.061
"B30000574"	2015	1931.071
"A20053773"	2017	1931.464
"B25006222"	2017	1932.242
"A17048752"	2013	1932.599
"A15016595"	2009	1932.718
"A50042027"	2013	1933.009
"A15016595"	2015	1933.077
"B36684157"	2013	1934.185
"B21015474"	2011	1934.411
"B28170215"	2017	1934.579
"A41002544"	2014	1934.636
"A40002701"	2008	1936.493
"B36009942"	2013	1937.161
"A46023594"	2011	1937.188
"A28087575"	2013	1937.207
"A08257388"	2009	1937.316
"A08679060"	2011	1937.606
"F30587919"	2010	1937.872
"A08421190"	2010	1938.011
"B03032620"	2012	1938.058
"A46023594"	2013	1938.157
"A28695021"	2013	1938.198
"A50025071"	2016	1938.483
"B30035968"	2017	1938.507
"A33005612"	2014	1938.53
"A80433519"	2008	1938.58
"A47000054"	2013	1938.625
"A80433519"	2015	1938.858
"A30036933"	2011	1939.426
"A33024084"	2015	1939.989
"A08183485"	2013	1940.006
"A06163851"	2016	1940.384
"A41002544"	2009	1940.848
"A08453219"	2009	1940.864
"A30036438"	2009	1941.457
"B28249431"	2007	1942.49
"A35091057"	2007	1942.78
"B30605760"	2013	1943.372
"A38018404"	2011	1943.53
"A12022224"	2007	1943.59
"A28106979"	2014	1943.735
"A28019461"	2009	1944
"A46044814"	2012	1944.207
"B02011641"	2008	1944.217
"A31018799"	2016	1944.448
"A80433519"	2007	1944.69
"A41014986"	2017	1944.744
"A28175412"	2017	1945.449
"A28586592"	2009	1946.162
"A48073274"	2014	1946.824
"A08211112"	2007	1947.915
"A46023594"	2010	1948.82
"B41094459"	2008	1949.611
"A46023594"	2012	1950.454
"B48771711"	2016	1950.648
"A08126492"	2013	1951.923
"A84039338"	2013	1951.95
"A31037294"	2007	1952.133
"A08541021"	2012	1952.567
"A30014211"	2007	1953.45
"A36249076"	2017	1953.775
"B82612896"	2017	1953.866
"B08282337"	2014	1953.985
"A08667370"	2011	1954.218
"B04018495"	2015	1955.301
"B28543023"	2016	1955.809
"B46121000"	2013	1956.307
"B08642324"	2012	1956.442
"A46035770"	2013	1957.609
"A81000028"	2010	1957.719
"A28672624"	2007	1957.77
"B28499218"	2011	1957.915
"A28636025"	2015	1958
"A26001867"	2010	1958.062
"A40004731"	2017	1958.511
"B35023068"	2009	1958.689
"A08288490"	2007	1958.7
"A26020198"	2014	1959.776
"A78092764"	2010	1960.668
"A33126244"	2011	1961.471
"A47000054"	2012	1961.536
"A50000876"	2013	1961.942
"A21010616"	2015	1961.945
"A49005861"	2012	1961.974
"A41037672"	2012	1962.248
"B30604565"	2017	1962.337
"A12029468"	2014	1963.002
"A28235158"	2009	1963.256
"B46037446"	2017	1963.363
"A78092764"	2011	1963.737
"A46105086"	2007	1964.12
"A41014986"	2016	1964.874
"A28060283"	2013	1965.115
"A28452647"	2013	1965.455
"A08421190"	2009	1966.021
"A20056248"	2015	1966.055
"A46023735"	2017	1966.071
"A08105371"	2013	1966.335
"B29682135"	2012	1966.379
"A26021527"	2013	1966.511
"A15016595"	2010	1966.519
"A07053374"	2014	1966.806
"A36012698"	2008	1966.858
"A11209749"	2008	1968.183
"A11012572"	2008	1968.374
"A26001867"	2011	1968.513
"A33610106"	2007	1969.915
"A28033702"	2007	1969.93
"B64055445"	2017	1970
"A53288478"	2013	1970.147
"A28033702"	2008	1971
"B46121000"	2015	1971.553
"A31072325"	2016	1971.636
"B29682135"	2014	1972.228
"A30014211"	2012	1972.309
"A48045199"	2016	1973.081
"A33015454"	2016	1973.163
"A07010531"	2014	1974.042
"B92403716"	2014	1974.125
"A07053374"	2015	1974.496
"A46126686"	2008	1974.818
"A24015802"	2015	1974.922
"A59954487"	2010	1975.145
"B41042698"	2017	1975.858
"A12022224"	2016	1975.929
"B22004113"	2011	1975.931
"A08421190"	2008	1976.406
"A50169143"	2013	1976.712
"A15590904"	2010	1977.5
"A08361644"	2013	1977.697
"A46002069"	2011	1977.784
"A29076759"	2017	1978.361
"A39023759"	2010	1978.725
"A31076508"	2017	1979.049
"A44003663"	2010	1979.441
"A17021460"	2017	1979.516
"B30000574"	2014	1979.689
"A40002701"	2009	1979.891
"A25022609"	2010	1980.112
"B48771711"	2011	1980.299
"A08646101"	2017	1980.389
"A50013671"	2015	1980.995
"B20759023"	2013	1981.235
"A41002841"	2014	1981.277
"A08568057"	2010	1981.531
"A08094567"	2007	1981.88
"A28112555"	2007	1982.251
"A50011980"	2017	1982.698
"A17010018"	2008	1982.7
"A28143782"	2007	1982.72
"A28143782"	2008	1982.72
"A28143782"	2009	1983
"A28143782"	2010	1983
"A08526345"	2011	1983.253
"A46104485"	2015	1983.538
"B11009917"	2014	1983.759
"A15016595"	2011	1983.888
"A03028461"	2011	1984.229
"A36249076"	2014	1984.48
"B46055489"	2013	1984.529
"B46171518"	2013	1985.202
"A11000098"	2010	1985.428
"B59737882"	2011	1985.574
"A08063372"	2014	1986.001
"A28229409"	2012	1987.556
"A08340267"	2015	1987.783
"B14484612"	2012	1988.012
"A48071369"	2014	1988.467
"A46031845"	2011	1988.871
"A26015503"	2009	1988.938
"A08851321"	2007	1990.067
"B59162701"	2015	1990.476
"A33126244"	2012	1990.58
"A53288478"	2012	1990.703
"B08642324"	2009	1991.247
"A31404452"	2014	1992.797
"B08113615"	2015	1992.879
"A33604182"	2016	1993.454
"A08851321"	2008	1993.825
"A20060075"	2009	1993.84
"A24004426"	2013	1995.056
"A46005484"	2017	1995.087
"A59954487"	2011	1995.505
"A01013077"	2013	1995.681
"A47024393"	2014	1995.743
"A28698884"	2007	1995.778
"A04413340"	2017	1995.92
"B08642324"	2010	1996.251
"B46164091"	2014	1996.661
"A45020450"	2017	1996.778
"A46131769"	2012	1997.538
"A30014211"	2008	1997.682
"B28084168"	2015	1998
"B40003550"	2007	1998.603
"A03084936"	2015	1999.343
"A36249076"	2010	2000.268
"A03084936"	2017	2000.651
"A08012601"	2009	2000.749
"A08541021"	2015	2001.23
"B10005932"	2010	2002.279
"B81009151"	2017	2002.618
"A31404452"	2013	2005.002
"A07050420"	2009	2005.117
"A46094207"	2012	2006.042
"A37003050"	2012	2006.105
"A46002697"	2009	2007.068
"A28543809"	2016	2007.304
"A08466807"	2011	2007.312
"A31076508"	2016	2007.606
"B50030964"	2009	2007.805
"A17039140"	2014	2008.358
"A31061401"	2013	2008.481
"A28683068"	2010	2008.568
"A31096233"	2010	2008.607
"A41037672"	2011	2009.156
"A41037672"	2016	2009.444
"A12027488"	2014	2009.874
"A41002841"	2013	2010.265
"A03084936"	2011	2010.309
"A41037672"	2017	2010.764
"A32226037"	2011	2011.06
"B29682135"	2013	2012.687
"A26015503"	2012	2013.108
"B28205532"	2015	2013.222
"A15016595"	2012	2013.678
"B08282337"	2011	2014.173
"A28559474"	2013	2014.678
"B48108898"	2017	2015.05
"B08292054"	2017	2015.097
"F46026829"	2009	2015.188
"A08401820"	2011	2015.315
"A28543809"	2013	2015.934
"A28449569"	2011	2015.958
"A28110971"	2008	2017.593
"A08575672"	2008	2018.083
"A03028461"	2015	2018.715
"A36615037"	2009	2018.936
"B37020179"	2010	2019.022
"A14026199"	2007	2019.48
"B40003550"	2012	2019.769
"A46104485"	2014	2020.071
"A28012359"	2016	2020.356
"A28449569"	2012	2020.431
"A32006611"	2015	2021.614
"A80200868"	2008	2021.671
"A46131769"	2010	2024.14
"A08200651"	2007	2024.488
"A28146579"	2007	2025.448
"B46055489"	2017	2026.12
"A41037672"	2010	2026.752
"A01004548"	2010	2026.771
"A08679060"	2013	2026.915
"A30023295"	2016	2027.234
"A29025368"	2016	2027.568
"B46045993"	2013	2028.396
"B46164091"	2017	2028.718
"B41065418"	2014	2028.956
"B43241769"	2013	2029.268
"A46126439"	2012	2029.279
"A30022214"	2016	2029.855
"A47000641"	2011	2029.924
"A28375913"	2011	2030
"A50013671"	2014	2030.166
"A20060075"	2011	2032.138
"A08094567"	2016	2032.576
"A28030062"	2014	2033.764
"A12385860"	2017	2034.467
"A03084936"	2014	2035.204
"A28019461"	2007	2035.35
"A26015503"	2007	2036.2
"A28184661"	2011	2036.445
"A08224081"	2014	2036.713
"A28449569"	2013	2036.754
"A30112221"	2014	2036.954
"A17001322"	2012	2037.284
"A33009630"	2017	2039.061
"A47000641"	2017	2039.51
"A30112221"	2015	2039.594
"A26015503"	2008	2039.67
"A14015101"	2014	2039.82
"A33009630"	2015	2039.856
"B48771711"	2010	2040.035
"A08723926"	2010	2040.108
"B39523956"	2016	2041.506
"A46002069"	2014	2041.854
"A28449569"	2014	2042.604
"A21010616"	2014	2043.208
"A31086598"	2017	2043.839
"A02006021"	2009	2043.907
"F46026829"	2008	2044.125
"B11009917"	2013	2044.996
"A28651222"	2014	2045.222
"A07061161"	2012	2045.239
"A30031835"	2013	2045.276
"A36014009"	2010	2045.384
"A28175412"	2015	2047.57
"A28111342"	2014	2047.749
"B12681060"	2016	2048.233
"A26001867"	2009	2048.251
"A07042088"	2008	2048.42
"A11019767"	2014	2048.755
"A26004093"	2008	2049
"A08374332"	2013	2049.177
"A08191579"	2012	2049.447
"A03012614"	2007	2050.22
"B10005932"	2011	2050.711
"B38025920"	2013	2050.942
"A03084936"	2012	2052.726
"A25026733"	2007	2053.03
"A48083927"	2014	2053.372
"A25022369"	2013	2053.865
"B39523956"	2014	2054.091
"A46170080"	2009	2054.504
"A17045972"	2016	2055.165
"A08062846"	2017	2055.272
"A28270452"	2010	2055.737
"A08126492"	2011	2057.109
"B41065418"	2013	2057.247
"A08051526"	2013	2057.724
"B28270411"	2014	2057.81
"A23022874"	2014	2057.867
"A03084936"	2013	2057.926
"A11019767"	2013	2058.298
"A01014794"	2016	2060.902
"A22013072"	2010	2061
"B04018495"	2011	2061.361
"A12022885"	2015	2061.43
"B15009566"	2008	2061.859
"A36615896"	2016	2062.248
"B01013507"	2007	2062.69
"A31072325"	2010	2062.721
"A28618890"	2015	2062.832
"A08479933"	2017	2063.149
"A43016757"	2012	2063.914
"A46094207"	2011	2064.424
"B12681060"	2017	2064.657
"A28054211"	2011	2064.933
"B07762099"	2009	2065.135
"A02012714"	2014	2065.203
"A28175412"	2016	2065.371
"B50023142"	2010	2065.642
"A48092886"	2013	2066.373
"A43016757"	2015	2067.154
"A26015503"	2011	2067.708
"A30023295"	2011	2068.023
"A12006227"	2013	2068.312
"A36615896"	2015	2069.953
"A31072325"	2014	2070.842
"A46044814"	2011	2071.538
"B59886531"	2011	2072
"A43702745"	2015	2072.357
"A41050980"	2012	2074.253
"A41038274"	2010	2074.697
"B46108403"	2012	2076.194
"A34009936"	2008	2076.43
"A08679060"	2012	2076.615
"A95249199"	2011	2077.169
"A08094567"	2014	2078.427
"A50042027"	2010	2078.586
"A48110381"	2010	2078.772
"A36014009"	2009	2078.782
"A28649879"	2011	2078.825
"B12662722"	2012	2079.149
"B39026265"	2014	2079.444
"A26004093"	2010	2079.926
"A46170080"	2008	2080.459
"A08200651"	2012	2080.481
"A28552149"	2007	2081.296
"A28030062"	2015	2081.666
"A18312041"	2015	2082.824
"A28683068"	2009	2083.129
"A08453219"	2010	2083.595
"B14030720"	2013	2083.643
"A20060075"	2008	2084.141
"A50042027"	2011	2084.902
"A09021833"	2011	2085.039
"A46134250"	2007	2085.13
"A33606534"	2007	2085.678
"A28510246"	2007	2085.82
"A48064182"	2015	2086
"B08194359"	2010	2086
"A09021833"	2009	2086.03
"B46146080"	2012	2086.434
"A08042764"	2007	2086.56
"A08533945"	2012	2086.725
"A33036807"	2008	2087.033
"A46021804"	2012	2087.243
"A30037873"	2013	2087.695
"A42003368"	2013	2087.892
"A30014211"	2011	2088.257
"A28543809"	2008	2088.414
"A03005154"	2009	2088.445
"A48071369"	2012	2088.601
"A28440576"	2009	2089.429
"A46031845"	2010	2089.5
"A41037672"	2009	2089.52
"A48107809"	2014	2089.643
"A21008727"	2011	2092.126
"B19179662"	2011	2092.189
"A28458826"	2017	2093.325
"A08280240"	2014	2094.229
"A04000881"	2009	2094.291
"A20060075"	2007	2096.324
"A46146551"	2010	2096.581
"A48119143"	2010	2097.092
"A01013077"	2011	2097.816
"B27013556"	2012	2098.086
"A33006644"	2010	2098.095
"A30603716"	2009	2098.148
"A38003133"	2009	2098.723
"B39026604"	2010	2098.811
"A48005672"	2010	2098.967
"A81824047"	2014	2099.764
"A48064521"	2009	2099.96
"A84039338"	2012	2100.378
"A32006611"	2016	2100.379
"A79259388"	2007	2100.39
"B15021520"	2011	2100.392
"A29033420"	2011	2100.598
"A28649747"	2008	2100.635
"A46031845"	2009	2101.3
"A08723926"	2012	2101.426
"A28410850"	2017	2101.493
"A03028461"	2014	2102.274
"A43025618"	2007	2102.372
"A21008727"	2010	2102.401
"B28543023"	2011	2102.5
"A43001627"	2012	2103.275
"A20024832"	2012	2103.317
"A46068318"	2007	2103.406
"B30000574"	2013	2103.93
"A20060075"	2010	2104.043
"A12029468"	2013	2104.24
"A28720795"	2011	2104.325
"A08042764"	2008	2105.089
"A31076508"	2014	2105.146
"B50023142"	2009	2106.694
"A48045199"	2012	2106.809
"B08465601"	2015	2106.97
"A28175412"	2014	2107.042
"A22009906"	2011	2107.118
"A46115127"	2008	2107.775
"B31077514"	2009	2108.266
"B08704439"	2014	2108.426
"A07042088"	2013	2108.758
"A46031845"	2008	2109.26
"A48107809"	2013	2110.249
"A07265465"	2007	2110.543
"A41014986"	2014	2111.008
"B27013556"	2011	2113.221
"A08334906"	2015	2113.28
"A30041719"	2016	2113.37
"A46015830"	2007	2113.409
"B31089071"	2010	2114.074
"A08170151"	2014	2115
"A04413340"	2014	2115.15
"A26018119"	2014	2117.515
"A01002864"	2016	2118.013
"B08194359"	2007	2119.55
"A78521168"	2008	2119.637
"B15009566"	2009	2119.743
"B46164463"	2007	2119.784
"A28030062"	2013	2119.825
"B28126019"	2013	2120.234
"A08568826"	2017	2120.437
"A28173573"	2012	2120.809
"B08704439"	2013	2120.897
"A45020450"	2016	2121.663
"A03017886"	2017	2122.279
"A50042027"	2008	2122.628
"A08290405"	2008	2122.855
"B02011641"	2007	2123.479
"A28698884"	2017	2123.759
"A08578395"	2014	2124.059
"A28337129"	2015	2124.199
"B28543023"	2015	2124.406
"A46005252"	2011	2124.426
"A29025368"	2015	2125.236
"A33036880"	2013	2125.286
"B62409065"	2008	2125.754
"B31001290"	2015	2125.97
"A28357903"	2015	2126.249
"A31018799"	2015	2126.277
"A28579373"	2011	2127.104
"A41014986"	2015	2127.441
"B48111124"	2012	2127.497
"A28411585"	2014	2127.564
"A28030062"	2016	2128.102
"A28191088"	2015	2128.335
"A28030062"	2017	2128.411
"A03028461"	2013	2128.543
"A08146870"	2010	2128.809
"A50042027"	2009	2130.477
"A01013077"	2012	2130.643
"B39523956"	2015	2130.804
"A46002069"	2010	2131.343
"A28193209"	2015	2132.514
"A35008168"	2007	2132.581
"A28175412"	2013	2133.298
"B48108898"	2015	2134.149
"A07012826"	2011	2134.776
"A08063372"	2013	2135.562
"A80200868"	2007	2135.923
"A09007089"	2008	2136.23
"A08372351"	2009	2136.244
"B09019548"	2016	2136.445
"B46151411"	2009	2136.643
"B27013713"	2007	2136.66
"A04000881"	2008	2136.79
"A01161066"	2017	2137.268
"B27011477"	2017	2137.356
"B28489748"	2008	2138.326
"B28579324"	2009	2138.66
"A48045199"	2015	2138.953
"A28175412"	2012	2139.043
"A33015454"	2007	2139.6
"B30023535"	2016	2140.289
"A79259339"	2014	2140.359
"B08619363"	2013	2140.435
"A07033491"	2017	2140.743
"B47011374"	2010	2140.847
"A08126492"	2012	2141.944
"B19179662"	2010	2142.452
"A14022099"	2007	2142.46
"A28410850"	2016	2142.857
"A15506934"	2007	2143.09
"A39030812"	2010	2144.275
"A33036807"	2014	2144.343
"B46045993"	2012	2144.728
"A09028184"	2011	2145.189
"A22001721"	2012	2145.3
"A33026980"	2009	2145.397
"A79259339"	2017	2145.714
"A11010352"	2016	2145.714
"A17010018"	2007	2145.75
"A28543809"	2012	2145.865
"A48009328"	2014	2146.473
"B47011374"	2009	2147.069
"A11608999"	2013	2147.157
"A37003050"	2014	2147.438
"A39022124"	2008	2147.61
"A30604276"	2011	2148.775
"A08374332"	2014	2149.311
"B41088642"	2009	2150.09
"B46191094"	2009	2150.183
"A26021527"	2014	2150.587
"B47364872"	2012	2150.665
"A26022657"	2010	2151.186
"A08105371"	2014	2152.244
"B19179662"	2009	2152.605
"A15012305"	2009	2153.289
"A47009196"	2017	2153.836
"A28684512"	2010	2154.176
"A08278293"	2013	2154.556
"A36014009"	2011	2154.712
"A08097438"	2017	2155.243
"A28027811"	2008	2155.259
"B41065418"	2012	2155.584
"B22004931"	2012	2155.681
"B33614033"	2017	2157.219
"A45007614"	2010	2158.92
"A28375913"	2013	2159
"A28410850"	2014	2159.799
"B50776657"	2015	2159.855
"A33036880"	2015	2160.066
"A59990580"	2012	2160.289
"A33036880"	2016	2160.604
"A28027811"	2009	2160.713
"A08211112"	2008	2160.943
"A31056500"	2017	2161.384
