nif	year	ig_explo
"A35811272"	2013	9261.368
"A08181067"	2017	9263.396
"A28058725"	2013	9264
"A46162665"	2014	9265.574
"A01006659"	2016	9266.521
"B57175283"	2011	9266.975
"B30028187"	2012	9268.226
"B31083488"	2016	9268.348
"A08213936"	2014	9269.752
"A08375537"	2017	9271.498
"A08621161"	2014	9274.608
"B28403194"	2013	9275
"F14016729"	2007	9275.68
"A20074167"	2014	9276.457
"B11900602"	2011	9276.657
"A08322067"	2010	9276.701
"B91235622"	2015	9277.283
"A11006095"	2010	9277.914
"A48117881"	2010	9278.176
"A47000054"	2012	9280.143
"A08436214"	2010	9285.596
"A31031545"	2009	9286.321
"A01004993"	2015	9287.663
"A39007943"	2012	9287.835
"A50169143"	2015	9289.224
"B34226514"	2016	9289.794
"B08059636"	2013	9290.789
"A12016143"	2012	9290.817
"A23020506"	2017	9291.143
"A48119143"	2012	9291.45
"A78018421"	2016	9292
"A39005574"	2014	9292.303
"A50615160"	2010	9292.736
"B12291167"	2008	9293
"B28250090"	2016	9294.43
"B28350965"	2012	9295.654
"B38238788"	2009	9295.796
"A09007089"	2017	9296.451
"B62119904"	2016	9298
"A01014794"	2012	9298.181
"A18016709"	2011	9299.735
"A08709131"	2012	9299.923
"A08081986"	2011	9300.509
"B47364872"	2012	9300.65
"A47024393"	2013	9303.001
"A45202975"	2016	9305.783
"B30604565"	2012	9306.308
"A39031620"	2017	9308.449
"B43361724"	2016	9308.574
"A28987196"	2015	9308.845
"A41091927"	2011	9309.249
"A08322067"	2009	9309.677
"A20032264"	2014	9310.444
"A31196983"	2011	9310.66
"A47024393"	2012	9311.798
"A08466807"	2008	9311.876
"A24015802"	2016	9315.364
"A07089592"	2012	9316.207
"B31067168"	2015	9316.598
"B36002913"	2014	9318.923
"A20036083"	2008	9320.29
"A28695856"	2007	9322.803
"B50047091"	2015	9323.208
"B84768761"	2015	9323.582
"A48802854"	2013	9325.275
"A03001948"	2011	9325.301
"A08556896"	2007	9326.66
"A21000427"	2013	9327.435
"A17014119"	2012	9328.226
"A18006569"	2015	9329.529
"B08275026"	2013	9329.64
"A03088580"	2012	9329.964
"A45012259"	2014	9330.352
"A12363529"	2013	9332.819
"B30015226"	2016	9332.889
"A28428233"	2015	9333.031
"A08063372"	2008	9335.064
"A17004763"	2012	9337.063
"A58534777"	2012	9337.747
"B50047091"	2012	9337.795
"A24015406"	2016	9337.907
"A39031620"	2016	9342.261
"A50169143"	2013	9344.681
"A20073508"	2015	9344.919
"B08013963"	2007	9345.08
"A46072203"	2007	9346.34
"A11006095"	2017	9348.039
"A08005696"	2014	9348.161
"A35014075"	2008	9349.498
"A08709131"	2014	9349.776
"A23022874"	2008	9349.948
"B46201158"	2015	9351.887
"B38028692"	2016	9352.398
"A14004691"	2013	9352.473
"A46463311"	2009	9352.669
"A08255374"	2012	9353.204
"B35044197"	2012	9353.683
"A28245009"	2008	9355.708
"A20062915"	2011	9356.751
"A08551590"	2016	9358.616
"B16010464"	2015	9360.455
"A41002809"	2015	9361.676
"A24012692"	2017	9362.13
"F06312920"	2013	9363.137
"A31062342"	2016	9363.857
"A32007817"	2012	9364.054
"A82501545"	2011	9364.367
"A08200032"	2016	9364.946
"B28188100"	2014	9365.191
"B46063137"	2014	9365.234
"A46048732"	2012	9366.372
"A40002701"	2009	9367.153
"A31068927"	2016	9368.437
"A07012826"	2007	9369.84
"A45010543"	2014	9372.119
"A08135139"	2007	9372.808
"A09028184"	2007	9373.262
"A39027917"	2009	9374.814
"A29507456"	2009	9374.962
"A17004763"	2010	9376.537
"A31003247"	2016	9376.641
"A58494048"	2014	9376.841
"A26017434"	2013	9377.713
"A38000410"	2017	9378.101
"A28253656"	2011	9380.685
"A08042764"	2007	9381.13
"A41112012"	2016	9381.647
"A40002701"	2010	9382.082
"A11209749"	2011	9382.528
"A31030901"	2013	9383.665
"B01267277"	2008	9384.138
"A08467052"	2017	9385
"A28111342"	2012	9386.229
"A83826362"	2011	9387.23
"B03019106"	2012	9388.876
"A33126244"	2014	9389.062
"B28188100"	2015	9389.991
"B46045993"	2010	9390.264
"B28304129"	2013	9391.676
"A48059950"	2008	9393.2
"A08404253"	2011	9395.502
"A14004691"	2011	9396.162
"B83654426"	2015	9396.648
"A33604182"	2016	9396.816
"A18006569"	2017	9396.827
"A48080881"	2010	9397.273
"A33025974"	2008	9397.516
"A53817359"	2016	9398.055
"A35045681"	2015	9398.132
"A03057221"	2012	9398.844
"A30016687"	2011	9399.015
"A17040072"	2017	9400.515
"A28024172"	2009	9402.258
"B28337038"	2013	9403.217
"A28278596"	2016	9403.309
"A28441269"	2013	9405.388
"A11006095"	2012	9406.499
"B28188100"	2007	9407.4
"A20036083"	2016	9408.724
"A20062915"	2010	9408.79
"A15024482"	2010	9409.824
"B31077514"	2015	9409.887
"B39551973"	2016	9410.887
"A08396830"	2008	9412.94
"A17041708"	2015	9414.812
"A08211112"	2012	9414.969
"A08989782"	2017	9415.296
"A08195927"	2010	9416.302
"A28801942"	2013	9416.587
"A43020486"	2010	9417.025
"B27007897"	2011	9417.152
"A01014794"	2011	9419.006
"A20032264"	2015	9419.63
"A31065915"	2011	9420.719
"A29012044"	2008	9421.711
"A31018492"	2007	9422.29
"A28253656"	2010	9422.85
"A30035679"	2013	9423.624
"B39014709"	2007	9424.604
"A07053374"	2014	9424.925
"A28131274"	2010	9425.374
"A28017531"	2012	9426.119
"A81527095"	2014	9426.582
"A08679060"	2016	9427.515
"A58494048"	2009	9430.252
"B15004849"	2007	9430.34
"A03197308"	2016	9430.545
"A28011716"	2014	9431.322
"A82198847"	2009	9432.07
"B36623148"	2011	9432.641
"A02011633"	2015	9433.742
"A11006095"	2013	9434.698
"B35044197"	2007	9434.943
"A30022909"	2011	9435.143
"A58348038"	2007	9437.6
"A08228124"	2017	9438
"A12405577"	2012	9439.026
"A78393840"	2007	9439.58
"A39000187"	2011	9440.344
"B33029729"	2016	9443.918
"A20008579"	2016	9444
"A28101020"	2009	9449.157
"A14004691"	2015	9451.005
"A12012605"	2012	9452.75
"A21011903"	2015	9452.864
"B03100831"	2009	9453.051
"A18006569"	2012	9453.161
"B80397409"	2012	9454.436
"A48080683"	2015	9454.784
"B35044197"	2008	9456.053
"A46056255"	2015	9457.505
"B46118303"	2008	9458.864
"A35499318"	2007	9459.13
"A28645000"	2012	9460.931
"A28292084"	2008	9461.218
"A33603317"	2014	9461.743
"A28058725"	2008	9463
"B31049273"	2015	9463.8
"B01013507"	2011	9464.146
"A12027488"	2010	9464.414
"A58017187"	2008	9465.13
"A08170151"	2010	9466
"B46171518"	2013	9467.178
"A33018664"	2017	9467.94
"A28440576"	2010	9470.337
"A17009093"	2015	9471.428
"B08359705"	2015	9474.555
"B91235622"	2016	9474.788
"A08061590"	2013	9474.789
"B22009377"	2013	9474.928
"A33025974"	2016	9476.114
"A41191313"	2013	9476.231
"A28027647"	2016	9479.292
"A41022237"	2015	9479.348
"A12025490"	2008	9481.329
"A08135139"	2008	9481.396
"A41059445"	2009	9482.17
"A08290975"	2017	9483.091
"B15596331"	2013	9485.16
"B63149637"	2016	9486
"A20165650"	2014	9487.978
"B46084695"	2017	9488.362
"A08008518"	2007	9490.1
"A48093538"	2009	9490.506
"A14037642"	2017	9490.878
"B29901469"	2012	9491.587
"A12014346"	2012	9491.67
"B31049273"	2010	9492.87
"A09010661"	2012	9493.93
"A08170151"	2011	9494
"A08273898"	2014	9496.043
"A25007105"	2007	9497.89
"A28662005"	2010	9497.983
"B11012820"	2014	9498.244
"B83680322"	2013	9499
"A80652423"	2012	9500.989
"B85160976"	2016	9501.508
"A28552149"	2011	9501.979
"A07089592"	2014	9502.968
"A20073169"	2008	9504.03
"A41091927"	2017	9504.279
"A46137352"	2012	9504.872
"A12014346"	2013	9506.842
"A28423986"	2012	9507.327
"A39027917"	2008	9507.38
"A08514135"	2012	9507.906
"A08396830"	2007	9507.97
"A30610984"	2012	9508.105
"A46016374"	2010	9508.258
"B92116979"	2017	9509.26
"B08216202"	2012	9509.578
"B35044197"	2009	9509.956
"A08577215"	2016	9510.313
"A18006569"	2010	9510.91
"A31018187"	2010	9511.77
"A39007943"	2011	9512.073
"A05007687"	2012	9512.385
"B35006360"	2010	9514.182
"A03018710"	2014	9515.695
"A25011180"	2016	9517.596
"A07096886"	2016	9518.184
"A08149668"	2012	9518.42
"A09010661"	2011	9519.423
"A08413403"	2017	9520.449
"A34007831"	2017	9520.907
"B31067168"	2012	9521.573
"A35510650"	2017	9521.657
"A41001439"	2016	9523.506
"A07021256"	2009	9524.441
"B04018495"	2015	9525.562
"B82274135"	2016	9525.873
"A46131769"	2016	9527.199
"B28460681"	2014	9527.485
"B28492841"	2015	9527.489
"A50038959"	2017	9528.448
"A20073169"	2009	9530.19
"A31001266"	2012	9530.242
"A31061401"	2016	9531.187
"A58534777"	2014	9531.867
"B82956517"	2016	9532
"A08631517"	2009	9532.767
"A08255374"	2013	9533.306
"A28618890"	2017	9535.476
"A08375545"	2009	9535.898
"B08194276"	2015	9536.85
"B41063355"	2009	9539.005
"A81864498"	2014	9541.882
"A17004763"	2013	9541.904
"A31062342"	2013	9542.22
"A07053374"	2016	9542.826
"B31637069"	2017	9543.236
"A08170151"	2013	9544
"A20049755"	2017	9545.516
"A30022214"	2014	9547.148
"A28415487"	2016	9548.063
"A08375537"	2016	9548.422
"B46157533"	2010	9548.868
"A28423986"	2017	9548.968
"A28552149"	2016	9549.284
"A08396830"	2009	9551.05
"A57277709"	2015	9552.549
"A08005696"	2016	9555.048
"A07190309"	2007	9557.255
"B41007576"	2010	9557.554
"B96199807"	2012	9559.914
"B12462560"	2015	9562.774
"A32006611"	2015	9562.839
"A14025142"	2015	9563.249
"B08229221"	2011	9566.116
"B20078598"	2008	9572.024
"A33015454"	2013	9572.064
"A08720708"	2014	9572.561
"A08670929"	2011	9574.28
"A12000071"	2010	9575.348
"A32226037"	2011	9576.176
"A12021267"	2011	9576.642
"A36201259"	2008	9576.77
"A14580385"	2014	9577.165
"A12022224"	2008	9578.623
"B12015210"	2016	9580.328
"A24020828"	2009	9582
"A20003042"	2007	9582.24
"A05122460"	2015	9583.865
"A08653685"	2017	9584.157
"A08195927"	2012	9584.402
"B50001874"	2017	9584.623
"A50036037"	2016	9587.754
"A31068927"	2017	9587.775
"B15516933"	2010	9587.874
"A30016687"	2012	9588.728
"A48110381"	2009	9589.242
"A31449002"	2013	9590.101
"A23022874"	2007	9590.581
"A35517671"	2013	9591.67
"A41112012"	2014	9591.796
"A39000690"	2014	9592.111
"B46055943"	2013	9593.267
"A28610863"	2009	9593.46
"A17001678"	2011	9594.059
"B28543023"	2013	9595.416
"A01019702"	2009	9595.976
"A08228124"	2014	9596
"A31035413"	2017	9597.47
"A33009630"	2009	9598.066
"A12006227"	2008	9598.228
"B40003550"	2007	9599.008
"A40005514"	2007	9599.074
"A29453768"	2010	9599.741
"A28375467"	2016	9600.2
"A07089592"	2015	9601
"A24003873"	2008	9601.283
"A35031343"	2017	9603.902
"A45014776"	2007	9603.915
"B03072576"	2014	9604.937
"A63414486"	2017	9605
"A25043704"	2015	9605.539
"A28027811"	2015	9609.604
"A39017058"	2014	9610.714
"A48117881"	2009	9610.766
"A08374332"	2013	9611.178
"A08206419"	2012	9612.492
"A38003679"	2009	9613.025
"A08145385"	2014	9613.37
"B48045140"	2011	9613.636
"A28485761"	2013	9614.517
"A28440576"	2014	9614.772
"B50023142"	2012	9615.772
"B62111018"	2014	9616.14
"B30020226"	2009	9617.327
"B78069259"	2016	9617.971
"B08660409"	2011	9619.231
"A41695149"	2015	9621
"B08195653"	2012	9621.833
"A08097180"	2017	9622.304
"A15016702"	2009	9622.695
"A12016093"	2013	9622.825
"A08005696"	2015	9623.729
"A26270322"	2008	9624.527
"A15506934"	2009	9624.63
"A01009265"	2007	9624.69
"A29453768"	2009	9624.822
"A20036083"	2007	9626.53
"A31001266"	2016	9627.589
"B08059636"	2014	9628.121
"B18018176"	2007	9630.921
"A45562329"	2011	9632.125
"A08012601"	2009	9632.132
"B35044197"	2013	9632.408
"B28492841"	2010	9632.802
"A04000881"	2010	9633.731
"B19001536"	2013	9633.796
"A30014211"	2011	9634.533
"B80397409"	2014	9636.638
"A28132959"	2015	9636.992
"A28278596"	2014	9637
"B42001297"	2014	9637.173
"A08621161"	2015	9637.647
"A28574101"	2012	9639.129
"B28170215"	2017	9639.433
"A04236931"	2013	9640.85
"B48074306"	2010	9641.964
"A79184453"	2013	9642.374
"B78496759"	2013	9642.617
"A36201259"	2009	9642.869
"A01009265"	2011	9644.578
"A11006095"	2009	9645.699
"B20070082"	2008	9646.069
"B31007354"	2008	9646.259
"A17009598"	2009	9648.058
"A08213936"	2015	9649.479
"A62977186"	2015	9650.455
"B01013507"	2012	9651.906
"B12536934"	2016	9652.617
"A28457059"	2010	9654.698
"A08104994"	2008	9655.759
"A47438262"	2009	9656.252
"A41112012"	2013	9656.691
"A07010937"	2007	9657.233
"B20023982"	2015	9657.682
"A03061314"	2012	9658.154
"B31007354"	2009	9658.399
"B08195653"	2008	9658.768
"B19001536"	2014	9660.944
"A30012959"	2008	9660.956
"B28188100"	2008	9662.16
"B57487159"	2017	9662.417
"B25436122"	2014	9662.899
"A30014211"	2008	9666.19
"A50169143"	2014	9668.837
"A28368603"	2011	9669.146
"A08231250"	2014	9670.711
"A28253656"	2009	9672.173
"A43036052"	2015	9672.209
"A39007729"	2017	9673.721
"B46020541"	2008	9674.127
"B07685779"	2012	9676.4
"A32226037"	2010	9678.068
"B28361350"	2007	9678.287
"V95436002"	2014	9679.035
"A26017434"	2014	9679.732
"A33005612"	2017	9680.287
"A12025565"	2014	9681.715
"A07061161"	2009	9682.321
"A28646735"	2015	9682.443
"A08630063"	2009	9683.527
"A31018187"	2014	9683.948
"A08578395"	2015	9684.173
"B30037204"	2014	9684.493
"B82841552"	2010	9684.773
"B39014709"	2008	9687.939
"A43035401"	2009	9689.007
"B08424855"	2015	9689.282
"A08375537"	2012	9691.993
"A46162665"	2016	9692.319
"A28229409"	2015	9693.584
"A28574044"	2012	9694.977
"A07051253"	2016	9695.339
"A41050535"	2007	9696.66
"A79049797"	2009	9698.187
"A08663957"	2016	9698.403
"A03017308"	2007	9699.375
"A39007943"	2016	9699.678
"A11006095"	2014	9700.829
"A03001948"	2012	9700.958
"A30022958"	2011	9703.598
"B46095964"	2011	9704.741
"A17033473"	2017	9704.972
"A28579373"	2010	9706.251
"A28423986"	2016	9707.413
"A28108447"	2013	9707.615
"A58294166"	2016	9709.196
"A28667244"	2011	9710.034
"B31083488"	2015	9710.889
"A79203568"	2015	9711.17
"A08195927"	2013	9711.455
"A21011580"	2015	9713.472
"A28253656"	2017	9714.523
"A46068318"	2015	9714.56
"A01006659"	2011	9714.922
"A30047120"	2012	9715.426
"A41212572"	2011	9715.544
"A28193209"	2017	9715.746
"A28278596"	2009	9716
"A50034024"	2008	9716.858
"A46048732"	2011	9718.191
"A39007729"	2011	9719.2
"A31035413"	2016	9719.966
"A03011392"	2015	9723.474
"B17011511"	2008	9724.106
"A08681264"	2012	9724.425
"A83826362"	2013	9727.987
"A22009039"	2013	9728.018
"A46126686"	2016	9728.215
"A29050572"	2013	9731.453
"A59067603"	2008	9732.179
"A33015728"	2009	9732.814
"A47022165"	2012	9733.481
"A50049105"	2014	9734.407
"A01006659"	2013	9734.581
"A08730277"	2015	9737.259
"A28392694"	2015	9737.459
"A08231250"	2015	9737.872
"A24001661"	2016	9738.726
"A28574101"	2015	9739.08
"A28278596"	2011	9740
"A03012614"	2016	9742.095
"A46160701"	2016	9742.629
"A07089592"	2009	9742.926
"A41022237"	2016	9744.682
"A17004763"	2011	9745.153
"A50012541"	2015	9747.449
"A48093421"	2009	9747.703
"A08170151"	2009	9748
"A08574881"	2016	9749.827
"A28278596"	2007	9749.83
"A13029962"	2010	9749.948
"B62236781"	2012	9750.7
"A60963287"	2016	9751
"A30022958"	2008	9751.347
"B01267277"	2007	9751.73
"A41112012"	2015	9752.99
"B62173604"	2017	9753
"A07010937"	2008	9753.827
"B15596331"	2012	9755.45
"B07685779"	2017	9756.313
"B35027143"	2007	9756.846
"A29030848"	2009	9760.632
"A46109054"	2016	9760.897
"A08257388"	2007	9761.83
"A20003042"	2016	9762.007
"A08104994"	2007	9763
"A31003247"	2014	9764.179
"B41007576"	2011	9764.606
"A03061314"	2013	9765.665
"A28662005"	2011	9766.204
"A15685324"	2012	9767.005
"A07059058"	2007	9767.01
"A28440576"	2007	9767.603
"A28255784"	2008	9767.86
"A30024798"	2015	9768.13
"A20018610"	2012	9768.586
"A14004691"	2007	9768.69
"A43037191"	2012	9769.163
"A36603967"	2007	9769.63
"A46055794"	2017	9770
"A28368603"	2017	9773.721
"A08467052"	2016	9775
"A45017142"	2013	9775.88
"B28460681"	2017	9776.445
"A41277336"	2013	9777.357
"A26013714"	2007	9778.03
"A30012041"	2010	9778.439
"A92111871"	2014	9782
"A15024482"	2015	9782.827
"A01035807"	2017	9783
"B22003099"	2012	9783.13
"A35031343"	2012	9783.885
"A28011716"	2017	9786
"A47022165"	2015	9787.467
"A41191313"	2015	9789.687
"A17048752"	2015	9791.194
"A01009265"	2012	9791.558
"A28674489"	2012	9792.617
"A08659617"	2016	9792.65
"B01128552"	2016	9793.108
"A28485571"	2007	9794.245
"A96646880"	2017	9794.471
"A26011841"	2013	9795.141
"B41002619"	2007	9796.478
"A01000777"	2012	9796.502
"B38425070"	2016	9800.896
"A38473724"	2009	9800.932
"B12023065"	2011	9801.476
"A30022958"	2013	9801.602
"B18018176"	2012	9803.873
"A28579373"	2009	9804.25
"A08396830"	2010	9804.434
"A48117881"	2016	9807.109
"A28428233"	2013	9807.679
"A01009265"	2008	9808.144
"A30004790"	2015	9808.859
"A48116420"	2013	9808.895
"B47364872"	2013	9808.901
"A24003873"	2007	9808.941
"B46095964"	2013	9809.651
"B31067168"	2013	9809.75
"A39000690"	2015	9810.212
"B08424855"	2012	9811.232
"A39023759"	2016	9811.254
"A46014650"	2007	9811.97
"A28060283"	2017	9812.316
"A26022657"	2011	9812.749
"A28612620"	2014	9813.852
"A28271914"	2016	9816.529
"A20036083"	2011	9817.613
"A31031545"	2008	9817.616
"A12016093"	2011	9818.931
"B46047817"	2013	9819.502
"A46072203"	2008	9820.57
"B08195653"	2010	9822.016
"B32362410"	2014	9824.104
"A29003423"	2011	9824.349
"A28278596"	2017	9825.618
"A22009906"	2016	9825.796
"B31078058"	2012	9826.902
"B31027097"	2012	9829.173
"A15024482"	2016	9829.286
"A36249076"	2016	9830.779
"A78831369"	2010	9831
"A21000427"	2014	9831.817
"B61425682"	2015	9832.569
"B31001696"	2016	9832.701
"A15024482"	2009	9834.381
"A28485761"	2015	9835.359
"B15862667"	2013	9835.471
"A48059950"	2009	9836.69
"B39014709"	2009	9836.707
"B41086844"	2012	9839.93
"A12027488"	2009	9840.1
"A12405577"	2013	9840.321
"A18431064"	2008	9840.597
"B28644441"	2013	9841.534
"A46068318"	2007	9843.545
"A08691503"	2014	9844.043
"A08063372"	2009	9844.821
"A28610863"	2007	9844.85
"B08424855"	2013	9845.116
"A58534777"	2015	9845.966
"A03066933"	2017	9846.254
"A28987196"	2016	9847.79
"A20034286"	2015	9847.842
"A34007831"	2012	9848.325
"A08280323"	2015	9851.065
"A31070378"	2007	9851.75
"B07685779"	2014	9852.503
"A30004790"	2012	9852.872
"A28457059"	2011	9853.28
"A84780055"	2017	9854.085
"B40003550"	2012	9854.246
"A28313542"	2014	9854.293
"B17229675"	2015	9855.56
"A08195927"	2011	9857.626
"A08224545"	2017	9857.851
"B28337038"	2017	9859.389
"A30013247"	2017	9859.459
"B15077571"	2012	9860.431
"B41062548"	2012	9860.673
"B43636075"	2015	9861.503
"B28492841"	2012	9864.772
"A28674489"	2017	9865.091
"A18006569"	2009	9866.261
"A46109054"	2007	9866.57
"B48092084"	2014	9868.771
"A28392694"	2012	9870.177
"A28440576"	2013	9870.582
"A11606134"	2007	9871.48
"A12016093"	2012	9871.709
"A48119143"	2013	9873.706
"A47013180"	2009	9875.284
"A48117881"	2017	9876.214
"B08229221"	2012	9876.428
"B43361724"	2017	9876.769
"A26001867"	2010	9877.223
"A28235158"	2017	9878.949
"A81527095"	2012	9879.14
"A28574044"	2014	9880.79
"A03057221"	2011	9882.525
"A08675522"	2015	9882.91
"A46014650"	2012	9884.342
"A01000777"	2010	9884.492
"B03020997"	2014	9885.23
"A20036877"	2007	9885.39
"A28645000"	2009	9886.607
"B31067168"	2014	9887.11
"A28278596"	2015	9887.513
"A31018187"	2013	9890.383
"A24010217"	2011	9892.414
"B22009377"	2014	9892.874
"A48080881"	2011	9893.729
"A12022224"	2012	9893.914
"B35027143"	2008	9894.061
"B50029263"	2007	9894.591
"A07265465"	2015	9896.471
"A38003679"	2010	9898.413
"B40003550"	2011	9900.174
"A32007817"	2013	9900.581
"A35012780"	2015	9901.14
"A11545795"	2015	9901.367
"A31017106"	2017	9902.495
"A28610863"	2010	9904.43
"A28027811"	2014	9904.673
"A08170151"	2008	9907.09
"A31030901"	2011	9907.396
"A39000690"	2016	9909.913
"A28022952"	2013	9910.55
"A31009913"	2016	9910.892
"A28392694"	2013	9912.097
"A31037294"	2007	9912.61
"A30013247"	2009	9913.94
"A12405577"	2014	9914.028
"A28080489"	2013	9914.083
"A20015368"	2017	9914.592
"B07685779"	2011	9914.603
"A08297509"	2014	9915.199
"A81536112"	2011	9916.009
"A20024832"	2013	9920.975
"B12023065"	2010	9925.662
"A12022224"	2013	9926.206
"B31049273"	2011	9927.055
"B35027143"	2015	9927.421
"B02011641"	2013	9927.536
"A39007943"	2013	9927.899
"B22009377"	2016	9928.104
"B30035968"	2014	9929.629
"A26001867"	2008	9929.979
"B28113991"	2016	9930.332
"A28670313"	2015	9930.78
"A08354441"	2009	9930.954
"A14000939"	2013	9930.967
"A46074647"	2007	9931.457
"A19002039"	2014	9932.162
"A30014211"	2010	9933.104
"A46005252"	2015	9933.434
"A31009913"	2017	9933.942
"A07053374"	2013	9934.958
"B08424855"	2011	9935.127
"A46014650"	2014	9936.717
"A12027488"	2011	9938.328
"B08078396"	2014	9941.215
"A08513749"	2007	9944.546
"A20036877"	2013	9944.76
"A33006644"	2007	9945.94
"A50012541"	2014	9946.666
"A43014174"	2012	9946.689
"B48074306"	2009	9947.271
"A33015728"	2008	9947.69
"A50012541"	2016	9948.232
"A48110381"	2012	9948.745
"A41091927"	2014	9949.838
"A08404253"	2013	9950.208
"A22009492"	2010	9951.587
"A08677700"	2009	9952.148
"A25043704"	2016	9952.404
"A50042191"	2014	9953.351
"A35610666"	2015	9954.456
"A20073169"	2010	9955.52
"A08012601"	2008	9956.25
"B28304129"	2016	9956.522
"A46031845"	2008	9956.75
"A28070167"	2013	9957.488
"A79259388"	2008	9959.426
"A30029862"	2008	9959.465
"A47025895"	2008	9960.012
"B46161261"	2014	9960.735
"B48070155"	2012	9963.784
"B08367948"	2011	9965.672
"A81527095"	2015	9967.344
"A20036083"	2012	9967.63
"A01011881"	2008	9967.791
"B08423246"	2011	9968.497
"B07685779"	2015	9970.449
"A31196983"	2012	9972.08
"A46105086"	2007	9972.863
"A28321313"	2010	9973.486
"A08224545"	2011	9974.152
"A24001661"	2007	9974.476
"A58534777"	2016	9974.575
"A07096886"	2011	9975.417
"A33036906"	2017	9977.987
"A12025490"	2015	9981.456
"G07065709"	2013	9981.581
"A14000939"	2016	9982.131
"A26022657"	2009	9983.422
"A30046320"	2011	9985.852
"B03020997"	2017	9986.193
"A08565285"	2015	9987.321
"A08329963"	2013	9988.23
"A31078140"	2017	9989.617
"B46118303"	2009	9989.954
"A36060754"	2017	9990.716
"A12025490"	2010	9992.453
"A28618890"	2010	9993.174
"A25026733"	2013	9993.328
"A12017760"	2011	9993.95
"A12012605"	2015	9995.557
"A46038519"	2017	9995.71
"A81261430"	2011	9996.35
"A01011881"	2007	9997.446
"A36249076"	2017	9997.862
"A13006903"	2016	9998.768
"B62263272"	2013	10000.17
"A23022783"	2014	10002.23
"B35027143"	2010	10004.45
"A81527095"	2016	10004.54
"A11605409"	2010	10004.8
"A20015368"	2014	10005.33
"B48092084"	2013	10006.16
"A20036877"	2008	10006.25
"B80397409"	2013	10007.43
"A29033420"	2011	10007.97
"A08401820"	2015	10008.96
"B35044197"	2014	10010.51
"A33009630"	2017	10010.58
"B46103131"	2013	10010.72
"A03084936"	2017	10011.83
"A08304628"	2014	10011.89
"A45012259"	2011	10012.5
"A12025490"	2009	10012.54
"A28189082"	2012	10013.71
"B21376942"	2014	10016.2
"A41080144"	2009	10016.39
"B20023982"	2014	10017.45
"B43361724"	2013	10018.4
"A28415487"	2013	10018.62
"B08229221"	2013	10020.83
"A30012009"	2012	10023.51
"A07053374"	2015	10024.98
"A41014986"	2009	10025.12
"A60963287"	2017	10026
"A58294166"	2012	10026.22
"A29453768"	2011	10027.22
"A01009265"	2015	10027.78
"A14037642"	2007	10028.97
"A08413403"	2016	10029
"A28029122"	2012	10029.97
"B82529017"	2013	10033.05
"A48064182"	2007	10038.16
"A39007729"	2013	10038.24
"B17048364"	2013	10039.34
"B40003550"	2010	10039.65
"A01006659"	2017	10040.01
"A09021833"	2007	10040.3
"A28505402"	2010	10041.18
"B12026183"	2012	10042.5
"A30016687"	2014	10042.5
"B08619405"	2011	10042.59
"A08565285"	2014	10043.48
"A26270322"	2009	10044.79
"B63149637"	2017	10046
"A41080144"	2007	10047.61
"A08148991"	2007	10048.24
"B41070020"	2007	10048.94
"A31024458"	2014	10049.11
"A08681264"	2011	10050.39
"B18018176"	2009	10051.48
"A46160701"	2010	10052.23
"A46106928"	2014	10053.79
"B41042995"	2015	10053.83
"A30013247"	2010	10055.66
"A01035807"	2007	10057.09
"A33060294"	2008	10059.99
"A01035807"	2013	10060
"A35517671"	2012	10060.16
"B30032445"	2011	10060.2
"A29453768"	2012	10061.45
"A17044546"	2016	10061.54
"B37020179"	2007	10062.36
"A12029468"	2013	10062.76
"A01009265"	2014	10062.81
"A28058758"	2010	10063.36
"A28053080"	2012	10063.39
"A08296535"	2014	10063.71
"A08436214"	2017	10063.91
"A42004598"	2007	10064.08
"A48119143"	2009	10064.15
"A15013618"	2007	10064.57
"A30012041"	2013	10064.95
"A28375467"	2017	10065.94
"B61914883"	2010	10066.36
"A46072203"	2015	10066.94
"A24020828"	2011	10068
"A08630808"	2013	10068.73
"B12014692"	2013	10068.74
"A35033604"	2012	10070.55
"A50029065"	2014	10073.29
"B12007357"	2017	10073.64
"A18024919"	2007	10075.16
"A30016687"	2013	10075.19
"A08195927"	2014	10075.77
"B22004931"	2015	10076.28
"B41062548"	2016	10077.22
"A08228124"	2015	10078
"A17001678"	2012	10079.77
"A08141038"	2010	10079.97
"A41191313"	2014	10080.53
"A46003265"	2016	10080.59
"A08008518"	2008	10080.68
"A08514135"	2014	10081.7
"A30046320"	2010	10082.74
"A39000690"	2017	10082.86
"A28674968"	2015	10084.3
"A08710055"	2010	10085.4
"A01016591"	2015	10086.4
"B28492841"	2011	10087.74
"B33607649"	2015	10089.36
"A46011888"	2016	10089.6
"B46055943"	2011	10089.69
"A45202975"	2017	10090.62
"A48117881"	2008	10090.79
"A35045681"	2011	10092.69
"B46055943"	2014	10092.97
"A34009936"	2009	10093.66
"A82501545"	2012	10093.73
"A35028208"	2017	10094.5
"B38008983"	2009	10094.65
"A08425902"	2010	10096.04
"A06141345"	2013	10098.72
"B28350965"	2009	10098.95
"A37043015"	2012	10100.07
"B43361724"	2014	10100.4
"A08396830"	2015	10100.74
"B42001297"	2013	10101.76
"B33615493"	2016	10103.48
"A03062619"	2011	10104.25
"A07089592"	2013	10104.32
"A45018223"	2017	10105.14
"B31001696"	2017	10106.91
