nif	year	acreed_ciales
"A08026072"	2012	1293.289
"A07802218"	2015	1294.377
"A08195927"	2010	1294.458
"A20024568"	2017	1294.485
"A41050980"	2011	1294.981
"A60531688"	2014	1295
"B78496759"	2013	1295.122
"A09010661"	2008	1295.657
"A08130254"	2014	1295.705
"A08347452"	2013	1295.731
"A08482952"	2013	1295.766
"B31027097"	2017	1296.033
"A46117792"	2012	1296.096
"B08463424"	2008	1296.126
"A11355526"	2011	1296.189
"A41014986"	2015	1296.576
"A08290975"	2014	1296.581
"A35012012"	2007	1297.118
"B17011511"	2011	1297.3
"B29042348"	2013	1297.466
"A46122065"	2013	1297.482
"B83814251"	2016	1297.528
"A12011672"	2016	1297.996
"A28099356"	2014	1298.043
"A28249993"	2012	1298.075
"A31001266"	2013	1298.113
"A03028552"	2012	1298.195
"B58807645"	2013	1298.3
"A34003624"	2008	1298.4
"B08194276"	2011	1298.732
"A08156218"	2012	1298.975
"B38425070"	2015	1299.275
"A28374148"	2017	1299.368
"B38020020"	2008	1299.672
"A81896375"	2008	1299.745
"A35004571"	2017	1300
"A46087565"	2013	1300.403
"A28399715"	2014	1300.806
"A46014650"	2014	1300.874
"B61567970"	2015	1301
"A04047700"	2017	1301.117
"A08999088"	2017	1301.514
"A08005761"	2017	1301.704
"A80897770"	2010	1301.865
"B30010797"	2012	1302.18
"B03036340"	2008	1303.326
"B38008983"	2015	1303.36
"A47017728"	2015	1303.82
"A07012826"	2015	1304.042
"A41050063"	2014	1304.104
"A46074563"	2014	1304.144
"A27252063"	2014	1304.649
"A08514986"	2009	1304.797
"A08283798"	2016	1304.877
"A62035282"	2015	1305.028
"A08449399"	2015	1305.568
"A28670636"	2012	1305.945
"B46090791"	2012	1306.051
"B46063137"	2013	1306.195
"B48948830"	2015	1306.373
"A36603421"	2007	1306.61
"A28266989"	2013	1306.795
"A31035413"	2016	1306.916
"A01014794"	2010	1307.085
"A36643450"	2012	1307.098
"A28101020"	2014	1307.125
"B07650112"	2017	1307.395
"A46038519"	2008	1307.847
"A07009814"	2008	1307.86
"A29050762"	2016	1307.889
"A17010018"	2014	1308.524
"A38225041"	2009	1309.053
"A17009093"	2015	1309.091
"A28559474"	2012	1310.204
"A60531688"	2010	1311
"B58875048"	2016	1311.143
"A03030509"	2007	1311.281
"A50052489"	2017	1311.305
"A48033526"	2011	1311.36
"B23015753"	2012	1311.478
"A09015405"	2011	1311.49
"A12083002"	2012	1311.555
"A07050420"	2013	1311.619
"A07026701"	2011	1311.858
"B28304129"	2016	1311.953
"F10026128"	2015	1312.211
"A38003679"	2007	1312.301
"A42004598"	2017	1312.388
"A28579373"	2009	1313.413
"B20793956"	2013	1313.561
"A17001322"	2017	1314.295
"B15017908"	2013	1314.326
"A08225278"	2007	1315.074
"A22001721"	2013	1315.309
"B15516933"	2017	1315.326
"A31018187"	2014	1315.45
"A15031800"	2017	1315.646
"A18006569"	2014	1315.666
"A26004978"	2015	1315.667
"A96918867"	2012	1315.694
"A08224107"	2008	1315.798
"A08005696"	2012	1315.913
"B46051116"	2014	1315.943
"A28693166"	2015	1315.997
"A46074563"	2013	1316.181
"B38020020"	2013	1316.21
"A39027917"	2010	1316.287
"A28734432"	2007	1316.342
"A08514986"	2011	1316.448
"B28492841"	2016	1316.728
"A48087126"	2015	1316.889
"B36606853"	2014	1316.943
"A37021631"	2008	1317.587
"A08220428"	2013	1317.858
"A08257529"	2009	1318.317
"B85160976"	2016	1318.731
"B12008397"	2007	1319.356
"A15024482"	2016	1319.531
"A28295806"	2012	1319.785
"B28205532"	2011	1320.023
"A47010194"	2008	1320.042
"A11902814"	2010	1320.212
"A01001072"	2015	1320.625
"A28108447"	2007	1320.74
"A30032619"	2017	1321.443
"B82274135"	2014	1321.762
"A28147197"	2008	1321.991
"A08450421"	2014	1322.052
"A11000098"	2007	1322.071
"A36611622"	2012	1322.143
"A01009265"	2010	1322.645
"A28070167"	2007	1322.955
"A78389608"	2012	1323.101
"A08677700"	2010	1323.633
"A40005514"	2015	1323.786
"A08659617"	2009	1323.812
"B12008397"	2008	1323.845
"B28205532"	2013	1324.029
"A31000441"	2012	1324.108
"A20074068"	2016	1324.139
"B30041115"	2011	1324.22
"A20024568"	2014	1324.416
"A14004691"	2015	1324.645
"A31018187"	2016	1324.911
"A43028588"	2007	1325.491
"A07326473"	2016	1325.524
"A28400323"	2017	1325.575
"A09004813"	2016	1325.766
"B08194276"	2010	1325.976
"A08138042"	2016	1325.996
"B92403716"	2017	1326.26
"A08675522"	2009	1326.479
"A35101732"	2014	1327
"A08093015"	2016	1327.186
"A07919087"	2012	1327.499
"A48029847"	2016	1327.782
"A08170151"	2012	1328
"A96560560"	2015	1328.003
"B01128552"	2014	1328.379
"B28250090"	2007	1328.51
"A26270322"	2010	1328.544
"A47022165"	2008	1328.595
"A08452500"	2016	1328.616
"A41112012"	2016	1328.618
"A09022963"	2013	1328.733
"A45014776"	2014	1328.897
"B30034730"	2009	1329.321
"A46038519"	2012	1329.579
"A45020450"	2011	1329.637
"A43015965"	2014	1329.68
"A28108447"	2011	1329.734
"A36604882"	2017	1329.905
"A62704457"	2012	1330.088
"B43491356"	2017	1330.179
"A28012656"	2008	1330.18
"A83102426"	2013	1330.21
"B31039530"	2012	1330.269
"B46163655"	2011	1330.373
"B83654426"	2014	1330.51
"A28612208"	2017	1330.897
"A28555563"	2011	1331.074
"A26000174"	2013	1331.801
"A30005524"	2007	1332.05
"A46084984"	2008	1332.338
"A12105029"	2012	1332.373
"B06422877"	2015	1332.518
"B12462560"	2010	1332.533
"B46118717"	2013	1332.637
"B20056255"	2017	1332.741
"B03072576"	2012	1332.761
"A03057486"	2015	1332.772
"A21007570"	2014	1333
"A81047375"	2010	1333
"A46084984"	2007	1333.591
"A43035708"	2012	1333.597
"A28134534"	2012	1333.618
"B15017908"	2009	1333.936
"A30112221"	2017	1334.302
"B28494797"	2014	1334.505
"B50043785"	2014	1335.052
"A41084740"	2017	1335.843
"A28325785"	2015	1336.139
"A41010521"	2010	1336.637
"B80397409"	2013	1336.946
"A06163851"	2017	1337.152
"B08216202"	2015	1337.187
"A47024393"	2012	1337.562
"B13004924"	2014	1337.93
"A08147357"	2017	1337.984
"A46137352"	2009	1338.075
"B12007456"	2009	1338.41
"A08159816"	2011	1338.526
"B92116979"	2017	1338.641
"B83045674"	2010	1338.705
"B91172221"	2016	1338.766
"A03099405"	2016	1339.329
"A20032264"	2010	1339.37
"A82405788"	2009	1339.388
"A17023813"	2015	1339.54
"A47011721"	2014	1339.875
"A35101732"	2013	1340
"B30028187"	2012	1340.138
"A15021843"	2015	1340.214
"A28651222"	2012	1340.432
"A14037642"	2010	1340.457
"A15016702"	2009	1341.316
"A15024482"	2017	1341.508
"B63533095"	2016	1341.609
"A48117881"	2016	1342.068
"A45002839"	2017	1342.136
"A12017760"	2010	1342.396
"A30015820"	2017	1342.831
"A24010217"	2016	1342.834
"A46087565"	2016	1343.184
"A12015673"	2008	1343.437
"B46173423"	2012	1343.531
"A26004093"	2017	1343.719
"A46146551"	2007	1343.86
"A08051526"	2012	1343.95
"A28332914"	2015	1344.071
"B11900602"	2015	1345.107
"B28379386"	2014	1345.237
"B28205532"	2009	1345.256
"A25022609"	2011	1345.389
"A24001661"	2007	1345.51
"A28582450"	2007	1345.572
"B39551973"	2016	1345.651
"B15004849"	2016	1345.678
"A38348413"	2012	1345.871
"A48029847"	2015	1346.043
"A50029065"	2011	1346.239
"B15004849"	2017	1346.241
"A24004103"	2009	1346.454
"B37024825"	2014	1346.791
"A08197022"	2015	1346.843
"A46021804"	2008	1346.887
"A28604882"	2014	1346.902
"B31027097"	2011	1347.163
"A28375467"	2015	1347.526
"A33026980"	2013	1347.535
"B46146080"	2015	1347.536
"A46075206"	2010	1347.696
"B08463424"	2009	1348.166
"B57208878"	2011	1348.625
"A31196983"	2009	1349.297
"A28491041"	2017	1349.357
"A48114318"	2017	1349.516
"B12019485"	2012	1349.691
"A08670929"	2017	1350.038
"A14530497"	2014	1350.051
"A08290975"	2013	1350.366
"A33617218"	2016	1350.534
"A80897770"	2016	1350.619
"A05122460"	2010	1350.841
"A26017434"	2014	1351.02
"A46014650"	2008	1351.191
"A12405577"	2011	1351.331
"A20008579"	2007	1351.381
"B50047091"	2016	1351.423
"A34003624"	2017	1351.452
"A08559932"	2016	1351.598
"B08078396"	2013	1351.746
"A45002839"	2016	1352.08
"B08912669"	2009	1352.085
"B12014692"	2014	1352.221
"A83102426"	2012	1352.276
"A08663957"	2009	1352.511
"A46137352"	2014	1352.513
"A50049105"	2009	1352.902
"B08619405"	2015	1353.146
"A46151973"	2015	1353.185
"A20047726"	2010	1353.454
"A08290751"	2010	1353.581
"B43009091"	2012	1354.478
"A08141038"	2009	1354.854
"A36016574"	2013	1355.378
"B31694912"	2014	1355.64
"A08639643"	2011	1355.837
"A20060075"	2007	1356.592
"A07044530"	2015	1356.811
"A26020198"	2011	1356.906
"B46084695"	2010	1357.107
"B08373250"	2007	1357.189
"A33373622"	2015	1357.338
"A08146474"	2008	1358.005
"A14616031"	2017	1358.048
"B73212417"	2017	1358.357
"A12027488"	2017	1358.663
"A35009992"	2017	1358.857
"A17004763"	2007	1359.074
"A08688095"	2009	1359.701
"A48031686"	2008	1360.24
"A15016702"	2016	1360.469
"A12006227"	2010	1360.617
"B62119904"	2013	1361
"A42000802"	2010	1361
"A20024568"	2015	1361.167
"A39005095"	2009	1361.475
"A08541021"	2015	1361.678
"A38003679"	2013	1361.749
"A50615160"	2014	1361.918
"A08156218"	2013	1362.086
"A07802218"	2016	1362.866
"A07021256"	2008	1363.1
"A30046379"	2011	1363.142
"F46028072"	2009	1363.322
"A43035708"	2016	1363.396
"B28148773"	2016	1363.43
"B24399305"	2014	1363.818
"A81041147"	2015	1364
"A46068284"	2017	1364
"A08005761"	2016	1364.234
"A46086773"	2017	1364.389
"A35811272"	2012	1364.423
"A41002809"	2010	1364.474
"B10005932"	2017	1364.496
"B31089071"	2009	1364.757
"B42001297"	2017	1365.09
"A30017883"	2013	1365.249
"A25010430"	2016	1365.725
"A12012340"	2013	1366.497
"A28266989"	2008	1366.524
"A02011633"	2015	1366.602
"A08559932"	2015	1366.706
"A03066909"	2012	1366.782
"A20032264"	2017	1366.787
"A08631517"	2010	1366.965
"A38371159"	2010	1366.975
"A59736686"	2011	1367.189
"A08105702"	2013	1367.349
"A20557294"	2016	1367.433
"A46089819"	2015	1367.44
"A07216948"	2012	1367.841
"A07021256"	2013	1367.931
"A08296535"	2015	1368.25
"A78400603"	2010	1368.252
"V82171133"	2017	1368.291
"A12002887"	2012	1368.321
"B15031560"	2017	1368.826
"A26297663"	2010	1368.926
"A06163851"	2011	1368.956
"A08104994"	2011	1369.016
"B31005507"	2009	1369.233
"A33603317"	2008	1369.34
"A41002809"	2009	1369.373
"B31005507"	2008	1369.468
"A30038020"	2010	1369.877
"B38020020"	2009	1369.919
"A07026701"	2014	1370.156
"A08005696"	2009	1370.388
"A46072203"	2010	1370.412
"B35015262"	2009	1370.779
"B41070020"	2013	1370.974
"A19163682"	2015	1371
"A48083927"	2014	1371.135
"A31501901"	2008	1371.17
"A13029962"	2012	1371.879
"A33025974"	2008	1372.03
"B08373250"	2010	1372.322
"A28648053"	2013	1372.382
"A28085520"	2015	1372.436
"A08659617"	2017	1372.74
"A46045936"	2015	1372.846
"A08513178"	2012	1372.912
"A19163682"	2016	1373
"B29682135"	2015	1373.621
"B28188100"	2015	1373.692
"B08367948"	2013	1373.83
"A33610304"	2016	1373.968
"A48033526"	2017	1373.972
"F20025441"	2008	1374
"A42001305"	2013	1374.924
"B62119904"	2012	1375
"A08098576"	2017	1375.038
"B83588657"	2013	1375.212
"A08291973"	2017	1375.35
"B81542813"	2015	1375.503
"A28040418"	2013	1375.516
"A31065915"	2015	1375.801
"A95249199"	2013	1376.092
"A22009492"	2010	1376.434
"B08359093"	2008	1376.945
"A09006859"	2009	1376.96
"A22174932"	2017	1377
"B03019601"	2015	1377.033
"B82612904"	2014	1377.094
"A14000939"	2012	1377.702
"A08730277"	2013	1378.017
"A46014155"	2017	1378.365
"A25022609"	2015	1378.4
"A28715316"	2016	1378.457
"A03167939"	2011	1378.791
"A35046911"	2015	1378.861
"B09013335"	2014	1378.897
"A08436214"	2014	1378.922
"A33018664"	2017	1379.346
"A28027647"	2017	1379.519
"A38645214"	2015	1379.531
"A08297509"	2015	1379.552
"A08257529"	2010	1379.763
"A41021841"	2011	1380.014
"A17001678"	2010	1380.161
"A14026199"	2011	1380.384
"A28687978"	2017	1381.229
"A28085520"	2010	1381.52
"B12462560"	2015	1381.914
"A08081986"	2007	1381.939
"A25010430"	2017	1382.02
"B22003099"	2008	1382.08
"A31018187"	2017	1382.16
"A31012636"	2014	1382.376
"A33025974"	2016	1382.382
"A41002809"	2008	1382.632
"A08651762"	2017	1383.218
"A07009814"	2007	1383.321
"A36604783"	2016	1383.578
"A30022214"	2014	1383.941
"A22174932"	2015	1384
"A39023759"	2010	1384.182
"A24015802"	2017	1384.423
"A14004691"	2013	1384.659
"A29033420"	2012	1384.786
"A28642122"	2008	1384.82
"A12100020"	2015	1384.862
"B01013507"	2007	1384.94
"A81957367"	2017	1385.068
"A48009328"	2017	1385.113
"A28085520"	2016	1385.164
"A09006859"	2008	1385.169
"A39027917"	2012	1385.242
"A09015405"	2014	1385.344
"A09015256"	2014	1385.421
"A30009815"	2008	1385.585
"A28580546"	2017	1386.076
"A28314995"	2017	1386.141
"A14000533"	2014	1386.61
"A13012869"	2015	1386.798
"A29015849"	2017	1386.903
"B46069654"	2008	1387.001
"A45010543"	2009	1387.302
"B08190654"	2013	1387.761
"B47011374"	2017	1388.071
"B03158532"	2017	1388.088
"A08329039"	2017	1388.223
"A47022165"	2016	1388.291
"A18484360"	2014	1388.368
"B60552619"	2017	1389.163
"A28112555"	2016	1389.491
"A28266989"	2011	1389.541
"A29350139"	2014	1389.647
"A46003265"	2016	1389.792
"A48017974"	2015	1389.943
"B08238263"	2014	1390.525
"A48071351"	2015	1390.826
"A22001721"	2010	1390.948
"A36121176"	2017	1391.175
"A08225633"	2016	1391.396
"A08677700"	2008	1391.433
"A20038907"	2015	1391.52
"A08737249"	2017	1391.927
"A47021076"	2014	1392.218
"A01006659"	2014	1392.275
"A28374148"	2016	1392.69
"A01161066"	2013	1392.953
"B03091527"	2007	1393.125
"A33025974"	2017	1393.183
"A41084740"	2015	1393.464
"A08354441"	2017	1393.553
"A18006569"	2009	1393.717
"A09214636"	2015	1393.858
"A28734432"	2013	1393.872
"A59736686"	2012	1394.024
"A31065915"	2016	1394.211
"B38071155"	2015	1394.3
"A81722712"	2010	1394.768
"B32001687"	2017	1395.195
"A20024832"	2017	1395.446
"A30006142"	2011	1395.481
"A08091894"	2010	1395.757
"A36602381"	2016	1396.071
"A03050572"	2015	1396.153
"B82988825"	2010	1396.216
"B46056909"	2007	1396.292
"A08200032"	2012	1396.332
"A07265465"	2014	1396.521
"A33025974"	2007	1396.721
"A14015788"	2007	1396.989
"A41049503"	2013	1397.02
"A48033526"	2009	1397.502
"B30035968"	2014	1398.222
"A14037642"	2016	1398.273
"B46441275"	2014	1398.384
"A08290975"	2012	1398.529
"A62035282"	2013	1398.544
"A08203226"	2014	1398.678
"A39020805"	2017	1398.981
"A48033526"	2013	1399.084
"B46155271"	2014	1399.146
"A28273043"	2017	1399.413
"A26013714"	2010	1399.449
"B23015753"	2011	1399.59
"A46055992"	2007	1399.73
"A48119622"	2009	1399.966
"A21011903"	2015	1400.014
"A46079380"	2015	1400.128
"A08257529"	2008	1400.271
"A08450421"	2012	1400.552
"A28034031"	2012	1400.806
"A18024919"	2011	1401.299
"A08224545"	2016	1401.413
"A03028461"	2013	1401.79
"A01015510"	2011	1401.791
"B35597020"	2011	1402.201
"A23020043"	2017	1402.485
"B11900602"	2014	1402.697
"A08675522"	2008	1403.044
"B31089071"	2011	1403.189
"A08513178"	2011	1404.161
"A08322067"	2011	1404.647
"A41088493"	2015	1405.004
"B17593633"	2017	1405.4
"A08296790"	2007	1405.91
"A35005743"	2011	1405.924
"A20062915"	2017	1405.944
"A08128035"	2010	1406.316
"A30016687"	2013	1406.337
"A50068923"	2016	1406.596
"A17017005"	2012	1406.867
"A30012645"	2010	1407.12
"A48059950"	2010	1407.146
"A36603421"	2010	1407.39
"A11902814"	2011	1407.654
"A36249076"	2015	1407.669
"A03032653"	2010	1407.982
"A30017636"	2012	1408.552
"A45017142"	2012	1408.571
"A41084740"	2016	1408.621
"A37021631"	2013	1408.747
"B43952126"	2016	1409.12
"A50034024"	2008	1409.142
"A46002697"	2007	1409.203
"B03030913"	2017	1409.905
"A01012830"	2016	1410.628
"A25020173"	2008	1410.988
"B28383362"	2016	1411.226
"B20049615"	2015	1411.246
"A31501901"	2007	1412.09
"A31018492"	2009	1412.158
"A08363400"	2008	1412.26
"A27252063"	2015	1412.381
"A46014650"	2010	1412.478
"A08061731"	2010	1412.956
"A30031835"	2013	1413.044
"A08224545"	2017	1413.152
"A20042933"	2012	1413.823
"A18006569"	2008	1414.056
"B35388867"	2016	1414.241
"A36611903"	2008	1415.006
"A08203226"	2013	1415.46
"A50049105"	2015	1415.56
"A34009191"	2016	1415.741
"A50335918"	2014	1415.757
"A43037191"	2012	1415.785
"A08224081"	2014	1416.021
"A11000098"	2015	1416.151
"A28253656"	2014	1416.839
"A34169144"	2015	1417
"B30721237"	2012	1417.046
"A09015405"	2008	1417.6
"A12022224"	2016	1418.293
"A08285157"	2011	1418.55
"A30023238"	2007	1418.649
"B46157533"	2010	1418.705
"A60401585"	2016	1419
"A41048489"	2017	1419.047
"A13029962"	2014	1419.052
"A39007729"	2010	1419.057
"A35046572"	2007	1419.137
"A28642122"	2009	1419.161
"A31017106"	2012	1419.289
"A08200032"	2017	1419.436
"A46056255"	2015	1419.808
"A38020525"	2012	1420.226
"A08203226"	2012	1420.275
"A47438262"	2010	1421.63
"B03036340"	2009	1421.632
"A28648053"	2017	1421.825
"A09281999"	2011	1421.861
"A42000802"	2013	1422
"A28108447"	2014	1422.271
"A33006644"	2008	1422.378
"A31003304"	2010	1422.388
"A08688095"	2011	1422.72
"A31031545"	2011	1422.786
"A24001661"	2013	1423.005
"A28667244"	2014	1423.031
"A35610666"	2015	1423.035
"A48115000"	2017	1423.445
"B83654426"	2013	1423.509
"A04001897"	2008	1424.167
"A41010521"	2009	1424.378
"B03030913"	2016	1424.665
"A35005743"	2007	1425.21
"A28511004"	2010	1425.513
"A08225278"	2015	1425.738
"A13012869"	2012	1426.344
"A08290975"	2009	1426.392
"A07919087"	2011	1426.437
"A26013714"	2007	1427.07
"A78343977"	2014	1427.158
"A28278596"	2008	1427.17
"B43590272"	2009	1427.188
"A35045681"	2009	1427.206
"A17045972"	2016	1427.763
"A07018112"	2017	1428.347
"B13004924"	2013	1428.585
"A46014650"	2009	1428.841
"B58875048"	2010	1429.045
"A08514135"	2012	1430.832
"A45010543"	2008	1431.23
"A08130254"	2013	1431.24
"B28337731"	2012	1431.543
"A12025490"	2007	1431.797
"B92403716"	2016	1431.931
"A81047375"	2011	1432
"A46069456"	2007	1432.18
"A41088493"	2014	1432.218
"B30028187"	2011	1432.413
"A78097656"	2012	1432.543
"A08560484"	2011	1432.699
"B28498210"	2012	1432.781
"A23022783"	2011	1433.203
"A11682507"	2009	1433.303
"A33611195"	2014	1433.456
"B35044197"	2017	1433.521
"A29015849"	2016	1433.807
"A28070167"	2017	1434.082
"B03032620"	2013	1434.58
"A81824047"	2016	1435.113
"A12019840"	2017	1435.216
"A25022609"	2016	1435.244
"A17014119"	2007	1435.28
"A08559932"	2017	1435.574
"B28188100"	2017	1435.604
"A08687204"	2010	1435.806
"A07016991"	2016	1435.853
"A46087565"	2012	1435.886
"A46003265"	2017	1436.291
"A18024919"	2009	1436.361
"A31009913"	2017	1436.92
"B08912669"	2010	1437.368
"B04018495"	2017	1437.481
"A12012340"	2014	1437.535
"B08125940"	2013	1437.75
"A26270322"	2009	1438.126
"A03066933"	2007	1438.7
"A26013714"	2012	1438.828
"A01012103"	2007	1439.308
"A43020759"	2015	1439.392
"A41050980"	2010	1439.599
"A28399715"	2010	1439.694
"A30031769"	2008	1440.005
"A22009906"	2015	1440.553
"A48093918"	2017	1441.075
"A35031343"	2010	1441.079
"A08275281"	2013	1441.25
"A01014794"	2007	1441.324
"A31068927"	2017	1441.661
"A45017142"	2013	1441.726
"A47006887"	2011	1441.86
"A36611903"	2017	1442.002
"A08347452"	2016	1442.1
"B28218287"	2015	1442.17
"A41002809"	2015	1442.887
"B48948830"	2016	1443.019
"A14000533"	2012	1443.094
"A36016574"	2014	1443.388
"B28222487"	2013	1443.736
"A12025565"	2016	1443.846
"A28618890"	2011	1444.138
"B46084695"	2009	1444.392
"A50040013"	2012	1444.465
"B07034416"	2013	1444.915
"B12027843"	2013	1445.005
"A28496438"	2011	1445.288
"B39026265"	2013	1445.456
"B36620193"	2009	1445.532
"A28295806"	2013	1446.129
"B47364872"	2014	1446.235
"A48034110"	2013	1446.468
"A47010194"	2010	1447
"A35046572"	2012	1447.125
"A08709131"	2016	1447.213
"A31394356"	2008	1447.254
"A58017187"	2012	1447.587
"B48108898"	2016	1447.85
"A28734432"	2014	1448.232
"A31018492"	2011	1449.288
"A28273241"	2017	1449.43
"B27008408"	2016	1449.565
"A35046572"	2010	1450.141
"A08737249"	2011	1450.359
"A03012614"	2016	1450.472
"A08621161"	2013	1450.568
"A28580546"	2015	1450.686
"A01001072"	2011	1450.717
"A36611903"	2007	1450.897
"A08663809"	2012	1451.037
"B73212417"	2016	1451.168
"A38020525"	2011	1451.753
"B50047091"	2008	1451.76
"A20047726"	2012	1452.085
"B24399305"	2010	1452.131
"B31077514"	2009	1452.173
"A07016991"	2012	1452.217
"A43001684"	2017	1452.255
"B28543023"	2011	1453.102
"A30038020"	2012	1453.182
"A35045681"	2013	1453.281
"B16010464"	2014	1453.299
"A46005252"	2009	1453.353
"A31082712"	2015	1453.408
"A01009265"	2015	1453.517
"A30012009"	2009	1453.95
"A48155352"	2008	1454
"B62263272"	2017	1454.506
"A01011881"	2014	1454.763
"A08347452"	2012	1454.768
"A08224107"	2007	1454.871
"A08097966"	2011	1454.907
"B43009091"	2011	1454.99
"A28273241"	2011	1455.061
"B15516933"	2010	1455.067
"A08639643"	2012	1455.349
"A26014035"	2014	1455.436
"A43014174"	2012	1455.703
"B58807645"	2012	1455.836
"A39013867"	2013	1456.078
"A12006227"	2008	1456.33
"A08156218"	2010	1456.438
"B33614033"	2012	1456.73
"A08665374"	2014	1456.757
"A08595324"	2015	1457.271
"A78400603"	2012	1457.328
"A20003042"	2012	1457.396
"A78389608"	2013	1457.527
"B35597020"	2012	1457.697
"A12405577"	2013	1457.934
"A08228124"	2013	1458
"A08159816"	2012	1458.068
"A37021631"	2012	1458.142
"B95271326"	2013	1458.342
"A30032619"	2015	1458.509
"A30006142"	2010	1458.71
"A20008579"	2009	1458.752
"A44003663"	2013	1458.881
"A61557641"	2016	1458.949
"A46068318"	2009	1459.007
"A12021267"	2016	1459.079
"A44004422"	2015	1459.117
"A08713869"	2015	1459.227
"A15016702"	2007	1459.374
"A31624661"	2017	1460.046
"A26004754"	2014	1460.09
"A39027917"	2008	1460.19
"A28085520"	2008	1461.17
"A26001867"	2009	1461.65
"B31694912"	2012	1461.723
"A28012656"	2013	1462.428
"B31005507"	2010	1462.434
"A31404452"	2013	1462.446
"A01161066"	2012	1462.644
"A31018187"	2009	1462.841
"A28556504"	2008	1463.06
"A48040034"	2014	1463.124
"A30017636"	2017	1463.91
"A08396830"	2013	1464.51
"A08159816"	2013	1464.607
"A01005594"	2008	1464.678
"A33025701"	2014	1464.8
"A17048752"	2015	1465.35
"A50047505"	2016	1465.703
"A36604882"	2016	1465.741
"A28684512"	2016	1465.747
"B27013382"	2013	1466.221
"A29033420"	2015	1466.72
"B46047817"	2017	1466.835
"A31096233"	2010	1466.928
"A20034286"	2013	1467.088
"A31017106"	2014	1467.148
"B25015017"	2014	1467.201
"A41087404"	2012	1467.388
"B46054508"	2012	1467.483
"A20012498"	2016	1467.539
"A20024832"	2015	1467.658
"A15013618"	2008	1468.216
"B02011641"	2012	1468.345
"A01001072"	2016	1468.388
"A26008664"	2016	1468.588
"A26022129"	2016	1468.922
"B03091527"	2009	1469.291
"B29682135"	2014	1469.292
"A41018854"	2016	1469.468
"A17054081"	2014	1469.51
"A22008106"	2007	1469.62
"A48295604"	2013	1470.095
"B30606099"	2009	1470.157
"A17038035"	2013	1470.283
"A41087404"	2016	1470.466
"A28046704"	2014	1470.541
"A26011841"	2007	1470.63
"A08527020"	2015	1471.065
"A08104994"	2012	1471.115
"A25026733"	2013	1471.507
"A08203226"	2009	1471.854
"A21006911"	2007	1471.89
"A41021841"	2012	1472.031
"A82501545"	2011	1472.389
"A50068923"	2007	1472.718
"A46055992"	2014	1473.014
"A03040854"	2011	1473.103
"A34007831"	2008	1473.291
"A28577864"	2009	1473.452
"B36880003"	2015	1473.757
"B15077571"	2014	1473.875
"A35028570"	2010	1474.071
"B07650112"	2014	1474.349
"B27008408"	2011	1474.435
"A44003663"	2012	1474.753
"A43020759"	2016	1475.127
"A18016709"	2010	1475.374
"B28304129"	2012	1475.389
"A12017760"	2012	1476.057
"B48033278"	2016	1476.31
"B31005507"	2012	1476.538
"A12012605"	2012	1476.667
"A08466807"	2008	1476.745
"A31030901"	2012	1476.799
"A15021843"	2012	1476.945
"A01009265"	2009	1477.37
"A62035282"	2016	1477.971
"B17011511"	2009	1478.207
"A31068927"	2016	1478.903
"A39022124"	2016	1479.409
"A33024852"	2012	1479.709
"A36249076"	2017	1479.734
"B08078396"	2010	1479.888
"B79232096"	2017	1480
"B15017908"	2010	1480.409
"B28307536"	2016	1480.72
"A01009265"	2016	1480.788
"B30037204"	2010	1480.94
"B28222487"	2014	1481.532
"A26015503"	2017	1481.603
"A06163851"	2014	1482.005
"B31067168"	2010	1482.141
"A31189350"	2015	1482.304
"B35044197"	2011	1483.146
"A28458826"	2017	1483.282
"A08499568"	2011	1483.6
"A28604882"	2016	1483.916
"A08189359"	2017	1484.358
"A48117881"	2010	1484.369
"A26013714"	2013	1484.453
"A08146474"	2010	1485.153
"B46173423"	2007	1485.38
"A09022963"	2014	1485.42
"A28266989"	2016	1486
"A08012601"	2008	1486.069
"B48108898"	2017	1486.114
"A08639643"	2016	1486.199
"B11012820"	2013	1486.229
"A08332256"	2007	1486.74
"B31067168"	2012	1486.746
"A12006227"	2013	1486.764
"B27007897"	2016	1487.073
"B38030045"	2013	1487.131
"A14015788"	2010	1487.867
"A28040418"	2010	1488.008
"B28492841"	2013	1488.047
"A08496473"	2009	1488.144
"B08125940"	2012	1488.169
"A41084740"	2012	1488.39
"A80433519"	2010	1488.417
"A17004763"	2008	1488.569
"A28040418"	2009	1488.905
"A48031686"	2012	1489
"A43001684"	2015	1489.428
"A08670929"	2011	1489.657
"B50030964"	2007	1489.766
"A08195927"	2012	1489.988
"A28148898"	2007	1490
"A96646880"	2016	1490.018
"A11902814"	2012	1490.054
"A03001948"	2009	1490.103
"A33610304"	2017	1490.697
"A31018187"	2013	1490.924
"B03046158"	2013	1490.998
"A80632573"	2011	1491.066
"B31077514"	2008	1491.192
"A40002701"	2015	1491.211
"A28148898"	2009	1492
"A35046572"	2014	1492.18
"B28498210"	2014	1492.29
"A48117881"	2011	1492.533
"B31005507"	2013	1493.283
"A08225278"	2008	1493.502
"A46096343"	2015	1493.722
"A08621161"	2012	1493.792
"A35101732"	2011	1494
"A08012601"	2009	1494.359
"V48566475"	2010	1494.797
"A22174932"	2016	1495
"A35101732"	2008	1495
"B92403716"	2014	1495.378
"A03167939"	2010	1495.978
"A28148898"	2010	1496
