nif	year	n_empleados
"A31071913"	2013	47
"A11682507"	2015	47
"A08257388"	2013	47
"B46063137"	2012	47
"A22009492"	2015	47
"A46003265"	2016	47
"A08560484"	2008	47
"A46044814"	2010	47
"A15052376"	2008	47
"A58294166"	2015	47
"A58061383"	2010	47
"A45012259"	2009	47
"A40005514"	2009	47
"A40005514"	2010	47
"B73070914"	2011	47
"B08292054"	2010	47
"A17004763"	2008	47
"B08407322"	2015	47
"A28695021"	2007	47
"B45005279"	2012	47
"A12029468"	2012	47
"B62173604"	2010	47
"A17004763"	2010	47
"B35027143"	2017	47
"A45012259"	2015	47
"B57487159"	2017	47
"A17001678"	2012	47
"B30029599"	2016	47
"V04509865"	2015	47
"A20005351"	2011	47
"A09018862"	2011	47
"A22009492"	2011	47
"A30035547"	2017	47
"B50384080"	2014	47
"A28364487"	2010	47
"A48016794"	2014	47
"B45020351"	2007	47
"C28863686"	2012	47
"A08375545"	2012	47
"A12100020"	2012	47
"A08670929"	2015	47
"A30013791"	2016	47
"A48050439"	2010	47
"A07036569"	2011	47
"B12014692"	2015	47
"B43952126"	2016	47
"A02012714"	2013	47
"B22004113"	2009	47
"A08146730"	2015	47
"A08225278"	2016	47
"A43035708"	2009	47
"B08988149"	2013	47
"A15044530"	2016	47
"A28423986"	2013	47
"A17001678"	2010	47
"B42001297"	2008	47
"B30603229"	2010	47
"A24020562"	2010	47
"A29025368"	2010	47
"B08988149"	2007	47
"A80904576"	2010	47
"A01012293"	2010	47
"B09019548"	2007	47
"A03084936"	2014	47
"A28457059"	2015	47
"A33024084"	2013	47
"A20042933"	2014	47
"A46044814"	2011	47
"A28604882"	2014	47
"A28375467"	2013	47
"A08659302"	2016	47
"C08164253"	2010	47
"B22004113"	2008	47
"A33036807"	2017	47
"A28475770"	2009	47
"C28863686"	2011	47
"A12100020"	2011	47
"A48059950"	2014	47
"B46055489"	2015	47
"B03039609"	2010	47
"A50066562"	2016	47
"A43035708"	2010	47
"A31076508"	2010	47
"A25026733"	2011	47
"A80652423"	2011	47
"B45020351"	2015	47
"A58061383"	2012	47
"A30047120"	2014	47
"A28138386"	2015	47
"A12100020"	2010	47
"A97043772"	2013	47
"B28115533"	2012	47
"A12283388"	2008	47
"A20557294"	2012	47
"A08217432"	2014	47
"A28457059"	2010	47
"A31404452"	2011	47
"A20036083"	2015	47
"A30013791"	2014	47
"B48969877"	2013	47
"A48059950"	2017	47
"A29063567"	2014	47
"A36603637"	2011	47
"B03045507"	2016	47
"A19163682"	2010	47
"A21391917"	2014	47
"A08568057"	2008	47
"A08560484"	2010	47
"A82683434"	2009	47
"B16010464"	2013	47
"A28428233"	2013	47
"B03010634"	2007	47
"A03027919"	2008	47
"A22009492"	2016	47
"A08209538"	2009	47
"B41007576"	2008	47
"A08720708"	2011	47
"B08292054"	2011	47
"A78393840"	2009	47
"B48969877"	2014	47
"A35026590"	2014	47
"B46102364"	2010	47
"A08514028"	2012	47
"B46055489"	2016	47
"A08225278"	2015	47
"A08081986"	2011	47
"A25026733"	2014	47
"A15033699"	2017	47
"A14616031"	2015	47
"A28562908"	2010	47
"A28266989"	2009	47
"A14616031"	2016	47
"A78990603"	2014	47
"A08228124"	2013	48
"B24014292"	2015	48
"B20023982"	2017	48
"A31071913"	2012	48
"A08562910"	2016	48
"B46054508"	2016	48
"B41065418"	2014	48
"A28266989"	2011	48
"A33006644"	2013	48
"A07016991"	2009	48
"B11606761"	2016	48
"A26008664"	2017	48
"A20036083"	2008	48
"A36011385"	2007	48
"B17016569"	2014	48
"A35012012"	2011	48
"A85426971"	2016	48
"A01016450"	2015	48
"A28313542"	2016	48
"A20036083"	2009	48
"A28266989"	2012	48
"A08513749"	2012	48
"B45020351"	2014	48
"A58907015"	2013	48
"A31196983"	2013	48
"A44003663"	2017	48
"A08135139"	2016	48
"A33036807"	2014	48
"A08622938"	2013	48
"B08912669"	2013	48
"B46111035"	2009	48
"B85160976"	2015	48
"B08488645"	2014	48
"A08436214"	2010	48
"B79033700"	2017	48
"A02012714"	2012	48
"A48119143"	2011	48
"A08609281"	2015	48
"A28610863"	2009	48
"A17041708"	2012	48
"B48771711"	2016	48
"A79047916"	2012	48
"A31404452"	2012	48
"A48006423"	2008	48
"B92709526"	2013	48
"A15169535"	2008	48
"A31194905"	2014	48
"A07036569"	2015	48
"A30610984"	2010	48
"A82683434"	2016	48
"A17009093"	2016	48
"A33036906"	2012	48
"A28614790"	2014	48
"A08061590"	2008	48
"A08612103"	2009	48
"A33036807"	2013	48
"A08061731"	2008	48
"A28646735"	2016	48
"A48108484"	2011	48
"A28022952"	2017	48
"B46102364"	2011	48
"B46149555"	2015	48
"B28644441"	2008	48
"A48119622"	2012	48
"A31037294"	2011	48
"B30566194"	2016	48
"A08989782"	2012	48
"A26004754"	2016	48
"A33008426"	2008	48
"A29008174"	2007	48
"B48059786"	2009	48
"B31089071"	2013	48
"A46021804"	2012	48
"A08005696"	2011	48
"A03036373"	2012	48
"B36880003"	2009	48
"A12025565"	2017	48
"A47000054"	2013	48
"B31001696"	2009	48
"A08005688"	2011	48
"A28428233"	2010	48
"B81009151"	2007	48
"B11606761"	2015	48
"A30036214"	2012	48
"A07016025"	2016	48
"A35008168"	2017	48
"A24007072"	2012	48
"A20073169"	2013	48
"A47000054"	2012	48
"B35044197"	2008	48
"A16007064"	2015	48
"B28383362"	2016	48
"A08296790"	2015	48
"A20073169"	2009	48
"A28253656"	2009	48
"A46105086"	2013	48
"A28457059"	2016	48
"A46087565"	2017	48
"A24014227"	2016	48
"A07016025"	2012	48
"B01267277"	2012	48
"B48969877"	2016	48
"B28307536"	2008	48
"A28253656"	2015	48
"B48969877"	2015	48
"A30036214"	2013	48
"A08513749"	2009	48
"A46044814"	2013	48
"B48045942"	2014	48
"A04006706"	2013	48
"A53288478"	2011	48
"A48083927"	2008	48
"B62385067"	2009	48
"A38020905"	2015	48
"B16010464"	2014	48
"A41762386"	2016	48
"B08619405"	2013	48
"B37024825"	2014	48
"A32006579"	2011	48
"A46044814"	2012	48
"A15033699"	2016	48
"A58907015"	2016	48
"A21008727"	2011	48
"A08021768"	2009	48
"B48714133"	2014	48
"A08329963"	2014	48
"B36880003"	2008	48
"B48045942"	2013	48
"A19163682"	2011	48
"A28649747"	2008	48
"A30024798"	2016	48
"A28491637"	2008	48
"B48059786"	2012	48
"A35008168"	2016	48
"B48059786"	2011	48
"A17004763"	2009	48
"A41091927"	2016	48
"A85270965"	2015	48
"B46135364"	2013	48
"A78159241"	2008	48
"A07016025"	2013	48
"B11606761"	2017	48
"A53288478"	2012	48
"A36611622"	2012	48
"A07016991"	2008	48
"A12013496"	2014	48
"A34009191"	2016	48
"A82307117"	2011	48
"A30603716"	2014	48
"A24010217"	2011	48
"B41062548"	2014	48
"A24007072"	2011	48
"A82683434"	2015	48
"A14026199"	2011	48
"B28304129"	2014	48
"B08527194"	2017	48
"A48095822"	2015	48
"B36880003"	2010	48
"A48095822"	2011	48
"A08217432"	2017	48
"A33008426"	2007	48
"A28428233"	2007	48
"A43035708"	2012	48
"A15052376"	2009	48
"B48059786"	2010	48
"B31081334"	2017	48
"A08513749"	2010	48
"A05000682"	2011	48
"A48093421"	2009	48
"B41065418"	2013	48
"A26004754"	2015	48
"A02012714"	2014	48
"A07123441"	2013	48
"A33606682"	2011	48
"A46002697"	2015	48
"A46005252"	2013	48
"B31072705"	2009	48
"A97043772"	2015	48
"B46148797"	2008	48
"A03036373"	2013	48
"A32006413"	2015	48
"A08170151"	2012	48
"A28266989"	2016	48
"A08290405"	2011	48
"A31071913"	2014	48
"A28428233"	2014	48
"B03046158"	2015	48
"B41007576"	2007	48
"A21011903"	2015	48
"A41091927"	2015	48
"B03020914"	2012	48
"A31001266"	2014	48
"A28125920"	2011	48
"B41062548"	2015	48
"A08290405"	2008	48
"A29063567"	2011	48
"A17041708"	2014	48
"A30018147"	2016	48
"A17001678"	2011	48
"B17016569"	2009	48
"A36014009"	2017	48
"A12012605"	2007	48
"A08436214"	2011	48
"A30024798"	2012	48
"B28644441"	2009	48
"B46055802"	2013	48
"F95073748"	2016	48
"A08507741"	2012	48
"A17202375"	2010	48
"B35044197"	2010	48
"A48083927"	2007	48
"F06402697"	2012	48
"A48095822"	2012	48
"A17005968"	2017	48
"B20070082"	2013	48
"A29063567"	2010	48
"A47010194"	2011	48
"A02012714"	2011	48
"A79047916"	2014	48
"A17041708"	2011	48
"A27003243"	2014	48
"A28642122"	2016	48
"B33607466"	2013	48
"A28842003"	2009	48
"A96918867"	2010	48
"A03036373"	2011	48
"A17039140"	2014	48
"A21391917"	2013	48
"B35065788"	2010	48
"A50036037"	2013	48
"A20047726"	2014	48
"A79092573"	2011	48
"B46148797"	2007	48
"A43035708"	2013	48
"B62293113"	2014	48
"A01011881"	2015	48
"A28193209"	2015	48
"A41089368"	2016	49
"A08005696"	2010	49
"A03036373"	2014	49
"A48049928"	2017	49
"A43035708"	2011	49
"B50938489"	2014	49
"A11019767"	2011	49
"A28711893"	2012	49
"B32003998"	2015	49
"A08363400"	2010	49
"A28612620"	2013	49
"A30013791"	2010	49
"A20036083"	2010	49
"A30046320"	2010	49
"A08710055"	2014	49
"A30040562"	2016	49
"B11606761"	2007	49
"B28304129"	2016	49
"A48119143"	2012	49
"B28255016"	2015	49
"B62725320"	2016	49
"A01009265"	2011	49
"A28456119"	2008	49
"A31194905"	2012	49
"A28295038"	2007	49
"A12025490"	2008	49
"A03040854"	2013	49
"A08228124"	2016	49
"A36615896"	2015	49
"A29008174"	2012	49
"A36611622"	2009	49
"A28457059"	2013	49
"B81335473"	2011	49
"B08407322"	2010	49
"A28614790"	2017	49
"B80146517"	2014	49
"B20070082"	2016	49
"B43032713"	2014	49
"A32007817"	2010	49
"A35026590"	2010	49
"B30605760"	2017	49
"A30040562"	2017	49
"A08290405"	2012	49
"A01001072"	2011	49
"A30603716"	2010	49
"A82275306"	2016	49
"A36615037"	2012	49
"B46131371"	2012	49
"A11682507"	2014	49
"A08225278"	2011	49
"A36615037"	2011	49
"A08622938"	2014	49
"A19163682"	2016	49
"B17016569"	2012	49
"A20060075"	2015	49
"A23014871"	2015	49
"A18024919"	2009	49
"B50475839"	2011	49
"A33036906"	2015	49
"B30603229"	2014	49
"A17040072"	2015	49
"B59469296"	2014	49
"B31001696"	2010	49
"A58061383"	2011	49
"A30013791"	2012	49
"A48102792"	2010	49
"A08575672"	2009	49
"A22009039"	2009	49
"B11606761"	2008	49
"B28360360"	2015	49
"B38020020"	2010	49
"A28614790"	2016	49
"A08507741"	2011	49
"A29008174"	2011	49
"A20038907"	2015	49
"A33036807"	2016	49
"A29063567"	2013	49
"A03084936"	2013	49
"A28125920"	2012	49
"A08609281"	2011	49
"A20038907"	2016	49
"A28012656"	2012	49
"A08687204"	2013	49
"A20073169"	2010	49
"A35028208"	2014	49
"A48155352"	2012	49
"A28695856"	2015	49
"B28044204"	2008	49
"B35044197"	2009	49
"A03402468"	2007	49
"A08278293"	2011	49
"A28245355"	2013	49
"A08285363"	2017	49
"B46084208"	2011	49
"A48119622"	2008	49
"A14000533"	2008	49
"B50475839"	2014	49
"A07068430"	2013	49
"A14004691"	2013	49
"A19163682"	2012	49
"A08228124"	2017	49
"A48102792"	2014	49
"A58907015"	2015	49
"A48016794"	2010	49
"A17034505"	2015	49
"A08128910"	2010	49
"A40005514"	2011	49
"A46169082"	2014	49
"A39027917"	2014	49
"A46074563"	2012	49
"B03094455"	2009	49
"B35027143"	2015	49
"A20036083"	2012	49
"A18024919"	2010	49
"A01001072"	2012	49
"A14336143"	2015	49
"A28610863"	2008	49
"A33606682"	2012	49
"A45010543"	2016	49
"B17016569"	2017	49
"A20062915"	2013	49
"A08527020"	2014	49
"A08005696"	2012	49
"B15862667"	2014	49
"B61395497"	2011	49
"B01267277"	2011	49
"B35027143"	2010	49
"A80352420"	2012	49
"A97043772"	2011	49
"A28249993"	2007	49
"A28379816"	2011	49
"B01003581"	2013	49
"A39027917"	2012	49
"A39030812"	2010	49
"A45012259"	2010	49
"A08225278"	2009	49
"B35006360"	2016	49
"B50023142"	2011	49
"A08436214"	2015	49
"B20070082"	2015	49
"A07051253"	2017	49
"A30040562"	2015	49
"B28337731"	2012	49
"A28494896"	2014	49
"A28155240"	2014	49
"A82683434"	2008	49
"A91291435"	2015	49
"A28012656"	2011	49
"B28304129"	2013	49
"B78069259"	2015	49
"A31194905"	2013	49
"B08488645"	2010	49
"B08292054"	2013	49
"A46156048"	2009	49
"A28670313"	2015	49
"A08999088"	2015	49
"A08225278"	2010	49
"B59469296"	2013	49
"A29008174"	2013	49
"A33024084"	2012	49
"A82683434"	2010	49
"A08710055"	2013	49
"A28435931"	2013	49
"A03066933"	2007	49
"A50052489"	2010	49
"A18020271"	2014	49
"B81335473"	2007	49
"A35026590"	2009	49
"B48059786"	2008	49
"A05000682"	2014	49
"A28457059"	2011	49
"A30013791"	2011	49
"A03057486"	2008	49
"B81335473"	2009	49
"B50475839"	2009	49
"A08005696"	2009	49
"A20047726"	2015	49
"A79092573"	2009	49
"A36608180"	2014	49
"A30013791"	2007	49
"A28695021"	2008	49
"A28283067"	2011	49
"A08466807"	2008	49
"A80652423"	2014	49
"B11606761"	2009	49
"B20070082"	2014	49
"B24399305"	2010	49
"A45012531"	2015	49
"A39027917"	2013	49
"A01000777"	2008	49
"A29063567"	2012	49
"A28579373"	2012	49
"A24020562"	2012	49
"A33008426"	2009	49
"A28428233"	2009	49
"A03047628"	2015	49
"A28475770"	2017	49
"B28579506"	2013	49
"A82683434"	2017	49
"A08225278"	2012	49
"B37024825"	2013	49
"A48115000"	2016	49
"A17034505"	2014	49
"B48969877"	2017	49
"A36611903"	2010	49
"A39027917"	2010	49
"A20036083"	2011	49
"A41277336"	2015	49
"B41007576"	2009	49
"A80652423"	2007	49
"A28271112"	2015	50
"A31038839"	2010	50
"A33024084"	2007	50
"B02011641"	2009	50
"B11606761"	2010	50
"B03010634"	2016	50
"A48119622"	2016	50
"A81824047"	2012	50
"A01001072"	2010	50
"A50036037"	2010	50
"A20036083"	2014	50
"B46164091"	2017	50
"A29008174"	2014	50
"A28457059"	2014	50
"A28711893"	2014	50
"B22009377"	2013	50
"A31071913"	2008	50
"B31072705"	2014	50
"B12008397"	2016	50
"A27003243"	2015	50
"A11019767"	2016	50
"B35044197"	2013	50
"B11605862"	2011	50
"A28684512"	2010	50
"A03040854"	2011	50
"A22009492"	2013	50
"A78159241"	2007	50
"A28125920"	2007	50
"A28695021"	2009	50
"A29050572"	2015	50
"A28266989"	2015	50
"B79033700"	2015	50
"A31194905"	2015	50
"B61175725"	2008	50
"A48095822"	2014	50
"B73070914"	2014	50
"A08514028"	2017	50
"A17034505"	2012	50
"A58907015"	2008	50
"A28128486"	2015	50
"A13029962"	2011	50
"B45020351"	2008	50
"B81335473"	2010	50
"A28642122"	2009	50
"B46142246"	2015	50
"B50938489"	2013	50
"A08203226"	2017	50
"A08217432"	2015	50
"B33119983"	2008	50
"B03045507"	2017	50
"B46160842"	2011	50
"A26004754"	2013	50
"A36249076"	2010	50
"A08572729"	2008	50
"A28039469"	2016	50
"B20023982"	2015	50
"A50000876"	2011	50
"A08061590"	2017	50
"A28427516"	2008	50
"B11606761"	2013	50
"A03066933"	2016	50
"A08061731"	2007	50
"A48016794"	2009	50
"A31404452"	2010	50
"B45493707"	2010	50
"A48080881"	2010	50
"A36615037"	2009	50
"A50068923"	2008	50
"A31737455"	2016	50
"A28138386"	2008	50
"A17009598"	2009	50
"B21015474"	2017	50
"A30025555"	2013	50
"A28674968"	2017	50
"A80904576"	2013	50
"A41006891"	2014	50
"A03001948"	2015	50
"A03040854"	2014	50
"A20038907"	2014	50
"A83062497"	2015	50
"A28375467"	2015	50
"A01000777"	2011	50
"A20017604"	2017	50
"A28711893"	2013	50
"A97043772"	2014	50
"B35044197"	2012	50
"A01000777"	2012	50
"B24013799"	2010	50
"B20193017"	2011	50
"A82275306"	2017	50
"B02011641"	2008	50
"A28058758"	2014	50
"A33606682"	2014	50
"A47000054"	2014	50
"A85426971"	2017	50
"A28253656"	2011	50
"B35388867"	2017	50
"A46031027"	2014	50
"A20036083"	2007	50
"A08278293"	2010	50
"A44003663"	2016	50
"B02011641"	2007	50
"B38020020"	2009	50
"A33606682"	2016	50
"A11019767"	2013	50
"A22009039"	2010	50
"A17041708"	2013	50
"A28612620"	2011	50
"A01167204"	2014	50
"A08026635"	2008	50
"B28350965"	2011	50
"A36615037"	2010	50
"B03087293"	2008	50
"B36880003"	2011	50
"A28684512"	2011	50
"A29063567"	2009	50
"B20023982"	2016	50
"B35043637"	2017	50
"A18024919"	2017	50
"B03004801"	2007	50
"B08619405"	2014	50
"B31065980"	2016	50
"A17045204"	2015	50
"B58075136"	2009	50
"A20036083"	2013	50
"A35028208"	2012	50
"B50031749"	2010	50
"A48092886"	2008	50
"B46111035"	2010	50
"A20062915"	2014	50
"B28304129"	2017	50
"A31038839"	2011	50
"A08203226"	2016	50
"B11606761"	2012	50
"A08217432"	2013	50
"A59382762"	2011	50
"A08375545"	2013	50
"B50938489"	2012	50
"A08146730"	2014	50
"A28651370"	2010	50
"A12025565"	2008	50
"B08423246"	2014	50
"A08989782"	2015	50
"B15862667"	2013	50
"A28610863"	2010	50
"A35040831"	2017	50
"A46156048"	2014	50
"A08217432"	2016	50
"B46160842"	2010	50
"A47011721"	2009	50
"B62725320"	2017	50
"A46117792"	2015	50
"A36249076"	2009	50
"A28427516"	2013	50
"B81542813"	2009	50
"B73070914"	2013	50
"A80352420"	2009	50
"A14026199"	2010	50
"A28612620"	2010	50
"B31065980"	2012	50
"B83211318"	2009	50
"B57175283"	2011	50
"A38003844"	2007	50
"A46156048"	2012	50
"A58907015"	2009	50
"B81335473"	2008	50
"A46005484"	2008	50
"A82683434"	2013	50
"A28266989"	2014	50
"B38024089"	2015	50
"A27007731"	2017	50
"A17014119"	2015	50
"A03036373"	2017	50
"A46117792"	2010	50
"A08622938"	2010	50
"A28612620"	2012	50
"A11609682"	2014	50
"A28271112"	2016	50
"B35043637"	2016	50
"B28455574"	2013	50
"A50036037"	2015	50
"B35044197"	2011	50
"A81824047"	2010	50
"A28524726"	2017	50
"B35027143"	2016	50
"B12462560"	2011	50
"A28228690"	2017	50
"A43016757"	2014	50
"A48108484"	2012	50
"B37024825"	2017	50
"B22004113"	2007	50
"A45012259"	2012	50
"A31071913"	2009	50
"B11605862"	2012	50
"A33034422"	2015	50
"A12025490"	2015	50
"B81542813"	2016	50
"B28148773"	2013	50
"B08688301"	2013	50
"A08231250"	2015	50
"A28039469"	2015	50
"A08513749"	2013	50
"A29018207"	2015	50
"A08123226"	2010	50
"A29025368"	2009	50
"A81824047"	2011	50
"A30012009"	2016	50
"A36002285"	2013	50
"A31194905"	2016	50
"B15862667"	2015	50
"A17202375"	2011	50
"B81542813"	2017	50
"B12007357"	2017	50
"A28985992"	2007	50
"B36880003"	2013	50
"A08191579"	2009	50
"A17041708"	2010	50
"A31194905"	2017	50
"B11606761"	2011	50
"A15506934"	2010	50
"B04001848"	2016	51
"A47011721"	2008	51
"A01010164"	2012	51
"B41007576"	2010	51
"A21008727"	2015	51
"A35028208"	2011	51
"A19012962"	2011	51
"A24007072"	2015	51
"B46131371"	2007	51
"A28580546"	2012	51
"B15021835"	2014	51
"A31404452"	2013	51
"A29025368"	2015	51
"B36009942"	2013	51
"A33373622"	2011	51
"A31096233"	2010	51
"A08323404"	2010	51
"B61175725"	2009	51
"B11605862"	2013	51
"A43030626"	2014	51
"B20070082"	2012	51
"A08421190"	2012	51
"B28337731"	2009	51
"A29453768"	2016	51
"A28416089"	2015	51
"A19012962"	2010	51
"A12512497"	2010	51
"A46031027"	2013	51
"A35098482"	2010	51
"A30046320"	2014	51
"A28612620"	2017	51
"A29063567"	2008	51
"B43491356"	2013	51
"A07256100"	2008	51
"A03036373"	2016	51
"A08117806"	2010	51
"A08098949"	2012	51
"A01167204"	2015	51
"B24013856"	2011	51
"B12018008"	2014	51
"B30037204"	2008	51
"B36880003"	2012	51
"B28361350"	2013	51
"B17048364"	2016	51
"A41037672"	2017	51
"A08340267"	2012	51
"A11000098"	2011	51
"B82175001"	2013	51
"A81896375"	2009	51
"A01009265"	2009	51
"A08098949"	2013	51
"A08358442"	2008	51
"A46105086"	2014	51
"A08651762"	2010	51
"A23019342"	2008	51
"A01009265"	2010	51
"B08423246"	2017	51
"A12029468"	2010	51
"A45012259"	2011	51
"A30040562"	2014	51
"A33021635"	2015	51
"A08612103"	2017	51
"A17041708"	2009	51
"A50052489"	2016	51
"A07123441"	2008	51
"A08146730"	2013	51
"A15033699"	2015	51
"A08098949"	2011	51
"B08488645"	2011	51
"A01012103"	2012	51
"A01012103"	2017	51
"B15862667"	2016	51
"A48108484"	2013	51
"A35028208"	2009	51
"A33024084"	2016	51
"A22009492"	2012	51
"A50000876"	2017	51
"A11000098"	2012	51
"A28266989"	2013	51
"A41089368"	2011	51
"B08488645"	2013	51
"B37020179"	2011	51
"A28017531"	2010	51
"B35043637"	2014	51
"A08005696"	2013	51
"B03004801"	2008	51
"A01014794"	2007	51
"A28057495"	2014	51
"A48092886"	2009	51
"B28350965"	2008	51
"A07123441"	2009	51
"A03197308"	2017	51
"A08445983"	2007	51
"A28375913"	2013	51
"A28375913"	2011	51
"A28646735"	2013	51
"A53242152"	2008	51
"A35040831"	2016	51
"A50889955"	2016	51
"A46005484"	2015	51
"A01012103"	2009	51
"A08518979"	2017	51
"A31737455"	2015	51
"A08513541"	2011	51
"A33006644"	2017	51
"A48117188"	2014	51
"B31039530"	2015	51
"V04509865"	2017	51
"A08148991"	2015	51
"A28612620"	2016	51
"A28167567"	2013	51
"A11609682"	2011	51
"A08358442"	2007	51
"A08098949"	2014	51
"B12007357"	2007	51
"A46005484"	2009	51
"B73070914"	2015	51
"B28044204"	2007	51
"A01010164"	2014	51
"B11605862"	2014	51
"B46441275"	2017	51
"A47010194"	2012	51
"A28375467"	2012	51
"A38020905"	2011	51
"A48119622"	2009	51
"A61831681"	2008	51
"A24007072"	2013	51
"A11019767"	2015	51
"A41001439"	2012	51
"A08029951"	2010	51
"A81864498"	2009	51
"B32008179"	2014	51
"A36643450"	2013	51
"A08199168"	2017	51
"B03094455"	2014	51
"A78990603"	2015	51
"A36249076"	2012	51
"A20042933"	2012	51
"A58907015"	2017	51
"A08710055"	2016	51
"A81036923"	2014	51
"B31078058"	2012	51
"A39027917"	2011	51
"A20038907"	2017	51
"A08572729"	2009	51
"A36249076"	2011	51
"A33373622"	2009	51
"B22004113"	2011	51
"B12018008"	2015	51
"A30040562"	2013	51
"B30037204"	2007	51
"B79033700"	2016	51
"B59469296"	2012	51
"B81542813"	2008	51
"B12523601"	2010	51
"A30013247"	2017	51
"A08005696"	2014	51
"A08146870"	2010	51
"A18012807"	2013	51
"A08290405"	2016	51
"B28044204"	2009	51
"A59382762"	2012	51
"A48119622"	2017	51
"A28193209"	2014	51
"B41007576"	2011	51
"B17016569"	2016	51
"B61175725"	2010	51
"A28684512"	2012	51
"B24013856"	2014	51
"A82683434"	2007	51
"A28711893"	2015	51
"A08467052"	2017	51
"A39030812"	2007	51
"B45020351"	2012	51
"B03087293"	2011	51
"A50036037"	2014	51
"A33008426"	2016	51
"A48080881"	2008	51
"A47011721"	2010	51
"A03011392"	2011	51
"A21008727"	2009	51
"A33373622"	2010	51
"A35515485"	2014	51
"A08026635"	2007	51
"B31078058"	2014	51
"A22009492"	2014	51
"A28313351"	2007	51
"B30044440"	2015	51
"A08375537"	2013	51
"A35026590"	2011	51
"B46131371"	2008	51
"B28044204"	2010	51
"A58346305"	2016	51
"B30606099"	2015	51
"A28649747"	2009	51
"A29453768"	2017	51
"B46162376"	2015	51
"A08479933"	2014	51
"B08113615"	2012	51
"A08225278"	2013	51
"A08323404"	2011	51
"A28580546"	2009	51
"A21008727"	2010	51
"A48108484"	2014	51
"A41084740"	2008	51
"A30005524"	2015	51
"A08572729"	2011	51
"B28127447"	2007	51
"A08609281"	2009	51
"A03011392"	2015	51
"A47010194"	2013	51
"B38024089"	2007	51
"A08450421"	2014	51
"A17039140"	2013	51
"A28293884"	2012	51
"A48119622"	2011	51
"A58348038"	2007	51
"B28127447"	2010	51
"B48059786"	2007	51
"B28350965"	2009	51
"B03019601"	2017	51
"B41094459"	2014	51
"A17014119"	2016	51
"A14025142"	2014	51
"A48093918"	2015	51
"A01012103"	2007	51
"A08290751"	2013	52
"A47010194"	2014	52
"A21008727"	2012	52
"A30046379"	2015	52
"A28642122"	2008	52
"A07016025"	2015	52
"A48093918"	2012	52
"A11682507"	2011	52
"A08131112"	2015	52
"A08551590"	2008	52
"A08285363"	2011	52
"A28271112"	2017	52
"F95073748"	2015	52
"B23011273"	2013	52
"A45012259"	2013	52
"B58807645"	2016	52
"A08622938"	2011	52
"A30046320"	2015	52
"B31072705"	2013	52
"A28375913"	2012	52
"A03036373"	2009	52
"A08365413"	2009	52
"A17009598"	2011	52
"B36603629"	2014	52
"A81864498"	2010	52
"B50475839"	2007	52
"A08122574"	2011	52
"A48119622"	2013	52
"A08121089"	2016	52
"A17055153"	2013	52
"A28642122"	2010	52
"B30566194"	2011	52
"A50032002"	2015	52
"A08575672"	2008	52
"A07096886"	2016	52
"A43037191"	2011	52
"A08572729"	2010	52
"A03057221"	2007	52
"A14000533"	2009	52
"A32005548"	2010	52
"A28612620"	2014	52
"A29049509"	2009	52
"A08278293"	2012	52
"A29453768"	2008	52
"B30044440"	2007	52
"A33606682"	2013	52
"A82683434"	2014	52
"A28167567"	2014	52
"A08509788"	2015	52
"B61395497"	2012	52
"A08375545"	2011	52
"A08198392"	2016	52
"B46132387"	2008	52
"B61395497"	2013	52
"B46084208"	2012	52
"A28138386"	2011	52
"A28695856"	2010	52
"B26011361"	2012	52
"A14004691"	2012	52
"B82612896"	2016	52
"A28427516"	2015	52
"A28695021"	2010	52
"A07068430"	2012	52
"A05000682"	2012	52
"A08577215"	2015	52
"A02012714"	2007	52
"A28684512"	2013	52
"A31069321"	2012	52
"A22009039"	2012	52
"A48119143"	2010	52
"A12025490"	2009	52
"A23014871"	2012	52
"A31394356"	2009	52
"A26015503"	2017	52
"A97043772"	2010	52
"A22003537"	2015	52
"B01267277"	2016	52
"B46111035"	2011	52
"A33024084"	2011	52
"B48033278"	2007	52
"A35008168"	2013	52
"B28118800"	2012	52
"A48080881"	2009	52
"A46068318"	2015	52
"A46332995"	2015	52
"B35597020"	2014	52
"A08397119"	2015	52
"A08225278"	2014	52
"A28019461"	2015	52
"A34170183"	2014	52
"A07061161"	2015	52
"A32007817"	2009	52
"A17040072"	2014	52
"B35043637"	2015	52
"A01009265"	2012	52
"A36014009"	2016	52
"A31001266"	2015	52
"A82683434"	2011	52
"B28337038"	2017	52
"B81542813"	2015	52
"A08146474"	2008	52
"B31072705"	2012	52
"A29025368"	2014	52
"A22009039"	2011	52
"A28039469"	2014	52
"A26017434"	2017	52
"B08292054"	2015	52
"A31001266"	2017	52
"B31065980"	2013	52
"A28452647"	2009	52
"B28044204"	2012	52
"A29035896"	2010	52
"A29025368"	2012	52
"A01000777"	2009	52
"B01267277"	2013	52
"A17009598"	2010	52
"B28579506"	2008	52
"A08651762"	2012	52
"A33008426"	2015	52
"A17034505"	2011	52
"A08637829"	2014	52
"A08290405"	2014	52
"B19001551"	2007	52
"A03040854"	2012	52
"B28044204"	2011	52
"A48006423"	2009	52
"A46005484"	2016	52
"B09019548"	2009	52
"A23014871"	2013	52
"A17034505"	2010	52
"A20005351"	2014	52
"B20193017"	2010	52
"A11256104"	2015	52
"A17020561"	2012	52
"A01000777"	2010	52
"B03046158"	2014	52
"A36615037"	2013	52
"B07034416"	2017	52
"B36009942"	2012	52
