nif	year	coste_mercaderias
"A46146551"	2011	2223.347
"A08097438"	2014	2224.086
"B28498210"	2017	2224.097
"A28085520"	2009	2225.468
"A28580546"	2013	2226.786
"A47011721"	2014	2226.838
"A21007950"	2017	2227.168
"B15010168"	2017	2228.654
"A28428233"	2010	2230.845
"A08081986"	2008	2231.04
"A58394941"	2017	2232.345
"A28024172"	2009	2232.887
"A26017434"	2010	2232.899
"A09013947"	2007	2234.097
"A03167939"	2010	2235.036
"A26004754"	2016	2235.576
"A28415487"	2016	2236.379
"B31081334"	2017	2237.191
"B85225282"	2014	2237.302
"A36002285"	2015	2237.321
"A28580546"	2008	2237.376
"A08097438"	2009	2237.603
"A08623928"	2016	2238.199
"A08243297"	2015	2239.277
"A08146870"	2009	2241.278
"A07089592"	2015	2241.315
"B30016612"	2013	2241.84
"A48050124"	2013	2245.574
"B28644441"	2015	2246.14
"B61567970"	2017	2247.374
"A35397884"	2007	2248.647
"A14481105"	2014	2248.985
"A45012531"	2017	2249.412
"A47008487"	2008	2250.03
"B03028784"	2013	2250.063
"A29063567"	2016	2252.21
"A41002809"	2016	2252.439
"A08196446"	2015	2252.872
"A07089592"	2010	2252.895
"A24004426"	2013	2253.156
"A81864498"	2017	2254.446
"B62385067"	2013	2255.065
"A29661394"	2012	2255.127
"A08026072"	2012	2255.175
"A48050124"	2010	2256.183
"A32007817"	2010	2256.301
"A07089592"	2014	2258.05
"A01004548"	2010	2259.362
"A08431678"	2007	2262.4
"A28458826"	2011	2263.142
"A78389608"	2015	2264.092
"A26011841"	2009	2265.953
"A28580546"	2015	2266.408
"B15021835"	2014	2266.638
"A41212572"	2011	2267.018
"A33008921"	2008	2267.623
"A31031545"	2017	2267.895
"B39551973"	2012	2268.317
"A22009039"	2017	2268.728
"A30047120"	2009	2270.048
"B28644441"	2012	2270.177
"A20060075"	2011	2271.098
"B28644441"	2017	2271.63
"A28172476"	2015	2271.91
"A08097438"	2008	2272.117
"A12000071"	2009	2272.601
"B27321249"	2015	2272.653
"A30038764"	2012	2273.992
"A35014075"	2016	2274.622
"B61567970"	2012	2275.579
"A46146551"	2012	2275.707
"A28695856"	2016	2277.893
"B30034730"	2010	2278.67
"B28644441"	2013	2279.285
"A44004422"	2016	2281.928
"A21007950"	2014	2282.747
"A08097438"	2013	2282.799
"B12023065"	2010	2284.11
"A07035934"	2017	2284.632
"A80897770"	2011	2284.844
"A24010381"	2008	2285.58
"A60963287"	2016	2287
"A38485827"	2015	2287.525
"B60544046"	2014	2288.455
"A45025327"	2013	2289.187
"B29042348"	2012	2289.655
"B28337731"	2010	2292.018
"A23016157"	2016	2292.793
"A26000174"	2014	2293.424
"A28283067"	2012	2293.641
"B32008179"	2014	2294.818
"B60420692"	2008	2295.79
"F10017804"	2010	2297.12
"A35510650"	2017	2298.256
"B28644441"	2008	2300.108
"A28091262"	2008	2302.906
"A39027917"	2017	2304.108
"A28379816"	2009	2304.176
"A48080683"	2008	2304.65
"A12017919"	2013	2306.242
"B28250090"	2010	2306.965
"A78067188"	2010	2307
"B12007357"	2011	2307.141
"A35510650"	2015	2307.25
"A46137352"	2008	2307.576
"A31031545"	2007	2307.642
"A30007231"	2014	2307.805
"A08097438"	2016	2310.164
"A03003530"	2007	2311.145
"B21015474"	2013	2311.371
"A48093918"	2015	2311.432
"A08098576"	2017	2311.844
"F10017804"	2011	2313.365
"A33560772"	2010	2313.977
"A28128486"	2010	2315.967
"B48111124"	2013	2316.424
"B60544046"	2017	2316.96
"A28645000"	2008	2317.976
"A05122460"	2010	2318.678
"A48295604"	2013	2319.011
"A08323404"	2011	2319.073
"A83401273"	2016	2319.14
"A08409948"	2017	2319.357
"A08637829"	2010	2319.528
"A01012293"	2010	2319.611
"A50023423"	2012	2320.432
"A46146551"	2015	2320.586
"A46169082"	2014	2320.592
"A32007817"	2015	2321.552
"A15070444"	2013	2322.218
"B83680322"	2013	2323
"A08659617"	2015	2323.315
"A08170151"	2010	2325
"A28027811"	2010	2325.843
"A28562908"	2015	2325.997
"A08097438"	2017	2327.318
"A31030901"	2009	2327.572
"B42001297"	2009	2327.738
"A20003042"	2008	2328.739
"A28518041"	2014	2328.827
"B28193340"	2016	2328.841
"A41008301"	2008	2329.084
"A28219202"	2016	2329.602
"A45025327"	2014	2329.687
"B23011273"	2014	2329.951
"A28379816"	2011	2331.049
"A48040034"	2015	2331.144
"A12050324"	2016	2331.591
"A92153527"	2013	2332.949
"A08397465"	2011	2333.25
"A35397884"	2008	2333.277
"A08097438"	2010	2333.972
"A12006227"	2017	2334.815
"A28379816"	2010	2335.051
"A41059445"	2010	2336.04
"B31039530"	2015	2336.666
"A28496438"	2017	2336.681
"A12405577"	2016	2338.315
"A08629107"	2014	2338.336
"A08097438"	2012	2338.929
"B28644441"	2016	2339.591
"A28167567"	2016	2340.338
"B32008625"	2016	2340.748
"B03072576"	2017	2340.749
"A26017434"	2017	2341.006
"A30017636"	2008	2341.619
"A12016093"	2013	2344.547
"A28172476"	2012	2345.389
"B27007897"	2016	2346.083
"A32006579"	2017	2346.283
"A92153527"	2015	2346.311
"A26017434"	2009	2346.823
"A47021076"	2014	2346.918
"B31784895"	2011	2347.154
"A62035282"	2009	2347.343
"A31031545"	2009	2348.855
"B35642198"	2014	2350.076
"B16010464"	2012	2350.971
"B03094455"	2008	2352.552
"A33617218"	2007	2353.872
"B20013983"	2011	2356.114
"A28259141"	2013	2356.632
"A08081986"	2010	2357.426
"A28040418"	2010	2358.011
"A50023423"	2014	2360.297
"A07089592"	2012	2360.648
"A28452647"	2015	2360.826
"A48083927"	2015	2362.007
"A28219541"	2017	2362.262
"A28131274"	2009	2363.905
"B03091527"	2017	2364.738
"A05122460"	2009	2364.794
"A46044962"	2013	2365.957
"B45005279"	2014	2366.363
"A01008069"	2016	2366.769
"A28428233"	2009	2367.262
"A07089592"	2011	2367.323
"A19011626"	2017	2367.395
"B21376942"	2017	2367.467
"A24004103"	2016	2368.318
"A03028552"	2008	2369.082
"A28457059"	2010	2370.436
"A19011626"	2009	2370.489
"A28172476"	2013	2370.734
"B62119904"	2017	2371
"A28134534"	2015	2371.723
"A12021390"	2007	2372.15
"A15021843"	2017	2372.323
"B28644441"	2010	2373.295
"A50060011"	2009	2373.642
"A39000104"	2017	2373.809
"A31062342"	2013	2374.189
"A35569102"	2014	2374.194
"A35045681"	2017	2374.215
"A45012531"	2016	2374.304
"A08097438"	2007	2374.875
"A31030901"	2017	2374.897
"F10017804"	2016	2375.269
"A46002697"	2015	2375.41
"A50047505"	2016	2375.994
"B41045089"	2017	2376.06
"A47438262"	2014	2376.222
"A30025555"	2016	2376.411
"A32006215"	2010	2376.738
"B78496759"	2013	2377.049
"A29063567"	2017	2377.381
"A04001897"	2011	2378.45
"B28623213"	2013	2379.319
"A46074563"	2012	2381.625
"A80897770"	2012	2384.907
"A28138386"	2015	2386.915
"A48083927"	2014	2386.927
"A07007735"	2015	2387.232
"A20042933"	2011	2387.614
"A08296790"	2016	2387.67
"A08667016"	2012	2388.061
"B08527194"	2015	2388.248
"B03068145"	2010	2388.437
"B28255016"	2008	2388.958
"A37043015"	2016	2389.265
"A29453768"	2007	2389.31
"A08397465"	2008	2389.604
"A28075968"	2011	2389.684
"A28172476"	2011	2389.83
"A12022885"	2013	2390
"B12462560"	2013	2390.087
"B30566194"	2016	2390.205
"B96952635"	2014	2394.018
"A12017760"	2017	2394.351
"A47021076"	2016	2394.978
"B58875048"	2017	2395.098
"A48081061"	2013	2395.216
"B03091527"	2015	2396.851
"B08721060"	2009	2397.31
"B38366225"	2010	2397.489
"A46134748"	2014	2398.495
"A28131274"	2010	2399.596
"A26017434"	2011	2400.026
"A50013671"	2016	2400.305
"A26022657"	2017	2400.597
"A41002809"	2007	2402.24
"B35006360"	2016	2402.578
"A35510650"	2014	2403.358
"A80897770"	2010	2404.757
"B47009626"	2008	2404.996
"A22009039"	2012	2405.652
"A08480287"	2007	2405.897
"A31030901"	2016	2406.771
"A27252063"	2013	2407.615
"A03003530"	2009	2408.037
"A13029962"	2015	2408.312
"B92116979"	2013	2409.854
"A08005696"	2015	2410.003
"A20032264"	2013	2410.081
"A12000071"	2010	2411.239
"B45493707"	2017	2413.279
"A28128486"	2011	2413.951
"A20055380"	2010	2414.399
"A20012498"	2017	2414.801
"A08005696"	2014	2414.814
"B08721060"	2010	2415.194
"A03057221"	2010	2416.288
"A78389608"	2010	2416.29
"F10017804"	2009	2416.726
"A08397465"	2009	2417.085
"A62520788"	2016	2417.255
"A53559530"	2015	2417.605
"A48016794"	2016	2417.668
"A08213936"	2017	2418.058
"A33025701"	2015	2418.919
"A08244808"	2009	2418.943
"B83185140"	2016	2419
"A12010948"	2017	2419.868
"A28111342"	2011	2421.644
"A08514135"	2010	2421.897
"A28548220"	2017	2421.993
"A28411585"	2013	2423.211
"A33008921"	2009	2425.283
"B60544046"	2016	2426.064
"A30007231"	2013	2426.568
"A28027647"	2012	2426.993
"A08122574"	2017	2428.383
"A39005574"	2011	2429.1
"A28259141"	2014	2429.707
"A33560772"	2011	2430.111
"A09015256"	2011	2430.172
"B46045993"	2013	2430.888
"B31005507"	2008	2431.458
"A08196446"	2014	2431.582
"A39007729"	2010	2431.877
"A03057221"	2015	2432.462
"B12023065"	2008	2432.738
"A50023423"	2013	2432.826
"A07089592"	2009	2434.012
"A82335746"	2015	2434.045
"B46084208"	2009	2434.256
"A28125920"	2017	2435
"B45018017"	2014	2436.427
"A31061385"	2015	2436.798
"A81957367"	2009	2437.236
"B28241495"	2016	2438.65
"A08533945"	2010	2440.749
"A41059445"	2007	2442.42
"A08607988"	2016	2442.438
"A41010521"	2007	2442.63
"A20003042"	2010	2443.139
"B03028784"	2014	2443.176
"B46153292"	2014	2443.663
"A28580546"	2007	2444.192
"A24004103"	2008	2444.356
"B38828687"	2017	2444.444
"A19163682"	2007	2444.774
"A37043015"	2015	2445.323
"A50049105"	2011	2447.38
"A08329039"	2016	2447.931
"B32008625"	2012	2448.587
"B31005507"	2014	2449.432
"B08229221"	2017	2450.609
"A48040034"	2008	2451.358
"B58075136"	2015	2452.805
"A33606534"	2017	2452.829
"A39008305"	2017	2453.451
"A28693166"	2014	2454.091
"B42001297"	2008	2454.354
"A20047726"	2010	2455.41
"A28074078"	2012	2455.566
"A09281999"	2011	2455.794
"A30025555"	2017	2456.618
"B29042348"	2013	2457.485
"A19011626"	2016	2458.081
"A17033473"	2007	2459.85
"A28411577"	2014	2459.992
"B62119904"	2016	2460
"A08215428"	2017	2460.094
"A47011721"	2010	2460.485
"A48016794"	2017	2462.922
"A37021631"	2007	2463.783
"A08081986"	2009	2464.613
"B30016612"	2015	2465.498
"A08691503"	2014	2465.56
"G07065709"	2014	2467.877
"A41008301"	2009	2467.907
"A79253803"	2017	2468.192
"A02010510"	2008	2469.797
"A32007817"	2013	2470.979
"B46084208"	2012	2471.081
"A19011634"	2017	2471.618
"A24003873"	2017	2472.051
"B30016612"	2014	2472.682
"A15021843"	2016	2475.344
"A29507456"	2008	2476.96
"A26011841"	2010	2477.308
"B84570803"	2017	2478.408
"A07089592"	2013	2478.474
"A15016702"	2008	2479.201
"A01161066"	2008	2479.845
"A60963287"	2017	2480
"A41191313"	2014	2480.263
"A20055380"	2008	2480.86
"A28134534"	2013	2481.771
"A78389608"	2016	2482.787
"B12027843"	2012	2484.534
"B25436122"	2009	2485.409
"A46146551"	2010	2485.54
"A29661394"	2017	2486.773
"A46002697"	2009	2486.876
"A15021843"	2012	2487.344
"A28011286"	2010	2489
"B60420692"	2007	2489.41
"A08667016"	2010	2492.692
"B04018495"	2016	2494.116
"A41008301"	2011	2494.289
"A92153527"	2012	2495.095
"B11606647"	2012	2495.484
"A46134748"	2011	2495.811
"A28428233"	2012	2497.025
"A08397465"	2010	2497.753
"A08397465"	2012	2498.665
"A28040418"	2011	2499.106
"B43014430"	2017	2499.242
"A11000098"	2011	2499.343
"A37043015"	2017	2499.504
"A35510650"	2013	2499.686
"A12006227"	2010	2499.958
"A32006215"	2016	2501.404
"A05122460"	2008	2502.712
"A78067188"	2011	2503
"A31062342"	2017	2503.176
"A38027637"	2007	2504.004
"A17054081"	2014	2505.002
"A08081986"	2016	2506.242
"A06141345"	2011	2507.937
"A28101020"	2008	2508.13
"B23014848"	2015	2508.534
"B08619405"	2017	2510.795
"A20012498"	2016	2511.953
"A31070378"	2013	2512.657
"A08105371"	2015	2513.032
"A41088493"	2016	2513.532
"A41191313"	2013	2513.606
"B12023065"	2012	2514.653
"B23011273"	2015	2514.691
"A28693166"	2013	2515.391
"A30014211"	2017	2516.213
"A08667016"	2011	2516.326
"A29016003"	2016	2517.532
"A28428233"	2017	2519.447
"A46069456"	2016	2520.052
"A15000227"	2007	2521.121
"B46162418"	2015	2522.229
"B38484796"	2010	2522.447
"A36603637"	2014	2522.876
"A01001072"	2016	2523.783
"A30015820"	2017	2524.04
"A08105371"	2017	2524.697
"B46161261"	2014	2524.752
"A46160701"	2010	2525.067
"A39005574"	2012	2525.632
"A07089592"	2007	2525.811
"A07007735"	2017	2525.85
"B08527194"	2013	2525.905
"A58494048"	2014	2526.382
"A28458826"	2008	2526.664
"B58075136"	2017	2527.173
"A42000901"	2015	2528.106
"A46002697"	2007	2528.222
"A08128035"	2010	2529.797
"A46134748"	2013	2530.511
"A06163851"	2017	2530.634
"B50051705"	2014	2530.856
"A48865679"	2012	2531.407
"B46161261"	2013	2533.383
"A28379816"	2016	2533.896
"B92217975"	2013	2535.856
"A08449399"	2017	2536.121
"A31062342"	2016	2537.194
"A46126686"	2012	2538.104
"A20015137"	2017	2539.178
"A47021076"	2013	2539.21
"B03091527"	2010	2540.688
"A08667016"	2013	2541.518
"A28550960"	2016	2541.565
"A36000073"	2012	2542.543
"A50060011"	2012	2544.294
"A41002809"	2009	2544.632
"A29016003"	2007	2545.563
"A03001948"	2009	2545.964
"A03057221"	2017	2546.063
"A39017058"	2016	2546.357
"B83426387"	2014	2546.402
"A03084936"	2011	2546.563
"A39005574"	2014	2546.64
"A08228124"	2013	2548
"A13029962"	2013	2548.746
"A07161821"	2010	2551.284
"A01011881"	2014	2551.694
"A14000939"	2007	2551.963
"B59886531"	2017	2552
"B58075136"	2012	2554.175
"A60401585"	2012	2554.811
"A46021804"	2012	2555.867
"A28580546"	2016	2556.082
"A28074078"	2010	2557.44
"A58017187"	2012	2558.67
"A12012340"	2009	2559.373
"B27013382"	2010	2559.651
"A12083002"	2011	2560.564
"A09021825"	2015	2560.566
"A29016003"	2017	2560.606
"A20060075"	2017	2560.719
"A28295038"	2008	2561.002
"A40004731"	2008	2562.573
"B28383362"	2016	2563.576
"A28138386"	2013	2564.089
"B30037204"	2007	2564.52
"B45011269"	2012	2565.951
"A35012012"	2010	2566.601
"B28250090"	2009	2566.948
"A28446995"	2017	2566.987
"A20032264"	2012	2567.136
"B21011333"	2016	2567.195
"A08323404"	2010	2568.659
"A36611903"	2007	2569.573
"A19011626"	2010	2571.702
"A04236931"	2007	2572.355
"B58836321"	2015	2573
"A31189350"	2017	2574.819
"A28458826"	2010	2575.946
"A81933772"	2008	2577.17
"B60544046"	2015	2577.42
"B30034730"	2008	2577.499
"B45011269"	2011	2577.79
"A39031620"	2013	2579.959
"A05122460"	2011	2580.193
"B46142246"	2015	2581.904
"A28496438"	2016	2582.21
"A08514986"	2007	2582.324
"A08244808"	2008	2582.984
"A12016093"	2010	2582.991
"A48016794"	2007	2583.234
"A28642122"	2017	2583.732
"A47022165"	2017	2585.517
"A28138386"	2009	2586.692
"B78496759"	2014	2586.734
"B61567970"	2013	2588.331
"A45020450"	2014	2588.693
"B46084208"	2010	2588.929
"B16010464"	2011	2590.415
"A48005672"	2011	2590.828
"A80897770"	2016	2592.091
"A41191313"	2015	2592.942
"A08228124"	2016	2594
"A08301475"	2014	2594.724
"A03197308"	2012	2594.977
"B58075136"	2014	2595.289
"A28128486"	2009	2595.487
"A50060011"	2007	2595.918
"A37021631"	2014	2596.652
"A39027917"	2007	2597.03
"A08409948"	2012	2598.073
"B20013983"	2009	2600.186
"A08097438"	2011	2601.174
"A46463311"	2009	2601.209
"A50060011"	2008	2601.697
"A28427581"	2011	2601.924
"B31005507"	2007	2602.61
"A15038326"	2012	2602.644
"B38071155"	2016	2602.678
"B92091404"	2013	2605.827
"B60420692"	2013	2606.51
"A28108447"	2013	2606.59
"A28412724"	2015	2607.115
"A08026627"	2011	2607.443
"A80904576"	2016	2607.587
"A43019975"	2009	2608.089
"A41920943"	2017	2609.194
"B50561968"	2011	2609.353
"B28623213"	2014	2610.373
"B37416575"	2015	2610.475
"A35098482"	2013	2610.821
"A24004947"	2009	2611.218
"A08097438"	2015	2611.333
"A48080683"	2012	2612.348
"A36561595"	2015	2613.716
"B28361350"	2015	2614.987
"A15010994"	2014	2615.762
"A09000308"	2007	2617.1
"A08122574"	2010	2617.403
"B21376942"	2016	2617.874
"A36201259"	2017	2618.202
"A28646735"	2017	2619.187
"B03094455"	2009	2619.557
"A28017531"	2014	2619.808
"A28138386"	2011	2623.621
"A48081061"	2016	2624.681
"A47011721"	2009	2624.709
"A29063567"	2014	2625.532
"A39022660"	2008	2625.842
"A28131274"	2008	2626.69
"A38027637"	2008	2626.784
"A50060011"	2011	2628.361
"F46026829"	2014	2628.881
"A50038991"	2016	2630.073
"B23014848"	2011	2630.181
"A08276867"	2011	2630.283
"A33606534"	2011	2632.08
"A83102426"	2011	2632.367
"A12021390"	2010	2633.612
"A12025565"	2013	2634.96
"A19012962"	2008	2635.49
"A46074563"	2013	2636.673
"B39446315"	2009	2637.196
"B48111124"	2012	2638.841
"A46084984"	2009	2639.409
"A08514986"	2008	2639.981
"A26270322"	2011	2640.72
"A08146870"	2011	2641.188
"B35005040"	2011	2642.946
"A28101020"	2010	2643.648
"A58017187"	2016	2643.974
"A46069456"	2010	2644.94
"A41010521"	2009	2645.599
"A47000641"	2017	2645.686
"A79492104"	2013	2646.833
"B36002913"	2007	2646.865
"B36606853"	2015	2647.262
"A15010994"	2013	2647.325
"A12050324"	2017	2647.449
"A20003042"	2011	2648.265
"A28091262"	2009	2648.563
"A48016794"	2013	2648.816
"B32008625"	2017	2650.284
"A30015820"	2016	2650.332
"A28145498"	2015	2650.427
"B43110113"	2016	2650.743
"A80897770"	2013	2650.991
"A08623928"	2015	2651.154
"F10017804"	2013	2651.608
"A08663809"	2011	2651.8
"A28070167"	2017	2651.832
"A29350139"	2010	2652.799
"B04018495"	2017	2652.857
"A04236931"	2016	2654.287
"B47009626"	2007	2654.535
"B82393778"	2016	2655.409
"A48295604"	2014	2656.452
"B41045089"	2012	2656.993
"A45014776"	2015	2657.598
"A58017187"	2013	2659.203
"A03086931"	2015	2659.434
"B11630886"	2011	2659.461
"A46160701"	2007	2662.417
"B43241769"	2007	2662.501
"A28172476"	2017	2663.91
"A39007729"	2016	2664.393
"A28295038"	2011	2664.728
"A21007950"	2012	2665.037
"B43110113"	2017	2667.628
"B60420692"	2010	2667.64
"B74148388"	2016	2668.634
"A42000901"	2007	2670.382
"A20073508"	2016	2670.92
"A24003873"	2016	2671.792
"A08533945"	2012	2673.869
"A28457059"	2011	2675.196
"B46084208"	2011	2675.537
"A48080683"	2017	2675.977
"A08242992"	2010	2676.085
"A03057221"	2008	2676.162
"B12462560"	2011	2676.516
"A12006227"	2013	2676.528
"A30006142"	2012	2678.098
"A08409948"	2010	2678.362
"A41049503"	2017	2678.363
"B12462560"	2012	2678.415
"B50561968"	2012	2678.446
"A28323319"	2013	2678.543
"A48040034"	2007	2678.573
"A20003042"	2016	2680.627
"A23010200"	2009	2681
"A28138386"	2014	2681.106
"B46173423"	2015	2682.123
"B83654426"	2015	2683.163
"A08008583"	2015	2685.371
"A15016702"	2009	2686.54
"A15010994"	2012	2686.894
"B45005279"	2011	2687.007
"A39005095"	2007	2688.182
"A29016003"	2010	2688.194
"B30365712"	2017	2688.234
"A08663809"	2012	2688.689
"A28518041"	2013	2688.793
"B39026265"	2015	2690.412
"A31056500"	2017	2691.322
"B47014568"	2015	2691.398
"A08332256"	2017	2692.875
"A12021390"	2017	2693.729
"A80652423"	2014	2694.267
"B03094455"	2014	2695.796
"A15000227"	2008	2696.063
"A09281999"	2010	2696.328
"B08359705"	2014	2696.815
"A46069456"	2017	2699.421
"B30016612"	2012	2699.424
"A28229409"	2012	2699.933
"A19163682"	2008	2700.629
"A08215428"	2016	2701.809
"A08128035"	2011	2702.705
"B45011269"	2013	2702.934
"A60362266"	2010	2703.23
"B61567970"	2014	2703.701
"A09018862"	2007	2705.33
"A28085520"	2016	2705.737
"A15024482"	2011	2706.191
"A08397119"	2013	2706.427
"A28027811"	2011	2707.712
"A36002285"	2008	2709.052
"A08514135"	2016	2710.572
"B21015474"	2012	2710.626
"A28074078"	2007	2711.459
"A41002809"	2008	2711.636
"A38371159"	2017	2714.962
"A30017636"	2009	2715.436
"A19011626"	2011	2715.683
"A33019423"	2017	2716.226
"B48124275"	2014	2718.204
"A28458826"	2012	2718.291
"A29507456"	2016	2718.857
"A30014211"	2016	2719.769
"B21011333"	2017	2720.219
"A28131274"	2012	2720.366
"A12012340"	2013	2721.136
"A15000391"	2007	2722.03
"A53242152"	2008	2722.071
"B28205532"	2007	2722.454
"A01016591"	2015	2725.552
"A01004548"	2011	2725.99
"A28228690"	2007	2726.62
"A29350139"	2009	2727.853
"B30034730"	2013	2729.057
"A05122460"	2016	2729.174
"A17051152"	2017	2730.921
"A39017058"	2015	2730.96
"A48080683"	2011	2731.639
"A28017531"	2010	2732.007
"A28229409"	2011	2732.455
"B37015526"	2017	2733.557
"A02003754"	2017	2733.738
"A28085520"	2010	2735.072
"A29003951"	2009	2736.34
"A28085520"	2015	2737.36
"A38371159"	2012	2738.278
"A33025701"	2017	2738.789
"A38348413"	2016	2739.008
"B12023065"	2013	2739.305
"A47024393"	2015	2740.539
"A28131274"	2011	2740.915
"A38017844"	2015	2741.605
"B20013983"	2010	2741.746
"A41008301"	2010	2742.24
"A08213936"	2015	2743.438
"B50384080"	2014	2744.435
"A28458826"	2009	2745.497
"B15004849"	2007	2746.069
"B30034730"	2012	2746.135
"A46002697"	2008	2746.327
"A08105371"	2010	2746.73
"B60420692"	2015	2747.93
"A08248502"	2014	2748.107
"A20015137"	2016	2748.15
"A28686111"	2016	2748.761
"B35054006"	2012	2748.929
"A48005672"	2010	2749.819
"A46069456"	2013	2751.676
"A28027811"	2008	2751.928
"A18484360"	2017	2752.754
"A29016003"	2009	2754.343
"A41010521"	2010	2754.616
"A24001661"	2010	2754.625
"A28404614"	2011	2755.103
"A24010381"	2017	2756.096
"B46055943"	2017	2756.175
"A28027811"	2009	2756.633
"B46055943"	2016	2756.823
"B28492841"	2016	2759.35
"A19012962"	2009	2759.421
"B03091527"	2016	2760.083
"A48865679"	2016	2760.454
"A07089592"	2008	2761.294
"B41086844"	2011	2761.723
"A41088493"	2017	2762.335
"A36603637"	2012	2763.455
"A17034505"	2012	2764.138
"B28127447"	2008	2764.444
"A08098576"	2016	2764.503
"B30566194"	2015	2765.423
"A08081986"	2011	2765.79
"A28219541"	2015	2766.321
"B39446315"	2008	2767.129
"B31039530"	2013	2768.215
"B03093713"	2011	2769.106
"A33617218"	2008	2769.195
"A09214636"	2015	2771.325
"B35005040"	2016	2772.731
"A48061675"	2014	2773.181
"A08130254"	2014	2773.401
"A07044530"	2012	2773.829
"B30365712"	2015	2775.542
"A08029951"	2015	2776.221
"A46069456"	2015	2776.6
"B30365712"	2016	2777.473
"B46163655"	2010	2777.58
"B27013556"	2010	2777.709
"A26022657"	2016	2778.042
"B60420692"	2014	2778.13
"A12028403"	2013	2778.923
"A79253803"	2016	2781.131
"B35980937"	2015	2782.121
"B92116979"	2015	2782.35
"A08128035"	2013	2784.301
"A28074078"	2008	2784.85
"A28057495"	2014	2786.324
"A01017557"	2009	2787.692
"B43110113"	2008	2788.633
"A08132565"	2015	2789.18
"B46063137"	2017	2789.345
"A48081061"	2014	2790.889
"B28361350"	2014	2791.166
"A30022214"	2014	2792.244
"A08141038"	2007	2794.108
"B03094455"	2011	2794.384
"B38071155"	2015	2794.88
"B39026265"	2014	2795.034
"A07038441"	2013	2795.672
"B08216202"	2015	2795.934
"A28283067"	2014	2798.474
"A09018862"	2008	2799.3
"A20055380"	2011	2799.875
"A41087404"	2016	2800.262
"A22009492"	2015	2801.384
"A33005612"	2016	2803.933
"B08721060"	2011	2805.277
"A40004731"	2015	2805.49
"A50023423"	2015	2810.206
"B31083488"	2013	2812.78
"A39007943"	2016	2815.285
"A46014155"	2017	2816.454
"A30006142"	2011	2816.97
"A46072203"	2011	2817.163
"A41762386"	2011	2817.373
"A35005743"	2008	2817.577
"A31031545"	2008	2818.542
"A39005095"	2009	2819.229
"B62263272"	2015	2819.475
"A46074647"	2016	2819.478
"A41010521"	2008	2819.748
"A28229409"	2013	2820.692
"A15016595"	2016	2822.087
"A20042933"	2013	2822.835
"A45015716"	2017	2822.903
"A28027647"	2008	2823.122
"A08159816"	2017	2824.428
"A24004103"	2007	2825.416
"F10017804"	2015	2826.024
"B17002049"	2016	2827.216
"A48865679"	2013	2827.625
"B13004924"	2014	2828.063
"A08514986"	2009	2828.388
"A15038326"	2007	2829.048
"B03078391"	2013	2829.197
"B43241769"	2014	2830.189
"A38371159"	2014	2830.844
"B45011269"	2015	2832.108
"A36012698"	2008	2832.851
"A35012012"	2011	2833.406
"A12105029"	2017	2834.442
"A12100020"	2016	2835.745
"A41091927"	2016	2837.641
"B59886531"	2016	2838
"A08122574"	2011	2838.573
"A28085520"	2008	2839.36
"A28368603"	2016	2839.491
"A28138386"	2008	2839.508
"B45011269"	2014	2839.68
"A36603637"	2013	2840.486
"A12228458"	2016	2840.689
"A46134748"	2012	2841.243
"A12228458"	2017	2841.422
"A41112012"	2009	2841.482
"A35098482"	2014	2841.633
"A28198661"	2007	2842.39
"A46146551"	2009	2843.158
"B12015210"	2016	2844.358
"A43015965"	2016	2845.246
"A28379816"	2017	2845.988
"A46146551"	2014	2847.859
"B31067697"	2007	2847.981
"B47014568"	2009	2848.838
"A08651762"	2014	2849.42
"A08188658"	2015	2850.641
"B34224923"	2016	2851.415
"A46146551"	2013	2851.435
"A24015406"	2013	2851.818
"B39446315"	2007	2852.359
"A48080683"	2010	2854.928
"A08667016"	2014	2855.465
"B92217975"	2015	2855.476
"A28101020"	2011	2856.091
"A41049503"	2015	2856.753
"A28229409"	2010	2857.264
"B46162376"	2014	2858.062
"A12016093"	2011	2858.191
"B50561968"	2009	2858.833
"A33606534"	2010	2859.091
"A29661394"	2013	2859.898
"A15021843"	2013	2861.537
"A80897770"	2014	2861.611
"A41088345"	2015	2863.027
"A15024482"	2013	2863.156
"A22009039"	2016	2863.717
"B16010464"	2010	2863.989
"A08128035"	2015	2865.282
"A08128035"	2009	2866.148
"B16010464"	2013	2866.281
"A12029468"	2015	2866.311
"A36603637"	2011	2868.637
"B28072205"	2010	2869.237
"A28101020"	2009	2870.272
"A28324630"	2012	2871.636
"A08514986"	2010	2871.672
"A47000054"	2016	2873.655
"A20003042"	2012	2876.286
"B08527194"	2017	2877.033
"A30031769"	2010	2877.406
"A28259141"	2015	2878.283
"A50060011"	2010	2879.328
"A12000071"	2011	2880.442
"B20013983"	2012	2880.787
"A08105371"	2012	2881.334
"B06013841"	2016	2882.836
"A41088493"	2011	2883.039
"B31067697"	2010	2883.233
"A17051152"	2016	2884.407
"A95249199"	2015	2886.937
"B50047091"	2016	2887.263
"A60401585"	2010	2889.714
"A41043159"	2017	2890.037
"A19012962"	2015	2891.176
"F14016729"	2007	2891.22
"A28138386"	2010	2891.585
"A06141345"	2012	2891.817
"B78077724"	2008	2892
"B30034730"	2014	2892.095
"A41001439"	2010	2892.641
