nif	year	clientes
"A12000071"	2017	1696.779
"A32006579"	2017	1697.21
"A39007729"	2011	1697.321
"B08229221"	2013	1698.433
"A08533945"	2016	1698.47
"B08721060"	2011	1698.957
"B20793956"	2011	1699.006
"A08290751"	2010	1699.307
"B21011333"	2017	1699.557
"A29016003"	2012	1699.856
"A45019916"	2015	1700.375
"A07036130"	2013	1700.648
"A46011888"	2015	1700.846
"A81041147"	2012	1701
"B46171518"	2015	1701.458
"B08194359"	2011	1702
"B34226514"	2014	1702.012
"A01002864"	2017	1702.201
"A25026733"	2015	1702.624
"B83045674"	2010	1703.097
"A16008294"	2009	1703.131
"A03099405"	2010	1703.426
"A08514135"	2017	1703.654
"A08075954"	2015	1703.788
"A30031769"	2010	1704.937
"A25017880"	2016	1705.089
"B35027143"	2015	1705.179
"A48865679"	2012	1705.321
"A08276867"	2016	1706.01
"A24010381"	2017	1706.377
"A22012223"	2008	1706.64
"A17004763"	2014	1706.968
"A08257214"	2014	1707.286
"A28138386"	2009	1708.045
"B03030913"	2017	1708.074
"A17014119"	2007	1708.68
"B24007049"	2015	1709.372
"B46045993"	2012	1709.75
"A30031769"	2008	1710.154
"A41087404"	2010	1710.408
"B28361350"	2014	1710.56
"A08145385"	2017	1710.701
"A45015716"	2016	1710.858
"A08329963"	2014	1710.918
"A01035807"	2012	1711
"A07065717"	2013	1711.237
"A14015788"	2009	1711.894
"A20053773"	2013	1712.215
"A09004813"	2017	1712.257
"B28205532"	2009	1712.262
"B30015226"	2015	1712.312
"B11606761"	2008	1712.743
"A34009191"	2016	1713.087
"A80200868"	2011	1713.249
"A46011888"	2017	1713.329
"A08621161"	2010	1713.355
"B28383362"	2016	1713.45
"A08382491"	2017	1713.598
"B28403194"	2012	1714
"A08097438"	2013	1714.245
"B41072471"	2011	1714.447
"A28645000"	2010	1714.685
"A84039338"	2011	1715
"A28131274"	2007	1716.33
"B31066798"	2016	1716.78
"A08075954"	2008	1716.83
"A28295038"	2009	1717.645
"A60850500"	2014	1717.856
"A41695149"	2011	1718
"A46021804"	2012	1718.48
"A19011626"	2014	1718.624
"B08527194"	2017	1718.658
"A46043154"	2013	1718.873
"A08466807"	2011	1719.214
"A08075954"	2011	1719.381
"B47011374"	2017	1719.916
"B31784895"	2016	1720.484
"A30022958"	2017	1720.873
"A46043154"	2016	1721.208
"A13001730"	2010	1721.377
"A06163851"	2016	1722.1
"A17010018"	2016	1722.506
"B30035968"	2015	1723.462
"A31065915"	2014	1723.895
"A80433519"	2013	1724.384
"A36608180"	2010	1724.86
"B07034416"	2013	1725.188
"B36009942"	2017	1725.233
"A46011888"	2014	1726.143
"B41072471"	2012	1726.422
"A39005095"	2007	1726.516
"A47000054"	2014	1727.12
"B46142246"	2015	1727.502
"B37024825"	2013	1727.538
"B08463424"	2015	1728.991
"B28492841"	2015	1729.558
"A47010194"	2013	1729.695
"A53817359"	2014	1730.281
"A43004472"	2016	1730.297
"A28126597"	2011	1730.541
"A25020629"	2011	1730.997
"A20008579"	2007	1731.531
"A25008046"	2008	1731.67
"B20055703"	2013	1731.858
"A28101020"	2010	1732.169
"A02003754"	2017	1733.384
"A31001266"	2010	1733.863
"A09021825"	2015	1733.97
"A78092764"	2012	1734.246
"A08409948"	2011	1734.579
"B38024089"	2009	1735.242
"A36611622"	2016	1735.811
"A14000939"	2017	1736.206
"A35028570"	2009	1736.297
"A30012959"	2010	1736.314
"A28715027"	2010	1736.862
"A28011286"	2012	1737
"A48080683"	2007	1737.2
"B43110113"	2017	1737.287
"A08584062"	2012	1737.384
"A28510246"	2011	1738.477
"B13004924"	2011	1738.724
"A80433519"	2014	1738.93
"A08257388"	2009	1739.39
"B22004113"	2014	1739.842
"F46028072"	2010	1740.198
"A20074068"	2017	1740.246
"A20074068"	2015	1741.139
"A08244808"	2011	1741.3
"A35028570"	2011	1741.738
"A01035807"	2011	1742
"A28290799"	2010	1742.572
"A08450421"	2016	1742.678
"A09030412"	2017	1742.905
"A30022958"	2007	1743.72
"A17001678"	2012	1744.091
"A46168795"	2015	1744.195
"A31018187"	2008	1744.868
"A12025490"	2008	1745.906
"A47000054"	2013	1746.213
"A01017557"	2008	1747.568
"A46134748"	2010	1747.598
"B28555001"	2009	1747.645
"A09028184"	2009	1748.762
"A46269155"	2008	1748.855
"A07042088"	2017	1749.248
"A20073169"	2014	1749.682
"A08276867"	2017	1749.736
"A12000071"	2013	1750.435
"A15016702"	2007	1750.48
"A08134942"	2015	1750.787
"A20060075"	2015	1750.807
"A58816554"	2008	1750.99
"A46117792"	2013	1751.469
"B29042348"	2013	1751.837
"A03066933"	2016	1751.897
"A31194905"	2015	1752
"B12457230"	2010	1752.053
"B11606761"	2013	1752.22
"B21011333"	2016	1752.658
"B03072857"	2008	1752.685
"A17041708"	2013	1752.757
"B30721237"	2009	1752.908
"A26011841"	2007	1754.47
"A31394356"	2013	1754.729
"A17475203"	2014	1754.76
"B28222487"	2011	1754.855
"B46135364"	2014	1757.042
"A27007731"	2012	1757.994
"B83814251"	2016	1758.107
"B03072857"	2007	1758.735
"B15596331"	2012	1758.982
"A08026635"	2015	1759.108
"A28271914"	2013	1759.366
"A30040562"	2015	1759.54
"A46069456"	2012	1759.664
"A30040562"	2013	1760.715
"A28612620"	2009	1761.418
"A28128486"	2010	1761.767
"A48040232"	2016	1762.388
"A08075954"	2016	1762.418
"B46055943"	2015	1762.505
"A08482952"	2014	1762.94
"B41008970"	2014	1763.289
"A08405490"	2007	1766.292
"B46135364"	2013	1766.626
"B83840900"	2016	1766.819
"A39013867"	2017	1767.157
"A80433519"	2012	1767.158
"A08145385"	2013	1767.387
"A31009913"	2017	1767.75
"B08690869"	2017	1768.88
"A08449399"	2016	1769.388
"A28556504"	2017	1770.044
"A50025071"	2008	1770.141
"A36006021"	2009	1771.169
"B30604565"	2013	1772.03
"B03030913"	2015	1772.331
"B36620193"	2012	1772.96
"A08134942"	2014	1773.097
"B11018462"	2010	1773.291
"A48175699"	2013	1774.242
"A29016003"	2007	1774.282
"A28674489"	2009	1774.499
"B35110410"	2011	1774.514
"A20008579"	2008	1774.698
"B35027143"	2008	1774.721
"A28412724"	2013	1774.892
"A30017883"	2012	1775.954
"A08663809"	2016	1776.103
"A28715027"	2009	1776.329
"A14025902"	2012	1776.413
"A46043154"	2015	1776.518
"B46055943"	2009	1777.252
"B15017908"	2017	1777.625
"A08413403"	2014	1777.95
"A81000028"	2009	1778.131
"A12050324"	2017	1778.622
"A31194905"	2014	1779
"A21006507"	2016	1779.201
"A50012541"	2010	1779.535
"A35397884"	2010	1780.197
"A33026105"	2012	1780.87
"A29051067"	2014	1781.164
"B03072857"	2009	1781.239
"A20008579"	2012	1781.769
"A26011841"	2015	1782.101
"A47000641"	2013	1782.295
"A60531688"	2009	1783
"A28101020"	2008	1783.18
"A01002864"	2014	1783.928
"A60531688"	2012	1784
"F06139109"	2009	1784.269
"A48016794"	2014	1784.451
"B46131371"	2008	1785.144
"A26004754"	2016	1785.424
"A07068430"	2013	1785.669
"A30012959"	2007	1787.435
"B01013507"	2016	1787.759
"B35027143"	2009	1787.797
"A31071756"	2012	1787.87
"A08651762"	2017	1788.02
"A29050572"	2017	1788.406
"A41021841"	2012	1788.853
"A50036037"	2017	1789.667
"B20056255"	2017	1789.836
"B08688301"	2009	1790.126
"B08359093"	2015	1791.041
"A08257388"	2010	1791.555
"A46074563"	2014	1792.495
"B41015652"	2016	1792.518
"A28128486"	2009	1793.335
"A29050572"	2016	1793.472
"A08713869"	2011	1793.727
"A08007056"	2015	1794.351
"B31009715"	2017	1794.622
"A08414906"	2013	1794.917
"B38017067"	2010	1795.226
"A17475203"	2015	1796.003
"A08145385"	2014	1796.128
"B46055489"	2016	1796.244
"A28411585"	2013	1796.448
"B62236781"	2016	1797
"B41063355"	2017	1797.418
"B58875048"	2017	1797.564
"A06163851"	2014	1798.851
"B19179662"	2014	1799.601
"A26004754"	2014	1800.528
"A46014155"	2009	1800.694
"A04236931"	2013	1802.22
"A81896375"	2010	1802.79
"A14004691"	2010	1802.837
"A08219024"	2017	1802.883
"A08259046"	2015	1803.268
"A28715027"	2008	1803.374
"A30004790"	2017	1803.602
"A41084740"	2014	1803.816
"A30012959"	2009	1805.475
"B58836321"	2011	1806
"A12017760"	2013	1806.119
"A08257214"	2012	1806.249
"B36009942"	2016	1806.89
"A28618890"	2010	1806.894
"A41021841"	2017	1807.845
"B03030913"	2012	1807.892
"A17001678"	2011	1807.989
"A83102426"	2013	1809.069
"A28128486"	2013	1809.326
"A25020629"	2014	1809.428
"A21007570"	2014	1810
"A03061314"	2010	1810.509
"B25006222"	2017	1810.677
"A28106003"	2015	1810.9
"A28651222"	2011	1811.542
"A48016794"	2013	1811.609
"A12012605"	2017	1811.859
"A07096886"	2010	1812.738
"A45010543"	2013	1812.808
"B15021835"	2016	1812.843
"A28253656"	2007	1812.92
"A20012498"	2017	1813.458
"A50025071"	2007	1813.625
"A31065915"	2011	1813.716
"A46081881"	2009	1813.753
"A80352750"	2015	1814
"A12016143"	2008	1814.262
"A50025071"	2011	1814.705
"A16008294"	2010	1814.763
"A12083002"	2016	1814.788
"A41021841"	2011	1815.169
"A81824047"	2014	1815.349
"A29016003"	2009	1816.728
"A08691503"	2014	1817.069
"A17004763"	2011	1817.964
"A60853413"	2010	1818.787
"A18012807"	2013	1820.268
"A25020629"	2017	1820.83
"A81200511"	2014	1820.993
"A11608999"	2012	1821.114
"A46106928"	2015	1821.273
"A80732142"	2017	1822.143
"A41695149"	2012	1823
"A20060075"	2011	1823.027
"A20055380"	2010	1823.28
"B12008553"	2010	1823.433
"A28175412"	2015	1823.65
"A08228124"	2016	1824
"A36608180"	2008	1824.396
"A06023477"	2012	1824.991
"A08388811"	2014	1826.276
"A07026651"	2008	1826.35
"A53817359"	2015	1826.828
"A48114318"	2016	1827.499
"A28046704"	2014	1828.54
"A15044530"	2013	1828.575
"A28801942"	2007	1829.255
"A45025327"	2013	1829.835
"A07053374"	2015	1830.236
"A28698884"	2012	1831.959
"A46126686"	2008	1832.082
"B85160976"	2017	1832.543
"B11009917"	2011	1832.816
"A16010126"	2017	1833.358
"A07084940"	2011	1833.385
"A08639643"	2017	1833.403
"A03061314"	2017	1834.197
"A29050572"	2013	1834.23
"A08145385"	2016	1834.698
"B13004924"	2012	1835.353
"A02006021"	2008	1835.637
"B33614033"	2017	1837.634
"A11000098"	2017	1837.916
"A48068761"	2014	1838.452
"A08466807"	2010	1838.674
"B12014692"	2016	1838.69
"A20574372"	2008	1838.8
"A38371159"	2016	1839.471
"A09018862"	2011	1840.014
"A22009690"	2014	1840.575
"A78389608"	2016	1840.681
"A08562431"	2017	1840.913
"A28734432"	2011	1840.982
"A35397884"	2007	1841.834
"A62035282"	2015	1841.954
"A30035521"	2012	1841.97
"A30036438"	2007	1842.2
"A28698884"	2008	1842.898
"A35019637"	2013	1842.931
"B31005507"	2007	1842.996
"A33026105"	2011	1844.037
"A08653685"	2009	1844.068
"A28106003"	2012	1844.862
"A28698884"	2010	1845.43
"A08257388"	2008	1845.98
"A08562431"	2016	1846.567
"B39446315"	2009	1846.948
"A78400603"	2013	1847.077
"A46056255"	2016	1847.129
"B08912669"	2016	1847.185
"A28341055"	2008	1848.349
"A48017974"	2015	1849.067
"A84039338"	2013	1849.077
"A46226122"	2014	1849.205
"B60420692"	2016	1849.49
"A03062619"	2013	1850.031
"A78159241"	2008	1850.22
"A08093015"	2017	1850.81
"A48119622"	2009	1851.176
"A26014035"	2014	1851.781
"B08463424"	2010	1851.81
"B11009917"	2017	1852.482
"A12025490"	2014	1852.498
"A47000641"	2012	1852.723
"A45014610"	2013	1852.767
"B46055943"	2016	1852.958
"A08075954"	2012	1853.257
"A50016930"	2013	1854.417
"A03062619"	2014	1854.462
"A18006569"	2008	1854.596
"A08259046"	2017	1855.753
"B35043637"	2016	1856.848
"A39017058"	2014	1856.979
"A15018146"	2015	1857.108
"A46117792"	2011	1857.803
"B30035968"	2017	1858.231
"A17004763"	2012	1858.582
"A08075954"	2013	1858.582
"B47011374"	2015	1858.674
"A17001678"	2016	1859.054
"A17001678"	2017	1859.287
"A28332914"	2015	1859.913
"A28131274"	2011	1860.788
"A08122574"	2010	1860.906
"B08078396"	2009	1861.429
"A11000098"	2016	1861.795
"A28271914"	2014	1861.805
"B50043785"	2014	1862.422
"A02003465"	2016	1862.74
"A46117792"	2012	1863.23
"B15027170"	2014	1863.24
"A14481105"	2015	1863.526
"A04000881"	2010	1863.965
"A17021460"	2015	1863.968
"B30034730"	2009	1864.112
"B08721060"	2013	1864.194
"A23008857"	2012	1865.041
"B46055943"	2017	1865.14
"A11018736"	2013	1865.512
"A30040562"	2014	1865.661
"A08466807"	2008	1866.827
"A15038326"	2016	1866.848
"A07004187"	2015	1867.201
"A38371159"	2013	1867.437
"A08414906"	2014	1867.489
"A14481105"	2012	1868.185
"A46084984"	2011	1869.204
"A41089368"	2017	1869.699
"A17004763"	2008	1871.071
"A28604882"	2015	1871.083
"A08703803"	2012	1871.41
"A33018425"	2010	1871.636
"B62385067"	2013	1871.893
"A83062497"	2017	1871.937
"A45010543"	2012	1872.285
"A08562431"	2014	1872.737
"A08623928"	2015	1873.725
"A78320736"	2008	1874
"A35028570"	2013	1874.513
"A80652423"	2010	1874.542
"A46137352"	2014	1874.637
"A28108447"	2010	1874.938
"A42000802"	2017	1875
"A08280323"	2016	1875.204
"A46021804"	2008	1875.297
"A36604783"	2014	1876.576
"A01004548"	2010	1876.619
"A08243297"	2016	1876.672
"A33018425"	2012	1876.794
"A41695149"	2013	1877
"A31000441"	2009	1877.065
"A30035034"	2017	1877.598
"A30604680"	2013	1877.881
"B46084695"	2017	1877.899
"A01017557"	2009	1877.953
"A03028552"	2013	1877.985
"A20042933"	2011	1878.228
"A31196983"	2010	1878.31
"A95249199"	2011	1879.368
"B57175283"	2017	1879.397
"F06139109"	2011	1879.397
"A08358442"	2016	1879.458
"B50030964"	2013	1879.843
"A08720245"	2007	1880.46
"B50030964"	2010	1881.037
"A41008301"	2015	1881.4
"A48080683"	2013	1881.407
"A31062342"	2007	1881.619
"A28556504"	2012	1881.691
"F06312920"	2017	1881.996
"A19163682"	2009	1882.59
"A26008664"	2012	1883.408
"A08021768"	2009	1883.589
"B30015226"	2017	1884.189
"A12017760"	2012	1884.264
"A08220428"	2016	1884.525
"A08642886"	2014	1884.922
"B28222487"	2009	1884.945
"A01035807"	2009	1886
"A09018862"	2017	1886.126
"A08243297"	2017	1886.336
"A28295038"	2010	1886.613
"A09214636"	2015	1886.64
"A17048752"	2015	1887.447
"A46044814"	2010	1887.522
"A28646735"	2016	1887.714
"A33008426"	2016	1887.883
"B08229221"	2015	1888.099
"A41087404"	2011	1888.75
"B81542813"	2011	1888.846
"A28011286"	2011	1889
"A02014165"	2017	1889.085
"A20036083"	2009	1889.545
"A43037191"	2011	1889.817
"B46045993"	2011	1890.755
"A07012826"	2013	1890.896
"A15018146"	2016	1891.03
"B62385067"	2012	1891.295
"A33015728"	2007	1891.64
"A12017760"	2011	1892.631
"A08388811"	2007	1893.351
"A08639643"	2015	1893.724
"A03057486"	2014	1893.908
"A28229409"	2011	1893.959
"A48050728"	2014	1894.178
"B41088642"	2010	1895.649
"B30603229"	2016	1896.402
"B41217761"	2013	1897.519
"A17001678"	2013	1897.562
"B46135364"	2016	1898.081
"A08358442"	2015	1898.146
"A28131274"	2012	1898.189
"A39005095"	2009	1899.308
"A92111871"	2017	1900
"A15018146"	2017	1900.133
"A28011286"	2015	1901
"A12012605"	2016	1901.022
"A08156218"	2015	1901.532
"B38017067"	2012	1901.752
"A15013618"	2007	1901.976
"B28498210"	2017	1902.825
"A03030350"	2016	1903.146
"A29016003"	2013	1903.56
"A50029065"	2009	1903.712
"F06312920"	2016	1904.085
"B45005279"	2015	1904.132
"A08489320"	2017	1904.29
"A15024482"	2011	1905.191
"A30017883"	2015	1905.53
"A08156218"	2011	1906.17
"A35031343"	2013	1906.175
"A46226122"	2008	1906.472
"A28386225"	2016	1906.732
"A28293884"	2016	1906.922
"B12457230"	2011	1907.28
"B36614816"	2008	1908.348
"A08097438"	2010	1908.355
"A38017844"	2016	1908.92
"A28253656"	2008	1909.51
"B30566194"	2011	1910.094
"A14025902"	2015	1910.154
"A13012869"	2012	1910.484
"A21000427"	2013	1910.556
"A08496473"	2010	1911.029
"A08257388"	2007	1911.3
"A46045936"	2009	1911.342
"A14481105"	2013	1911.747
"A46168795"	2014	1912.169
"A18012807"	2014	1913.039
"A04413340"	2017	1913.102
"B08721060"	2010	1913.292
"A59954487"	2013	1913.823
"B03093713"	2011	1913.842
"A08026635"	2007	1914.159
"B17048364"	2012	1915.845
"A20036083"	2007	1916.01
"A31061401"	2016	1916.295
"B46121000"	2015	1916.36
"B11900602"	2011	1916.413
"A25020629"	2015	1916.949
"A06163851"	2012	1916.984
"A46069456"	2009	1917.945
"A08651762"	2016	1919.161
"A83741967"	2017	1919.324
"A78092764"	2010	1919.408
"A36005684"	2014	1919.479
"B31039530"	2015	1919.72
"A15044530"	2012	1920.411
"A11609682"	2016	1921.05
"B29042348"	2012	1921.324
"A08713869"	2012	1922.393
"A28452647"	2016	1922.433
"A18006569"	2013	1922.569
"A07161821"	2007	1923.331
"A28011286"	2017	1924
"A45015716"	2011	1924.247
"B03019106"	2014	1924.617
"A28146579"	2010	1925.487
"A48080683"	2017	1925.978
"A08075954"	2014	1926.375
"A08215428"	2014	1926.534
"A12016143"	2009	1927.688
"A17018276"	2008	1928.367
"B46121000"	2013	1928.483
"A17004763"	2007	1928.911
"A19011626"	2013	1928.937
"A46031027"	2015	1929.276
"A09018730"	2016	1929.375
"A30017636"	2008	1929.695
"A36604783"	2016	1930.308
"B08463424"	2012	1930.475
"A08713869"	2014	1930.565
"B28337731"	2008	1930.791
"A28674489"	2014	1931.213
"A28273241"	2011	1931.507
"A62703806"	2014	1932.501
"A08358442"	2017	1932.589
"B28361350"	2009	1932.858
"A28574044"	2009	1933.34
"A01167204"	2017	1933.397
"B46173423"	2010	1933.437
"B31001290"	2015	1934.218
"A08203226"	2017	1934.474
"A28698884"	2014	1935.806
"A62035282"	2014	1936.06
"A15016702"	2009	1936.414
"B37012069"	2014	1936.641
"B81542813"	2007	1936.97
"B30331573"	2007	1936.988
"A80771116"	2009	1937
"B36009942"	2015	1937.539
"A30022958"	2016	1937.76
"A18006569"	2009	1937.975
"A50615160"	2011	1938.206
"B35504059"	2017	1940
"A30032619"	2017	1940.309
"B23011273"	2015	1940.817
"A17014119"	2008	1942.01
"A08562431"	2015	1942.395
"B30015226"	2012	1942.848
"A17475203"	2009	1942.865
"B31005507"	2008	1943.199
"B12014692"	2009	1943.374
"A08195927"	2008	1943.49
"B29901469"	2012	1944.235
"B15017908"	2016	1944.496
"A47010194"	2012	1944.5
"B46173423"	2009	1945.073
"B35027143"	2010	1945.116
"A08200651"	2015	1945.26
"A08075954"	2017	1945.353
"B30606099"	2015	1945.883
"A17014879"	2017	1945.933
"A46137352"	2007	1946.076
"A30024798"	2012	1946.161
"A22201164"	2016	1946.201
"A08484107"	2015	1946.834
"B45005279"	2007	1946.894
"A08679060"	2017	1947.136
"A26022129"	2017	1947.461
"A30015820"	2017	1947.745
"B28383362"	2013	1947.943
"A31065915"	2012	1948.442
"A20024832"	2016	1948.488
"A25020629"	2016	1948.519
"A39005095"	2010	1948.544
"A30040562"	2016	1948.627
"A26015503"	2016	1948.925
"A33026105"	2010	1949.086
"A12017760"	2014	1950.014
"A28580546"	2009	1950.828
"A08388811"	2009	1950.859
"A28651370"	2010	1950.989
"A08200651"	2017	1951.354
"A01006055"	2017	1951.53
"B35043637"	2017	1951.578
"A12025490"	2013	1951.717
"A31000441"	2010	1951.748
"A30024798"	2013	1951.766
"A28562908"	2011	1952.143
"A14025902"	2011	1952.151
"B46131371"	2009	1952.441
"A15044530"	2016	1952.899
"A20060075"	2016	1953.266
"A08484107"	2016	1953.344
"A20032264"	2008	1953.631
"B26011627"	2009	1953.658
"B03036340"	2010	1954.245
"B91139717"	2013	1954.298
"A33025701"	2015	1954.364
"A08156218"	2009	1954.632
"B03072857"	2014	1954.777
"A29030848"	2009	1954.981
"A28715027"	2011	1955.217
"A15070444"	2007	1955.302
"A08431678"	2009	1955.678
"A13005384"	2010	1955.922
"A31071756"	2010	1956.538
"A31001266"	2015	1956.767
"B14484612"	2016	1957.234
"A48081061"	2010	1957.27
"A28700383"	2008	1957.611
"A15018146"	2012	1957.809
"A46044814"	2015	1957.819
"A14004691"	2016	1958.187
"A17475203"	2011	1958.613
"B41033143"	2014	1959.128
"A12028403"	2011	1959.151
"B17002049"	2011	1959.489
"B81542813"	2008	1959.941
"A28604882"	2016	1960.133
"A34170183"	2013	1961.344
"A82501545"	2015	1962.045
"A08989782"	2009	1962.052
"A28101020"	2009	1962.241
"A08631517"	2016	1962.327
"A30022958"	2010	1962.401
"A28271112"	2016	1963.502
"A20036083"	2015	1963.52
"A07050420"	2013	1963.523
"A58294166"	2014	1963.82
"A81047375"	2016	1964
"A12012605"	2008	1964.335
"A28574044"	2008	1964.581
"A08194946"	2013	1965.12
"A47011721"	2014	1965.184
"A11608999"	2014	1965.192
"B08216202"	2016	1966.124
"A28027647"	2017	1966.362
"A08329963"	2013	1966.625
"A34170183"	2014	1967.739
"B08195653"	2008	1968.378
"A09006859"	2016	1968.403
"A96646880"	2015	1968.981
"A08484107"	2011	1969.028
"A50038959"	2013	1969.908
"B08488645"	2008	1970.163
"B58875048"	2013	1970.487
"A09000308"	2007	1970.99
"A63776306"	2017	1971
"B28304129"	2012	1971.456
"B11012820"	2017	1972.209
"A26015503"	2017	1972.218
"A29016003"	2008	1973.125
"B46055943"	2008	1973.272
"A28579191"	2010	1973.743
"A25017880"	2015	1974.108
"A08257388"	2012	1974.428
"A14025902"	2017	1974.886
"A47024393"	2014	1975.608
"A01167204"	2016	1975.658
"A36615474"	2013	1976.128
"A20024832"	2017	1976.27
"A01004548"	2011	1976.68
"A01004548"	2012	1977.252
"B81542813"	2010	1977.561
"A17014119"	2009	1977.681
"A09015405"	2013	1977.926
"A20036083"	2010	1978
"A15590904"	2012	1978.03
"B47009626"	2013	1978.148
"A25020629"	2013	1978.161
"B03072857"	2010	1978.355
"A47022165"	2007	1979.208
"A30034441"	2011	1979.322
"A43019975"	2013	1979.863
"A50034024"	2015	1979.98
"A46115127"	2009	1980.896
"A08703803"	2013	1981.876
"V41812744"	2012	1981.956
"A01035807"	2016	1982
"B82899550"	2016	1982.529
"A28271112"	2015	1982.615
"B39014709"	2010	1983.688
"B29901469"	2013	1983.836
"B33614033"	2016	1984.473
"B18012831"	2008	1984.532
"A07015787"	2013	1984.635
"A08097438"	2012	1984.759
"A01006055"	2015	1985.073
"B03036720"	2011	1985.312
"A28579191"	2011	1985.404
"A28321313"	2011	1985.458
"A39013867"	2016	1985.803
"A28604882"	2014	1985.895
"A28386225"	2017	1985.988
"A28630374"	2016	1986.47
"A04000881"	2009	1987.145
"A28698884"	2007	1987.22
"B97131155"	2017	1987.401
"A46106928"	2012	1987.517
"A01035807"	2017	1988
"A08388811"	2008	1988.099
"B62263272"	2008	1988.394
"B48124275"	2010	1988.478
"A06163851"	2015	1989.689
"A08565285"	2008	1989.689
"A08509788"	2015	1989.838
"A35397884"	2011	1989.95
"A01035807"	2008	1990
"A08466807"	2013	1990.574
"A12405577"	2016	1990.837
"A28011286"	2013	1991
"A07096886"	2017	1991.185
"B11900602"	2013	1991.989
"A08228124"	2017	1992
"B38017554"	2013	1993.468
"A08514135"	2008	1993.95
"A20032264"	2017	1994.008
"A12012605"	2007	1995.583
"A33610106"	2013	1996.226
"V30405880"	2017	1996.245
"B38071155"	2015	1996.975
"B62785357"	2012	1997.099
"A41021841"	2015	1997.82
"A08128910"	2016	1998.739
"A08224545"	2014	2000.329
"A08482952"	2013	2000.543
"A08388811"	2017	2001.102
"A20024832"	2015	2001.792
"A12017760"	2009	2001.869
"A78400603"	2014	2003.649
"A08720245"	2014	2003.725
"A04017497"	2007	2004.01
"A26008664"	2011	2004.15
"A35397884"	2013	2004.897
"A08631517"	2017	2005.315
"B11009917"	2013	2005.991
"B50023142"	2012	2006.639
"B41217761"	2011	2007.841
"A31064561"	2012	2008.299
"A28128486"	2014	2008.336
"B11605862"	2009	2009.667
"A07161821"	2015	2010.02
"A50016930"	2012	2010.065
"B15516933"	2009	2010.426
"A08097438"	2011	2010.803
"A46069456"	2007	2011.18
"A17014119"	2011	2011.311
"B06422877"	2016	2011.408
"B17011511"	2012	2011.43
"B46055943"	2007	2012.252
"A28085520"	2011	2012.71
"A46045936"	2011	2012.869
"A40163909"	2016	2013
"A08097438"	2015	2013.559
"B08407322"	2009	2013.702
"B35065788"	2017	2014.05
"A36016574"	2014	2015.88
"B21011333"	2009	2016.151
"A46463311"	2014	2016.487
"A50169143"	2017	2017.133
"B46131371"	2010	2017.135
"A08296535"	2014	2017.258
"B43009091"	2007	2017.262
"A18024919"	2015	2017.794
"A20032264"	2012	2018.016
"F10026128"	2014	2018.093
"A28321313"	2013	2018.117
"B15021835"	2017	2018.423
"A12012605"	2011	2019.42
"A28138386"	2010	2019.495
"B46055943"	2013	2019.675
"A18006569"	2010	2020.334
"A28604882"	2017	2020.623
"G07065709"	2013	2020.738
"B35006360"	2015	2021.035
"A07021256"	2016	2021.99
"A43004472"	2009	2021.991
"B03032620"	2017	2022.152
"A33560772"	2015	2022.548
"B17011511"	2015	2023.014
"A08484107"	2012	2024.695
"A08388811"	2016	2024.888
"A28011286"	2010	2025
"B38020020"	2010	2025.616
"A28579191"	2014	2025.635
"A38371159"	2015	2025.726
"A03030350"	2012	2025.772
"A46332995"	2013	2025.95
"A31196983"	2009	2026.011
"A43020486"	2007	2026.342
"A33602905"	2008	2026.381
"B79945150"	2011	2027.066
"A28229409"	2014	2027.095
"A27007731"	2010	2027.605
"A30022958"	2015	2028.22
"A11010352"	2012	2028.298
"A17041708"	2016	2029.075
"B28218816"	2011	2029.156
"A29015849"	2015	2030.211
"A46014650"	2014	2030.228
"B03036712"	2009	2030.526
"B28498210"	2012	2030.536
"A36603637"	2011	2030.553
"A01008234"	2009	2030.8
"B96324983"	2016	2032.414
"A28579191"	2013	2032.479
"A17009093"	2017	2032.973
"A46074647"	2009	2033.134
"A62035282"	2011	2033.648
"A46162665"	2011	2034.117
"A08533119"	2008	2034.241
"A03030350"	2015	2034.804
"A50016930"	2011	2035.177
"A15000227"	2013	2035.413
"A28734432"	2010	2035.473
"A19163682"	2010	2035.512
"A08244808"	2010	2035.599
"A08405490"	2009	2035.792
"A81808966"	2015	2036.116
"A14037642"	2017	2036.67
"A19163682"	2011	2036.908
"A50615160"	2010	2038.85
"A08061731"	2008	2038.923
"A35022987"	2008	2039.127
"A08197022"	2015	2039.598
"A50032309"	2015	2039.676
"A62035282"	2017	2039.712
"A28271112"	2014	2039.789
"A31001266"	2012	2040.353
"A09006859"	2015	2040.376
"A35397884"	2008	2041.17
"F06139109"	2012	2041.395
"B41070020"	2009	2041.664
"A12012605"	2015	2043.066
"A28128486"	2008	2043.1
"A33015728"	2008	2044.16
"A35397884"	2012	2044.303
"B39014709"	2014	2044.667
"A11682507"	2010	2044.887
"A17475203"	2010	2044.92
"B50023142"	2011	2045.1
"A08021768"	2007	2045.2
"A15590904"	2010	2045.69
"A08621161"	2012	2045.901
"A22012223"	2014	2046.303
"A08219024"	2016	2046.519
"A09006859"	2017	2046.537
"A81864498"	2013	2046.667
"A08388811"	2011	2046.935
"B28623213"	2014	2047.003
"A46002697"	2010	2047.04
"B29901469"	2017	2047.081
"A30014211"	2014	2047.218
"B31005507"	2009	2047.316
"B16010464"	2012	2047.437
"A36006021"	2014	2047.817
